from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000007,8000007,52,62,134,75,1020,Rheinhessen-Pfalz
8000007,8000468,29,37,65,30,360,Rheinhessen-Pfalz
8000007,8000558,12,16,154,90,660,Rheinhessen-Pfalz
8000007,8000602,15,16,114,30,870,Rheinhessen-Pfalz
8000007,8001813,1,1,60,60,60,Rheinhessen-Pfalz
8000007,8007474,12,16,150,105,660,Rheinhessen-Pfalz
8000121,8000021,14,18,252,135,1200,Rheinhessen-Pfalz
8000121,8000121,57,69,155,90,1200,Rheinhessen-Pfalz
8000121,8000976,15,15,188,180,600,Rheinhessen-Pfalz
8000121,8003075,2,3,80,120,120,Rheinhessen-Pfalz
8000121,8004614,13,18,90,60,810,Rheinhessen-Pfalz
8000121,8006312,14,15,134,60,450,Rheinhessen-Pfalz
8000137,8000137,44,58,93,60,750,Rheinhessen-Pfalz
8000137,8002444,15,16,167,120,720,Rheinhessen-Pfalz
8000137,8003285,23,35,86,60,330,Rheinhessen-Pfalz
8000137,8070096,13,15,70,30,390,Rheinhessen-Pfalz
8000216,8000216,61,94,87,30,630,Rheinhessen-Pfalz
8000216,8001663,1,1,30,30,30,Rheinhessen-Pfalz
8000216,8002875,1,1,90,90,90,Rheinhessen-Pfalz
8000216,8003080,13,18,62,30,330,Rheinhessen-Pfalz
8000216,8003172,1,1,270,270,270,Rheinhessen-Pfalz
8000216,8003349,22,33,125,60,660,Rheinhessen-Pfalz
8000216,8003507,11,15,52,30,150,Rheinhessen-Pfalz
8000216,8003508,0,1,0,0,0,Rheinhessen-Pfalz
8000216,8006468,15,29,36,30,150,Rheinhessen-Pfalz
8000254,8000254,125,199,75,30,990,Rheinhessen-Pfalz
8000254,8003125,2,3,90,120,150,Rheinhessen-Pfalz
8000254,8003172,7,18,35,0,210,Rheinhessen-Pfalz
8000254,8003186,1,2,30,30,60,Rheinhessen-Pfalz
8000254,8003911,12,15,58,60,240,Rheinhessen-Pfalz
8000254,8006531,11,20,75,30,240,Rheinhessen-Pfalz
8000254,8006536,7,16,103,0,540,Rheinhessen-Pfalz
8000254,8079143,15,40,82,0,1980,Rheinhessen-Pfalz
8000254,8084067,46,78,82,30,600,Rheinhessen-Pfalz
8000257,8000257,74,100,122,90,1380,Rheinhessen-Pfalz
8000257,8000332,11,14,114,120,270,Rheinhessen-Pfalz
8000257,8000333,1,1,150,150,150,Rheinhessen-Pfalz
8000257,8001032,22,34,71,30,360,Rheinhessen-Pfalz
8000257,8002872,10,12,240,45,1470,Rheinhessen-Pfalz
8000257,8002934,7,17,101,0,900,Rheinhessen-Pfalz
8000257,8004714,17,37,45,0,540,Rheinhessen-Pfalz
8000257,8004788,10,20,26,15,210,Rheinhessen-Pfalz
8000326,8000326,39,64,98,30,840,Rheinhessen-Pfalz
8000326,8001057,22,36,90,30,750,Rheinhessen-Pfalz
8000326,8003687,23,66,162,0,2100,Rheinhessen-Pfalz
8000326,8003759,1,1,390,390,390,Rheinhessen-Pfalz
8000327,8000327,25,32,163,90,990,Rheinhessen-Pfalz
8000327,8000340,12,16,178,120,720,Rheinhessen-Pfalz
8000327,8007474,13,16,159,90,1020,Rheinhessen-Pfalz
8000332,8000257,8,14,109,60,630,Rheinhessen-Pfalz
8000332,8000332,61,104,97,30,840,Rheinhessen-Pfalz
8000332,8001032,28,38,154,60,750,Rheinhessen-Pfalz
8000332,8002025,41,66,69,30,450,Rheinhessen-Pfalz
8000332,8003759,3,7,30,0,150,Rheinhessen-Pfalz
8000332,8003766,0,2,0,0,0,Rheinhessen-Pfalz
8000340,8000327,13,16,154,105,960,Rheinhessen-Pfalz
8000340,8000340,25,32,169,120,990,Rheinhessen-Pfalz
8000340,8000652,12,16,206,150,780,Rheinhessen-Pfalz
8000359,8000359,59,74,110,60,540,Rheinhessen-Pfalz
8000359,8003819,21,37,106,60,510,Rheinhessen-Pfalz
8000359,8004193,29,37,92,60,540,Rheinhessen-Pfalz
8000372,8000372,34,37,265,210,1110,Rheinhessen-Pfalz
8000372,8002175,1,1,180,180,180,Rheinhessen-Pfalz
8000372,8002875,2,2,210,210,360,Rheinhessen-Pfalz
8000372,8087062,17,19,248,210,810,Rheinhessen-Pfalz
8000374,8000374,57,72,95,60,420,Rheinhessen-Pfalz
8000374,8001860,23,32,60,45,240,Rheinhessen-Pfalz
8000374,8002798,26,36,89,60,420,Rheinhessen-Pfalz
8000374,8006292,26,33,75,60,330,Rheinhessen-Pfalz
8000375,8000375,59,78,197,90,1680,Rheinhessen-Pfalz
8000375,8000975,14,21,236,90,930,Rheinhessen-Pfalz
8000375,8003075,31,39,170,90,1680,Rheinhessen-Pfalz
8000375,8004614,14,18,243,150,1170,Rheinhessen-Pfalz
8000376,8002239,1,43,-2,0,60,Rheinhessen-Pfalz
8000466,8000466,30,31,144,120,420,Rheinhessen-Pfalz
8000466,8000582,15,15,166,120,420,Rheinhessen-Pfalz
8000466,8005551,15,16,176,150,420,Rheinhessen-Pfalz
8000468,8000007,29,36,106,30,720,Rheinhessen-Pfalz
8000468,8000468,57,73,90,30,750,Rheinhessen-Pfalz
8000468,8000602,26,37,63,30,330,Rheinhessen-Pfalz
8000491,8000491,14,32,81,0,540,Rheinhessen-Pfalz
8000491,8004929,10,17,127,30,540,Rheinhessen-Pfalz
8000491,8005857,5,15,60,0,300,Rheinhessen-Pfalz
8000505,8000505,29,37,187,60,1170,Rheinhessen-Pfalz
8000505,8002879,18,19,254,180,840,Rheinhessen-Pfalz
8000505,8005111,16,18,177,90,1200,Rheinhessen-Pfalz
8000506,8000506,48,73,103,60,540,Rheinhessen-Pfalz
8000506,8002474,25,37,96,30,510,Rheinhessen-Pfalz
8000506,8004003,23,36,104,60,450,Rheinhessen-Pfalz
8000547,8003739,10,14,144,120,420,Rheinhessen-Pfalz
8000558,8000007,18,18,140,135,420,Rheinhessen-Pfalz
8000558,8000558,34,34,146,105,660,Rheinhessen-Pfalz
8000558,8001813,16,16,167,120,660,Rheinhessen-Pfalz
8000582,8000466,14,16,167,150,420,Rheinhessen-Pfalz
8000582,8000582,30,32,151,135,390,Rheinhessen-Pfalz
8000582,8003508,1,1,270,270,270,Rheinhessen-Pfalz
8000582,8005257,14,15,144,90,360,Rheinhessen-Pfalz
8000582,8006441,1,1,120,120,120,Rheinhessen-Pfalz
8000602,8000007,7,13,125,60,570,Rheinhessen-Pfalz
8000602,8000468,28,36,121,45,750,Rheinhessen-Pfalz
8000602,8000602,82,102,118,60,870,Rheinhessen-Pfalz
8000602,8006183,11,15,158,90,600,Rheinhessen-Pfalz
8000602,8006534,35,38,153,60,870,Rheinhessen-Pfalz
8000615,8000241,34,41,70,30,390,Rheinhessen-Pfalz
8000615,8000615,155,174,128,90,690,Rheinhessen-Pfalz
8000615,8002872,45,45,101,60,300,Rheinhessen-Pfalz
8000615,8006404,77,88,156,120,660,Rheinhessen-Pfalz
8000625,8000625,29,33,106,60,660,Rheinhessen-Pfalz
8000625,8002444,14,17,42,30,90,Rheinhessen-Pfalz
8000625,8003988,15,16,167,135,660,Rheinhessen-Pfalz
8000652,8000340,13,16,133,60,960,Rheinhessen-Pfalz
8000663,8000663,31,36,117,90,600,Rheinhessen-Pfalz
8000663,8002958,4,16,19,0,150,Rheinhessen-Pfalz
8000663,8004345,16,18,132,90,480,Rheinhessen-Pfalz
8000663,8004788,13,18,123,75,600,Rheinhessen-Pfalz
8000683,8000375,1,1,180,180,180,Rheinhessen-Pfalz
8000683,8000683,51,54,334,210,2160,Rheinhessen-Pfalz
8000683,8003075,7,8,232,150,900,Rheinhessen-Pfalz
8000683,8004379,18,19,392,240,2160,Rheinhessen-Pfalz
8000683,8004601,25,26,329,240,1500,Rheinhessen-Pfalz
8000691,8003175,0,17,0,0,0,Rheinhessen-Pfalz
8000698,8000698,45,65,57,30,420,Rheinhessen-Pfalz
8000698,8000708,27,33,76,60,420,Rheinhessen-Pfalz
8000698,8006125,16,32,39,15,270,Rheinhessen-Pfalz
8000708,8000698,30,32,105,90,270,Rheinhessen-Pfalz
8000708,8000708,61,65,95,60,420,Rheinhessen-Pfalz
8000708,8001860,31,33,99,90,390,Rheinhessen-Pfalz
8000802,8000802,4,34,5,0,90,Rheinhessen-Pfalz
8000802,8003175,1,17,4,0,60,Rheinhessen-Pfalz
8000802,8006468,4,17,9,0,60,Rheinhessen-Pfalz
8000876,8000876,62,92,109,30,630,Rheinhessen-Pfalz
8000876,8004822,29,48,101,30,570,Rheinhessen-Pfalz
8000876,8005113,8,15,124,60,600,Rheinhessen-Pfalz
8000876,8005843,8,15,98,30,510,Rheinhessen-Pfalz
8000876,8006156,5,15,58,0,480,Rheinhessen-Pfalz
8000890,8000890,11,30,37,0,240,Rheinhessen-Pfalz
8000890,8004257,0,15,0,0,0,Rheinhessen-Pfalz
8000890,8700353,10,15,68,60,240,Rheinhessen-Pfalz
8000975,8000375,15,20,174,60,1680,Rheinhessen-Pfalz
8000975,8000975,24,41,192,30,1650,Rheinhessen-Pfalz
8000975,8000976,14,21,234,60,930,Rheinhessen-Pfalz
8000976,8000121,8,15,82,30,420,Rheinhessen-Pfalz
8000976,8000975,11,20,147,30,1650,Rheinhessen-Pfalz
8000976,8000976,32,43,202,60,1680,Rheinhessen-Pfalz
8000976,8004172,0,1,0,0,0,Rheinhessen-Pfalz
8000976,8005896,16,18,240,120,780,Rheinhessen-Pfalz
8001032,8000257,22,37,148,60,630,Rheinhessen-Pfalz
8001032,8000332,17,34,62,15,330,Rheinhessen-Pfalz
8001032,8001032,43,72,107,30,690,Rheinhessen-Pfalz
8001043,8001043,30,31,69,60,390,Rheinhessen-Pfalz
8001043,8002958,14,15,78,60,360,Rheinhessen-Pfalz
8001043,8070096,16,16,62,60,150,Rheinhessen-Pfalz
8001057,8000326,25,35,195,60,1920,Rheinhessen-Pfalz
8001057,8001057,47,75,134,30,1890,Rheinhessen-Pfalz
8001057,8002056,1,1,90,90,90,Rheinhessen-Pfalz
8001057,8002632,17,38,84,0,780,Rheinhessen-Pfalz
8001057,8003767,1,1,480,480,480,Rheinhessen-Pfalz
8001200,8001200,52,68,167,45,2460,Rheinhessen-Pfalz
8001200,8002655,24,32,92,30,420,Rheinhessen-Pfalz
8001200,8003684,17,19,215,60,2430,Rheinhessen-Pfalz
8001200,8005649,1,1,1140,1140,1140,Rheinhessen-Pfalz
8001237,8001237,38,46,208,90,1740,Rheinhessen-Pfalz
8001237,8002692,3,3,330,60,900,Rheinhessen-Pfalz
8001237,8003821,15,19,231,90,1710,Rheinhessen-Pfalz
8001237,8005950,16,22,179,90,690,Rheinhessen-Pfalz
8001341,8001341,24,31,271,270,720,Rheinhessen-Pfalz
8001341,8005673,12,16,324,330,720,Rheinhessen-Pfalz
8001341,8006682,12,15,232,240,540,Rheinhessen-Pfalz
8001399,8001399,57,65,111,90,510,Rheinhessen-Pfalz
8001399,8004189,31,32,152,120,330,Rheinhessen-Pfalz
8001399,8006125,25,33,76,30,480,Rheinhessen-Pfalz
8001406,8001406,25,31,247,210,780,Rheinhessen-Pfalz
8001406,8001407,12,16,259,255,690,Rheinhessen-Pfalz
8001406,8005673,12,15,230,240,540,Rheinhessen-Pfalz
8001407,8001406,12,15,136,90,480,Rheinhessen-Pfalz
8001407,8001407,24,31,187,120,690,Rheinhessen-Pfalz
8001407,8005094,12,16,266,255,690,Rheinhessen-Pfalz
8001448,8001448,45,73,99,60,510,Rheinhessen-Pfalz
8001448,8002474,23,36,110,90,510,Rheinhessen-Pfalz
8001448,8004680,23,37,96,30,540,Rheinhessen-Pfalz
8001638,8001638,25,33,95,60,690,Rheinhessen-Pfalz
8001638,8001728,15,16,141,75,660,Rheinhessen-Pfalz
8001638,8003988,11,17,39,30,150,Rheinhessen-Pfalz
8001663,8001663,56,69,108,90,780,Rheinhessen-Pfalz
8001663,8001665,33,35,92,90,390,Rheinhessen-Pfalz
8001663,8003809,22,33,129,60,780,Rheinhessen-Pfalz
8001665,8001663,22,33,128,60,780,Rheinhessen-Pfalz
8001665,8001665,54,68,107,90,750,Rheinhessen-Pfalz
8001665,8003349,33,35,85,60,420,Rheinhessen-Pfalz
8001720,8001720,46,47,200,60,2370,Rheinhessen-Pfalz
8001720,8003257,22,25,307,90,2370,Rheinhessen-Pfalz
8001720,8006100,18,20,90,60,360,Rheinhessen-Pfalz
8001727,8001727,16,32,106,15,540,Rheinhessen-Pfalz
8001727,8004993,4,15,68,0,420,Rheinhessen-Pfalz
8001727,8005857,11,17,134,30,540,Rheinhessen-Pfalz
8001728,8001638,4,17,-12,-30,90,Rheinhessen-Pfalz
8001728,8001728,16,33,52,0,660,Rheinhessen-Pfalz
8001728,8004935,11,16,99,45,600,Rheinhessen-Pfalz
8001732,8004935,3,10,66,0,570,Rheinhessen-Pfalz
8001813,8000558,13,18,98,45,420,Rheinhessen-Pfalz
8001813,8001813,33,35,143,90,690,Rheinhessen-Pfalz
8001813,8002473,16,17,178,120,720,Rheinhessen-Pfalz
8001860,8000374,31,33,94,60,360,Rheinhessen-Pfalz
8001860,8000708,27,32,85,60,270,Rheinhessen-Pfalz
8001860,8001860,58,65,90,60,390,Rheinhessen-Pfalz
8002014,8002014,53,64,123,90,510,Rheinhessen-Pfalz
8002014,8002025,27,33,129,120,420,Rheinhessen-Pfalz
8002014,8003498,26,31,113,90,480,Rheinhessen-Pfalz
8002025,8000332,58,71,161,120,900,Rheinhessen-Pfalz
8002025,8002014,29,31,104,60,480,Rheinhessen-Pfalz
8002025,8002025,109,137,123,60,900,Rheinhessen-Pfalz
8002025,8003766,27,35,75,60,300,Rheinhessen-Pfalz
8002036,8002036,53,70,186,60,2340,Rheinhessen-Pfalz
8002036,8002875,18,35,129,30,660,Rheinhessen-Pfalz
8002036,8006261,30,35,246,60,2340,Rheinhessen-Pfalz
8002056,8000308,2,3,70,60,150,Rheinhessen-Pfalz
8002056,8002056,3,6,55,30,150,Rheinhessen-Pfalz
8002056,8003765,0,1,0,0,0,Rheinhessen-Pfalz
8002175,8002175,15,33,45,0,210,Rheinhessen-Pfalz
8002175,8002943,5,18,22,0,120,Rheinhessen-Pfalz
8002191,8002191,25,30,141,90,630,Rheinhessen-Pfalz
8002191,8005637,14,15,168,120,630,Rheinhessen-Pfalz
8002191,8006183,12,15,136,60,420,Rheinhessen-Pfalz
8002286,8002286,15,32,107,0,540,Rheinhessen-Pfalz
8002286,8004396,5,15,70,0,420,Rheinhessen-Pfalz
8002286,8004993,12,17,143,60,540,Rheinhessen-Pfalz
8002300,8002300,30,31,130,90,390,Rheinhessen-Pfalz
8002300,8003508,13,16,118,90,360,Rheinhessen-Pfalz
8002300,8005551,15,15,122,90,360,Rheinhessen-Pfalz
8002444,8000137,16,17,60,60,270,Rheinhessen-Pfalz
8002444,8000625,15,16,150,105,660,Rheinhessen-Pfalz
8002444,8002444,30,33,97,60,660,Rheinhessen-Pfalz
8002473,8001813,18,18,133,75,450,Rheinhessen-Pfalz
8002473,8002473,34,35,148,120,630,Rheinhessen-Pfalz
8002473,8004345,16,17,168,120,600,Rheinhessen-Pfalz
8002474,8000506,25,36,108,75,480,Rheinhessen-Pfalz
8002474,8001448,20,37,85,30,510,Rheinhessen-Pfalz
8002474,8002474,46,74,99,60,510,Rheinhessen-Pfalz
8002474,8004714,1,1,60,60,60,Rheinhessen-Pfalz
8002515,8000254,1,1,210,210,210,Rheinhessen-Pfalz
8002515,8002515,30,30,132,120,300,Rheinhessen-Pfalz
8002515,8003911,14,14,135,150,270,Rheinhessen-Pfalz
8002515,8004257,15,15,106,60,240,Rheinhessen-Pfalz
8002632,8001057,31,37,200,60,1890,Rheinhessen-Pfalz
8002632,8002632,56,75,150,30,1890,Rheinhessen-Pfalz
8002632,8004489,25,38,107,45,810,Rheinhessen-Pfalz
8002648,8002648,23,31,130,90,540,Rheinhessen-Pfalz
8002648,8002649,10,15,102,60,300,Rheinhessen-Pfalz
8002648,8006441,11,16,142,60,540,Rheinhessen-Pfalz
8002649,8002648,11,16,131,60,540,Rheinhessen-Pfalz
8002649,8002649,25,32,123,60,540,Rheinhessen-Pfalz
8002649,8002847,9,10,126,90,360,Rheinhessen-Pfalz
8002649,8079147,5,6,165,150,300,Rheinhessen-Pfalz
8002655,8001200,29,36,240,60,2400,Rheinhessen-Pfalz
8002655,8002655,54,68,174,60,2400,Rheinhessen-Pfalz
8002655,8003257,29,32,104,60,480,Rheinhessen-Pfalz
8002692,8001237,1,1,90,90,90,Rheinhessen-Pfalz
8002692,8002692,65,78,188,105,1650,Rheinhessen-Pfalz
8002692,8003075,32,40,182,90,960,Rheinhessen-Pfalz
8002692,8003816,1,1,150,150,150,Rheinhessen-Pfalz
8002692,8005950,14,20,210,105,1650,Rheinhessen-Pfalz
8002724,8002724,29,30,463,270,5280,Rheinhessen-Pfalz
8002724,8003739,16,16,566,390,2790,Rheinhessen-Pfalz
8002724,8004975,13,14,165,135,450,Rheinhessen-Pfalz
8002798,8000374,31,35,112,60,330,Rheinhessen-Pfalz
8002798,8002798,61,71,103,60,420,Rheinhessen-Pfalz
8002798,8003285,30,36,102,60,420,Rheinhessen-Pfalz
8002847,8002649,9,10,117,60,570,Rheinhessen-Pfalz
