from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000075,8000075,156,60,1590,Saarland
8000075,8000840,121,45,1500,Saarland
8000075,8003992,45,30,120,Saarland
8000075,8005247,210,60,1560,Saarland
8000075,8005562,0,0,0,Saarland
8000154,8000154,73,0,1200,Saarland
8000154,8004253,76,60,600,Saarland
8000154,8005659,204,120,1200,Saarland
8000154,8006170,10,0,60,Saarland
8000154,8079083,148,15,1710,Saarland
8000175,8000175,135,60,1560,Saarland
8000175,8001110,50,30,150,Saarland
8000175,8003796,151,90,780,Saarland
8000175,8005247,49,30,120,Saarland
8000175,8005649,242,150,930,Saarland
8000272,8000272,98,60,1170,Saarland
8000272,8000875,16,0,150,Saarland
8000272,8003516,37,0,510,Saarland
8000272,8004312,79,30,510,Saarland
8000272,8005346,150,45,1110,Saarland
8000272,8006392,97,60,1080,Saarland
8000319,8000319,118,60,990,Saarland
8000319,8002625,171,120,810,Saarland
8000319,8003294,118,30,960,Saarland
8000319,8005649,84,60,510,Saarland
8000357,8000357,160,120,690,Saarland
8000357,8000371,199,120,720,Saarland
8000357,8001027,140,150,510,Saarland
8000371,8000357,146,120,540,Saarland
8000371,8000371,166,120,690,Saarland
8000371,8006680,215,180,690,Saarland
8000378,8000378,169,60,1140,Saarland
8000378,8002238,175,60,1170,Saarland
8000378,8005346,178,60,660,Saarland
8000563,8000563,55,0,690,Saarland
8000563,8001221,40,0,300,Saarland
8000563,8007868,97,30,690,Saarland
8000792,8000792,28,0,480,Saarland
8000792,8002929,31,0,480,Saarland
8000792,8005659,9,0,120,Saarland
8000840,8000075,156,90,870,Saarland
8000840,8000840,124,60,1500,Saarland
8000840,8002083,115,30,1500,Saarland
8000875,8000272,236,180,1200,Saarland
8000875,8000875,81,30,1170,Saarland
8000875,8004392,62,0,1020,Saarland
8000875,8005659,51,30,390,Saarland
8000875,8006392,44,0,540,Saarland
8000923,8000923,96,60,390,Saarland
8000923,8004236,61,60,390,Saarland
8000923,8004771,142,150,390,Saarland
8000926,8000926,133,30,1440,Saarland
8000926,8003991,138,60,810,Saarland
8000926,8004004,132,30,1410,Saarland
8000941,8000941,100,60,570,Saarland
8000941,8004312,87,60,1080,Saarland
8000967,8000967,66,30,1140,Saarland
8000967,8002132,108,90,570,Saarland
8000967,8003516,61,0,1110,Saarland
8001027,8000357,178,120,690,Saarland
8001027,8001027,164,120,690,Saarland
8001027,8006581,142,120,480,Saarland
8001110,8000175,121,60,780,Saarland
8001110,8001110,101,60,750,Saarland
8001110,8001799,102,30,1500,Saarland
8001221,8000563,80,0,690,Saarland
8001221,8001221,54,0,720,Saarland
8001221,8001812,36,0,300,Saarland
8001302,8001302,92,30,750,Saarland
8001302,8003796,47,30,180,Saarland
8001302,8005243,132,45,750,Saarland
8001470,8001470,42,0,780,Saarland
8001470,8001812,69,0,780,Saarland
8001470,8006627,18,0,240,Saarland
8001570,8001570,53,30,1080,Saarland
8001570,8003108,33,0,540,Saarland
8001570,8005796,76,30,1110,Saarland
8001799,8001110,112,60,750,Saarland
8001799,8001799,114,30,1530,Saarland
8001799,8005247,122,60,1560,Saarland
8001812,8001221,47,0,720,Saarland
8001812,8001470,16,0,210,Saarland
8001812,8001812,41,0,750,Saarland
8001990,8001990,41,30,600,Saarland
8001990,8004909,66,60,600,Saarland
8002083,8000840,112,30,840,Saarland
8002083,8002083,124,30,1500,Saarland
8002083,8003992,129,60,1500,Saarland
8002117,8002117,54,30,1140,Saarland
8002117,8002132,80,60,1110,Saarland
8002117,8005797,30,0,540,Saarland
8002132,8000967,60,0,1140,Saarland
8002132,8002117,53,0,600,Saarland
8002132,8002132,77,60,1110,Saarland
8002238,8000378,139,60,660,Saarland
8002238,8002238,109,30,1170,Saarland
8002238,8003059,126,30,1140,Saarland
8002238,8003980,31,30,120,Saarland
8002625,8000319,150,90,510,Saarland
8002625,8002625,169,120,810,Saarland
8002625,8006581,178,120,780,Saarland
8002746,8002746,22,30,60,Saarland
8002746,8004344,37,30,60,Saarland
8002746,8005562,35,60,120,Saarland
8002929,8000792,32,30,180,Saarland
8002929,8002929,34,0,480,Saarland
8002929,8004199,36,0,450,Saarland
8003059,8002238,98,60,660,Saarland
8003059,8003059,73,60,780,Saarland
8003059,8006627,69,0,780,Saarland
8003108,8001570,42,0,1050,Saarland
8003108,8003108,63,30,1020,Saarland
