from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000075,8000075,100,111,368,120,4890,Saarland
8000075,8000840,33,38,336,150,2940,Saarland
8000075,8003992,16,18,253,105,1410,Saarland
8000075,8005247,50,56,417,120,4860,Saarland
8000075,8005562,2,19,5,0,60,Saarland
8000154,8000154,65,70,558,330,3120,Saarland
8000154,8004253,17,18,620,450,2340,Saarland
8000154,8005659,16,17,1198,960,3150,Saarland
8000154,8006170,20,26,196,60,1980,Saarland
8000154,8079083,16,17,335,240,960,Saarland
8000175,8000175,96,113,358,150,4830,Saarland
8000175,8001110,32,39,304,120,2940,Saarland
8000175,8001302,1,1,120,120,120,Saarland
8000175,8003796,31,37,485,180,4830,Saarland
8000175,8005247,17,18,235,105,1290,Saarland
8000175,8005649,14,14,339,135,2070,Saarland
8000272,8000272,153,166,374,180,3840,Saarland
8000272,8000875,17,18,600,465,2400,Saarland
8000272,8003516,28,41,152,60,1380,Saarland
8000272,8004312,22,42,70,30,480,Saarland
8000272,8005346,25,27,198,150,510,Saarland
8000272,8006392,37,37,422,240,3840,Saarland
8000319,8000319,74,82,349,120,4530,Saarland
8000319,8002625,16,19,185,120,600,Saarland
8000319,8003294,19,22,460,60,4500,Saarland
8000319,8005649,32,41,345,180,1920,Saarland
8000357,8000357,33,36,464,405,2520,Saarland
8000357,8000371,17,19,434,420,1230,Saarland
8000357,8001027,17,17,517,420,2490,Saarland
8000371,8000357,17,17,521,420,2520,Saarland
8000371,8000371,34,36,475,435,2520,Saarland
8000371,8006680,16,19,466,510,1200,Saarland
8000378,8000378,51,54,218,165,570,Saarland
8000378,8002238,22,22,252,270,570,Saarland
8000378,8003980,3,5,186,60,450,Saarland
8000378,8005346,26,27,206,120,570,Saarland
8000563,8000563,31,42,100,60,360,Saarland
8000563,8001221,16,21,67,60,180,Saarland
8000563,8007868,17,21,177,120,420,Saarland
8000792,8000792,30,45,280,120,2940,Saarland
8000792,8002929,17,20,399,225,2910,Saarland
8000792,8005659,12,25,212,0,1890,Saarland
8000840,8000075,35,38,471,120,4920,Saarland
8000840,8000840,66,76,393,120,4890,Saarland
8000840,8002083,30,37,323,120,2940,Saarland
8000840,8003992,1,1,390,390,390,Saarland
8000875,8000272,17,20,1078,810,3240,Saarland
8000875,8000875,102,115,446,210,3810,Saarland
8000875,8004392,36,37,394,240,3810,Saarland
8000875,8005659,17,18,610,450,2400,Saarland
8000875,8006392,25,40,138,60,1500,Saarland
8000923,8000923,30,36,406,75,4500,Saarland
8000923,8004236,15,18,183,60,2130,Saarland
8000923,8004771,17,18,632,300,4500,Saarland
8000926,8000926,39,43,525,120,4830,Saarland
8000926,8003991,19,21,713,120,4890,Saarland
8000926,8004004,20,22,365,135,2970,Saarland
8000941,8000941,74,82,103,60,510,Saarland
8000941,8004312,33,40,63,60,360,Saarland
8000967,8000967,74,76,308,180,3780,Saarland
8000967,8002132,38,39,255,210,840,Saarland
8000967,8003516,36,37,401,240,3780,Saarland
8001027,8000357,16,19,412,390,1200,Saarland
8001027,8001027,33,36,464,405,2490,Saarland
8001027,8006581,17,17,531,420,2520,Saarland
8001110,8000175,30,39,454,120,4800,Saarland
8001110,8001110,62,78,375,120,4800,Saarland
8001110,8001799,28,38,302,120,2910,Saarland
8001110,8005247,1,1,240,240,240,Saarland
8001221,8000563,16,21,149,90,330,Saarland
8001221,8001221,34,42,111,90,360,Saarland
8001221,8001812,16,21,74,60,180,Saarland
8001302,8001302,61,76,389,120,4770,Saarland
8001302,8003796,30,38,299,105,2910,Saarland
8001302,8005243,31,38,486,150,4770,Saarland
8001470,8001470,38,42,131,90,420,Saarland
8001470,8001812,19,21,194,180,420,Saarland
8001470,8006627,20,21,99,60,240,Saarland
8001570,8001570,73,76,276,165,2070,Saarland
8001570,8003108,36,39,324,180,1800,Saarland
8001570,8005796,35,36,264,60,3600,Saarland
8001799,8001110,29,38,444,120,4800,Saarland
8001799,8001799,62,76,378,120,4830,Saarland
8001799,8005247,32,38,318,135,2940,Saarland
8001812,8001221,14,21,127,120,360,Saarland
8001812,8001470,14,21,54,30,210,Saarland
8001812,8001812,34,42,113,90,360,Saarland
8001990,8001990,44,52,128,60,690,Saarland
8001990,8004909,24,26,118,60,630,Saarland
8002083,8000840,28,37,452,120,4860,Saarland
8002083,8002083,61,74,390,120,4860,Saarland
8002083,8003992,30,37,315,120,2940,Saarland
8002117,8002117,61,76,234,120,3660,Saarland
8002117,8002132,27,37,295,150,3600,Saarland
8002117,8005797,37,39,235,180,930,Saarland
8002132,8000967,29,37,317,180,3660,Saarland
8002132,8002117,37,39,227,180,810,Saarland
8002132,8002132,64,76,271,180,3540,Saarland
8002238,8000378,22,22,166,150,420,Saarland
8002238,8002238,81,86,158,120,540,Saarland
8002238,8003059,39,43,209,210,510,Saarland
8002238,8003980,20,21,114,120,330,Saarland
8002625,8000319,17,17,570,450,2490,Saarland
8002625,8002625,34,36,373,270,2520,Saarland
8002625,8006581,17,19,202,150,630,Saarland
8002746,8002746,1,38,1,0,30,Saarland
8002746,8004344,1,19,2,0,30,Saarland
8002746,8005562,0,19,0,0,0,Saarland
8002929,8000792,14,25,202,60,1920,Saarland
8002929,8002929,31,45,295,150,2880,Saarland
8002929,8004199,18,20,410,240,2880,Saarland
8003059,8002238,27,43,80,60,360,Saarland
8003059,8003059,36,42,122,90,420,Saarland
8003059,8006627,15,21,166,180,420,Saarland
8003108,8001570,27,36,149,60,1350,Saarland
8003108,8003108,72,75,259,150,1800,Saarland
8003294,8000319,21,24,218,90,1860,Saarland
8003294,8003294,67,77,301,60,4500,Saarland
8003294,8003684,35,38,392,75,4500,Saarland
8003294,8005649,13,15,272,210,1050,Saarland
8003516,8000272,36,37,419,240,3810,Saarland
8003516,8000967,39,39,236,120,1380,Saarland
8003516,8003516,77,78,290,180,3780,Saarland
8003516,8005796,2,2,255,255,360,Saarland
8003684,8001200,13,17,279,90,2850,Saarland
8003684,8003294,31,39,215,60,1830,Saarland
8003684,8003684,59,77,293,60,4470,Saarland
8003796,8000175,29,38,295,105,2910,Saarland
8003796,8001302,30,37,491,150,4770,Saarland
8003796,8003796,62,75,394,150,4800,Saarland
8003980,8000378,4,5,174,120,540,Saarland
8003980,8002238,17,21,183,150,480,Saarland
8003980,8003980,44,52,133,120,510,Saarland
8003980,8004909,20,26,118,90,390,Saarland
8003991,8000926,20,22,363,120,2940,Saarland
8003991,8003991,37,43,539,120,4890,Saarland
8003991,8003992,17,21,696,120,4860,Saarland
8003992,8000075,17,17,416,210,2400,Saarland
8003992,8000840,0,1,0,0,0,Saarland
8003992,8002083,28,37,441,90,4860,Saarland
8003992,8003991,19,22,376,135,3000,Saarland
8003992,8003992,72,78,447,135,4860,Saarland
8003992,8004004,18,18,292,135,1530,Saarland
8004004,8000926,14,21,661,60,4800,Saarland
8004004,8003992,18,18,353,180,2340,Saarland
8004004,8004004,70,79,414,120,4800,Saarland
8004004,8005245,16,18,280,105,1590,Saarland
8004004,8005246,21,22,350,90,2910,Saarland
8004199,8002929,18,25,203,30,1950,Saarland
8004199,8004199,34,45,303,120,2880,Saarland
8004199,8006170,18,20,406,240,2880,Saarland
8004236,8000923,17,18,628,285,4500,Saarland
8004236,8004236,31,36,399,60,4500,Saarland
8004236,8004748,13,18,155,30,2100,Saarland
8004253,8000154,17,18,1133,885,3090,Saarland
8004253,8002995,3,3,230,90,510,Saarland
8004253,8003040,17,18,590,435,2280,Saarland
8004253,8004253,34,37,843,510,3030,Saarland
8004253,8079083,11,18,88,30,450,Saarland
8004312,8000272,36,40,100,90,330,Saarland
8004312,8000941,37,42,114,60,480,Saarland
8004312,8004312,71,82,85,60,480,Saarland
8004344,8002746,0,19,0,0,0,Saarland
8004392,8000875,32,41,143,60,1560,Saarland
8004392,8004392,76,78,275,135,3840,Saarland
8004392,8004555,37,37,419,270,3840,Saarland
8004555,8004392,38,40,158,60,1530,Saarland
8004555,8004555,70,77,263,120,3840,Saarland
8004555,8005659,36,37,378,210,3780,Saarland
8004771,8000923,10,18,152,30,2160,Saarland
8004909,8001990,22,26,138,105,450,Saarland
8004909,8003980,13,26,88,30,540,Saarland
8004909,8004909,44,52,117,60,570,Saarland
8005044,8005044,62,73,301,60,4650,Saarland
8005044,8005332,32,38,291,120,1920,Saarland
8005044,8005649,25,35,303,60,4680,Saarland
8005241,8000175,2,2,315,315,570,Saarland
8005241,8005241,65,82,327,90,4680,Saarland
8005241,8005243,19,22,169,90,930,Saarland
8005241,8005306,19,23,432,60,4650,Saarland
8005241,8005332,2,3,1010,60,2970,Saarland
8005241,8005649,11,14,86,30,360,Saarland
8005243,8001302,30,38,293,105,2820,Saarland
8005243,8005241,16,20,627,90,4740,Saarland
8005243,8005243,62,76,388,120,4770,Saarland
8005243,8005332,8,10,123,120,300,Saarland
8005246,8004004,17,21,686,120,4800,Saarland
8005246,8005246,35,42,515,90,4770,Saarland
8005246,8005812,19,21,411,120,2940,Saarland
8005247,8000075,47,57,298,150,2910,Saarland
8005247,8000175,16,17,348,210,2220,Saarland
8005247,8001110,1,1,120,120,120,Saarland
8005247,8001799,32,38,458,120,4860,Saarland
8005247,8005247,95,113,353,120,4860,Saarland
8005306,8005241,18,23,226,90,1980,Saarland
8005306,8005306,38,50,374,75,4650,Saarland
8005306,8005332,17,23,436,60,4680,Saarland
8005306,8005649,0,1,0,0,0,Saarland
8005332,8005044,29,35,305,60,4650,Saarland
8005332,8005241,5,5,162,60,570,Saarland
8005332,8005243,8,8,454,225,1740,Saarland
8005332,8005306,16,23,235,120,1950,Saarland
8005332,8005332,63,79,327,90,4680,Saarland
8005332,8005649,4,4,945,390,2940,Saarland
8005346,8000272,26,27,226,210,660,Saarland
8005346,8000378,25,27,238,240,570,Saarland
8005346,8005346,51,54,222,180,630,Saarland
8005562,8000075,7,19,19,0,90,Saarland
8005562,8002746,1,19,2,0,30,Saarland
8005562,8005562,9,38,9,0,60,Saarland
8005649,8000175,12,13,316,150,1410,Saarland
8005649,8000319,37,41,347,90,4620,Saarland
8005649,8002875,1,1,240,240,240,Saarland
8005649,8003294,15,16,268,60,2940,Saarland
8005649,8003759,9,9,347,150,1650,Saarland
8005649,8005044,33,38,298,120,1920,Saarland
8005649,8005241,13,14,416,405,780,Saarland
8005649,8005306,3,3,1210,1140,1860,Saarland
8005649,8005332,2,2,360,360,570,Saarland
8005649,8005649,123,143,322,90,4680,Saarland
