from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000023,8000023,173,30,1320,Schleswig-Holstein
8000023,8000446,316,120,1680,Schleswig-Holstein
8000023,8003478,142,60,870,Schleswig-Holstein
8000023,8005019,215,60,1080,Schleswig-Holstein
8000092,8000092,202,90,1800,Schleswig-Holstein
8000092,8001718,266,180,630,Schleswig-Holstein
8000092,8002293,175,120,810,Schleswig-Holstein
8000092,8003798,32,0,180,Schleswig-Holstein
8000092,8004466,232,150,540,Schleswig-Holstein
8000092,8004819,225,90,1590,Schleswig-Holstein
8000092,8006572,216,90,1260,Schleswig-Holstein
8000334,8000334,108,75,600,Schleswig-Holstein
8000334,8004741,138,105,960,Schleswig-Holstein
8000334,8005825,174,120,600,Schleswig-Holstein
8000416,8000416,77,30,420,Schleswig-Holstein
8000416,8001977,74,30,390,Schleswig-Holstein
8000416,8003960,60,15,420,Schleswig-Holstein
8000446,8000023,236,60,1080,Schleswig-Holstein
8000446,8000446,281,60,3780,Schleswig-Holstein
8000446,8000480,226,30,1740,Schleswig-Holstein
8000446,8002558,330,60,3540,Schleswig-Holstein
8000480,8000446,313,30,3810,Schleswig-Holstein
8000480,8000480,242,30,2040,Schleswig-Holstein
8000480,8000804,242,60,1740,Schleswig-Holstein
8000749,8000749,52,60,150,Schleswig-Holstein
8000749,8005874,40,0,120,Schleswig-Holstein
8000754,8000754,0,0,0,Schleswig-Holstein
8000754,8000755,0,0,0,Schleswig-Holstein
8000754,8005826,0,0,0,Schleswig-Holstein
8000755,8000754,0,0,0,Schleswig-Holstein
8000804,8000480,212,30,2010,Schleswig-Holstein
8000804,8000804,186,60,1740,Schleswig-Holstein
8000804,8003478,190,60,1740,Schleswig-Holstein
8001092,8001092,170,60,1740,Schleswig-Holstein
8001092,8001190,84,60,420,Schleswig-Holstein
8001092,8001718,161,120,1710,Schleswig-Holstein
8001092,8002011,193,105,660,Schleswig-Holstein
8001136,8001136,110,60,510,Schleswig-Holstein
8001136,8001977,158,120,540,Schleswig-Holstein
8001136,8005435,82,60,300,Schleswig-Holstein
8001139,8001139,75,60,630,Schleswig-Holstein
8001139,8002115,63,45,150,Schleswig-Holstein
8001139,8003544,94,60,630,Schleswig-Holstein
8001190,8001092,256,90,1170,Schleswig-Holstein
8001190,8001190,165,60,1230,Schleswig-Holstein
8001190,8001718,114,30,510,Schleswig-Holstein
8001190,8006572,96,60,570,Schleswig-Holstein
8001273,8001273,135,120,510,Schleswig-Holstein
8001273,8005655,134,120,270,Schleswig-Holstein
8001273,8006460,120,90,510,Schleswig-Holstein
8001654,8001654,28,0,300,Schleswig-Holstein
8001654,8002266,20,0,150,Schleswig-Holstein
8001654,8005095,28,0,270,Schleswig-Holstein
8001718,8000092,262,150,1620,Schleswig-Holstein
8001718,8001092,208,120,660,Schleswig-Holstein
8001718,8001190,70,60,120,Schleswig-Holstein
8001718,8001718,200,120,1680,Schleswig-Holstein
8001718,8006572,112,135,150,Schleswig-Holstein
8001977,8000416,76,30,420,Schleswig-Holstein
8001977,8001136,93,60,300,Schleswig-Holstein
8001977,8001977,83,60,480,Schleswig-Holstein
8001977,8004741,95,60,390,Schleswig-Holstein
8002011,8001092,170,60,1770,Schleswig-Holstein
8002011,8002011,193,90,1800,Schleswig-Holstein
8002115,8001139,99,30,690,Schleswig-Holstein
8002115,8002115,86,60,750,Schleswig-Holstein
8002115,8003798,84,60,450,Schleswig-Holstein
8002115,8003954,60,60,60,Schleswig-Holstein
8002185,8002185,0,0,0,Schleswig-Holstein
8002185,8003207,0,0,0,Schleswig-Holstein
8002185,8005288,0,0,0,Schleswig-Holstein
8002266,8001654,50,30,300,Schleswig-Holstein
8002266,8002266,39,0,300,Schleswig-Holstein
8002266,8005781,71,30,330,Schleswig-Holstein
8002293,8000092,45,45,90,Schleswig-Holstein
8002293,8002293,173,120,840,Schleswig-Holstein
8002293,8003798,330,120,780,Schleswig-Holstein
8002293,8006460,105,105,150,Schleswig-Holstein
8002504,8002504,0,0,0,Schleswig-Holstein
8002504,8005321,0,0,0,Schleswig-Holstein
8002504,8005561,2,0,30,Schleswig-Holstein
8002592,8002592,10,0,120,Schleswig-Holstein
8002592,8005885,5,0,90,Schleswig-Holstein
8002592,8006527,20,0,120,Schleswig-Holstein
8003032,8003032,30,0,150,Schleswig-Holstein
8003032,8005586,60,60,240,Schleswig-Holstein
8003207,8002185,0,0,0,Schleswig-Holstein
8003207,8003207,0,0,0,Schleswig-Holstein
8003207,8003208,0,0,0,Schleswig-Holstein
8003208,8003207,0,0,0,Schleswig-Holstein
8003208,8003208,0,0,0,Schleswig-Holstein
8003208,8005885,0,0,0,Schleswig-Holstein
8003253,8003253,62,30,480,Schleswig-Holstein
8003253,8003474,65,15,510,Schleswig-Holstein
8003253,8003960,61,30,450,Schleswig-Holstein
8003474,8003253,60,30,450,Schleswig-Holstein
8003474,8003474,65,45,480,Schleswig-Holstein
8003474,8003479,66,30,330,Schleswig-Holstein
8003474,8005781,0,0,0,Schleswig-Holstein
8003478,8000023,207,90,1650,Schleswig-Holstein
8003478,8000804,150,45,840,Schleswig-Holstein
8003478,8003478,178,60,1740,Schleswig-Holstein
8003479,8003474,102,60,330,Schleswig-Holstein
8003479,8003479,66,30,360,Schleswig-Holstein
8003479,8005781,20,0,240,Schleswig-Holstein
8003544,8001139,67,90,180,Schleswig-Holstein
8003544,8003544,82,60,630,Schleswig-Holstein
8003544,8004093,88,60,570,Schleswig-Holstein
8003774,8003774,104,90,420,Schleswig-Holstein
8003774,8011864,51,30,210,Schleswig-Holstein
8003776,8003776,7,0,180,Schleswig-Holstein
8003776,8003786,8,0,60,Schleswig-Holstein
8003776,8006704,7,0,150,Schleswig-Holstein
8003777,8003777,17,0,150,Schleswig-Holstein
8003777,8003778,14,0,180,Schleswig-Holstein
8003777,8006704,27,30,120,Schleswig-Holstein
8003778,8003777,21,30,60,Schleswig-Holstein
8003786,8003776,10,0,180,Schleswig-Holstein
8003786,8003786,16,0,180,Schleswig-Holstein
8003798,8000092,150,120,900,Schleswig-Holstein
8003798,8002115,91,30,750,Schleswig-Holstein
8003798,8003798,100,30,750,Schleswig-Holstein
8003798,8003954,190,210,360,Schleswig-Holstein
8003954,8002293,60,60,60,Schleswig-Holstein
8003954,8003798,7,15,30,Schleswig-Holstein
8003954,8003954,96,60,390,Schleswig-Holstein
8003954,8005655,102,60,420,Schleswig-Holstein
8003960,8000416,48,0,420,Schleswig-Holstein
8003960,8003253,63,30,420,Schleswig-Holstein
8003960,8003960,64,30,450,Schleswig-Holstein
8004093,8001139,210,210,210,Schleswig-Holstein
8004093,8003544,197,240,300,Schleswig-Holstein
8004093,8004093,154,135,510,Schleswig-Holstein
8004177,8004177,115,30,1230,Schleswig-Holstein
8004177,8005468,134,30,960,Schleswig-Holstein
8004177,8012933,192,60,1260,Schleswig-Holstein
8004327,8005561,0,0,0,Schleswig-Holstein
8004466,8000092,392,270,1710,Schleswig-Holstein
8004466,8004466,268,150,1800,Schleswig-Holstein
8004466,8004741,228,150,690,Schleswig-Holstein
8004741,8000334,146,90,690,Schleswig-Holstein
8004741,8001977,102,90,360,Schleswig-Holstein
8004741,8004466,278,165,1770,Schleswig-Holstein
8004741,8004741,171,120,1740,Schleswig-Holstein
8004741,8005435,120,120,120,Schleswig-Holstein
8004819,8000092,107,45,510,Schleswig-Holstein
8004819,8004819,173,60,1590,Schleswig-Holstein
8004819,8005858,-5,-30,330,Schleswig-Holstein
8005019,8000023,147,45,1320,Schleswig-Holstein
8005019,8005019,190,60,1320,Schleswig-Holstein
8005095,8001654,4,0,60,Schleswig-Holstein
8005095,8005095,15,0,270,Schleswig-Holstein
8005288,8002185,0,0,0,Schleswig-Holstein
8005288,8005288,0,0,0,Schleswig-Holstein
8005288,8005826,0,0,0,Schleswig-Holstein
8005321,8002504,2,0,30,Schleswig-Holstein
8005321,8005321,10,0,120,Schleswig-Holstein
8005321,8005874,23,30,60,Schleswig-Holstein
8005435,8001136,123,120,480,Schleswig-Holstein
8005435,8004741,45,45,60,Schleswig-Holstein
8005435,8005435,111,90,480,Schleswig-Holstein
8005468,8004177,72,0,990,Schleswig-Holstein
8005468,8005468,98,30,960,Schleswig-Holstein
8005561,8002504,0,0,0,Schleswig-Holstein
8005561,8004327,-47,-30,0,Schleswig-Holstein
8005561,8005561,1,0,30,Schleswig-Holstein
8005586,8003032,33,0,180,Schleswig-Holstein
8005586,8005586,57,30,270,Schleswig-Holstein
8005586,8005782,80,60,300,Schleswig-Holstein
8005655,8001273,150,120,540,Schleswig-Holstein
8005655,8003954,116,120,240,Schleswig-Holstein
8005655,8005655,135,120,540,Schleswig-Holstein
8005781,8002266,42,30,210,Schleswig-Holstein
8005781,8003479,78,60,360,Schleswig-Holstein
8005781,8005781,63,30,360,Schleswig-Holstein
8005782,8005586,50,30,210,Schleswig-Holstein
8005782,8005782,42,30,180,Schleswig-Holstein
8005825,8000334,164,150,480,Schleswig-Holstein
8005825,8005825,148,120,600,Schleswig-Holstein
8005826,8000754,0,0,0,Schleswig-Holstein
8005826,8005288,0,0,0,Schleswig-Holstein
8005826,8005826,0,0,0,Schleswig-Holstein
8005874,8000749,49,60,120,Schleswig-Holstein
8005874,8005321,41,30,180,Schleswig-Holstein
8005874,8005874,43,60,150,Schleswig-Holstein
8005885,8002592,13,0,60,Schleswig-Holstein
8005885,8003208,0,0,0,Schleswig-Holstein
8005885,8005885,4,0,30,Schleswig-Holstein
8006460,8000092,75,75,120,Schleswig-Holstein
8006460,8001273,153,120,300,Schleswig-Holstein
8006460,8002293,0,0,0,Schleswig-Holstein
8006460,8006460,133,120,390,Schleswig-Holstein
8006527,8002592,25,30,150,Schleswig-Holstein
8006527,8006527,23,0,180,Schleswig-Holstein
8006572,8000092,134,90,600,Schleswig-Holstein
8006572,8001190,251,90,1260,Schleswig-Holstein
8006572,8001718,90,90,120,Schleswig-Holstein
8006572,8006572,179,90,1260,Schleswig-Holstein
8006704,8003776,7,0,60,Schleswig-Holstein
8006704,8003777,7,0,150,Schleswig-Holstein
8006704,8006704,17,0,150,Schleswig-Holstein
