from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000023,8000023,6,24,119,0,1230,Schleswig-Holstein
8000023,8000446,3,4,338,45,1260,Schleswig-Holstein
8000023,8003478,5,6,40,30,90,Schleswig-Holstein
8000023,8005019,5,13,113,0,1200,Schleswig-Holstein
8000092,8000092,29,40,400,90,2970,Schleswig-Holstein
8000092,8001718,5,5,312,390,690,Schleswig-Holstein
8000092,8002293,4,5,294,150,840,Schleswig-Holstein
8000092,8004466,4,5,462,90,1560,Schleswig-Holstein
8000092,8004819,7,9,280,120,1740,Schleswig-Holstein
8000092,8006572,6,7,844,180,3210,Schleswig-Holstein
8000334,8000334,22,24,916,630,3630,Schleswig-Holstein
8000334,8004741,9,10,417,255,1350,Schleswig-Holstein
8000334,8005825,7,7,1470,720,3600,Schleswig-Holstein
8000416,8000416,3,6,130,15,720,Schleswig-Holstein
8000416,8001977,1,3,10,0,30,Schleswig-Holstein
8000416,8003960,1,3,230,0,690,Schleswig-Holstein
8000446,8000023,1,5,228,0,1140,Schleswig-Holstein
8000446,8000446,16,34,101,0,1290,Schleswig-Holstein
8000446,8000480,8,13,58,30,330,Schleswig-Holstein
8000446,8002558,3,11,14,0,60,Schleswig-Holstein
8000480,8000446,5,12,25,0,90,Schleswig-Holstein
8000480,8000480,10,25,35,0,300,Schleswig-Holstein
8000480,8000804,6,13,58,0,270,Schleswig-Holstein
8000749,8000749,11,13,162,60,1050,Schleswig-Holstein
8000749,8005874,4,5,90,30,240,Schleswig-Holstein
8000754,8000754,2,10,15,0,90,Schleswig-Holstein
8000754,8000755,1,5,24,0,120,Schleswig-Holstein
8000754,8005826,1,5,12,0,60,Schleswig-Holstein
8000755,8000754,1,5,6,0,30,Schleswig-Holstein
8000804,8000480,5,12,18,0,90,Schleswig-Holstein
8000804,8000804,9,13,62,60,180,Schleswig-Holstein
8000804,8003478,4,7,69,90,150,Schleswig-Holstein
8001092,8001092,19,23,745,390,3750,Schleswig-Holstein
8001092,8001190,3,3,860,120,2430,Schleswig-Holstein
8001092,8001718,4,6,315,45,1080,Schleswig-Holstein
8001092,8002011,8,8,990,630,3720,Schleswig-Holstein
8001136,8001136,2,6,150,0,840,Schleswig-Holstein
8001136,8001977,2,3,300,60,840,Schleswig-Holstein
8001136,8005435,0,3,0,0,0,Schleswig-Holstein
8001139,8001139,10,12,402,345,1200,Schleswig-Holstein
8001139,8002115,3,3,450,420,900,Schleswig-Holstein
8001139,8003544,5,5,654,330,1770,Schleswig-Holstein
8001190,8001092,6,6,735,570,1530,Schleswig-Holstein
8001190,8001190,10,13,658,300,2460,Schleswig-Holstein
8001190,8001718,1,1,30,30,30,Schleswig-Holstein
8001190,8006572,4,6,760,195,2460,Schleswig-Holstein
8001273,8001273,9,10,330,60,1170,Schleswig-Holstein
8001273,8005655,5,5,306,90,870,Schleswig-Holstein
8001273,8006460,4,5,348,60,1140,Schleswig-Holstein
8001718,8000092,3,3,330,420,540,Schleswig-Holstein
8001718,8001092,7,8,990,645,3720,Schleswig-Holstein
8001718,8001190,2,3,360,210,870,Schleswig-Holstein
8001718,8001718,12,14,707,285,3720,Schleswig-Holstein
8001977,8000416,2,3,240,30,690,Schleswig-Holstein
8001977,8001136,0,3,0,0,0,Schleswig-Holstein
8001977,8001977,5,10,171,15,750,Schleswig-Holstein
8001977,8003474,1,1,570,570,570,Schleswig-Holstein
8001977,8004741,3,3,1070,990,1800,Schleswig-Holstein
8002011,8001092,5,6,335,75,1080,Schleswig-Holstein
8002011,8002011,12,14,722,315,3660,Schleswig-Holstein
8002115,8001139,5,5,396,420,660,Schleswig-Holstein
8002115,8002115,9,10,339,360,780,Schleswig-Holstein
8002115,8003798,4,4,322,240,780,Schleswig-Holstein
8002185,8002185,2,10,15,0,120,Schleswig-Holstein
8002185,8003207,1,5,12,0,60,Schleswig-Holstein
8002185,8005288,1,5,24,0,120,Schleswig-Holstein
8002293,8002293,4,5,360,180,990,Schleswig-Holstein
8002293,8003798,3,3,330,270,660,Schleswig-Holstein
8002293,8006460,2,2,480,480,930,Schleswig-Holstein
8002504,8002504,2,13,14,0,120,Schleswig-Holstein
8002504,8005321,0,7,0,0,0,Schleswig-Holstein
8002504,8005561,2,6,40,0,150,Schleswig-Holstein
8002592,8002592,3,10,54,0,300,Schleswig-Holstein
8002592,8005885,2,4,120,90,300,Schleswig-Holstein
8002592,8006527,1,6,10,0,60,Schleswig-Holstein
8003032,8003032,1,10,117,0,1170,Schleswig-Holstein
8003032,8005586,0,5,0,0,0,Schleswig-Holstein
8003207,8002185,1,5,24,0,120,Schleswig-Holstein
8003207,8003207,2,10,18,0,120,Schleswig-Holstein
8003207,8003208,1,5,12,0,60,Schleswig-Holstein
8003208,8003207,1,5,24,0,120,Schleswig-Holstein
8003208,8003208,2,10,18,0,120,Schleswig-Holstein
8003208,8005885,1,5,6,0,30,Schleswig-Holstein
8003253,8003253,1,6,110,0,660,Schleswig-Holstein
8003253,8003474,1,3,210,0,630,Schleswig-Holstein
8003253,8003960,0,3,0,0,0,Schleswig-Holstein
8003474,8001977,0,3,0,0,0,Schleswig-Holstein
8003474,8003253,0,3,0,0,0,Schleswig-Holstein
