from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000144,8000144,254,150,2430,Schwaben
8000144,8000195,190,180,600,Schwaben
8000144,8000338,283,270,660,Schwaben
8000144,8000768,245,75,2340,Schwaben
8000144,8004927,268,90,2370,Schwaben
8000144,8005444,0,0,0,Schwaben
8000280,8000280,287,210,1170,Schwaben
8000280,8004071,240,105,870,Schwaben
8000280,8004796,191,0,1080,Schwaben
8000338,8000144,408,255,1620,Schwaben
8000338,8000338,251,210,2520,Schwaben
8000338,8004207,90,30,420,Schwaben
8000338,8004927,167,90,720,Schwaben
8000338,8005725,259,120,2640,Schwaben
8000338,8005823,372,360,870,Schwaben
8000387,8000230,244,135,1050,Schwaben
8000387,8000387,196,120,1170,Schwaben
8000387,8002710,107,45,360,Schwaben
8000387,8006200,163,90,750,Schwaben
8000482,8000482,62,15,420,Schwaben
8000482,8002651,32,30,90,Schwaben
8000482,8004401,92,0,420,Schwaben
8000539,8000539,225,150,1590,Schwaben
8000539,8003057,150,150,360,Schwaben
8000539,8003227,279,180,1440,Schwaben
8000561,8000561,180,150,750,Schwaben
8000561,8001004,140,150,270,Schwaben
8000561,8003551,252,180,840,Schwaben
8000658,8000658,341,270,2040,Schwaben
8000658,8000661,365,330,1200,Schwaben
8000658,8000662,359,225,1980,Schwaben
8000659,8000659,320,30,2160,Schwaben
8000659,8000660,22,30,30,Schwaben
8000659,8001033,2190,2190,2190,Schwaben
8000659,8003079,56,30,120,Schwaben
8000660,8000659,441,30,2190,Schwaben
8000660,8000660,326,60,2190,Schwaben
8000661,8000658,218,60,1980,Schwaben
8000661,8000661,271,210,1950,Schwaben
8000661,8003299,328,300,1110,Schwaben
8000662,8000658,332,240,1020,Schwaben
8000662,8000662,219,60,1860,Schwaben
8000662,8002256,228,75,1410,Schwaben
8000662,8003952,80,60,420,Schwaben
8000662,8004318,373,180,1800,Schwaben
8000768,8000144,111,60,810,Schwaben
8000778,8000778,130,60,1440,Schwaben
8000778,8003989,78,60,330,Schwaben
8000778,8004731,30,30,30,Schwaben
8000862,8000862,252,120,1830,Schwaben
8000862,8003057,288,120,1830,Schwaben
8000862,8006094,199,105,1440,Schwaben
8000962,8000195,795,540,2070,Schwaben
8000962,8000962,219,90,2250,Schwaben
8000962,8002458,131,60,1200,Schwaben
8000962,8005444,159,120,450,Schwaben
8000969,8000969,40,0,540,Schwaben
8000969,8002856,20,0,120,Schwaben
8000969,8003457,39,15,390,Schwaben
8001004,8000195,155,135,300,Schwaben
8001004,8000561,229,180,780,Schwaben
8001004,8001004,182,150,720,Schwaben
8001004,8003901,241,180,1230,Schwaben
8001004,8005444,270,270,270,Schwaben
8001033,8000660,90,90,90,Schwaben
8001033,8001033,294,75,2610,Schwaben
8001033,8003079,120,30,300,Schwaben
8001033,8005444,225,60,2220,Schwaben
8001046,8001046,219,150,600,Schwaben
8001046,8005802,180,120,600,Schwaben
8001046,8006670,243,240,540,Schwaben
8001147,8001147,54,0,420,Schwaben
8001147,8003749,95,0,420,Schwaben
8001147,8006279,13,0,60,Schwaben
8001179,8001179,60,15,420,Schwaben
8001179,8003457,73,0,420,Schwaben
8001179,8004401,27,30,90,Schwaben
8001276,8001276,229,150,1500,Schwaben
8001276,8003123,235,165,900,Schwaben
8001276,8004030,226,135,1560,Schwaben
8001439,8001439,280,135,1710,Schwaben
8001439,8002263,334,150,1680,Schwaben
8001439,8006378,193,60,750,Schwaben
8001454,8001454,235,180,1020,Schwaben
8001454,8002378,159,135,390,Schwaben
8001454,8003057,405,405,570,Schwaben
8001454,8003227,90,90,90,Schwaben
8001454,8003230,309,240,1020,Schwaben
