from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000144,8000144,64,68,214,180,1380,Schwaben
8000144,8000195,9,9,120,150,210,Schwaben
8000144,8000338,7,7,240,240,390,Schwaben
8000144,8000768,18,30,147,45,960,Schwaben
8000144,8004927,15,20,240,120,1770,Schwaben
8000144,8005444,2,3,180,120,420,Schwaben
8000280,8000280,22,31,240,30,3210,Schwaben
8000280,8004071,13,17,125,30,960,Schwaben
8000280,8004796,2,17,194,0,3060,Schwaben
8000338,8000144,6,6,340,360,480,Schwaben
8000338,8000338,39,52,181,90,1620,Schwaben
8000338,8004207,2,8,8,0,60,Schwaben
8000338,8004927,16,19,120,60,540,Schwaben
8000338,8005725,16,20,202,60,1560,Schwaben
8000338,8005823,7,7,261,300,390,Schwaben
8000387,8000230,11,20,141,105,1110,Schwaben
8000387,8000387,64,73,226,90,2220,Schwaben
8000387,8002710,17,20,183,90,1050,Schwaben
8000387,8006200,18,18,135,90,630,Schwaben
8000482,8000482,0,16,0,0,0,Schwaben
8000482,8002651,0,8,0,0,0,Schwaben
8000482,8004401,0,8,0,0,0,Schwaben
8000539,8000539,8,8,184,105,600,Schwaben
8000539,8003057,4,4,172,135,330,Schwaben
8000539,8003227,4,4,218,105,630,Schwaben
8000561,8000561,38,43,181,90,1440,Schwaben
8000561,8001004,20,21,104,90,600,Schwaben
8000561,8003551,20,22,266,180,1350,Schwaben
8000658,8000658,67,78,167,90,2010,Schwaben
8000658,8000661,34,40,176,90,690,Schwaben
8000658,8000662,33,34,147,90,1770,Schwaben
8000659,8000659,8,10,207,90,720,Schwaben
8000659,8000660,3,3,370,360,720,Schwaben
8000659,8003079,6,7,137,90,570,Schwaben
8000660,8000659,6,7,159,90,630,Schwaben
8000660,8000660,9,10,219,90,720,Schwaben
8000661,8000658,18,38,99,0,1980,Schwaben
8000661,8000661,48,78,122,30,1950,Schwaben
8000661,8003299,29,40,138,60,660,Schwaben
8000662,8000658,38,38,201,135,660,Schwaben
8000662,8000662,85,116,164,60,1920,Schwaben
8000662,8002256,9,20,120,0,1500,Schwaben
8000662,8003952,16,16,248,195,960,Schwaben
8000662,8004318,19,21,87,90,300,Schwaben
8000768,8000144,26,30,141,60,810,Schwaben
8000778,8000778,21,39,95,30,1230,Schwaben
8000778,8003989,17,20,81,30,450,Schwaben
8000778,8004731,0,1,0,0,0,Schwaben
8000862,8000862,7,7,154,90,600,Schwaben
8000862,8003057,4,4,210,90,600,Schwaben
8000862,8006094,3,3,80,90,120,Schwaben
8000962,8000195,4,4,368,210,960,Schwaben
8000962,8000962,29,38,140,60,900,Schwaben
8000962,8002458,13,19,114,60,870,Schwaben
8000962,8005444,6,6,125,60,390,Schwaben
8000969,8000969,8,20,22,0,60,Schwaben
8000969,8002856,1,10,6,0,60,Schwaben
8000969,8003457,7,10,24,30,60,Schwaben
8001004,8000195,6,6,380,270,1110,Schwaben
8001004,8000561,20,22,221,105,1380,Schwaben
8001004,8001004,50,57,138,90,1320,Schwaben
8001004,8003901,11,11,139,90,720,Schwaben
8001004,8005444,1,1,150,150,150,Schwaben
8001033,8001033,21,26,188,120,720,Schwaben
8001033,8003079,5,5,306,180,720,Schwaben
8001033,8005444,10,13,113,60,540,Schwaben
8001046,8001046,27,36,99,60,480,Schwaben
8001046,8005802,10,18,78,45,450,Schwaben
8001046,8006670,17,18,103,60,450,Schwaben
8001147,8001147,1,16,4,0,60,Schwaben
8001147,8003749,0,8,0,0,0,Schwaben
8001147,8006279,1,8,4,0,30,Schwaben
8001179,8001179,1,16,2,0,30,Schwaben
8001179,8003457,1,8,4,0,30,Schwaben
8001179,8004401,0,8,0,0,0,Schwaben
8001276,8001276,21,41,101,30,750,Schwaben
8001276,8003123,10,19,196,30,930,Schwaben
8001276,8004030,3,22,11,0,90,Schwaben
8001439,8001439,29,39,95,60,660,Schwaben
8001439,8002263,12,21,51,30,210,Schwaben
8001439,8006378,9,18,123,15,660,Schwaben
8001454,8001454,33,37,288,150,2970,Schwaben
8001454,8002378,11,13,152,60,570,Schwaben
8001454,8003057,4,4,98,90,120,Schwaben
8001454,8003227,1,1,60,60,60,Schwaben
8001454,8003230,13,13,547,390,3000,Schwaben
8001454,8003901,5,5,186,210,300,Schwaben
8001468,8001468,21,39,105,30,960,Schwaben
8001468,8002074,10,22,34,0,180,Schwaben
8001468,8003483,11,18,172,30,900,Schwaben
8001614,8001614,26,36,80,30,480,Schwaben
8001614,8005653,13,18,107,75,480,Schwaben
8001614,8005802,14,18,87,60,390,Schwaben
8001628,8001628,17,34,192,30,3480,Schwaben
8001628,8002593,12,17,275,30,3480,Schwaben
8001628,8006533,10,17,132,60,570,Schwaben
8001752,8001752,4,20,8,0,60,Schwaben
8001752,8003038,1,10,3,0,30,Schwaben
8001752,8004256,7,10,30,30,60,Schwaben
8001806,8001806,25,33,75,60,240,Schwaben
8001806,8003692,10,16,71,45,270,Schwaben
8001806,8006218,13,17,78,60,180,Schwaben
8001985,8001985,0,2,-15,-15,0,Schwaben
8001985,8002244,0,1,0,0,0,Schwaben
8001985,8006730,0,1,0,0,0,Schwaben
8002074,8001468,12,19,183,30,930,Schwaben
8002074,8002074,20,41,100,0,930,Schwaben
8002074,8003123,8,22,27,0,120,Schwaben
8002162,8002162,19,40,121,0,1440,Schwaben
8002162,8002256,11,20,112,30,390,Schwaben
8002162,8003560,14,20,140,30,1440,Schwaben
8002244,8001985,1,1,30,30,30,Schwaben
8002244,8002244,3,4,172,60,570,Schwaben
8002244,8005532,2,3,200,30,570,Schwaben
8002256,8000662,10,20,99,15,330,Schwaben
8002256,8002162,13,20,128,30,1470,Schwaben
8002256,8002256,24,40,118,30,1500,Schwaben
8002263,8001439,13,18,135,60,660,Schwaben
8002263,8002263,25,39,91,60,750,Schwaben
8002263,8003483,10,21,39,0,240,Schwaben
8002378,8001454,13,13,526,360,2940,Schwaben
8002378,8002378,23,26,346,210,2940,Schwaben
8002378,8003057,9,10,174,75,540,Schwaben
8002378,8003227,3,3,140,150,210,Schwaben
8002458,8000195,0,2,0,0,0,Schwaben
8002458,8000962,10,16,133,60,870,Schwaben
8002458,8001004,1,1,150,150,150,Schwaben
8002458,8002458,34,43,167,60,930,Schwaben
8002458,8003901,6,6,420,210,990,Schwaben
8002458,8004584,1,1,60,60,60,Schwaben
8002458,8005444,2,2,690,690,810,Schwaben
8002593,8001628,9,17,78,30,540,Schwaben
8002593,8002593,14,34,161,0,3480,Schwaben
