from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000016,8000016,49,30,270,Stuttgart
8000016,8001296,20,0,180,Stuttgart
8000016,8003913,33,30,180,Stuttgart
8000016,8004681,90,60,180,Stuttgart
8000016,8006479,30,0,90,Stuttgart
8000017,8000017,65,30,960,Stuttgart
8000017,8000264,50,30,150,Stuttgart
8000017,8000704,62,0,960,Stuttgart
8000017,8000706,77,30,270,Stuttgart
8000017,8000765,48,45,180,Stuttgart
8000017,8004050,118,0,630,Stuttgart
8000017,8004220,77,30,420,Stuttgart
8000017,8004643,12,0,120,Stuttgart
8000017,8005989,240,240,240,Stuttgart
8000038,8000038,85,0,660,Stuttgart
8000038,8000157,90,0,690,Stuttgart
8000038,8000925,285,300,540,Stuttgart
8000038,8005820,2,0,60,Stuttgart
8000038,8006440,60,60,60,Stuttgart
8000157,8000038,39,0,300,Stuttgart
8000157,8000157,81,0,720,Stuttgart
8000157,8002699,20,30,30,Stuttgart
8000157,8004220,94,0,720,Stuttgart
8000157,8004458,0,0,0,Stuttgart
8000157,8005453,-6,0,60,Stuttgart
8000157,8006289,365,60,1680,Stuttgart
8000180,8000180,33,0,390,Stuttgart
8000180,8001974,22,0,300,Stuttgart
8000180,8004333,12,0,180,Stuttgart
8000180,8005157,36,0,180,Stuttgart
8000180,8005769,40,0,180,Stuttgart
8000180,8006479,106,60,360,Stuttgart
8000221,8000221,33,0,480,Stuttgart
8000221,8000295,30,0,180,Stuttgart
8000221,8001111,30,30,30,Stuttgart
8000221,8001472,75,75,150,Stuttgart
8000221,8002243,41,30,120,Stuttgart
8000221,8003381,60,30,150,Stuttgart
8000221,8005827,45,45,90,Stuttgart
8000231,8000231,18,0,480,Stuttgart
8000231,8005011,71,0,480,Stuttgart
8000231,8006354,3,0,30,Stuttgart
8000330,8002168,57,60,210,Stuttgart
8000330,8005449,418,60,1320,Stuttgart
8000373,8000373,101,90,300,Stuttgart
8000373,8002228,161,150,270,Stuttgart
8000373,8005077,21,30,60,Stuttgart
8000373,8005805,153,150,300,Stuttgart
8000373,8071001,77,60,450,Stuttgart
8000373,8079077,47,60,240,Stuttgart
8000380,8000380,1379,1065,4740,Stuttgart
8000380,8006217,1334,1110,4740,Stuttgart
8000380,8006376,1485,1020,4500,Stuttgart
8000655,8000655,1417,990,4800,Stuttgart
8000655,8001090,1484,1050,4590,Stuttgart
8000655,8003569,1337,1050,4800,Stuttgart
8000681,8000681,68,30,360,Stuttgart
8000681,8000736,90,45,360,Stuttgart
8000681,8002380,72,60,240,Stuttgart
8000704,8000017,14,0,180,Stuttgart
8000704,8000704,40,0,930,Stuttgart
8000704,8004238,52,30,900,Stuttgart
8000724,8000724,52,30,150,Stuttgart
8000724,8001660,30,0,90,Stuttgart
8000724,8003045,96,120,180,Stuttgart
8000724,8003381,35,30,90,Stuttgart
8000736,8000681,57,30,210,Stuttgart
8000736,8000736,93,60,360,Stuttgart
8000736,8000765,223,270,360,Stuttgart
8000736,8000777,73,60,300,Stuttgart
8000736,8070097,81,60,120,Stuttgart
8000765,8000017,213,240,480,Stuttgart
8000765,8000706,52,30,270,Stuttgart
8000765,8000736,72,60,120,Stuttgart
8000765,8000765,80,30,450,Stuttgart
8000765,8000766,67,0,300,Stuttgart
8000766,8000736,150,150,150,Stuttgart
8000766,8000765,63,30,240,Stuttgart
8000766,8000766,35,0,150,Stuttgart
8000766,8000777,2,0,90,Stuttgart
8000925,8000038,15,15,30,Stuttgart
8000925,8000925,195,150,540,Stuttgart
8000925,8006171,277,285,540,Stuttgart
8001090,8000655,1332,1020,4800,Stuttgart
8001090,8001090,1255,1140,4680,Stuttgart
8001090,8005908,1339,1260,4620,Stuttgart
8001111,8001111,315,315,570,Stuttgart
8001111,8001933,90,90,90,Stuttgart
8001111,8003381,570,570,570,Stuttgart
8001178,8001005,55,0,360,Stuttgart
8001178,8001178,53,30,360,Stuttgart
8001178,8005329,93,30,690,Stuttgart
8001193,8001193,106,75,570,Stuttgart
8001193,8002177,112,60,540,Stuttgart
8001193,8005011,86,60,270,Stuttgart
8001205,8001205,156,75,1140,Stuttgart
8001205,8004740,128,30,1140,Stuttgart
8001205,8005998,169,105,1020,Stuttgart
8001428,8001428,153,90,1230,Stuttgart
8001428,8003283,175,105,1230,Stuttgart
8001428,8004740,141,75,990,Stuttgart
8001472,8000221,60,60,60,Stuttgart
8001472,8001472,90,60,180,Stuttgart
8001472,8001474,105,105,150,Stuttgart
8001474,8001472,45,45,60,Stuttgart
8001474,8001474,60,60,120,Stuttgart
8001474,8005827,45,45,90,Stuttgart
8001660,8000724,10,0,30,Stuttgart
8001660,8001660,50,60,120,Stuttgart
8001660,8003381,80,60,120,Stuttgart
8001754,8001754,35,0,120,Stuttgart
8001754,8003873,30,0,120,Stuttgart
8001754,8006269,36,30,120,Stuttgart
8001933,8001111,570,570,570,Stuttgart
8001933,8001933,270,270,450,Stuttgart
8001933,8005168,60,60,60,Stuttgart
8001982,8001982,60,30,240,Stuttgart
8001982,8002026,50,45,120,Stuttgart
8001982,8002168,48,30,120,Stuttgart
8001982,8004188,270,270,270,Stuttgart
8002026,8001982,36,30,90,Stuttgart
8002026,8002026,46,60,120,Stuttgart
8002026,8004188,35,15,120,Stuttgart
8002165,8001689,27,0,360,Stuttgart
8002165,8002165,38,0,360,Stuttgart
8002165,8004490,47,30,270,Stuttgart
8002168,8000330,51,30,150,Stuttgart
8002168,8001982,85,120,210,Stuttgart
8002168,8002168,72,60,240,Stuttgart
8002168,8004188,202,180,300,Stuttgart
8002177,8001193,78,45,300,Stuttgart
8002177,8002177,78,30,480,Stuttgart
8002177,8004437,108,60,510,Stuttgart
8002195,8002195,53,30,360,Stuttgart
8002195,8003284,56,45,240,Stuttgart
8002195,8006517,30,0,360,Stuttgart
8002218,8001820,570,570,570,Stuttgart
8002218,8002218,74,30,540,Stuttgart
8002218,8003592,85,30,330,Stuttgart
8002228,8000373,56,60,120,Stuttgart
8002228,8002228,87,60,420,Stuttgart
8002228,8005724,98,60,420,Stuttgart
8002228,8071001,77,60,240,Stuttgart
8002243,8000221,52,30,330,Stuttgart
8002243,8002243,43,30,360,Stuttgart
8002243,8002447,33,0,120,Stuttgart
8002272,8002272,72,30,360,Stuttgart
8002272,8002689,81,60,240,Stuttgart
8002272,8003525,64,30,330,Stuttgart
8002380,8000681,84,45,390,Stuttgart
8002380,8002380,79,60,450,Stuttgart
8002380,8005714,66,60,240,Stuttgart
8002380,8070097,90,90,90,Stuttgart
8002447,8002243,49,30,360,Stuttgart
8002447,8002447,50,30,360,Stuttgart
8002447,8006662,43,30,150,Stuttgart
8002448,8000934,23,0,240,Stuttgart
8002448,8002240,69,60,240,Stuttgart
8002448,8002448,52,30,240,Stuttgart
8002470,8002470,55,15,1050,Stuttgart
8002470,8002633,10,0,30,Stuttgart
8002470,8004643,102,30,1020,Stuttgart
8002689,8002272,81,30,390,Stuttgart
8002689,8002689,94,60,420,Stuttgart
8002689,8004549,102,90,210,Stuttgart
8002699,8000157,15,15,30,Stuttgart
8002699,8002699,18,30,30,Stuttgart
