from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000016,8000016,17,20,388,180,1830,Stuttgart
8000016,8003913,65,68,178,90,1110,Stuttgart
8000016,8004681,9,10,399,135,1800,Stuttgart
8000016,8006479,9,10,567,315,3240,Stuttgart
8000017,8000017,144,190,213,90,3960,Stuttgart
8000017,8000264,7,8,244,195,570,Stuttgart
8000017,8000704,38,55,93,60,420,Stuttgart
8000017,8000706,31,35,130,60,360,Stuttgart
8000017,8000765,8,9,333,120,1650,Stuttgart
8000017,8004050,14,16,664,315,3900,Stuttgart
8000017,8004220,24,38,290,75,2550,Stuttgart
8000017,8004238,4,4,98,75,210,Stuttgart
8000017,8004643,13,22,68,30,330,Stuttgart
8000017,8005989,4,5,492,180,1770,Stuttgart
8000038,8000038,37,43,497,210,4080,Stuttgart
8000038,8000157,17,19,595,300,4050,Stuttgart
8000038,8000925,2,2,750,750,1380,Stuttgart
8000038,8005820,24,70,53,0,780,Stuttgart
8000038,8006440,1,1,210,210,210,Stuttgart
8000157,8000038,13,18,288,30,1710,Stuttgart
8000157,8000157,28,40,500,150,4020,Stuttgart
8000157,8002699,4,6,420,180,1680,Stuttgart
8000157,8004220,28,36,454,165,3990,Stuttgart
8000157,8004458,2,2,990,990,1410,Stuttgart
8000157,8005453,8,18,30,0,150,Stuttgart
8000157,8006289,15,19,62,60,240,Stuttgart
8000157,8070159,1,1,60,60,60,Stuttgart
8000157,8079631,1,1,150,150,150,Stuttgart
8000180,8000180,259,305,290,180,5340,Stuttgart
8000180,8001974,104,140,194,90,2190,Stuttgart
8000180,8004333,68,71,373,300,1470,Stuttgart
8000180,8005157,66,71,321,240,1170,Stuttgart
8000180,8005388,2,2,165,165,210,Stuttgart
8000180,8005769,10,11,1083,390,5250,Stuttgart
8000180,8006479,8,10,231,135,1110,Stuttgart
8000221,8000221,97,116,278,90,2760,Stuttgart
8000221,8000295,16,17,259,90,1860,Stuttgart
8000221,8000724,1,2,45,45,90,Stuttgart
8000221,8001111,19,19,166,60,810,Stuttgart
8000221,8001472,11,12,78,45,360,Stuttgart
8000221,8002243,14,20,86,45,420,Stuttgart
8000221,8003381,21,24,255,75,1800,Stuttgart
8000221,8005827,9,13,111,120,240,Stuttgart
8000231,8000231,11,19,256,90,1650,Stuttgart
8000231,8005011,5,16,251,0,1650,Stuttgart
8000231,8006354,5,16,84,0,600,Stuttgart
8000330,8000330,26,36,188,90,1530,Stuttgart
8000330,8001651,13,18,250,90,1470,Stuttgart
8000330,8002168,9,10,432,405,1500,Stuttgart
