from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010003,8010202,9,0,30,Thüringen
8010003,8013138,51,45,150,Thüringen
8010003,8013471,5,0,60,Thüringen
8010007,8010007,61,0,3570,Thüringen
8010007,8010242,227,0,3510,Thüringen
8010007,8010274,45,45,90,Thüringen
8010007,8011055,20,0,540,Thüringen
8010007,8011792,42,0,330,Thüringen
8010007,8012314,12,0,60,Thüringen
8010014,8010014,27,0,120,Thüringen
8010014,8010305,40,30,120,Thüringen
8010020,8010020,50,30,270,Thüringen
8010020,8010081,34,30,60,Thüringen
8010020,8010235,31,30,180,Thüringen
8010020,8010242,102,90,270,Thüringen
8010020,8011449,8,0,60,Thüringen
8010020,8011687,6,0,150,Thüringen
8010020,8011746,60,60,90,Thüringen
8010020,8012919,56,30,240,Thüringen
8010021,8010021,5,0,60,Thüringen
8010021,8011934,3,0,60,Thüringen
8010021,8012533,3,0,60,Thüringen
8010048,8010048,37,30,90,Thüringen
8010048,8010203,30,30,90,Thüringen
8010048,8012993,15,15,30,Thüringen
8010055,8010055,46,0,930,Thüringen
8010055,8010203,127,15,900,Thüringen
8010055,8010385,30,0,150,Thüringen
8010055,8011602,0,0,0,Thüringen
8010055,8013004,45,15,150,Thüringen
8010055,8013318,30,0,120,Thüringen
8010061,8010061,61,60,210,Thüringen
8010061,8010124,90,90,180,Thüringen
8010061,8011852,9,0,90,Thüringen
8010061,8012440,60,60,60,Thüringen
8010067,8010067,6,0,60,Thüringen
8010067,8011106,17,0,60,Thüringen
8010067,8011678,4,0,60,Thüringen
8010081,8010020,4,0,30,Thüringen
8010081,8010081,39,30,120,Thüringen
8010081,8010198,0,0,0,Thüringen
8010081,8011336,18,30,30,Thüringen
8010081,8011687,43,60,90,Thüringen
8010102,8010102,26,0,420,Thüringen
8010102,8010198,0,0,0,Thüringen
8010102,8011503,0,0,60,Thüringen
8010102,8012769,21,0,60,Thüringen
8010105,8010105,27,30,120,Thüringen
8010105,8011468,45,30,120,Thüringen
8010105,8013547,16,0,60,Thüringen
8010110,8010110,0,0,0,Thüringen
8010110,8012312,0,0,0,Thüringen
8010118,8010118,66,30,360,Thüringen
8010118,8012320,44,0,330,Thüringen
8010118,8012965,75,30,270,Thüringen
8010118,8087061,19,0,330,Thüringen
8010124,8010061,0,0,60,Thüringen
8010124,8010124,39,0,180,Thüringen
8010124,8012440,60,60,180,Thüringen
8010126,8010126,79,30,1110,Thüringen
8010126,8010242,81,60,210,Thüringen
8010126,8010301,168,90,1110,Thüringen
8010126,8011074,54,30,150,Thüringen
8010126,8011619,120,60,390,Thüringen
8010126,8011623,52,60,180,Thüringen
8010126,8013129,30,30,30,Thüringen
8010137,8010007,3600,3600,3600,Thüringen
8010137,8010137,234,30,3630,Thüringen
8010137,8010274,87,30,360,Thüringen
8010137,8010391,75,30,240,Thüringen
8010137,8011397,143,0,1170,Thüringen
8010140,8012465,0,0,0,Thüringen
8010142,8003959,437,60,2070,Thüringen
8010142,8010142,129,30,2160,Thüringen
8010142,8010230,63,30,360,Thüringen
8010142,8010345,86,45,210,Thüringen
8010142,8012750,210,210,210,Thüringen
8010142,8012787,81,30,360,Thüringen
8010142,8013172,110,30,900,Thüringen
8010142,8013179,33,0,180,Thüringen
8010142,8013329,0,0,0,Thüringen
8010145,8010019,31,0,210,Thüringen
8010145,8010145,31,0,240,Thüringen
8010145,8011085,46,0,180,Thüringen
8010170,8010170,45,0,240,Thüringen
8010170,8012000,15,0,90,Thüringen
8010170,8012213,75,30,240,Thüringen
8010178,8010178,22,0,120,Thüringen
