from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010003,8010003,40,56,162,90,960,Thüringen
8010003,8010134,16,18,272,240,690,Thüringen
8010003,8010202,15,22,123,45,930,Thüringen
8010003,8013138,14,21,121,30,780,Thüringen
8010003,8013471,14,17,90,60,300,Thüringen
8010007,8010007,117,122,541,420,2220,Thüringen
8010007,8010242,21,22,469,285,2070,Thüringen
8010007,8010274,8,8,274,210,720,Thüringen
8010007,8011055,36,40,419,225,2250,Thüringen
8010007,8011792,37,38,750,825,2100,Thüringen
8010007,8012314,18,19,759,720,1920,Thüringen
8010014,8010014,28,37,401,90,1860,Thüringen
8010014,8010305,13,18,48,30,180,Thüringen
8010020,8010020,31,54,93,60,720,Thüringen
8010020,8010081,5,7,167,90,720,Thüringen
8010020,8010235,13,16,137,60,570,Thüringen
8010020,8010242,3,3,270,300,330,Thüringen
8010020,8011449,4,10,51,0,240,Thüringen
8010020,8011687,8,11,120,120,330,Thüringen
8010020,8011746,0,2,0,0,0,Thüringen
8010020,8012919,6,10,75,90,270,Thüringen
8010021,8010021,16,37,439,0,2070,Thüringen
8010021,8011934,12,19,385,30,1950,Thüringen
8010021,8012533,11,18,635,45,2460,Thüringen
8010048,8010048,15,16,122,90,300,Thüringen
8010048,8010203,7,8,154,150,330,Thüringen
8010048,8012993,8,8,86,60,210,Thüringen
8010055,8010055,31,53,151,60,3600,Thüringen
8010055,8010203,6,8,169,165,360,Thüringen
8010055,8010385,9,16,274,30,3630,Thüringen
8010055,8011602,7,12,75,30,420,Thüringen
8010055,8013004,6,6,140,60,360,Thüringen
8010055,8013318,8,11,90,90,240,Thüringen
8010061,8010061,21,23,196,90,780,Thüringen
8010061,8010124,4,4,195,165,360,Thüringen
8010061,8011852,10,12,120,60,750,Thüringen
8010061,8012440,6,7,300,240,810,Thüringen
8010067,8010067,9,19,43,0,240,Thüringen
8010067,8011106,5,9,23,30,60,Thüringen
8010067,8011678,6,10,57,30,240,Thüringen
8010081,8010020,2,7,111,0,600,Thüringen
8010081,8010081,29,35,140,60,720,Thüringen
8010081,8010198,1,1,120,120,120,Thüringen
8010081,8011336,8,10,147,90,330,Thüringen
8010081,8011687,7,10,84,30,330,Thüringen
8010102,8010102,36,53,73,30,390,Thüringen
8010102,8010198,1,1,30,30,30,Thüringen
8010102,8011503,11,18,58,30,330,Thüringen
8010102,8012769,3,7,43,0,210,Thüringen
8010105,8010105,26,35,160,90,1290,Thüringen
8010105,8011468,14,17,215,90,1290,Thüringen
8010105,8013547,15,18,128,60,450,Thüringen
8010110,8010110,13,37,328,0,2640,Thüringen
8010110,8012312,7,19,114,0,1740,Thüringen
8010118,8010118,33,38,280,225,1680,Thüringen
8010118,8012320,18,19,429,330,1650,Thüringen
8010118,8012965,17,19,112,60,630,Thüringen
8010124,8010061,4,7,167,60,780,Thüringen
8010124,8010124,8,12,162,75,780,Thüringen
8010124,8012440,4,5,150,90,360,Thüringen
8010126,8010126,106,121,186,120,2850,Thüringen
8010126,8010301,16,17,175,90,600,Thüringen
8010126,8011074,6,6,105,75,240,Thüringen
8010126,8011619,17,17,146,150,300,Thüringen
8010126,8011623,40,43,296,180,2880,Thüringen
8010126,8013129,1,2,15,15,30,Thüringen
8010134,8010003,17,17,146,120,420,Thüringen
8010134,8010134,64,73,173,120,1110,Thüringen
8010134,8010202,10,11,205,150,660,Thüringen
8010134,8011325,15,18,150,90,540,Thüringen
8010134,8012323,4,8,161,45,960,Thüringen
8010134,8012661,8,11,117,30,930,Thüringen
8010134,8012889,7,8,98,75,210,Thüringen
8010137,8010007,1,1,2220,2220,2220,Thüringen
8010137,8010137,34,36,383,210,2430,Thüringen
8010137,8010274,16,17,397,210,2430,Thüringen
8010137,8010391,8,8,218,180,660,Thüringen
8010137,8011397,10,10,324,300,780,Thüringen
8010140,8012465,0,11,0,0,0,Thüringen
8010142,8003959,7,7,381,330,720,Thüringen
8010142,8010142,60,74,273,180,1830,Thüringen
8010142,8010230,14,18,197,105,1230,Thüringen
8010142,8010345,10,12,272,150,1860,Thüringen
8010142,8012750,1,1,240,240,240,Thüringen
8010142,8012787,10,11,586,360,2070,Thüringen
8010142,8013172,11,19,238,30,1620,Thüringen
8010142,8013179,8,15,234,60,1050,Thüringen
8010142,8013329,1,2,765,765,1530,Thüringen
8010145,8010019,23,29,202,90,1620,Thüringen
8010145,8010145,31,57,111,30,1650,Thüringen
8010145,8011085,10,29,39,0,360,Thüringen
8010170,8010170,12,20,123,45,630,Thüringen
8010170,8012000,6,10,78,30,390,Thüringen
8010170,8012213,5,10,150,30,630,Thüringen
8010196,8010196,26,30,246,225,780,Thüringen
8010196,8011074,17,17,309,240,780,Thüringen
8010196,8011312,10,13,152,60,600,Thüringen
8010198,8010081,1,1,90,90,90,Thüringen
8010198,8010102,1,1,120,120,120,Thüringen
8010198,8010198,21,39,75,30,360,Thüringen
8010198,8011489,5,9,87,30,360,Thüringen
8010198,8011503,12,19,88,60,360,Thüringen
8010198,8013221,4,9,47,0,240,Thüringen
8010202,8010003,19,20,172,90,690,Thüringen
8010202,8010134,7,11,128,30,960,Thüringen
8010202,8010202,32,42,161,60,960,Thüringen
8010202,8012889,9,11,205,120,630,Thüringen
8010203,8010048,8,8,79,60,150,Thüringen
8010203,8010055,3,6,15,15,30,Thüringen
8010203,8010203,61,69,181,90,3690,Thüringen
8010203,8010235,7,7,167,180,300,Thüringen
8010203,8011172,3,3,50,60,60,Thüringen
8010203,8011178,6,10,75,60,300,Thüringen
8010203,8011834,4,11,44,0,180,Thüringen
8010203,8011849,25,27,171,150,450,Thüringen
8010203,8012492,0,2,0,0,0,Thüringen
8010203,8012993,8,11,104,60,390,Thüringen
8010203,8013004,5,5,828,150,3630,Thüringen
8010230,8010142,8,15,296,30,1830,Thüringen
8010230,8010230,11,17,360,60,1680,Thüringen
8010230,8012770,3,10,12,0,60,Thüringen
8010230,8013172,8,22,194,0,1530,Thüringen
8010230,8013215,13,18,177,45,1560,Thüringen
8010235,8010020,13,15,210,210,690,Thüringen
8010235,8010203,7,8,124,105,330,Thüringen
8010235,8010235,42,53,135,90,540,Thüringen
8010235,8011029,7,8,142,120,330,Thüringen
8010235,8011335,6,7,141,90,540,Thüringen
8010235,8011746,2,3,130,30,360,Thüringen
8010235,8012961,8,9,110,90,390,Thüringen
8010235,8012993,2,4,172,75,540,Thüringen
8010242,8010007,25,25,180,90,780,Thüringen
8010242,8010118,1,1,270,270,270,Thüringen
8010242,8010242,121,124,619,495,1860,Thüringen
8010242,8011502,46,48,777,735,2010,Thüringen
8010242,8013074,29,38,579,510,1710,Thüringen
8010242,8013192,1,1,30,30,30,Thüringen
8010242,8013226,17,18,470,390,1680,Thüringen
8010256,8010032,5,8,71,60,240,Thüringen
8010256,8010256,25,37,219,60,3750,Thüringen
8010256,8010385,19,24,129,75,450,Thüringen
8010256,8011860,5,14,341,0,3780,Thüringen
8010256,8012516,6,17,53,0,390,Thüringen
8010256,8013291,9,18,45,15,270,Thüringen
8010260,8010260,0,30,0,0,0,Thüringen
8010260,8012222,0,28,0,0,0,Thüringen
8010260,8012330,0,15,0,0,0,Thüringen
8010260,8013000,0,15,0,0,0,Thüringen
8010264,8010264,41,56,185,90,960,Thüringen
8010264,8011567,7,9,80,30,300,Thüringen
8010264,8011985,16,28,132,45,960,Thüringen
8010264,8013398,17,21,279,150,750,Thüringen
8010274,8010007,8,8,278,270,540,Thüringen
8010274,8010137,17,18,255,195,780,Thüringen
8010274,8010274,81,87,410,270,2250,Thüringen
8010274,8010391,6,6,285,300,450,Thüringen
8010274,8011055,30,35,404,210,2100,Thüringen
8010274,8011624,0,1,0,0,0,Thüringen
8010274,8012317,18,19,684,540,2250,Thüringen
8010288,8005692,15,17,159,60,600,Thüringen
8010288,8010288,27,32,236,150,1710,Thüringen
8010288,8012000,8,8,165,150,270,Thüringen
8010288,8013171,7,9,347,150,1680,Thüringen
8010301,8010126,17,19,133,90,570,Thüringen
8010301,8010301,32,36,156,90,660,Thüringen
8010301,8012509,9,9,203,180,360,Thüringen
8010301,8012889,6,8,131,30,630,Thüringen
8010305,8010014,19,19,759,690,1860,Thüringen
8010305,8010305,35,37,501,390,1890,Thüringen
8010305,8011121,0,15,0,0,0,Thüringen
8010305,8012615,5,10,180,30,720,Thüringen
8010305,8012998,7,8,514,645,810,Thüringen
8010307,8010307,56,72,217,120,1710,Thüringen
8010307,8011267,9,9,300,240,660,Thüringen
8010307,8011985,11,15,266,120,1710,Thüringen
8010307,8013164,13,21,159,30,930,Thüringen
8010315,8010315,7,34,12,0,180,Thüringen
8010315,8011057,9,18,17,15,60,Thüringen
8010315,8012881,3,17,16,0,150,Thüringen
8010328,8010328,33,38,182,105,780,Thüringen
8010328,8011759,18,26,156,105,690,Thüringen
8010328,8012007,4,10,72,0,600,Thüringen
8010328,8012207,14,18,198,120,720,Thüringen
8010329,8010329,6,20,16,0,180,Thüringen
8010329,8010385,1,7,-4,0,30,Thüringen
8010329,8011643,4,10,12,0,30,Thüringen
8010329,8011700,1,5,42,0,210,Thüringen
8010329,8011891,2,5,12,0,30,Thüringen
8010342,8010342,9,20,42,0,180,Thüringen
8010342,8011594,4,5,66,60,120,Thüringen
8010342,8011700,2,5,54,0,210,Thüringen
8010342,8012769,4,16,22,0,150,Thüringen
8010345,8010142,12,12,350,390,720,Thüringen
8010345,8010345,46,47,405,270,1980,Thüringen
8010345,8010391,24,27,388,210,2100,Thüringen
8010345,8011378,1,1,510,510,510,Thüringen
8010345,8013077,10,11,505,300,1950,Thüringen
8010350,8010350,19,30,188,60,1230,Thüringen
8010350,8012756,8,15,190,30,1440,Thüringen
8010350,8013179,10,15,172,60,630,Thüringen
8010352,8010352,32,37,225,60,2640,Thüringen
8010352,8012472,14,18,250,105,2610,Thüringen
8010352,8012493,17,19,197,60,1980,Thüringen
8010354,8010354,15,20,70,60,270,Thüringen
8010354,8013360,10,10,96,75,240,Thüringen
8010354,8013452,5,10,66,30,240,Thüringen
8010365,8010126,1,1,270,270,270,Thüringen
8010365,8010365,51,58,247,135,2760,Thüringen
8010365,8011623,12,17,99,60,360,Thüringen
8010365,8012493,15,18,292,150,2670,Thüringen
8010365,8013251,9,11,360,150,2640,Thüringen
8010365,8013334,8,11,76,60,240,Thüringen
8010375,8010375,17,37,343,0,1860,Thüringen
8010375,8011265,10,18,433,30,1800,Thüringen
8010375,8012498,5,17,21,0,180,Thüringen
8010375,8012929,9,19,406,0,1800,Thüringen
8010385,8010055,12,15,160,150,390,Thüringen
8010385,8010256,6,23,184,0,3660,Thüringen
8010385,8010329,4,8,71,15,210,Thüringen
8010385,8010385,48,86,107,30,3630,Thüringen
8010385,8012033,1,8,8,0,60,Thüringen
8010385,8012512,9,11,93,30,270,Thüringen
8010385,8013291,9,21,33,0,150,Thüringen
8010387,8010387,7,21,31,0,270,Thüringen
8010387,8011144,9,10,87,60,300,Thüringen
8010387,8011623,11,11,60,30,120,Thüringen
8010391,8010137,7,8,390,135,2220,Thüringen
8010391,8010274,6,6,260,255,390,Thüringen
8010391,8010345,26,28,282,255,1350,Thüringen
8010391,8010391,48,54,316,210,2160,Thüringen
8010391,8011603,10,10,486,195,1950,Thüringen
8010391,8013383,6,18,10,0,30,Thüringen
8011028,8011028,10,35,14,0,60,Thüringen
8011028,8012881,8,18,20,0,60,Thüringen
8011028,8013037,3,17,7,0,60,Thüringen
8011029,8010235,8,8,135,75,420,Thüringen
8011029,8011029,15,16,128,75,420,Thüringen
8011029,8011335,5,8,112,75,300,Thüringen
8011054,8000090,11,12,288,135,1980,Thüringen
8011054,8011054,22,24,348,105,3720,Thüringen
8011054,8013159,9,10,489,75,3750,Thüringen
8011055,8010007,33,38,426,225,2070,Thüringen
