from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000134,8000134,195,120,1380,Trier
8000134,8003402,128,60,420,Trier
8000134,8004784,158,90,810,Trier
8000134,8005476,324,210,1410,Trier
8000134,8005905,200,30,8340,Trier
8000370,8000370,145,90,780,Trier
8000370,8001688,190,135,780,Trier
8000370,8003407,161,150,600,Trier
8000370,8004784,86,30,630,Trier
8000379,8000379,288,90,8640,Trier
8000379,8001267,364,240,1620,Trier
8000379,8002817,120,120,120,Trier
8000379,8003352,30,30,30,Trier
8000379,8005260,100,30,690,Trier
8000379,8005476,447,30,8580,Trier
8000379,8005945,136,90,450,Trier
8000402,8000402,95,60,810,Trier
8000402,8003402,54,0,360,Trier
8000402,8003403,101,90,330,Trier
8000402,8005905,128,90,810,Trier
8000674,8000674,77,60,660,Trier
8000674,8001388,70,60,270,Trier
8000674,8005624,101,60,660,Trier
8000870,8000870,148,60,630,Trier
8000870,8001267,175,90,540,Trier
8000870,8005945,124,30,660,Trier
8001388,8000674,126,90,720,Trier
8001388,8001388,111,90,660,Trier
8001388,8003407,37,30,180,Trier
8001688,8000370,134,60,720,Trier
8001688,8001688,164,90,810,Trier
8001688,8004910,218,165,840,Trier
8001828,8001828,48,15,570,Trier
8001828,8003021,22,0,240,Trier
8001828,8003484,75,30,510,Trier
8001828,8005624,60,60,90,Trier
8002018,8002018,156,60,1080,Trier
8002018,8002817,195,120,1080,Trier
8002018,8005476,120,60,660,Trier
8002817,8002018,123,60,690,Trier
8002817,8002817,156,75,1110,Trier
8002817,8005510,192,120,1110,Trier
8003021,8001828,51,0,570,Trier
8003021,8003021,43,0,600,Trier
8003021,8004814,12,0,120,Trier
8003042,8003042,267,60,8340,Trier
8003042,8003434,129,60,1830,Trier
8003042,8200340,488,180,8340,Trier
8003173,8003173,75,30,390,Trier
8003173,8003402,70,0,360,Trier
8003173,8006461,76,30,420,Trier
8003402,8000134,178,120,930,Trier
8003402,8000402,82,30,360,Trier
8003402,8003173,79,45,360,Trier
8003402,8003402,111,60,540,Trier
8003402,8005245,143,60,570,Trier
8003403,8000402,172,120,840,Trier
8003403,8003403,129,90,810,Trier
8003403,8006222,96,75,330,Trier
8003407,8000370,55,60,150,Trier
8003407,8001388,192,150,660,Trier
8003407,8003407,114,60,660,Trier
8003434,8003042,408,90,8340,Trier
8003434,8003434,275,60,8340,Trier
8003434,8005905,164,90,1800,Trier
8003484,8001828,25,0,210,Trier
8004438,8004438,165,120,810,Trier
8004438,8006315,162,120,540,Trier
8004438,8006463,185,135,840,Trier
8004514,8004514,119,90,810,Trier
8004514,8005835,83,60,300,Trier
8004514,8006222,161,90,840,Trier
8004748,8004236,163,105,810,Trier
8004748,8004748,114,60,840,Trier
8004748,8006252,78,60,300,Trier
8004784,8000134,102,30,660,Trier
8004784,8000370,192,180,750,Trier
8004784,8004784,136,60,750,Trier
8004814,8001828,0,0,0,Trier
8004814,8003021,81,60,600,Trier
8004814,8004814,40,30,600,Trier
8004814,8005624,7,0,30,Trier
8004910,8001688,121,60,630,Trier
8004910,8004910,162,90,780,Trier
8004910,8005476,197,150,750,Trier
8005245,8003402,118,90,450,Trier
8005245,8004004,180,120,570,Trier
8005245,8005245,86,30,570,Trier
8005245,8005392,60,0,360,Trier
8005245,8005539,65,30,360,Trier
8005260,8000379,157,75,1080,Trier
8005260,8005260,136,60,1110,Trier
8005260,8005510,85,15,690,Trier
8005392,8005245,51,0,360,Trier
8005392,8005392,61,0,360,Trier
8005392,8006461,66,0,360,Trier
8005476,8000134,412,60,8460,Trier
8005476,8000379,330,210,1470,Trier
8005476,8002018,210,150,1080,Trier
8005476,8004910,115,30,630,Trier
8005476,8005476,265,120,8520,Trier
8005510,8002817,97,30,660,Trier
8005510,8005260,193,120,1080,Trier
8005510,8005510,140,60,1080,Trier
8005539,8005245,51,0,420,Trier
8005539,8005539,65,30,450,Trier
8005539,8005812,58,0,330,Trier
8005624,8000674,10,0,60,Trier
8005624,8003407,75,75,90,Trier
8005624,8004814,85,60,690,Trier
8005624,8005624,56,30,720,Trier
8005812,8005246,52,0,360,Trier
8005812,8005539,67,30,450,Trier
8005812,8005812,57,0,420,Trier
8005835,8004514,159,120,810,Trier
8005835,8005835,132,90,840,Trier
8005835,8006315,88,45,330,Trier
8005905,8000134,199,135,1800,Trier
8005905,8000402,81,60,360,Trier
8005905,8003434,404,90,8340,Trier
8005905,8005905,204,90,8340,Trier
8005945,8000379,97,30,630,Trier
8005945,8000870,176,150,480,Trier
8005945,8001267,210,210,210,Trier
8005945,8005945,145,90,660,Trier
8006222,8003403,138,60,780,Trier
8006222,8004514,95,90,330,Trier
8006222,8006222,123,60,810,Trier
8006315,8004438,158,105,750,Trier
8006315,8005835,164,120,840,Trier
8006315,8006315,134,120,750,Trier
8006461,8003173,85,30,390,Trier
8006461,8005392,49,0,360,Trier
8006461,8006461,69,30,390,Trier
8006463,8004438,138,150,240,Trier
8006463,8006252,171,135,840,Trier
8006463,8006463,140,120,840,Trier
8200340,8003042,89,30,1770,Trier
8200340,8200340,286,90,8220,Trier
8200340,8270720,640,0,8100,Trier
8200340,8270930,251,180,1200,Trier
