from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000123,8000989,14,17,122,30,780,Trier
8000134,8000134,1,1,150,150,150,Trier
8000134,8003402,13,18,40,30,210,Trier
8000134,8003407,15,19,106,90,510,Trier
8000134,8005476,2,2,210,210,360,Trier
8000134,8005905,38,76,77,15,1800,Trier
8000379,8000379,4,4,735,765,1320,Trier
8000379,8001267,1,1,210,210,210,Trier
8000379,8003352,1,1,990,990,990,Trier
8000379,8005476,2,2,780,780,1410,Trier
8000402,8000402,69,83,209,60,2610,Trier
8000402,8003402,13,23,93,30,810,Trier
8000402,8003403,16,18,95,60,300,Trier
8000402,8005905,36,42,333,150,2610,Trier
8000674,8000674,33,36,105,60,450,Trier
8000674,8001388,15,17,115,60,390,Trier
8000674,8005624,18,19,112,60,390,Trier
8000989,8000123,17,17,173,120,720,Trier
8000989,8000989,31,34,158,90,780,Trier
8000989,8004174,14,17,143,90,780,Trier
8001388,8000674,18,19,103,60,420,Trier
8001388,8001388,30,36,105,60,480,Trier
8001388,8003407,12,17,78,30,300,Trier
8001414,8001414,32,34,164,90,780,Trier
8001414,8004174,17,17,171,120,720,Trier
8001414,8005342,14,17,152,90,780,Trier
8001828,8001828,23,38,96,30,690,Trier
8001828,8003021,15,17,138,90,690,Trier
8001828,8003484,7,19,58,0,420,Trier
8001828,8005624,2,2,45,45,60,Trier
8003021,8001828,9,17,49,30,270,Trier
8003021,8003021,26,34,103,60,690,Trier
8003021,8004814,15,17,116,60,630,Trier
8003042,8003042,45,69,82,30,1830,Trier
8003042,8003434,19,34,57,30,570,Trier
8003042,8200340,32,35,169,120,1920,Trier
8003173,8003173,32,44,259,60,2580,Trier
8003173,8003402,17,22,458,270,2580,Trier
8003173,8006461,13,22,72,60,450,Trier
8003402,8000134,18,18,393,255,2220,Trier
8003402,8000402,21,23,503,300,2610,Trier
8003402,8003173,17,22,78,60,420,Trier
8003402,8003402,67,80,256,75,2610,Trier
8003402,8005245,8,18,38,0,330,Trier
8003403,8000402,18,19,85,60,210,Trier
8003403,8003403,33,37,79,60,300,Trier
8003403,8006222,16,18,100,60,330,Trier
8003407,8000134,17,19,114,60,360,Trier
8003407,8001388,18,19,150,120,570,Trier
8003407,8003407,31,38,117,90,570,Trier
8003434,8003042,23,35,90,30,1800,Trier
8003434,8003434,48,69,83,30,1830,Trier
8003434,8005905,23,34,86,60,600,Trier
8003484,8001828,17,19,133,90,690,Trier
8003484,8003484,31,34,131,90,720,Trier
8003484,8005658,15,17,146,90,630,Trier
8004174,8000989,17,17,184,150,690,Trier
8004174,8001414,15,17,166,120,810,Trier
8004174,8004174,31,34,172,120,810,Trier
8004438,8004438,25,37,66,30,330,Trier
8004438,8006315,16,19,55,60,120,Trier
8004438,8006463,10,18,78,45,270,Trier
8004514,8004514,33,37,69,30,300,Trier
8004514,8005835,12,18,92,60,300,Trier
8004514,8006222,17,19,63,60,120,Trier
8004748,8004236,12,18,78,45,300,Trier
8004748,8004748,25,36,62,60,270,Trier
8004748,8006252,14,18,63,60,150,Trier
8004814,8001828,1,2,60,60,120,Trier
8004814,8003021,16,17,111,90,360,Trier
8004814,8004814,29,36,97,60,600,Trier
8004814,8005624,11,17,85,30,600,Trier
8005245,8003402,18,18,372,210,2190,Trier
8005245,8004004,14,18,123,60,930,Trier
8005245,8005245,63,77,231,60,2550,Trier
8005245,8005392,21,22,438,225,2550,Trier
8005245,8005539,15,21,93,60,420,Trier
8005342,8001414,17,17,176,150,690,Trier
8005342,8005342,31,34,156,90,780,Trier
8005342,8005658,14,17,146,90,780,Trier
8005392,8005245,15,22,71,30,360,Trier
8005392,8005392,35,44,256,60,2580,Trier
8005392,8006461,18,22,438,210,2580,Trier
8005476,8000134,2,2,945,945,1620,Trier
8005476,8000379,2,2,570,570,630,Trier
8005476,8005476,4,4,570,345,1530,Trier
8005539,8005245,18,21,441,150,2550,Trier
8005539,8005539,35,42,274,90,2550,Trier
8005539,8005812,13,21,94,60,480,Trier
8005624,8000674,11,17,86,30,600,Trier
8005624,8003407,1,2,60,60,120,Trier
8005624,8004814,18,19,107,90,330,Trier
8005624,8005624,31,38,99,60,600,Trier
8005658,8003484,14,17,141,60,720,Trier
8005658,8005342,17,17,192,120,750,Trier
8005658,8005658,31,34,161,90,750,Trier
8005812,8005246,14,21,146,60,600,Trier
8005812,8005539,20,21,451,180,2550,Trier
8005812,8005812,31,42,271,90,2490,Trier
8005835,8004514,14,19,63,60,150,Trier
8005835,8005835,30,37,82,60,300,Trier
8005835,8006315,14,18,93,60,300,Trier
8005905,8000134,73,76,271,165,2490,Trier
8005905,8000402,36,41,101,60,810,Trier
8005905,8003434,26,35,105,30,1860,Trier
8005905,8005905,124,152,176,60,2550,Trier
8006222,8003403,13,19,47,30,120,Trier
8006222,8004514,16,18,90,60,300,Trier
8006222,8006222,31,37,77,60,330,Trier
8006315,8004438,11,18,83,30,330,Trier
8006315,8005835,16,19,54,60,120,Trier
8006315,8006315,30,37,71,60,300,Trier
8006461,8003173,20,22,462,225,2580,Trier
8006461,8005392,12,22,67,30,420,Trier
8006461,8006461,34,44,264,90,2580,Trier
8006463,8004438,15,19,62,60,120,Trier
8006463,8006252,10,18,72,30,330,Trier
8006463,8006463,24,36,64,60,270,Trier
8200340,8003042,10,34,32,0,540,Trier
8200340,8200100,0,1,0,0,0,Trier
8200340,8200340,40,67,90,30,1890,Trier
8200340,8270720,1,15,120,0,1800,Trier
8200340,8270930,14,18,95,75,240,Trier
