from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000014,8000014,181,30,2670,Tübingen
8000014,8000559,37,30,120,Tübingen
8000014,8000746,124,30,1560,Tübingen
8000014,8000763,48,30,270,Tübingen
8000014,8000943,103,60,390,Tübingen
8000014,8004049,78,60,210,Tübingen
8000014,8004965,255,60,2640,Tübingen
8000069,8000069,134,90,450,Tübingen
8000069,8000473,171,180,270,Tübingen
8000069,8000933,86,60,240,Tübingen
8000069,8002656,162,150,330,Tübingen
8000069,8003969,151,120,570,Tübingen
8000069,8005568,135,0,900,Tübingen
8000069,8005747,60,75,90,Tübingen
8000112,8000112,158,60,2670,Tübingen
8000112,8001838,240,0,960,Tübingen
8000112,8002030,177,30,780,Tübingen
8000112,8002110,108,30,570,Tübingen
8000112,8002122,117,0,1560,Tübingen
8000112,8003432,68,60,150,Tübingen
8000112,8003524,303,60,870,Tübingen
8000112,8003733,53,0,540,Tübingen
8000112,8003871,190,240,300,Tübingen
8000112,8003930,100,30,1410,Tübingen
8000112,8004029,111,120,240,Tübingen
8000112,8004965,140,75,510,Tübingen
8000112,8100090,2820,2820,2820,Tübingen
8000141,8000141,133,90,810,Tübingen
8000141,8000314,198,90,1080,Tübingen
8000141,8003248,96,45,1200,Tübingen
8000141,8004070,176,150,480,Tübingen
8000141,8004778,0,0,0,Tübingen
8000141,8005197,150,60,360,Tübingen
8000141,8005916,91,30,660,Tübingen
8000141,8005918,149,120,480,Tübingen
8000160,8000160,166,150,960,Tübingen
8000160,8002760,88,60,360,Tübingen
8000160,8003969,167,150,540,Tübingen
8000160,8005087,194,150,930,Tübingen
8000203,8000203,494,120,9960,Tübingen
8000203,8000336,313,165,4080,Tübingen
8000203,8000763,165,120,450,Tübingen
8000203,8006200,810,150,9720,Tübingen
8000203,8006545,73,0,570,Tübingen
8000314,8000141,158,120,450,Tübingen
8000314,8000314,142,105,1140,Tübingen
8000314,8004009,56,30,240,Tübingen
8000314,8005052,76,60,360,Tübingen
8000314,8005054,136,90,450,Tübingen
8000336,8000203,705,75,10230,Tübingen
8000336,8000336,716,180,10110,Tübingen
8000336,8000454,372,90,4170,Tübingen
8000353,8000353,131,90,420,Tübingen
8000353,8000473,163,90,600,Tübingen
8000353,8000999,0,0,0,Tübingen
8000353,8002673,82,30,330,Tübingen
8000454,8000336,1084,330,9900,Tübingen
8000454,8000454,719,240,9840,Tübingen
8000454,8003897,386,150,4200,Tübingen
8000473,8000069,161,150,300,Tübingen
8000473,8000353,170,150,480,Tübingen
8000473,8000473,203,150,690,Tübingen
8000473,8005747,630,630,630,Tübingen
8000473,8005750,30,30,60,Tübingen
8000499,8000499,101,105,180,Tübingen
8000499,8001684,75,75,180,Tübingen
8000499,8005333,190,180,240,Tübingen
8000499,8005379,60,60,60,Tübingen
8000559,8000014,93,30,480,Tübingen
8000559,8000559,78,60,480,Tübingen
8000559,8005301,55,30,390,Tübingen
8000562,8000562,52,30,180,Tübingen
8000562,8000763,62,30,180,Tübingen
8000562,8006545,68,60,180,Tübingen
8000577,8000577,75,75,90,Tübingen
8000577,8002218,90,90,120,Tübingen
8000731,8000731,56,60,210,Tübingen
8000731,8000959,30,0,120,Tübingen
8000731,8005197,102,105,240,Tübingen
8000746,8000014,278,120,1380,Tübingen
8000746,8000746,215,90,1590,Tübingen
8000746,8000943,150,60,1620,Tübingen
8000746,8000944,198,150,540,Tübingen
8000763,8000014,118,90,600,Tübingen
8000763,8000203,97,60,270,Tübingen
8000763,8000562,62,60,150,Tübingen
8000763,8000763,105,60,660,Tübingen
8000858,8000858,60,60,90,Tübingen
8000858,8006373,90,90,120,Tübingen
8000909,8000909,184,90,1560,Tübingen
8000909,8003871,182,120,540,Tübingen
8000909,8004029,198,75,1530,Tübingen
8000933,8000069,60,60,180,Tübingen
8000933,8000933,106,90,390,Tübingen
8000933,8002096,163,120,420,Tübingen
8000933,8002656,100,45,330,Tübingen
8000943,8000014,335,45,2760,Tübingen
8000943,8000746,242,105,1320,Tübingen
8000943,8000943,222,90,2850,Tübingen
8000943,8000944,412,120,1410,Tübingen
8000943,8001820,30,30,30,Tübingen
8000943,8003592,181,60,1530,Tübingen
8000943,8005334,120,120,120,Tübingen
8000944,8000746,450,195,1410,Tübingen
8000944,8000943,228,180,540,Tübingen
8000944,8000944,310,180,1410,Tübingen
8000959,8000731,51,30,180,Tübingen
8000959,8000959,148,60,1950,Tübingen
8000959,8001946,122,60,1260,Tübingen
8000959,8005197,471,120,2430,Tübingen
8000999,8000353,210,210,330,Tübingen
8000999,8000999,150,90,360,Tübingen
8000999,8002673,0,0,0,Tübingen
8001013,8001013,110,60,840,Tübingen
8001013,8002242,30,30,30,Tübingen
8001013,8002789,30,30,60,Tübingen
8001013,8005333,99,90,300,Tübingen
8001015,8001015,54,60,90,Tübingen
8001015,8002789,30,30,60,Tübingen
8001015,8005955,60,60,60,Tübingen
8001422,8001422,68,0,450,Tübingen
