from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000014,8000014,45,74,148,60,1230,Tübingen
8000014,8000559,9,19,87,0,480,Tübingen
8000014,8000746,16,25,91,30,690,Tübingen
8000014,8000763,13,20,44,30,240,Tübingen
8000014,8000943,7,12,62,30,270,Tübingen
8000014,8004049,16,18,238,45,1620,Tübingen
8000014,8004965,27,37,220,60,1200,Tübingen
8000069,8000069,35,42,546,195,5100,Tübingen
8000069,8000473,6,7,197,180,360,Tübingen
8000069,8000933,7,8,806,255,4890,Tübingen
8000069,8002656,4,5,1260,330,5400,Tübingen
8000069,8003969,17,19,441,210,2340,Tübingen
8000069,8005568,7,19,182,0,2430,Tübingen
8000069,8005747,1,4,15,0,60,Tübingen
8000112,8000112,61,95,102,30,1110,Tübingen
8000112,8001838,2,4,22,15,60,Tübingen
8000112,8002030,13,20,38,30,120,Tübingen
8000112,8002110,19,32,127,60,750,Tübingen
8000112,8002122,7,24,30,0,180,Tübingen
8000112,8003432,5,7,56,60,120,Tübingen
8000112,8003524,7,9,137,30,960,Tübingen
8000112,8003733,13,29,30,0,180,Tübingen
8000112,8003871,3,3,60,60,90,Tübingen
8000112,8003930,12,20,108,30,690,Tübingen
8000112,8004029,7,7,621,150,3000,Tübingen
8000112,8004965,12,16,41,30,150,Tübingen
8000112,8100090,1,1,30,30,30,Tübingen
8000141,8000141,79,85,113,60,660,Tübingen
8000141,8000314,15,18,260,330,570,Tübingen
8000141,8003248,26,36,150,60,780,Tübingen
8000141,8003272,1,1,60,60,60,Tübingen
8000141,8004070,8,9,270,300,570,Tübingen
8000141,8005197,2,3,80,90,150,Tübingen
8000141,8005916,36,57,71,60,540,Tübingen
8000141,8005918,28,34,78,60,720,Tübingen
8000160,8000160,62,75,365,150,4710,Tübingen
8000160,8002760,13,19,129,30,810,Tübingen
8000160,8003969,33,37,406,150,4800,Tübingen
8000160,8005087,18,19,535,180,2790,Tübingen
8000203,8000203,52,58,295,150,2040,Tübingen
8000203,8000336,23,28,201,135,810,Tübingen
8000203,8000763,5,6,30,30,60,Tübingen
8000203,8006200,21,22,498,270,1860,Tübingen
8000203,8006545,8,13,122,120,330,Tübingen
8000314,8000141,16,17,240,210,870,Tübingen
8000314,8000314,87,103,148,90,930,Tübingen
8000314,8004009,1,2,15,15,30,Tübingen
8000314,8005052,22,36,78,45,360,Tübingen
8000314,8005054,29,34,100,45,870,Tübingen
8000336,8000203,22,28,403,180,2250,Tübingen
8000336,8000336,36,38,431,270,2250,Tübingen
8000336,8000454,19,19,349,240,2370,Tübingen
8000353,8000353,17,18,235,255,510,Tübingen
8000353,8000473,9,9,313,300,660,Tübingen
8000353,8000999,1,1,120,120,120,Tübingen
8000353,8002673,7,8,236,255,390,Tübingen
8000454,8000336,18,19,587,390,1710,Tübingen
8000454,8000454,38,38,448,315,2400,Tübingen
8000454,8003897,19,19,354,180,2370,Tübingen
8000473,8000069,8,8,420,345,1140,Tübingen
8000473,8000353,9,9,233,240,390,Tübingen
8000473,8000473,17,18,327,330,1020,Tübingen
8000473,8005747,1,1,300,300,300,Tübingen
8000473,8005750,1,2,15,15,60,Tübingen
8000499,8000499,5,8,34,45,60,Tübingen
8000499,8001684,2,4,15,15,30,Tübingen
8000499,8005333,3,3,70,60,90,Tübingen
8000499,8005379,0,1,-30,-30,-30,Tübingen
8000559,8000014,12,19,126,30,750,Tübingen
8000559,8000559,22,38,113,45,780,Tübingen
8000559,8005301,11,19,85,30,480,Tübingen
8000562,8000562,15,23,89,60,390,Tübingen
8000562,8000763,9,12,130,150,360,Tübingen
8000562,8006545,7,11,46,30,90,Tübingen
8000577,8000577,2,2,30,30,30,Tübingen
8000577,8002218,2,2,60,60,60,Tübingen
8000731,8000731,19,27,127,60,1080,Tübingen
8000731,8000959,9,13,148,60,1080,Tübingen
8000731,8005197,11,14,118,105,300,Tübingen
8000746,8000014,21,26,279,150,1260,Tübingen
8000746,8000746,39,51,185,90,1230,Tübingen
8000746,8000943,15,20,112,60,660,Tübingen
8000746,8000944,3,5,24,30,60,Tübingen
8000763,8000014,14,20,87,90,300,Tübingen
8000763,8000203,8,8,161,165,240,Tübingen
8000763,8000562,9,11,49,30,120,Tübingen
8000763,8000763,29,38,84,60,300,Tübingen
8000858,8000858,0,2,-15,-15,0,Tübingen
8000858,8006373,1,2,15,15,30,Tübingen
8000909,8000909,29,47,67,30,360,Tübingen
8000909,8003871,15,23,87,60,360,Tübingen
8000909,8004029,13,24,56,30,330,Tübingen
8000933,8000069,8,8,772,330,2430,Tübingen
8000933,8000933,24,27,819,300,5520,Tübingen
8000933,8002096,11,13,1015,300,5580,Tübingen
8000933,8002656,5,6,475,120,2220,Tübingen
8000943,8000014,7,11,82,30,390,Tübingen
8000943,8000746,19,22,255,135,1200,Tübingen
8000943,8000943,48,76,143,60,1200,Tübingen
8000943,8000944,2,4,292,15,1140,Tübingen
8000943,8003592,14,20,93,30,630,Tübingen
8000943,8004965,0,1,-60,-60,-60,Tübingen
8000943,8005334,1,1,60,60,60,Tübingen
8000944,8000746,4,4,300,30,1110,Tübingen
8000944,8000943,2,5,24,0,60,Tübingen
8000944,8000944,5,9,147,30,1140,Tübingen
8000959,8000731,11,14,86,75,240,Tübingen
8000959,8000959,34,42,134,90,1080,Tübingen
8000959,8001946,15,21,160,60,1050,Tübingen
8000959,8005197,6,7,137,90,270,Tübingen
8000999,8000353,1,2,15,15,30,Tübingen
8000999,8000999,2,3,40,30,90,Tübingen
8000999,8002673,1,1,30,30,30,Tübingen
8001013,8001013,28,39,489,120,3120,Tübingen
8001013,8002242,0,1,0,0,0,Tübingen
8001013,8002789,1,2,15,15,30,Tübingen
