from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000010,8000010,386,60,4110,Unterfranken
8000010,8000183,945,120,3840,Unterfranken
8000010,8000250,30,30,30,Unterfranken
8000010,8000618,117,30,750,Unterfranken
8000010,8000619,24,30,60,Unterfranken
8000010,8002696,330,180,990,Unterfranken
8000010,8002918,54,0,240,Unterfranken
8000010,8003143,30,30,30,Unterfranken
8000010,8003314,131,30,1980,Unterfranken
8000010,8003334,120,120,120,Unterfranken
8000010,8003680,330,330,510,Unterfranken
8000010,8004560,17,30,30,Unterfranken
8000010,8100014,0,0,0,Unterfranken
8000010,8100024,240,240,240,Unterfranken
8000032,8000032,90,60,900,Unterfranken
8000032,8001620,138,150,240,Unterfranken
8000032,8002630,77,30,270,Unterfranken
8000032,8004453,60,30,420,Unterfranken
8000032,8004865,60,75,150,Unterfranken
8000032,8005049,94,60,270,Unterfranken
8000032,8005198,90,90,90,Unterfranken
8000032,8005479,65,0,750,Unterfranken
8000032,8006147,123,60,990,Unterfranken
8000120,8000120,180,90,2310,Unterfranken
8000120,8003189,206,60,930,Unterfranken
8000120,8003329,8,0,60,Unterfranken
8000120,8003548,122,30,2100,Unterfranken
8000120,8005092,116,60,600,Unterfranken
8000120,8006349,207,60,2250,Unterfranken
8000479,8000479,171,45,1380,Unterfranken
8000479,8001225,180,0,1320,Unterfranken
8000479,8003081,213,60,2310,Unterfranken
8000575,8000575,54,30,210,Unterfranken
8000575,8005386,37,0,180,Unterfranken
8000575,8006274,51,30,240,Unterfranken
8000618,8000010,213,30,3720,Unterfranken
8000618,8000618,178,60,3720,Unterfranken
8000618,8000619,155,60,780,Unterfranken
8000619,8000010,42,30,120,Unterfranken
8000619,8000618,175,0,3720,Unterfranken
8000619,8000619,133,30,3720,Unterfranken
8000619,8003334,110,0,660,Unterfranken
8000619,8004558,85,0,780,Unterfranken
8000640,8000640,224,30,5250,Unterfranken
8000640,8001148,38,0,210,Unterfranken
8000640,8002089,401,45,5190,Unterfranken
8000640,8003324,30,30,120,Unterfranken
8000640,8003337,42,0,120,Unterfranken
8000714,8000714,85,30,690,Unterfranken
8000714,8001935,54,0,660,Unterfranken
8000714,8004629,54,0,600,Unterfranken
8000730,8000730,102,60,660,Unterfranken
8000730,8001290,54,0,360,Unterfranken
8000730,8003959,117,60,660,Unterfranken
8000730,8004169,231,150,660,Unterfranken
8000818,8000818,56,30,480,Unterfranken
8000818,8002333,50,45,240,Unterfranken
8000818,8003881,67,0,480,Unterfranken
8000902,8000902,84,30,990,Unterfranken
8000902,8001919,53,30,240,Unterfranken
8000902,8005523,126,60,990,Unterfranken
8001148,8000640,102,90,270,Unterfranken
8001148,8001148,76,60,270,Unterfranken
8001148,8006274,51,30,240,Unterfranken
8001225,8000479,91,45,420,Unterfranken
8001225,8001225,132,30,1320,Unterfranken
8001225,8001421,190,30,1320,Unterfranken
8001290,8000730,72,30,330,Unterfranken
8001290,8001290,65,0,360,Unterfranken
8001290,8004169,66,30,360,Unterfranken
8001293,8001293,232,75,2370,Unterfranken
8001293,8004040,163,120,600,Unterfranken
8001293,8005092,283,60,2340,Unterfranken
8001421,8001225,81,30,330,Unterfranken
8001421,8001421,131,30,1320,Unterfranken
8001421,8005198,193,60,1320,Unterfranken
8001435,8001435,47,0,600,Unterfranken
8001435,8002567,32,0,210,Unterfranken
8001435,8004090,72,0,600,Unterfranken
8001503,8001503,256,60,5220,Unterfranken
8001503,8005028,75,60,270,Unterfranken
8001503,8005666,448,90,5190,Unterfranken
8001619,8001619,98,60,720,Unterfranken
8001619,8004533,115,75,750,Unterfranken
8001619,8006635,107,60,540,Unterfranken
8001620,8000032,192,90,690,Unterfranken
8001620,8001620,105,60,750,Unterfranken
8001620,8004169,142,135,390,Unterfranken
8001620,8004629,95,60,420,Unterfranken
8001620,8004865,80,30,480,Unterfranken
8001620,8005199,65,30,360,Unterfranken
8001742,8001742,71,30,660,Unterfranken
8001742,8001935,79,30,600,Unterfranken
8001742,8006380,63,0,630,Unterfranken
8001848,8001848,223,30,5220,Unterfranken
8001848,8002287,189,60,3000,Unterfranken
8001848,8003337,81,15,630,Unterfranken
8001848,8004560,83,60,210,Unterfranken
8001848,8006538,473,30,5220,Unterfranken
8001919,8000902,106,30,960,Unterfranken
8001919,8001919,95,60,990,Unterfranken
8001919,8006147,73,60,270,Unterfranken
8001935,8000714,86,30,660,Unterfranken
8001935,8001742,84,30,690,Unterfranken
