from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000010,8000010,65,83,533,210,3900,Unterfranken
8000010,8000183,5,5,588,540,1410,Unterfranken
8000010,8000250,1,1,2760,2760,2760,Unterfranken
8000010,8000618,19,20,50,30,150,Unterfranken
8000010,8000619,4,5,126,30,480,Unterfranken
8000010,8002696,14,15,536,390,1290,Unterfranken
8000010,8002918,5,10,51,15,180,Unterfranken
8000010,8003143,1,1,570,570,570,Unterfranken
8000010,8003314,19,21,111,60,870,Unterfranken
8000010,8003334,1,1,180,180,180,Unterfranken
8000010,8003680,3,3,1210,900,1950,Unterfranken
8000010,8004560,7,7,86,60,180,Unterfranken
8000010,8100014,0,1,0,0,0,Unterfranken
8000010,8100024,1,1,1380,1380,1380,Unterfranken
8000032,8000032,141,169,299,120,3270,Unterfranken
8000032,8001620,16,16,322,120,1830,Unterfranken
8000032,8002630,14,17,152,90,900,Unterfranken
8000032,8004453,22,24,169,120,690,Unterfranken
8000032,8004865,9,17,4,30,90,Unterfranken
8000032,8005049,6,7,274,300,480,Unterfranken
8000032,8005198,2,2,120,120,120,Unterfranken
8000032,8005479,40,59,154,90,1710,Unterfranken
8000032,8006147,22,23,599,390,2910,Unterfranken
8000120,8000120,58,74,239,120,1980,Unterfranken
8000120,8003189,14,17,427,330,1290,Unterfranken
8000120,8003329,6,14,30,0,180,Unterfranken
8000120,8003548,21,28,88,45,450,Unterfranken
8000120,8005092,12,16,274,165,1200,Unterfranken
8000120,8006349,14,22,100,60,540,Unterfranken
8000479,8000479,27,40,107,60,450,Unterfranken
8000479,8001225,15,20,110,60,420,Unterfranken
8000479,8003081,18,20,141,120,480,Unterfranken
8000575,8000575,18,26,250,165,1110,Unterfranken
8000575,8005386,9,13,286,120,1320,Unterfranken
8000575,8006274,8,14,229,120,1020,Unterfranken
8000618,8000010,18,22,207,135,1170,Unterfranken
8000618,8000618,38,42,149,90,1080,Unterfranken
8000618,8000619,20,20,98,90,270,Unterfranken
8000619,8000010,4,6,115,135,240,Unterfranken
8000619,8000618,15,22,173,120,1080,Unterfranken
8000619,8000619,41,51,131,60,1080,Unterfranken
8000619,8003334,4,6,55,60,120,Unterfranken
8000619,8004558,13,18,115,60,450,Unterfranken
8000640,8000640,25,31,139,90,1170,Unterfranken
8000640,8001148,9,14,126,90,390,Unterfranken
8000640,8002089,10,16,154,75,1170,Unterfranken
8000640,8003324,10,22,71,0,420,Unterfranken
8000640,8003337,8,12,118,105,360,Unterfranken
