from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8001071,8001071,47,0,630,Weser-Ems
8001071,8003632,48,0,660,Weser-Ems
8001201,8001201,107,60,300,Weser-Ems
8001201,8003288,102,60,300,Weser-Ems
8001201,8003956,128,120,300,Weser-Ems
8002615,8002615,402,90,3540,Weser-Ems
8002615,8003640,30,0,120,Weser-Ems
8002615,8004208,124,30,1800,Weser-Ems
8003956,8001201,102,60,300,Weser-Ems
8003956,8003956,115,90,330,Weser-Ems
8003956,8006367,164,150,360,Weser-Ems
8004208,8002615,490,360,2430,Weser-Ems
8004208,8003640,120,0,1860,Weser-Ems
8004208,8004208,302,60,2460,Weser-Ems
8004689,8003491,103,60,360,Weser-Ems
8004689,8004689,75,45,360,Weser-Ems
8004689,8006503,60,30,180,Weser-Ems
8005262,8002915,60,30,240,Weser-Ems
8005262,8005262,99,60,300,Weser-Ems
8005262,8005436,131,90,390,Weser-Ems
8005436,8005262,99,60,300,Weser-Ems
8005436,8005436,102,75,390,Weser-Ems
8005436,8400483,75,30,360,Weser-Ems
8006367,8003956,90,60,270,Weser-Ems
8006367,8006367,121,90,360,Weser-Ems
8006367,8006503,160,120,390,Weser-Ems
8006503,8004689,138,90,390,Weser-Ems
8006503,8006367,77,60,240,Weser-Ems
8006503,8006503,123,120,420,Weser-Ems
