from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8001071,8001071,30,40,384,120,3900,Weser-Ems
8001071,8003632,14,20,310,150,2640,Weser-Ems
8001201,8001201,34,38,450,405,1770,Weser-Ems
8001201,8003288,19,19,595,510,1740,Weser-Ems
8001201,8003956,16,19,357,300,990,Weser-Ems
8002615,8002615,65,74,247,75,2100,Weser-Ems
8002615,8003640,6,8,296,45,2130,Weser-Ems
8002615,8004208,25,29,74,30,510,Weser-Ems
8003956,8001201,18,19,605,510,1770,Weser-Ems
8003956,8003956,36,38,493,435,1740,Weser-Ems
8003956,8006367,19,19,444,360,1140,Weser-Ems
8004208,8002615,27,29,342,300,1380,Weser-Ems
8004208,8003640,19,29,64,30,450,Weser-Ems
8004208,8004208,46,58,198,60,1350,Weser-Ems
8004689,8003491,19,19,524,570,1140,Weser-Ems
8004689,8004689,38,38,493,360,1680,Weser-Ems
8004689,8006503,18,18,502,345,1680,Weser-Ems
8005262,8002915,18,18,397,210,1590,Weser-Ems
8005262,8005262,35,36,465,330,1500,Weser-Ems
8005262,8005436,18,18,578,585,1170,Weser-Ems
8005436,8005262,17,18,370,210,1530,Weser-Ems
8005436,8005436,35,36,456,285,1500,Weser-Ems
8005436,8400483,18,18,627,645,1470,Weser-Ems
8006367,8003956,18,19,568,480,1740,Weser-Ems
8006367,8006367,37,38,500,375,1710,Weser-Ems
8006367,8006503,19,19,482,390,1170,Weser-Ems
8006503,8004689,18,18,550,600,1110,Weser-Ems
8006503,8006367,18,19,545,450,1680,Weser-Ems
8006503,8006503,38,38,527,450,1680,Weser-Ems
