region_name,section_count,delay_count,avg_delay,median_delay,max_delay,total_entries,date
Arnsberg,446.0,12165.0,135.73149023752572,45.0,4440.0,17977.0,2023-09-25
Berlin,76.0,6400.0,80.7054312427776,30.0,4020.0,9519.0,2023-09-25
Brandenburg,961.0,14440.0,82.72287745059752,30.0,4440.0,25606.0,2023-09-25
Braunschweig,137.0,2121.0,117.59828046249629,30.0,1920.0,3373.0,2023-09-25
Bremen,9.0,69.0,201.87179487179486,135.0,1200.0,78.0,2023-09-25
Chemnitz,296.0,3880.0,62.671844068828996,30.0,1620.0,6567.0,2023-09-25
Darmstadt,474.0,16768.0,175.26070021688133,90.0,10740.0,22593.0,2023-09-25
Dessau,203.0,3730.0,162.95051413881748,60.0,3090.0,4668.0,2023-09-25
Detmold,119.0,2007.0,202.33257477243174,60.0,2880.0,3076.0,2023-09-25
Dresden,344.0,6878.0,98.22157092614303,30.0,3900.0,11942.0,2023-09-25
Düsseldorf,412.0,23286.0,324.588766462381,90.0,6180.0,30676.0,2023-09-25
Freiburg,371.0,5185.0,169.75738125802312,60.0,9150.0,7790.0,2023-09-25
Gießen,158.0,3151.0,711.205268389662,105.0,21060.0,4024.0,2023-09-25
Halle,261.0,4352.0,170.25966934627635,30.0,2940.0,6593.0,2023-09-25
Hamburg,36.0,5135.0,102.76756051257712,30.0,2310.0,8428.0,2023-09-25
Hannover,253.0,7265.0,223.40054495912807,60.0,8760.0,9909.0,2023-09-25
Karlsruhe,677.0,19466.0,197.20587442737806,60.0,3840.0,25977.0,2023-09-25
Kassel,254.0,4927.0,233.65901089689856,105.0,10230.0,5965.0,2023-09-25
Koblenz,369.0,7751.0,208.7399420079739,60.0,12270.0,11036.0,2023-09-25
Köln,484.0,22159.0,225.60585169547434,90.0,6300.0,30316.0,2023-09-25
Leipzig,300.0,10197.0,89.67972990864557,30.0,2790.0,15106.0,2023-09-25
Luneburg,138.0,2258.0,181.5880716934487,90.0,3000.0,3236.0,2023-09-25
Magdeburg,357.0,6930.0,148.21287336979387,60.0,2760.0,9508.0,2023-09-25
Mecklenburg-Vorpommern,527.0,5945.0,80.34660585862129,30.0,3900.0,11402.0,2023-09-25
Mittelfranken,419.0,10925.0,100.38858206267258,30.0,2790.0,16658.0,2023-09-25
Munster,230.0,6238.0,186.08274319791278,90.0,10800.0,8049.0,2023-09-25
Niederbayern,143.0,2584.0,194.1759792626728,90.0,3960.0,3472.0,2023-09-25
Oberbayern,863.0,48887.0,217.94312677467846,120.0,5670.0,59870.0,2023-09-25
Oberfranken,267.0,3704.0,125.40866366979975,60.0,1680.0,4894.0,2023-09-25
Oberpfalz,160.0,1308.0,202.12207357859532,105.0,2610.0,1794.0,2023-09-25
Rheinhessen-Pfalz,708.0,17036.0,205.75499116607773,90.0,4050.0,22640.0,2023-09-25
Saarland,245.0,6520.0,202.5810965817848,60.0,4920.0,8718.0,2023-09-25
Schleswig-Holstein,136.0,2807.0,269.2128851540616,120.0,3270.0,3927.0,2023-09-25
Schwaben,357.0,6961.0,234.16714922049,120.0,3390.0,8980.0,2023-09-25
Stuttgart,504.0,12133.0,216.16759075907592,120.0,4680.0,15150.0,2023-09-25
Thüringen,950.0,11396.0,114.0455764075067,45.0,2340.0,18277.0,2023-09-25
Trier,160.0,4319.0,216.79996309282154,82.5,5130.0,5419.0,2023-09-25
Tübingen,386.0,6644.0,185.1272770286255,105.0,2760.0,8454.0,2023-09-25
Unterfranken,365.0,6709.0,200.57297471067295,60.0,6180.0,9332.0,2023-09-25
Weser-Ems,29.0,698.0,201.42768850432634,120.0,1830.0,809.0,2023-09-25
