eva,name,lat,lon
8013222,Walsleben,52.947039,12.679027
8011093,Bärenklau,52.704043,13.143526
8089478,Bamberg Bahnhof,49.900504,10.898615
8003905,Marzling,48.410401,11.800108
367558,"Lohrsdorf Greener Weg, Bad Neuenahr-Ahrweiler",50.54951,7.185889
320030,"Waldfriedhof, Schwerin (Meckl)",53.593868,11.416356
8002976,Holzhausen(Kr Siegen),50.739322,8.135495
8007632,Tegernsee,47.7144755,11.7566156
8011058,Jena Saalbf,50.93692,11.593783
8001897,Essen Süd,51.439295,7.023098
490387,"Engstlatt Rathaus, Balingen",48.301027,8.874367
735490,"Caputh Schule, Schwielowsee",52.346705,12.99335
8012941,Schwarzheide Ost,51.473649,13.890799
8002146,Fürstenzell,48.51318,13.333817
8002753,Hennef(Sieg),50.773332,7.284592
8006137,Waghäusel,49.248186,8.508313
620139,"Arnbach Maibaum, Schwabhausen b Dachau",48.337986,11.345506
8003954,Meldorf,54.087771,9.080085
8000713,Bad Honnef(Rhein),50.639772,7.219533
626196,"Bahnhof Westseite, Unterschleißheim",48.272736,11.567714
8004752,Trier-Pallien,49.7642,6.63014
101808,"Stadion Osttribüne, Frankfurt a.M.",50.068906,8.651683
8000389,Hochdorf(b Horb),48.482485,8.724052
420353,"Gerlachsheim Sonne, Lauda-Königshofen",49.580038,9.718127
8005947,Uffenheim,49.551264,10.242887
8001054,Bodenwöhr Nord,49.278381,12.325948
8000390,Hochneukirch,51.103293,6.466316
627888,"Hauptstraße 13, Agathenburg",53.565774,9.526397
8010261,Oebisfelde,52.439275,10.983852
8012516,Nordhausen-Salza,51.515111,10.77314
8006061,Vechta,52.728904,8.280367
119148,"Mittel-Gründau Weißwiesenstraße, Gründau",50.230996,9.11498
127679,"Mümling-Grumbach B45, Höchst i. Odw.",49.772315,8.991846
8005903,Triefenried,48.969669,13.052686
8005923,Tüßling,48.2118803,12.5890768
8000206,Koblenz Hbf,50.350929,7.588345
8002494,Hachenburg,50.664001,7.822895
8006669,Blumberg-Zollhaus,47.837798,8.557175
8002290,Glesch,50.971261,6.589633
8005750,Straßberg-Winterlingen,48.178747,9.087718
8012727,Rechenberg,50.733931,13.559902
8001489,Dörverden,52.846407,9.246334
8003664,Leutershausen-Wiedersbach,49.2949,10.4401
8005714,Steinsfurt,49.235822,8.907978
8005409,Schönmünzach,48.605345,8.369354
698792,"Bahnhof, Rieseby",54.541305,9.820675
8006624,Wurlitz,50.253194,11.99001
8000410,Abensberg,48.819456,11.84662
8006436,Wildeshausen,52.89782,8.431422
8005724,Stetten am Heuchelberg,49.136913,9.014726
8004616,Swisttal-Odendorf,50.651162,6.879764
8071256,Kavelstorf Neubau,54.0098021,12.1994457
8001694,Ehringshausen(Kr Wetzlar),50.595066,8.383841
8007061,Boostedt,54.017738,10.0162
8011802,Hainichen,50.968095,13.119057
8000544,Altglashütten-Falkau,47.859392,8.114113
8010116,Freital-Hainsberg,50.988898,13.637938
8002641,Hattorf,51.646223,10.235999
940401,"Langensteinbach Volksbank, Karlsbad",48.912624,8.505807
8002754,Hennen,51.437155,7.646847
8001406,Dellfeld,49.227782,7.469169
8000865,Bempflingen,48.572364,9.273425
8002814,Hettenhausen,50.448397,9.814657
8005723,Stetten(Donau),48.022814,8.872354
8011072,Bad Elster,50.296672,12.256286
8070019,Kasbach,50.585644,7.260031
8002014,Flomersheim,49.513958,8.333801
8000515,Altenau(Bay),47.648365,11.017375
8002773,Hergershausen,49.936802,8.916575
8001225,Buchbrunn-Mainstockheim,49.763284,10.145179
8005023,Reinsbüttel,54.181206,8.906647
8001330,Cham(Oberpf),49.221869,12.656832
