eva,name,lat,lon,region_name,state_name
8000206,Koblenz Hbf,50.350929,7.588345,Koblenz,Rheinland-Pfalz
8010406,Berlin Zoologischer Garten,52.5073407,13.3324447,Berlin,Berlin
8000266,Wuppertal Hbf,51.254363,7.149543,Düsseldorf,Nordrhein-Westfalen
8004610,Westerstede-Ocholt,53.202166,7.886468,Weser-Ems,Niedersachsen
8010184,Chemnitz Hbf,50.839696,12.930877,Chemnitz,Sachsen
8003200,Kassel-Wilhelmshöhe,51.3125585,9.44711566,Kassel,Hessen
8000036,Bielefeld Hbf,52.029261,8.532722,Detmold,Nordrhein-Westfalen
8000107,Freiburg(Breisgau) Hbf,47.997697,7.84117,Freiburg,Baden-Württemberg
8000286,Oberhausen Hbf,51.474878,6.851588,Düsseldorf,Nordrhein-Westfalen
8000309,Regensburg Hbf,49.011672,12.099617,Oberpfalz,Bayern
8001080,Bondorf(b Herrenberg),48.523552,8.827662,Stuttgart,Baden-Württemberg
8013487,Oranienburg,52.753653,13.249613,Brandenburg,Brandenburg
8010101,Erfurt Hbf,50.9723561,11.0379928,Thüringen,Thüringen
8010220,Lübbenau(Spreewald),51.862169,13.9609,Brandenburg,Brandenburg
8010306,Rudolstadt(Thür),50.7179313,11.3388991,Thüringen,Thüringen
8079021,Maasbüll(b Niebüll),54.75445,8.812742,Schleswig-Holstein,Schleswig-Holstein
8010085,Dresden Hbf,51.040563,13.732035,Dresden,Sachsen
8000284,Nürnberg Hbf,49.445616,11.082989,Mittelfranken,Bayern
8000086,Duisburg Hbf,51.429785,6.775903,Düsseldorf,Nordrhein-Westfalen
8000029,Bebra,50.969568,9.797788,Kassel,Hessen
8000227,Letmathe,51.362838,7.618397,Arnsberg,Nordrhein-Westfalen
8010338,Stralsund Hbf,54.308626,13.077321,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000170,Ulm Hbf,48.3993985,9.98260796,Tübingen,Baden-Württemberg
8002548,Hamburg Dammtor,53.560751,9.989566,Hamburg,Hamburg
8011201,Flughafen BER,52.3648038,13.5119498,Brandenburg,Brandenburg
8005609,Sonthofen,47.5132841,10.2720934,Schwaben,Bayern
8001844,Erlangen,49.5958303,11.0016382,Mittelfranken,Bayern
8003303,Klanxbüll,54.861997,8.676454,Schleswig-Holstein,Schleswig-Holstein
8011160,Berlin Hbf,52.525592,13.369545,Berlin,Berlin
8011113,Berlin Südkreuz,52.475047,13.365319,Berlin,Berlin
8010097,Eisenach Hbf,50.976922,10.331986,Thüringen,Thüringen
8000001,Aachen Hbf,50.7678,6.091499,Köln,Nordrhein-Westfalen
8002166,Gäufelden,48.559661,8.850308,Stuttgart,Baden-Württemberg
8000228,Lichtenfels,50.146452,11.059472,Oberfranken,Bayern
8010193,Königs Wusterhausen,52.296635,13.631472,Brandenburg,Brandenburg
8000009,Ansbach,49.298032,10.578239,Mittelfranken,Bayern
8010115,Freiberg(Sachs),50.908725,13.344141,Chemnitz,Sachsen
8010133,Jena-Göschwitz,50.883942,11.593537,Thüringen,Thüringen
8011191,Ostseebad Binz,54.404819,13.600507,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000196,Warburg(Westf),51.492953,9.163845,Detmold,Nordrhein-Westfalen
8000189,Kaiserslautern Hbf,49.4358593,7.76862681,Rheinhessen-Pfalz,Rheinland-Pfalz
8002549,Hamburg Hbf,53.552736,10.006909,Hamburg,Hamburg
8010050,Bitterfeld,51.622861,12.31685,Dessau,Sachsen-Anhalt
8000961,Dortmund-Hörde,51.487782,7.500029,Arnsberg,Nordrhein-Westfalen
8000049,Braunschweig Hbf,52.252218,10.540295,Braunschweig,Niedersachsen
8000214,Kreuztal,50.956029,7.991696,Arnsberg,Nordrhein-Westfalen
8010109,Schönefeld(bei Berlin),52.391062,13.51271,Brandenburg,Brandenburg
8006421,Wiesloch-Walldorf,49.291353,8.664146,Karlsruhe,Baden-Württemberg
8000208,Köln-Ehrenfeld,50.951533,6.917276,Köln,Nordrhein-Westfalen
8010382,Wittenberge,53.003115,11.762871,Brandenburg,Brandenburg
8000098,Essen Hbf,51.451355,7.014793,Düsseldorf,Nordrhein-Westfalen
8000139,Günzburg,48.4605626,10.2792621,Schwaben,Bayern
8000235,Ludwigsburg,48.891862,9.18542,Stuttgart,Baden-Württemberg
8000192,Wanne-Eickel Hbf,51.531256,7.165783,Arnsberg,Nordrhein-Westfalen
8010309,Saalfeld(Saale),50.6502734,11.3745832,Thüringen,Thüringen
8013236,Warnemünde,54.176852,12.091271,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000275,Neustadt(Weinstr)Hbf,49.349553,8.140757,Rheinhessen-Pfalz,Rheinland-Pfalz
8000116,Traunstein,47.869727,12.638801,Oberbayern,Bayern
8010077,Dessau Hbf,51.839865,12.234945,Dessau,Sachsen-Anhalt
8000025,Bamberg,49.900759,10.899489,Oberfranken,Bayern
8001790,Engen,47.856347,8.772786,Freiburg,Baden-Württemberg
8004158,München-Pasing,48.149852,11.461872,Oberbayern,Bayern
8005556,Siegburg/Bonn,50.793915,7.203026,Köln,Nordrhein-Westfalen
8010125,Gera Hbf,50.883421,12.077092,Thüringen,Thüringen
8000181,Husum,54.4720826,9.05595303,Schleswig-Holstein,Schleswig-Holstein
8000240,Mainz Hbf,50.001117,8.25872,Rheinhessen-Pfalz,Rheinland-Pfalz
8000329,Schwäbisch Gmünd,48.801011,9.787795,Stuttgart,Baden-Württemberg
8012666,Potsdam Hbf,52.391509,13.0667031,Brandenburg,Brandenburg
8003222,Keitum,54.888814,8.368969,Schleswig-Holstein,Schleswig-Holstein
8000150,Hanau Hbf,50.120953,8.929,Darmstadt,Hessen
8006076,Verden(Aller),52.920818,9.237855,Luneburg,Niedersachsen
8000298,Passau Hbf,48.573632,13.450776,Niederbayern,Bayern
8010018,Bad Kleinen,53.766974,11.466925,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
8000101,Eutingen im Gäu,48.479952,8.782236,Karlsruhe,Baden-Württemberg
8006339,Werdohl,51.259485,7.757544,Arnsberg,Nordrhein-Westfalen
8000124,Gießen,50.579059,8.661462,Gießen,Hessen
8000251,Witten Hbf,51.435544,7.329442,Arnsberg,Nordrhein-Westfalen
8000050,Bremen Hbf,53.083481,8.813834,Bremen,Bremen
8005776,Stuttgart-Vaihingen,48.726279,9.113226,Stuttgart,Baden-Württemberg
8000115,Fulda,50.5549058,9.68416929,Kassel,Hessen
8000238,Lüneburg,53.249656,10.41989,Luneburg,Niedersachsen
8010113,Frankfurt(Oder),52.336416,14.546496,Brandenburg,Brandenburg
8003515,Landstuhl,49.416287,7.565931,Rheinhessen-Pfalz,Rheinland-Pfalz
8000002,Aalen Hbf,48.841013,10.096271,Stuttgart,Baden-Württemberg
