date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8000001,8000001,50,81,96
2023-04-01,8000001,8000085,12,19,38
2023-04-01,8000001,8000086,18,21,211
2023-04-01,8000001,8000207,6,7,227
2023-04-01,8000001,8000208,29,37,320
2023-04-01,8000001,8005556,0,1,0
2023-04-01,8000002,8000078,8,15,32
2023-04-01,8000002,8000170,6,7,34
2023-04-01,8000004,8000004,12,27,149
2023-04-01,8000004,8000196,10,14,236
2023-04-01,8000004,8000297,18,52,26
2023-04-01,8000009,8000009,69,89,124
2023-04-01,8000009,8000067,12,15,136
2023-04-01,8000009,8000091,9,19,27
2023-04-01,8000009,8000122,12,20,122
2023-04-01,8000009,8000284,44,57,124
2023-04-01,8000013,8000013,70,103,292
2023-04-01,8000013,8000057,14,39,23
2023-04-01,8000013,8000139,22,32,257
2023-04-01,8000013,8000170,23,28,148
2023-04-01,8000013,8000261,6,6,410
2023-04-01,8000013,8004158,43,67,281
2023-04-01,8000025,8000025,84,112,333
2023-04-01,8000025,8000228,36,51,204
2023-04-01,8000025,8000260,18,19,152
2023-04-01,8000025,8000284,6,6,95
2023-04-01,8000025,8001844,54,69,269
2023-04-01,8000025,8010101,10,14,362
2023-04-01,8000029,8000029,49,56,204
2023-04-01,8000029,8000115,19,22,281
2023-04-01,8000029,8000128,2,2,60
2023-04-01,8000029,8003200,21,27,158
2023-04-01,8000029,8010097,11,11,164
2023-04-01,8000031,8000031,94,120,120
2023-04-01,8000031,8000068,27,27,159
2023-04-01,8000031,8000377,55,78,87
2023-04-01,8000036,8000036,110,119,724
2023-04-01,8000036,8000149,26,30,370
2023-04-01,8000036,8000152,29,29,1612
2023-04-01,8000036,8000162,62,74,377
2023-04-01,8000036,8000252,1,1,330
2023-04-01,8000036,8002461,43,65,96
2023-04-01,8000039,8000039,65,77,383
2023-04-01,8000039,8000045,29,33,131
2023-04-01,8000039,8000105,1,1,1350
2023-04-01,8000039,8000189,19,22,157
2023-04-01,8000039,8000206,3,3,960
2023-04-01,8000039,8000240,29,35,513
2023-04-01,8000041,8000041,144,232,209
2023-04-01,8000041,8000080,61,66,148
2023-04-01,8000041,8000098,89,117,347
2023-04-01,8000041,8000192,17,22,49
2023-04-01,8000041,8000251,12,34,36
2023-04-01,8000041,8000961,15,15,412
2023-04-01,8000044,8000044,131,167,483
2023-04-01,8000044,8000206,16,16,966
2023-04-01,8000044,8000207,78,90,343
2023-04-01,8000044,8000310,55,63,598
2023-04-01,8000045,8000039,28,34,325
2023-04-01,8000045,8000045,54,68,244
2023-04-01,8000045,8000206,25,34,131
2023-04-01,8000046,8000046,23,24,269
2023-04-01,8000046,8000074,12,12,278
2023-04-01,8000046,8000532,2,2,210
2023-04-01,8000046,8003020,33,39,195
2023-04-01,8000046,8005556,17,18,200
2023-04-01,8000049,8000049,37,49,402
2023-04-01,8000049,8000128,8,9,523
2023-04-01,8000049,8000152,12,16,294
2023-04-01,8000049,8000159,20,25,234
2023-04-01,8000049,8006552,2,2,255
2023-04-01,8000049,8010224,11,15,620
2023-04-01,8000050,8000050,78,93,361
2023-04-01,8000050,8000070,27,29,624
2023-04-01,8000050,8000147,16,18,763
2023-04-01,8000050,8000152,1,2,-15
2023-04-01,8000050,8000263,4,4,870
2023-04-01,8000050,8000294,17,19,262
2023-04-01,8000050,8001443,18,22,225
2023-04-01,8000050,8006076,16,26,47
2023-04-01,8000055,8000055,173,285,107
2023-04-01,8000055,8000096,5,7,69
2023-04-01,8000055,8000156,1,1,30
2023-04-01,8000055,8000191,6,6,165
2023-04-01,8000055,8000236,2,2,195
2023-04-01,8000055,8000339,9,11,33
2023-04-01,8000055,8003184,103,131,166
2023-04-01,8000055,8006053,7,14,69
2023-04-01,8000055,8006421,38,61,88
2023-04-01,8000057,8000013,29,39,150
2023-04-01,8000057,8000057,111,145,145
2023-04-01,8000057,8000194,35,50,60
2023-04-01,8000057,8000249,21,27,129
2023-04-01,8000057,8004158,43,46,207
2023-04-01,8000058,8000058,27,34,194
2023-04-01,8000058,8002549,1,5,6
2023-04-01,8000058,8002554,13,21,154
2023-04-01,8000058,8010216,6,7,184
2023-04-01,8000058,8010324,9,10,258
2023-04-01,8000059,8000059,36,48,164
2023-04-01,8000059,8000162,23,35,130
2023-04-01,8000059,8000252,2,2,150
2023-04-01,8000059,8000294,20,24,221
2023-04-01,8000059,8000732,1,2,60
2023-04-01,8000064,8000064,16,19,144
2023-04-01,8000064,8000152,33,48,77
2023-04-01,8000064,8000168,9,10,162
2023-04-01,8000067,8000009,14,15,230
2023-04-01,8000067,8000067,26,29,136
2023-04-01,8000067,8000096,13,16,98
2023-04-01,8000068,8000031,21,28,137
2023-04-01,8000068,8000068,49,56,151
2023-04-01,8000068,8000105,30,45,96
2023-04-01,8000068,8000377,1,1,180
2023-04-01,8000068,8002041,32,49,48
2023-04-01,8000070,8000050,21,29,93
2023-04-01,8000070,8000070,46,58,367
2023-04-01,8000070,8000291,1,2,30
2023-04-01,8000070,8000522,21,27,650
2023-04-01,8000073,8000073,42,69,686
2023-04-01,8000073,8000163,10,13,932
2023-04-01,8000073,8001790,26,34,1489
2023-04-01,8000073,8003400,16,21,579
2023-04-01,8000074,8000046,11,11,199
2023-04-01,8000074,8000074,14,14,216
2023-04-01,8000074,8000383,26,26,182
2023-04-01,8000076,8000076,56,93,166
2023-04-01,8000076,8000149,22,33,62
2023-04-01,8000076,8000571,33,47,245
2023-04-01,8000076,8000961,36,44,125
2023-04-01,8000078,8000002,11,16,66
2023-04-01,8000078,8000013,0,6,0
2023-04-01,8000078,8000078,2,6,15
2023-04-01,8000078,8000122,9,18,92
2023-04-01,8000080,8000041,62,68,361
2023-04-01,8000080,8000080,163,183,548
2023-04-01,8000080,8000085,3,7,-43
2023-04-01,8000080,8000086,16,17,1027
2023-04-01,8000080,8000118,25,25,466
2023-04-01,8000080,8000142,33,37,205
2023-04-01,8000080,8000149,84,86,846
2023-04-01,8000080,8000192,68,84,202
2023-04-01,8000080,8000251,69,77,129
2023-04-01,8000080,8000263,3,6,190
2023-04-01,8000080,8000307,18,19,155
2023-04-01,8000080,8000961,62,79,79
2023-04-01,8000082,8000082,172,232,473
2023-04-01,8000082,8000085,94,111,682
2023-04-01,8000082,8000086,96,121,338
2023-04-01,8000085,8000001,18,19,254
2023-04-01,8000085,8000080,5,5,1242
2023-04-01,8000085,8000082,87,121,286
2023-04-01,8000085,8000085,537,684,310
2023-04-01,8000085,8000086,30,31,717
2023-04-01,8000085,8000098,33,44,153
2023-04-01,8000085,8000118,1,1,570
