date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8000033,8000033,128,193,193
2023-04-01,8000033,8001795,38,54,294
2023-04-01,8000033,8002268,20,42,154
2023-04-01,8000033,8005488,32,43,57
2023-04-01,8000033,8006719,48,54,234
2023-04-01,8000037,8000037,113,147,137
2023-04-01,8000037,8000113,6,20,24
2023-04-01,8000037,8000171,2,2,450
2023-04-01,8000037,8000392,25,33,290
2023-04-01,8000037,8001524,12,19,38
2023-04-01,8000037,8001795,33,33,197
2023-04-01,8000037,8001836,10,20,57
2023-04-01,8000054,8000054,36,66,47
2023-04-01,8000054,8001137,3,6,40
2023-04-01,8000054,8001182,14,18,85
2023-04-01,8000054,8002992,4,9,37
2023-04-01,8000054,8004676,10,27,17
2023-04-01,8000054,8006453,3,13,14
2023-04-01,8000081,8000081,151,243,159
2023-04-01,8000081,8001531,32,43,108
2023-04-01,8000081,8001542,15,37,56
2023-04-01,8000081,8003946,5,37,67
2023-04-01,8000081,8004230,42,42,511
2023-04-01,8000113,8000037,13,18,37
2023-04-01,8000113,8000113,49,81,110
2023-04-01,8000113,8001066,1,16,2
2023-04-01,8000113,8006389,25,41,95
2023-04-01,8000164,8000164,218,253,337
2023-04-01,8000164,8000887,12,19,112
2023-04-01,8000164,8001327,76,85,333
2023-04-01,8000164,8001515,16,16,956
2023-04-01,8000164,8001537,8,8,1125
2023-04-01,8000164,8001900,43,44,613
2023-04-01,8000164,8001909,22,24,304
2023-04-01,8000164,8002227,14,23,130
2023-04-01,8000164,8002779,14,17,125
2023-04-01,8000171,8000037,2,2,45
2023-04-01,8000171,8000171,114,163,228
2023-04-01,8000171,8000392,40,65,116
2023-04-01,8000171,8001061,30,33,348
2023-04-01,8000171,8003788,20,31,146
2023-04-01,8000171,8003925,17,37,63
2023-04-01,8000171,8006226,15,15,514
2023-04-01,8000171,8006449,5,5,438
2023-04-01,8000186,8003090,0,19,0
2023-04-01,8000186,8003657,1,32,8
2023-04-01,8000239,8000239,23,35,78
2023-04-01,8000239,8001097,9,18,67
2023-04-01,8000239,8004883,16,39,41
2023-04-01,8000358,8000358,67,83,299
2023-04-01,8000358,8004269,26,41,56
2023-04-01,8000358,8004474,42,42,544
2023-04-01,8000392,8000037,31,33,144
2023-04-01,8000392,8000171,46,65,217
2023-04-01,8000392,8000392,97,130,168
2023-04-01,8000392,8001545,28,32,113
2023-04-01,8000605,8000605,57,81,101
2023-04-01,8000605,8004228,26,40,101
2023-04-01,8000605,8004642,29,41,91
2023-04-01,8000745,8000745,30,67,103
2023-04-01,8000745,8001093,17,33,61
2023-04-01,8000745,8001394,14,33,154
2023-04-01,8000793,8000793,2,30,10
2023-04-01,8000793,8002180,2,15,18
2023-04-01,8000793,8005289,0,15,0
2023-04-01,8000904,8000904,3,6,50
2023-04-01,8000904,8001137,0,2,0
2023-04-01,8000904,8003998,2,4,60
2023-04-01,8000927,8000927,64,75,107
2023-04-01,8000927,8000966,12,12,128
2023-04-01,8000927,8003993,33,42,112
2023-04-01,8000927,8004676,18,25,84
2023-04-01,8000966,8000927,13,13,295
2023-04-01,8000966,8000966,25,25,229
2023-04-01,8000966,8005555,12,12,182
2023-04-01,8000977,8000977,34,92,38
2023-04-01,8000977,8006386,9,46,17
2023-04-01,8000978,8000978,2,30,10
2023-04-01,8000978,8003638,0,15,0
2023-04-01,8000978,8006109,2,15,18
2023-04-01,8001035,8001035,25,44,62
2023-04-01,8001035,8006710,19,22,139
2023-04-01,8001038,8001038,37,80,31
2023-04-01,8001038,8002639,12,40,29
2023-04-01,8001038,8006194,12,40,20
2023-04-01,8001039,8001039,71,85,292
2023-04-01,8001039,8004474,23,41,42
2023-04-01,8001039,8006227,42,42,523
2023-04-01,8001045,8001045,51,73,143
2023-04-01,8001045,8002680,15,18,240
2023-04-01,8001045,8003986,28,34,482
2023-04-01,8001045,8006323,12,21,133
2023-04-01,8001061,8000171,25,33,155
2023-04-01,8001061,8001061,54,66,257
2023-04-01,8001061,8001558,17,17,632
2023-04-01,8001066,8000113,10,15,34
2023-04-01,8001066,8001066,11,31,19
2023-04-01,8001066,8003967,3,16,13
2023-04-01,8001093,8000745,15,34,140
2023-04-01,8001093,8001093,30,67,91
2023-04-01,8001093,8006323,20,33,60
2023-04-01,8001097,8000239,17,17,88
2023-04-01,8001097,8001097,34,35,62
2023-04-01,8001097,8005526,18,18,138
2023-04-01,8001137,8000054,0,6,0
2023-04-01,8001137,8000904,3,4,105
2023-04-01,8001137,8001137,11,32,30
2023-04-01,8001137,8002992,3,7,39
2023-04-01,8001137,8003896,3,15,18
2023-04-01,8001182,8000054,17,18,63
2023-04-01,8001213,8002535,10,16,30
2023-04-01,8001357,8001357,32,40,141
2023-04-01,8001357,8002514,18,20,160
2023-04-01,8001357,8005227,17,20,177
2023-04-01,8001358,8001358,3,4,135
2023-04-01,8001358,8002835,1,2,30
2023-04-01,8001358,8003424,2,2,255
2023-04-01,8001394,8000745,26,32,69
2023-04-01,8001394,8001394,45,65,116
2023-04-01,8001394,8001692,19,33,172
2023-04-01,8001505,8001505,68,86,144
2023-04-01,8001505,8001525,22,43,82
2023-04-01,8001505,8001531,34,43,173
2023-04-01,8001515,8000164,17,17,374
2023-04-01,8001515,8001515,54,61,429
2023-04-01,8001515,8001537,27,30,660
2023-04-01,8001515,8006226,13,14,182
2023-04-01,8001516,8001549,35,38,102
2023-04-01,8001517,8001517,39,74,73
2023-04-01,8001517,8001529,21,37,96
2023-04-01,8001517,8001535,11,37,43
2023-04-01,8001518,8001518,25,74,57
2023-04-01,8001518,8001520,7,37,66
2023-04-01,8001518,8003946,18,37,45
2023-04-01,8001519,8001519,52,86,130
2023-04-01,8001519,8001525,32,43,198
2023-04-01,8001519,8001543,20,43,68
2023-04-01,8001520,8001518,6,37,33
2023-04-01,8001520,8001520,19,74,55
2023-04-01,8001520,8003916,31,37,90
2023-04-01,8001521,8001521,26,38,147
2023-04-01,8001521,8001522,10,19,115
2023-04-01,8001521,8001534,15,19,178
2023-04-01,8001522,8001521,16,19,201
2023-04-01,8001522,8001522,127,147,126
2023-04-01,8001522,8001523,14,22,42
2023-04-01,8001522,8001524,24,26,106
2023-04-01,8001522,8001545,10,10,216
2023-04-01,8001523,8001522,18,22,95
2023-04-01,8001523,8001523,33,44,65
2023-04-01,8001523,8001545,17,22,57
2023-04-01,8001524,8000037,24,26,136
2023-04-01,8001524,8001522,15,19,66
2023-04-01,8001524,8001524,35,45,83
2023-04-01,8001525,8001505,29,43,186
2023-04-01,8001525,8001519,20,43,67
2023-04-01,8001525,8001525,50,86,133
2023-04-01,8001526,8001526,36,74,65
2023-04-01,8001526,8001529,31,37,88
2023-04-01,8001526,8003936,4,37,66
2023-04-01,8001527,8001527,66,82,77
2023-04-01,8001527,8001536,23,41,48
2023-04-01,8001528,8001329,14,17,154
2023-04-01,8001528,8001528,31,34,154
2023-04-01,8001528,8001539,13,17,136
2023-04-01,8001529,8001517,20,37,62
2023-04-01,8001529,8001526,4,37,68
2023-04-01,8001529,8001529,51,74,79
2023-04-01,8001530,8001530,46,79,55
2023-04-01,8001530,8001533,14,39,40
2023-04-01,8001530,8004883,24,40,62
2023-04-01,8001531,8000081,27,43,165
2023-04-01,8001531,8001505,34,43,90
2023-04-01,8001531,8001531,51,86,122
2023-04-01,8001532,8001532,31,34,161
2023-04-01,8001532,8001544,17,17,205
2023-04-01,8001533,8001530,32,40,76
2023-04-01,8001533,8001533,45,79,50
2023-04-01,8001534,8001521,4,19,101
2023-04-01,8001534,8001534,19,38,135
2023-04-01,8001534,8001538,16,19,183
2023-04-01,8001535,8001517,16,37,75
2023-04-01,8001535,8001535,41,74,66
2023-04-01,8001535,8003916,17,37,48
2023-04-01,8001536,8001527,28,41,63
2023-04-01,8001536,8001536,46,82,50
2023-04-01,8001536,8006510,31,41,64
2023-04-01,8001537,8000164,7,7,347
2023-04-01,8001537,8001515,27,31,202
2023-04-01,8001537,8001537,64,76,494
2023-04-01,8001537,8003169,35,38,778
2023-04-01,8001538,8001534,5,19,103
2023-04-01,8001538,8001538,23,38,154
2023-04-01,8001538,8006505,16,19,197
2023-04-01,8001539,8001528,14,17,162
2023-04-01,8001539,8001539,29,34,140
2023-04-01,8001539,8001541,15,17,132
2023-04-01,8001540,8001540,45,75,118
2023-04-01,8001540,8001542,10,38,76
2023-04-01,8001540,8001549,35,37,182
2023-04-01,8001541,8001539,10,17,127
2023-04-01,8001541,8001541,25,34,132
2023-04-01,8001541,8001544,15,17,132
2023-04-01,8001542,8000081,3,38,75
2023-04-01,8001542,8001540,19,37,139
2023-04-01,8001542,8001542,28,75,86
2023-04-01,8001543,8001327,71,86,234
2023-04-01,8001543,8001519,30,43,188
2023-04-01,8001543,8001543,140,171,272
2023-04-01,8001543,8003168,15,16,891
2023-04-01,8001544,8001532,12,17,115
2023-04-01,8001544,8001541,13,17,171
2023-04-01,8001544,8001544,30,34,154
2023-04-01,8001545,8000392,20,32,112
2023-04-01,8001545,8001522,10,10,213
2023-04-01,8001545,8001523,18,22,87
2023-04-01,8001545,8001545,48,64,112
2023-04-01,8001546,8001546,31,74,69
2023-04-01,8001546,8003909,9,37,71
2023-04-01,8001546,8003936,34,37,78
2023-04-01,8001549,8001516,35,37,164
2023-04-01,8001549,8001540,11,38,80
2023-04-01,8001549,8001549,70,75,144
2023-04-01,8001692,8001394,20,32,50
2023-04-01,8001692,8001692,41,65,120
2023-04-01,8001692,8002262,21,33,190
2023-04-01,8001700,8001700,28,35,195
2023-04-01,8001700,8003018,12,17,155
2023-04-01,8001700,8003716,15,18,227
2023-04-01,8001729,8001729,6,11,101
2023-04-01,8001729,8003018,2,2,45
2023-04-01,8001729,8004406,1,2,30
2023-04-01,8001729,8004407,2,2,420
2023-04-01,8001795,8000033,48,54,247
2023-04-01,8001795,8000037,23,32,298
2023-04-01,8001795,8001795,88,108,268
2023-04-01,8001795,8006386,9,17,113
2023-04-01,8001836,8000037,14,19,73
2023-04-01,8001836,8001836,25,39,63
2023-04-01,8001836,8002754,11,20,58
2023-04-01,8001851,8001851,3,4,128
2023-04-01,8001851,8003791,2,2,195
2023-04-01,8001851,8005319,5,9,53
2023-04-01,8001943,8001943,66,85,116
2023-04-01,8001943,8002267,25,43,67
2023-04-01,8001943,8004440,17,42,130
2023-04-01,8001976,8001976,4,4,142
2023-04-01,8001976,8003018,2,2,240
2023-04-01,8001976,8003424,2,2,30
2023-04-01,8001980,8001980,10,17,122
2023-04-01,8001980,8003486,5,9,73
2023-04-01,8001980,8004564,6,8,184
2023-04-01,8002073,8002073,57,81,94
2023-04-01,8002073,8003993,30,41,94
2023-04-01,8002073,8004642,24,40,88
2023-04-01,8002180,8000793,0,15,0
2023-04-01,8002180,8002180,1,30,8
2023-04-01,8002180,8003470,2,15,16
2023-04-01,8002262,8001692,24,32,67
2023-04-01,8002262,8002262,47,65,132
2023-04-01,8002262,8005276,18,33,185
2023-04-01,8002267,8001943,31,42,136
2023-04-01,8002267,8002267,47,85,102
2023-04-01,8002267,8002509,27,43,64
2023-04-01,8002268,8000033,29,43,66
2023-04-01,8002268,8002268,48,85,106
2023-04-01,8002268,8002509,22,42,152
2023-04-01,8002509,8002267,25,42,151
2023-04-01,8002509,8002268,28,43,67
2023-04-01,8002509,8002509,53,85,110
2023-04-01,8002512,8002512,68,85,113
2023-04-01,8002512,8004440,28,43,71
2023-04-01,8002512,8006712,27,42,139
2023-04-01,8002514,8001357,9,20,114
2023-04-01,8002514,8002514,28,40,134
2023-04-01,8002514,8002769,18,19,136
2023-04-01,8002535,8001213,4,16,6
2023-04-01,8002535,8002535,19,32,50
2023-04-01,8002535,8003297,13,16,47
2023-04-01,8002639,8001038,24,40,38
2023-04-01,8002639,8002639,28,80,28
2023-04-01,8002639,8002640,5,40,-6
2023-04-01,8002640,8002639,5,40,31
2023-04-01,8002680,8000441,33,37,684
2023-04-01,8002680,8001045,14,14,195
2023-04-01,8002680,8002680,43,72,411
2023-04-01,8002680,8003168,5,19,33
2023-04-01,8002745,8002745,51,62,121
2023-04-01,8002745,8003788,29,31,107
2023-04-01,8002745,8006342,25,31,145
2023-04-01,8002754,8001836,5,19,51
2023-04-01,8002754,8002754,21,39,60
2023-04-01,8002754,8003166,13,20,66
2023-04-01,8002769,8002514,13,19,98
2023-04-01,8002769,8002769,31,38,108
2023-04-01,8002769,8006505,7,19,109
2023-04-01,8002779,8000164,15,17,164
2023-04-01,8002779,8001328,15,17,143
2023-04-01,8002779,8002779,30,34,163
2023-04-01,8002826,8002826,3,4,98
2023-04-01,8002826,8005731,2,2,210
2023-04-01,8002826,8006118,2,2,165
2023-04-01,8002835,8001358,2,2,255
2023-04-01,8002835,8002835,3,4,135
2023-04-01,8002835,8005731,2,2,45
2023-04-01,8002953,8002953,38,69,66
2023-04-01,8002953,8003657,13,15,154
2023-04-01,8002953,8003939,1,1,180
2023-04-01,8002953,8006386,9,12,65
2023-04-01,8002992,8000054,5,11,25
2023-04-01,8002992,8001137,1,7,17
2023-04-01,8002992,8002992,7,20,30
2023-04-01,8002992,8003998,0,2,0
2023-04-01,8003018,8001700,16,18,243
2023-04-01,8003018,8001729,1,2,300
2023-04-01,8003018,8001976,2,2,45
2023-04-01,8003018,8003018,29,39,183
2023-04-01,8003090,8000186,2,20,26
2023-04-01,8003090,8003090,19,39,28
2023-04-01,8003090,8003166,15,19,43
2023-04-01,8003166,8002754,8,19,58
2023-04-01,8003166,8003090,4,20,33
2023-04-01,8003166,8003166,19,39,41
2023-04-01,8003168,8001543,18,19,193
2023-04-01,8003168,8002680,17,18,965
2023-04-01,8003168,8003168,90,114,485
2023-04-01,8003168,8003169,34,38,233
2023-04-01,8003168,8004448,27,30,552
2023-04-01,8003168,8006449,1,1,210
2023-04-01,8003169,8001537,29,38,218
2023-04-01,8003169,8003168,34,38,756
2023-04-01,8003169,8003169,68,76,498
2023-04-01,8003287,8003287,31,35,211
2023-04-01,8003287,8003939,1,2,165
2023-04-01,8003287,8006320,15,17,180
2023-04-01,8003297,8002535,8,16,68
2023-04-01,8003297,8003297,21,32,56
