date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-10-01,8010041,8010041,54,72,90
2023-10-01,8010041,8011901,14,17,60
2023-10-01,8010403,5100082,1,1,60
2023-10-01,8010403,8010280,13,21,54
2023-10-01,8010403,8010373,5,17,23
2023-10-01,8010403,8010403,72,141,117
2023-10-01,8010403,8011306,52,85,159
2023-10-01,8010403,8011430,7,21,93
2023-10-01,8010403,8013479,5,18,10
2023-10-01,8010403,8080040,19,20,118
2023-10-01,8011003,8011003,17,34,18
2023-10-01,8011003,8011004,17,17,48
2023-10-01,8011041,8010215,13,17,132
2023-10-01,8011041,8011041,43,74,96
2023-10-01,8011041,8011118,17,37,46
2023-10-01,8011041,8013100,18,20,178
2023-10-01,8011046,8011046,120,201,37
2023-10-01,8011046,8012910,5,36,1
2023-10-01,8011046,8089056,41,101,25
2023-10-01,8011046,8089057,38,100,31
2023-10-01,8011118,8010214,8,10,102
2023-10-01,8011118,8011041,29,37,123
2023-10-01,8011118,8011118,101,168,96
2023-10-01,8011118,8011167,41,46,134
2023-10-01,8011118,8011691,9,9,147
2023-10-01,8011118,8013470,16,18,90
2023-10-01,8011155,8011155,95,244,85
2023-10-01,8011155,8011250,14,17,148
2023-10-01,8011155,8011306,49,121,51
2023-10-01,8011155,8013188,1,1,30
2023-10-01,8011155,8013376,15,18,408
2023-10-01,8011155,8013477,17,39,56
2023-10-01,8011167,8011118,30,44,86
2023-10-01,8011167,8011167,90,129,106
2023-10-01,8011167,8013021,19,34,56
2023-10-01,8011167,8013376,1,1,120
2023-10-01,8011167,8080040,19,31,136
2023-10-01,8011306,8010403,57,100,58
2023-10-01,8011306,8011155,65,123,122
2023-10-01,8011306,8011306,113,244,90
2023-10-01,8011306,8013479,6,19,24
2023-10-01,8011306,8080040,0,1,0
2023-10-01,8011343,8010341,8,19,19
2023-10-01,8011343,8011343,14,38,37
2023-10-01,8011901,8010041,16,18,268
2023-10-01,8011901,8010214,1,1,300
2023-10-01,8011901,8011901,49,71,145
2023-10-01,8011901,8012831,12,16,146
2023-10-01,8013021,8011167,23,34,67
2023-10-01,8013021,8013021,26,68,44
2023-10-01,8013021,8080260,10,34,46
2023-10-01,8089004,8089004,299,503,59
2023-10-01,8089004,8089104,80,250,36
2023-10-01,8089004,8089168,168,253,76
2023-10-01,8089040,8089031,97,100,42
2023-10-01,8089040,8089040,222,387,31
2023-10-01,8089040,8089059,168,194,28
2023-10-01,8089040,8089117,13,93,9
2023-10-01,8089052,8089007,193,250,57
2023-10-01,8089052,8089052,358,502,51
2023-10-01,8089052,8089054,50,120,38
2023-10-01,8089052,8089063,77,132,41
2023-10-01,8089054,8089016,71,120,47
2023-10-01,8089054,8089052,68,119,31
2023-10-01,8089054,8089054,101,239,29
2023-10-01,8089063,8081580,14,63,35
2023-10-01,8089063,8089052,87,131,42
2023-10-01,8089063,8089063,47,123,33
2023-10-01,8089080,8089015,101,101,75
2023-10-01,8089080,8089039,53,100,30
2023-10-01,8089080,8089080,220,319,41
2023-10-01,8089080,8089081,80,160,38
2023-10-01,8089093,8089117,34,93,17
2023-10-01,8089114,8089113,84,91,148
2023-10-01,8089114,8089114,169,182,131
2023-10-01,8089114,8089115,85,91,124
2023-10-02,8010041,8010041,43,72,178
2023-10-02,8010041,8011901,14,17,101
2023-10-02,8010403,5100082,1,1,90
2023-10-02,8010403,8010280,17,22,415
2023-10-02,8010403,8010373,18,26,803
2023-10-02,8010403,8010403,150,204,425
2023-10-02,8010403,8011306,70,103,434
2023-10-02,8010403,8011430,21,27,383
2023-10-02,8010403,8011695,11,13,166
2023-10-02,8010403,8013479,9,19,43
2023-10-02,8010403,8080040,22,24,298
