date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8010004,8010004,36,54,299
2023-05-01,8010004,8010093,10,12,75
2023-05-01,8010004,8010282,4,8,195
2023-05-01,8010004,8011314,6,19,546
2023-05-01,8010004,8012637,5,16,62
2023-05-01,8010004,8013313,7,11,106
2023-05-01,8010017,8010017,10,28,34
2023-05-01,8010017,8011034,7,14,47
2023-05-01,8010017,8011531,3,14,17
2023-05-01,8010025,8010025,14,68,29
2023-05-01,8010025,8013227,6,19,35
2023-05-01,8010025,8013429,8,17,78
2023-05-01,8010025,8081300,1,36,4
2023-05-01,8010028,8010028,9,36,15
2023-05-01,8010028,8011079,12,18,23
2023-05-01,8010028,8011080,9,18,30
2023-05-01,8010029,8010029,21,28,125
2023-05-01,8010029,8011284,14,16,135
2023-05-01,8010029,8012551,6,16,133
2023-05-01,8010031,8010031,16,20,114
2023-05-01,8010031,8010376,7,10,105
2023-05-01,8010031,8011100,15,21,91
2023-05-01,8010064,8010064,35,62,258
2023-05-01,8010064,8010093,18,31,409
2023-05-01,8010064,8011314,16,19,163
2023-05-01,8010064,8011671,4,12,18
2023-05-01,8010069,8010069,42,69,90
2023-05-01,8010069,8011318,7,8,49
2023-05-01,8010069,8011542,5,9,37
2023-05-01,8010069,8011667,6,9,163
2023-05-01,8010069,8012084,0,10,-3
2023-05-01,8010069,8012257,8,15,46
2023-05-01,8010069,8012897,11,16,118
2023-05-01,8010093,8010004,7,11,235
2023-05-01,8010093,8010064,14,31,97
2023-05-01,8010093,8010093,38,64,351
2023-05-01,8010093,8010282,2,2,720
2023-05-01,8010093,8012329,7,21,151
2023-05-01,8010093,8012485,5,14,36
2023-05-01,8010093,8013470,14,24,542
2023-05-01,8010100,8010100,22,37,56
2023-05-01,8010100,8011078,7,18,28
2023-05-01,8010100,8012650,12,19,81
2023-05-01,8010100,8012681,4,9,47
2023-05-01,8010103,8010103,25,35,91
2023-05-01,8010103,8011078,7,19,55
2023-05-01,8010103,8011131,9,17,55
2023-05-01,8010103,8011537,2,8,30
2023-05-01,8010103,8011542,9,9,227
2023-05-01,8010103,8011867,3,12,42
2023-05-01,8010103,8012734,4,8,34
2023-05-01,8010103,8013160,2,10,-186
2023-05-01,8010111,5100159,1,2,60
2023-05-01,8010111,8012043,4,17,11
2023-05-01,8010117,8010347,2,16,6
2023-05-01,8010120,8010120,22,77,156
2023-05-01,8010120,8011154,7,22,70
2023-05-01,8010120,8011471,1,1,90
2023-05-01,8010120,8011533,6,18,438
2023-05-01,8010120,8011591,13,18,27
2023-05-01,8010120,8011818,4,22,18
2023-05-01,8010150,8010150,15,32,123
2023-05-01,8010150,8012370,5,16,120
2023-05-01,8010150,8012895,6,16,103
2023-05-01,8010167,8010167,6,12,75
2023-05-01,8010167,8010214,6,6,60
2023-05-01,8010167,8012239,6,6,135
2023-05-01,8010171,8010171,18,34,35
2023-05-01,8010171,8010308,8,17,26
2023-05-01,8010171,8012175,11,17,51
2023-05-01,8010175,8010175,24,37,53
2023-05-01,8010175,8010246,9,19,63
2023-05-01,8010175,8011125,8,9,57
2023-05-01,8010175,8012703,7,10,36
2023-05-01,8010182,8010182,25,36,236
2023-05-01,8010182,8011968,0,8,0
2023-05-01,8010182,8012260,18,31,202
2023-05-01,8010182,8012487,8,9,67
2023-05-01,8010182,8012552,11,11,1216
2023-05-01,8010183,8010183,51,70,66
2023-05-01,8010183,8010327,26,35,73
2023-05-01,8010183,8011098,11,12,98
2023-05-01,8010183,8011756,6,16,17
2023-05-01,8010183,8012469,6,7,47
2023-05-01,8010189,8011674,1,12,5
2023-05-01,8010189,8011788,2,7,0
2023-05-01,8010214,8010167,6,6,130
2023-05-01,8010214,8010214,41,56,95
2023-05-01,8010214,8011118,10,10,93
2023-05-01,8010214,8011149,8,16,43
2023-05-01,8010214,8011691,7,10,84
2023-05-01,8010214,8011776,6,16,60
2023-05-01,8010215,8010215,48,72,358
2023-05-01,8010215,8011041,5,17,187
2023-05-01,8010215,8012260,11,16,726
2023-05-01,8010215,8013123,17,20,405
2023-05-01,8010215,8080170,23,40,134
2023-05-01,8010233,8010233,34,42,199
2023-05-01,8010233,8010378,20,21,169
2023-05-01,8010233,8013492,13,21,174
2023-05-01,8010236,8010236,18,38,33
2023-05-01,8010236,8011788,4,9,27
2023-05-01,8010236,8012537,4,10,42
2023-05-01,8010236,8012735,15,19,28
2023-05-01,8010239,8010239,34,40,142
2023-05-01,8010239,8012614,14,20,82
2023-05-01,8010239,8013472,23,48,44
2023-05-01,8010239,8013479,15,20,120
2023-05-01,8010246,8010175,13,19,49
2023-05-01,8010246,8010246,18,31,53
2023-05-01,8010246,8010384,0,6,0
2023-05-01,8010246,8013222,8,9,160
2023-05-01,8010248,8010248,24,40,102
2023-05-01,8010248,8011258,13,20,118
2023-05-01,8010248,8011585,16,20,117
2023-05-01,8010248,8013363,1,4,142
2023-05-01,8010280,8010280,67,133,164
2023-05-01,8010280,8010377,25,56,212
2023-05-01,8010280,8010403,1,2,630
2023-05-01,8010280,8011306,12,18,200
2023-05-01,8010280,8011308,4,10,72
2023-05-01,8010280,8013477,1,1,240
2023-05-01,8010282,8010004,8,9,147
2023-05-01,8010282,8010093,2,2,570
2023-05-01,8010282,8010282,25,29,554
2023-05-01,8010282,8011044,3,5,234
2023-05-01,8010282,8012418,3,10,102
2023-05-01,8010282,8012968,10,10,1182
2023-05-01,8010287,8010287,9,29,115
2023-05-01,8010287,8011730,8,15,210
2023-05-01,8010287,8011848,1,14,2
2023-05-01,8010287,8012842,2,3,710
2023-05-01,8010287,8074703,3,3,170
2023-05-01,8010308,8010171,11,17,81
2023-05-01,8010308,8010308,49,70,71
2023-05-01,8010308,8010327,3,7,30
2023-05-01,8010308,8012169,9,18,37
2023-05-01,8010308,8012565,15,17,111
2023-05-01,8010308,8012941,11,12,85
2023-05-01,8010319,8013278,0,7,0
2023-05-01,8010327,8010183,16,35,34
2023-05-01,8010327,8010308,6,6,155
2023-05-01,8010327,8010327,26,36,78
2023-05-01,8010327,8012941,12,12,100
2023-05-01,8010330,8010330,16,34,41
2023-05-01,8010330,8011097,14,16,92
2023-05-01,8010330,8012870,10,18,45
2023-05-01,8010341,8010341,24,38,59
2023-05-01,8010341,8011343,13,19,82
2023-05-01,8010341,8011863,8,19,32
2023-05-01,8010347,8010117,6,16,24
2023-05-01,8010347,8010347,7,32,7
2023-05-01,8010347,8011815,3,16,8
2023-05-01,8010353,8010353,24,34,71
2023-05-01,8010353,8011409,3,9,23
2023-05-01,8010353,8011668,8,8,71
2023-05-01,8010353,8013210,9,9,107
2023-05-01,8010371,8010371,23,38,32
2023-05-01,8010371,8011672,9,10,63
2023-05-01,8010371,8011788,6,12,30
2023-05-01,8010371,8012205,4,8,38
2023-05-01,8010371,8012973,6,8,49
2023-05-01,8010373,8010373,63,98,237
2023-05-01,8010373,8010377,9,22,277
2023-05-01,8010373,8010403,16,21,119
2023-05-01,8010373,8011118,4,5,600
2023-05-01,8010373,8011725,14,21,547
2023-05-01,8010373,8012011,17,17,138
2023-05-01,8010373,8081220,3,8,11
2023-05-01,8010376,8010031,7,10,96
2023-05-01,8010376,8010376,11,20,110
2023-05-01,8010376,8012322,7,10,150
2023-05-01,8010377,8010280,24,57,144
2023-05-01,8010377,8010373,20,29,395
2023-05-01,8010377,8010377,52,113,173
2023-05-01,8010377,8013481,12,27,27
2023-05-01,8010378,8010233,16,21,246
2023-05-01,8010378,8010378,36,42,211
2023-05-01,8010378,8012733,20,21,191
2023-05-01,8010384,8010246,0,6,0
2023-05-01,8010384,8010384,8,29,162
2023-05-01,8010384,8011408,1,10,24
2023-05-01,8010384,8012226,8,15,260
2023-05-01,8010386,8010386,7,16,34
