date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8000019,8004665,9,16,49
2023-08-01,8000043,8000043,48,73,72
2023-08-01,8000043,8000325,8,19,38
2023-08-01,8000043,8000352,10,19,60
2023-08-01,8000043,8003522,12,18,85
2023-08-01,8000043,8004127,14,18,93
2023-08-01,8000130,8000130,22,32,73
2023-08-01,8000130,8000364,16,18,117
2023-08-01,8000130,8003522,8,18,40
2023-08-01,8000130,8004665,9,16,51
2023-08-01,8000166,8000166,17,35,81
2023-08-01,8000166,8002641,6,20,94
2023-08-01,8000166,8005324,6,17,32
2023-08-01,8000213,8000213,13,18,67
2023-08-01,8000213,8000352,9,19,62
2023-08-01,8000213,8000483,0,2,0
2023-08-01,8000213,8005264,2,8,11
2023-08-01,8000255,8000255,19,36,151
2023-08-01,8000255,8001429,6,18,27
2023-08-01,8000283,8000213,0,2,0
2023-08-01,8000283,8000283,33,68,54
2023-08-01,8000283,8002594,6,12,22
2023-08-01,8000283,8003209,8,20,28
2023-08-01,8000283,8004441,15,28,50
2023-08-01,8000283,8005264,9,15,72
2023-08-01,8000325,8000043,17,19,74
2023-08-01,8000325,8000325,24,38,55
2023-08-01,8000325,8005265,13,19,87
2023-08-01,8000352,8000043,10,19,68
2023-08-01,8000352,8000213,12,19,73
2023-08-01,8000352,8000352,20,38,64
2023-08-01,8000364,8000130,17,18,113
2023-08-01,8000364,8000364,35,36,154
2023-08-01,8000364,8011933,8,8,221
2023-08-01,8000364,8013432,10,10,168
2023-08-01,8000739,8000739,15,35,70
2023-08-01,8000739,8005324,9,18,118
2023-08-01,8000739,8006172,7,17,41
2023-08-01,8001050,8006041,7,14,84
2023-08-01,8001429,8000255,15,18,215
2023-08-01,8001429,8001429,17,36,114
2023-08-01,8001429,8005413,10,18,118
2023-08-01,8001717,8001717,4,12,360
2023-08-01,8001717,8001719,2,6,685
2023-08-01,8001717,8001723,0,23,-1
2023-08-01,8001719,8001717,0,6,0
2023-08-01,8001723,8001717,13,23,257
2023-08-01,8001723,8001723,17,46,133
2023-08-01,8001723,8005264,8,23,42
2023-08-01,8002080,8002080,35,44,371
2023-08-01,8002080,8003382,21,22,443
2023-08-01,8002080,8012302,16,17,337
2023-08-01,8002102,8000090,33,42,104
2023-08-01,8002102,8002102,60,84,96
2023-08-01,8002281,8004127,13,17,83
2023-08-01,8002594,8000283,9,14,169
2023-08-01,8002594,8002594,16,26,108
2023-08-01,8002594,8006112,7,12,55
2023-08-01,8002641,8000166,13,20,63
2023-08-01,8002641,8002641,20,40,79
2023-08-01,8002641,8006592,4,20,86
2023-08-01,8002677,8002259,21,25,131
2023-08-01,8002677,8002677,42,50,122
2023-08-01,8002677,8006707,23,25,124
2023-08-01,8003209,8000283,6,20,93
2023-08-01,8003209,8003209,17,40,69
2023-08-01,8003209,8006592,13,20,72
2023-08-01,8003382,8002080,14,22,301
2023-08-01,8003382,8003382,34,44,386
2023-08-01,8003382,8005320,19,22,522
2023-08-01,8003522,8000043,9,18,40
2023-08-01,8003522,8000130,15,18,80
