date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8001157,8001157,4,5,258
2023-08-01,8001157,8001561,2,2,135
2023-08-01,8001157,8003292,2,2,525
2023-08-01,8001160,8000413,20,23,172
2023-08-01,8001160,8001160,36,46,198
2023-08-01,8001160,8001164,3,3,230
2023-08-01,8001160,8004702,6,9,93
2023-08-01,8001164,8001160,3,3,520
2023-08-01,8001164,8001164,6,6,370
2023-08-02,8001157,8001157,4,5,138
2023-08-02,8001157,8001561,2,2,90
2023-08-02,8001157,8003292,2,2,270
2023-08-02,8001160,8000413,15,23,85
2023-08-02,8001160,8001160,32,46,171
2023-08-02,8001160,8001164,3,3,40
2023-08-02,8001160,8004702,6,9,130
2023-08-02,8001164,8001160,3,3,180
2023-08-02,8001164,8001164,6,6,110
2023-08-03,8001157,8001157,5,5,162
2023-08-03,8001157,8001561,2,2,165
2023-08-03,8001157,8003292,2,2,225
2023-08-03,8001160,8000413,21,23,112
2023-08-03,8001160,8001160,39,46,162
2023-08-03,8001160,8001164,3,3,150
2023-08-03,8001160,8004702,7,9,137
2023-08-03,8001164,8001160,2,3,110
2023-08-03,8001164,8001164,5,6,140
2023-08-04,8001157,8001157,3,5,90
2023-08-04,8001157,8001561,2,2,105
2023-08-04,8001157,8003292,1,2,135
2023-08-04,8001160,8000413,20,23,180
2023-08-04,8001160,8001160,37,46,215
2023-08-04,8001160,8001164,2,3,800
2023-08-04,8001160,8004702,7,9,67
2023-08-04,8001164,8001160,3,3,210
2023-08-04,8001164,8001164,5,6,510
2023-08-05,8001157,8001157,2,5,18
2023-08-05,8001157,8001561,2,2,75
2023-08-05,8001157,8003292,0,2,0
2023-08-05,8001160,8000413,19,22,458
2023-08-05,8001160,8001160,36,44,448
2023-08-05,8001160,8001164,2,4,90
2023-08-05,8001160,8004702,3,4,82
2023-08-05,8001164,8001160,4,4,142
2023-08-05,8001164,8001164,6,8,120
2023-08-06,8001157,8001157,3,4,232
2023-08-06,8001157,8001561,2,2,30
2023-08-06,8001157,8003292,2,2,435
2023-08-06,8001160,8000413,18,22,63
2023-08-06,8001160,8001160,26,44,69
2023-08-06,8001160,8001164,3,4,255
2023-08-06,8001164,8001160,4,4,60
2023-08-06,8001164,8001164,7,8,158
2023-08-07,8001157,8001157,4,5,678
2023-08-07,8001157,8001561,2,2,300
2023-08-07,8001157,8003292,2,2,1440
2023-08-07,8001160,8000413,22,27,131
2023-08-07,8001160,8001160,40,54,207
2023-08-07,8001160,8001164,2,3,730
2023-08-07,8001160,8004702,5,9,77
2023-08-07,8001164,8001160,3,3,240
2023-08-07,8001164,8001164,6,6,470
2023-08-08,8001157,8001157,4,5,126
2023-08-08,8001157,8001561,1,2,45
2023-08-08,8001157,8003292,2,2,120
2023-08-08,8001160,8000413,24,27,117
2023-08-08,8001160,8001160,39,54,148
2023-08-08,8001160,8001164,1,3,70
2023-08-08,8001160,8004702,6,9,120
2023-08-08,8001164,8001160,3,3,200
2023-08-08,8001164,8001164,5,6,140
2023-08-09,8001157,8001157,3,5,66
2023-08-09,8001157,8001561,1,2,15
2023-08-09,8001157,8003292,2,2,150
2023-08-09,8001160,8000413,18,27,57
2023-08-09,8001160,8001160,28,54,65
2023-08-09,8001160,8001164,1,3,10
2023-08-09,8001160,8004702,3,9,53
2023-08-09,8001164,8001160,3,3,170
2023-08-09,8001164,8001164,6,6,100
2023-08-10,8001157,8001157,2,5,204
2023-08-10,8001157,8001561,1,2,15
2023-08-10,8001157,8003292,2,2,510
2023-08-10,8001160,8000413,23,27,127
2023-08-10,8001160,8001160,38,54,134
2023-08-10,8001160,8001164,1,3,30
2023-08-10,8001160,8004702,6,9,153
2023-08-10,8001164,8001160,3,3,140
2023-08-10,8001164,8001164,4,6,95
2023-08-11,8001157,8001157,4,5,186
2023-08-11,8001157,8001561,2,2,195
2023-08-11,8001157,8003292,2,2,225
2023-08-11,8001160,8000413,23,27,176
2023-08-11,8001160,8001160,41,54,221
2023-08-11,8001160,8001164,2,3,410
2023-08-11,8001160,8004702,6,9,110
2023-08-11,8001164,8001160,3,3,130
2023-08-11,8001164,8001164,5,6,275
2023-08-12,8001157,8001157,5,5,186
2023-08-12,8001157,8001561,2,2,45
2023-08-12,8001157,8003292,2,2,210
2023-08-12,8001160,8000413,22,26,217
2023-08-12,8001160,8001160,44,52,210
2023-08-12,8001160,8001164,4,4,315
2023-08-12,8001160,8004702,4,4,315
2023-08-12,8001164,8001160,4,4,608
2023-08-12,8001164,8001164,8,8,472
2023-08-13,8001157,8001157,2,4,30
2023-08-13,8001157,8001561,1,2,30
2023-08-13,8001157,8003292,0,2,-60
2023-08-13,8001160,8000413,18,26,61
2023-08-13,8001160,8001160,37,52,155
2023-08-13,8001160,8001164,3,4,262
2023-08-13,8001164,8001160,3,4,30
2023-08-13,8001164,8001164,6,8,142
2023-08-14,8001157,8001157,4,5,246
2023-08-14,8001157,8001561,2,2,330
2023-08-14,8001157,8003292,2,2,315
2023-08-14,8001160,8000413,23,27,113
2023-08-14,8001160,8001160,40,54,106
2023-08-14,8001160,8001164,2,3,130
2023-08-14,8001160,8004702,5,9,77
2023-08-14,8001164,8001160,3,3,110
2023-08-14,8001164,8001164,5,6,120
2023-08-15,8001157,8001157,3,5,102
2023-08-15,8001157,8001561,1,2,15
2023-08-15,8001157,8003292,2,2,240
2023-08-15,8001160,8000413,25,27,147
2023-08-15,8001160,8001160,44,54,177
2023-08-15,8001160,8001164,1,3,20
2023-08-15,8001160,8004702,6,9,87
2023-08-15,8001164,8001160,3,3,50
2023-08-15,8001164,8001164,5,6,45
2023-08-16,8001157,8001157,4,5,48
2023-08-16,8001157,8001561,2,2,45
2023-08-16,8001157,8003292,2,2,90
2023-08-16,8001160,8000413,25,27,122
2023-08-16,8001160,8001160,41,54,158
2023-08-16,8001160,8001164,2,3,170
2023-08-16,8001160,8004702,4,9,107
2023-08-16,8001164,8001160,3,3,120
2023-08-16,8001164,8001164,5,6,150
2023-08-17,8001157,8001157,4,5,114
2023-08-17,8001157,8001561,2,2,165
2023-08-17,8001157,8003292,2,2,150
2023-08-17,8001160,8000413,31,36,155
2023-08-17,8001160,8001160,57,70,239
2023-08-17,8001160,8001164,3,3,90
2023-08-17,8001160,8004702,9,9,323
2023-08-17,8001164,8001160,3,3,410
2023-08-17,8001164,8001164,6,6,250
2023-08-18,8001157,8001157,4,5,144
2023-08-18,8001157,8001561,2,2,105
2023-08-18,8001157,8003292,2,2,255
2023-08-18,8001160,8000413,25,36,260
2023-08-18,8001160,8001160,42,70,256
2023-08-18,8001160,8001164,2,3,1720
2023-08-18,8001160,8004702,4,9,43
2023-08-18,8001164,8001160,3,3,540
2023-08-18,8001164,8001164,5,6,1120
2023-08-19,8001157,8001157,3,5,96
2023-08-19,8001157,8001561,2,2,240
2023-08-19,8001157,8003292,1,2,15
2023-08-19,8001160,8000413,19,31,75
2023-08-19,8001160,8001160,34,62,113
2023-08-19,8001160,8001164,3,4,218
2023-08-19,8001160,8004702,3,4,158
2023-08-19,8001164,8001160,4,4,38
2023-08-19,8001164,8001164,7,8,131
2023-08-20,8001157,8001157,4,4,128
2023-08-20,8001157,8001561,2,2,105
2023-08-20,8001157,8003292,2,2,165
2023-08-20,8001160,8000413,20,31,50
2023-08-20,8001160,8001160,38,62,95
2023-08-20,8001160,8001164,3,4,338
2023-08-20,8001164,8001160,4,4,105
2023-08-20,8001164,8001164,7,8,221
2023-08-21,8001157,8001157,5,5,150
2023-08-21,8001157,8001561,2,2,210
2023-08-21,8001157,8003292,2,2,165
2023-08-21,8001160,8000413,33,36,295
2023-08-21,8001160,8001160,60,70,267
2023-08-21,8001160,8001164,2,3,350
2023-08-21,8001160,8004702,6,9,103
2023-08-21,8001164,8001160,3,3,2190
2023-08-21,8001164,8001164,5,6,1280
2023-08-22,8001157,8001157,4,5,162
2023-08-22,8001157,8001561,2,2,180
2023-08-22,8001157,8003292,2,2,270
2023-08-22,8001160,8000413,30,36,100
2023-08-22,8001160,8001160,54,70,120
2023-08-22,8001160,8001164,2,3,60
2023-08-22,8001160,8004702,7,9,113
2023-08-22,8001164,8001160,3,3,130
2023-08-22,8001164,8001164,4,6,95
2023-08-23,8001157,8001157,4,5,156
2023-08-23,8001157,8001561,2,2,105
2023-08-23,8001157,8003292,2,2,300
2023-08-23,8001160,8000413,33,36,372
2023-08-23,8001160,8001160,51,70,241
2023-08-23,8001160,8001164,2,3,250
2023-08-23,8001160,8004702,7,9,73
2023-08-23,8001164,8001160,3,3,1590
2023-08-23,8001164,8001164,5,6,920
2023-08-24,8001157,8001157,4,5,102
2023-08-24,8001157,8001561,2,2,45
2023-08-24,8001157,8003292,2,2,210
2023-08-24,8001160,8000413,30,36,239
2023-08-24,8001160,8001160,52,70,281
2023-08-24,8001160,8001164,3,3,2500
2023-08-24,8001160,8004702,5,9,37
2023-08-24,8001164,8001160,3,3,1350
2023-08-24,8001164,8001164,6,6,1935
2023-08-25,8001157,8001157,3,5,102
2023-08-25,8001157,8001561,1,2,105
2023-08-25,8001157,8003292,2,2,150
2023-08-25,8001160,8000413,28,33,152
2023-08-25,8001160,8001160,45,63,135
2023-08-25,8001160,8004702,7,9,173
2023-08-25,8001164,8001160,1,1,60
2023-08-25,8001164,8001164,1,1,60
2023-08-26,8001157,8001157,1,5,18
2023-08-26,8001157,8001561,1,2,60
2023-08-26,8001157,8003292,0,2,0
2023-08-26,8001160,8000413,21,25,274
2023-08-26,8001160,8001160,33,50,170
2023-08-26,8001160,8004702,2,4,60
2023-08-27,8001157,8001157,3,4,112
2023-08-27,8001157,8001561,1,2,15
