date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-07-01,8010005,8010005,11,14,54
2023-07-01,8010005,8011045,6,13,37
2023-07-01,8010005,8012976,7,7,107
2023-07-01,8010010,8012176,4,19,19
2023-07-01,8010044,8010044,0,22,0
2023-07-01,8010044,8017219,0,11,0
2023-07-01,8010074,8012976,5,7,64
2023-07-01,8010108,8010108,92,118,78
2023-07-01,8010108,8010128,11,13,55
2023-07-01,8010108,8010253,32,42,60
2023-07-01,8010108,8011528,7,9,100
2023-07-01,8010108,8011529,16,20,60
2023-07-01,8010108,8011904,10,17,56
2023-07-01,8010108,8013114,13,17,157
2023-07-01,8010128,8010108,11,13,78
2023-07-01,8010128,8010128,23,26,92
2023-07-01,8010128,8011497,12,13,120
2023-07-01,8010129,8010129,44,74,75
2023-07-01,8010129,8010130,20,20,114
2023-07-01,8010129,8010331,6,20,48
2023-07-01,8010129,8010397,10,17,48
2023-07-01,8010129,8011904,15,17,111
2023-07-01,8010130,8010129,10,20,58
2023-07-01,8010130,8010130,30,40,83
2023-07-01,8010130,8012388,15,20,102
2023-07-01,8010185,8010185,31,40,98
2023-07-01,8010185,8011971,18,20,111
2023-07-01,8010185,8013450,17,19,88
2023-07-01,8010253,8010108,40,42,95
2023-07-01,8010253,8010253,74,84,75
2023-07-01,8010253,8013450,17,20,46
2023-07-01,8010275,8012739,7,17,71
2023-07-01,8010277,8010277,10,18,47
2023-07-01,8010277,8012201,6,9,57
2023-07-01,8010277,8012426,5,9,43
2023-07-01,8010323,8010323,19,34,31
2023-07-01,8010323,8012938,8,17,32
2023-07-01,8010323,8012939,14,18,40
2023-07-01,8010331,8010129,14,20,82
2023-07-01,8010331,8010331,19,40,65
2023-07-01,8010331,8011904,8,20,51
2023-07-01,8010333,8010333,12,40,17
2023-07-01,8010333,8010372,7,20,18
2023-07-01,8010333,8012224,4,20,4
2023-07-01,8010372,8010333,4,20,8
2023-07-01,8010379,8010379,30,36,218
2023-07-01,8010379,8011305,17,18,177
2023-07-01,8010379,8012996,14,18,328
2023-07-01,8010388,8010388,37,40,109
2023-07-01,8010388,8011770,19,20,93
2023-07-01,8010388,8011904,18,20,118
2023-07-01,8010397,8010129,12,17,88
2023-07-01,8010397,8010397,19,33,70
2023-07-01,8010397,8012224,4,20,10
2023-07-01,8010397,8012739,11,17,53
2023-07-01,8010397,8013433,20,20,64
2023-07-01,8010397,8013434,7,18,143
2023-07-01,8011033,8011033,3,3,120
2023-07-01,8011033,8012369,1,1,120
2023-07-01,8011033,8012593,1,2,120
2023-07-01,8011045,8010005,9,13,48
2023-07-01,8011045,8011045,13,26,35
2023-07-01,8011045,8011047,4,13,32
2023-07-01,8011047,8011045,11,13,46
2023-07-01,8011047,8011047,19,26,50
2023-07-01,8011047,8013310,8,13,28
2023-07-01,8011049,8011049,27,34,92
2023-07-01,8011049,8011263,12,17,64
2023-07-01,8011049,8011505,12,17,64
2023-07-01,8011185,8011185,0,22,0
2023-07-01,8011185,8011315,0,11,0
2023-07-01,8011185,8017220,0,11,0
2023-07-01,8011212,8011212,10,18,60
2023-07-01,8011212,8012426,5,9,57
2023-07-01,8011212,8012571,5,9,33
2023-07-01,8011263,8011049,9,17,26
2023-07-01,8011263,8011263,23,34,42
2023-07-01,8011263,8011506,13,17,53
2023-07-01,8011297,8010238,17,19,115
2023-07-01,8011297,8011297,32,38,119
2023-07-01,8011305,8010379,11,18,233
2023-07-01,8011305,8011305,23,36,177
2023-07-01,8011305,8013434,10,18,140
2023-07-01,8011315,8011185,0,11,0
2023-07-01,8011315,8011315,0,22,0
2023-07-01,8011315,8012412,0,11,0
2023-07-01,8011497,8010128,13,13,69
2023-07-01,8011497,8011497,25,26,96
2023-07-01,8011497,8011856,12,13,129
2023-07-01,8011505,8011049,16,17,164
2023-07-01,8011505,8011505,24,34,70
2023-07-01,8011505,8012938,10,17,37
2023-07-01,8011506,8011263,9,17,34
2023-07-01,8011506,8011506,17,34,39
2023-07-01,8011506,8011967,7,17,37
2023-07-01,8011507,8011507,10,22,35
2023-07-01,8011507,8012369,7,11,49
2023-07-01,8011507,8012946,2,11,22
2023-07-01,8011524,8013307,4,18,58
2023-07-01,8011528,8010108,5,9,50
2023-07-01,8011528,8011528,15,18,87
2023-07-01,8011528,8011870,9,9,110
2023-07-01,8011529,8010108,16,20,40
2023-07-01,8011529,8011529,22,40,40
2023-07-01,8011529,8012550,10,20,50
2023-07-01,8011548,8011548,10,18,68
2023-07-01,8011548,8011777,6,9,40
2023-07-01,8011548,8012740,4,9,80
2023-07-01,8011556,8011556,16,40,64
2023-07-01,8011556,8012037,12,20,102
2023-07-01,8011556,8012550,4,20,15
2023-07-01,8011770,8010388,14,20,96
2023-07-01,8011770,8011770,31,40,88
2023-07-01,8011770,8011980,16,20,76
2023-07-01,8011777,8011548,5,9,83
2023-07-01,8011777,8011777,11,18,72
2023-07-01,8011777,8012208,6,9,73
2023-07-01,8011856,8011497,10,13,60
2023-07-01,8011856,8011856,24,26,83
2023-07-01,8011856,8013328,11,13,95
2023-07-01,8011870,8011528,8,9,83
2023-07-01,8011870,8011870,17,18,73
2023-07-01,8011870,8011892,8,9,73
2023-07-01,8011892,8011870,6,9,37
2023-07-01,8011892,8011892,14,18,55
2023-07-01,8011892,8012208,5,9,57
2023-07-01,8011904,8010108,15,16,156
2023-07-01,8011904,8010129,9,17,53
2023-07-01,8011904,8010331,15,20,112
2023-07-01,8011904,8010388,15,20,68
2023-07-01,8011904,8011904,46,74,82
2023-07-01,8011912,8017218,0,11,0
2023-07-01,8011967,8011506,8,17,21
2023-07-01,8011970,8011970,2,3,100
2023-07-01,8011970,8012528,1,1,30
2023-07-01,8011971,8010185,16,20,84
2023-07-01,8011971,8011971,36,40,104
2023-07-01,8011971,8011979,19,20,128
2023-07-01,8011979,8011971,18,20,108
2023-07-01,8011979,8011979,36,40,104
2023-07-01,8011979,8011980,16,20,111
2023-07-01,8011980,8011770,18,20,110
2023-07-01,8011980,8011979,8,20,58
2023-07-01,8011980,8011980,32,40,92
2023-07-01,8012037,8011556,3,20,12
2023-07-01,8012037,8012037,14,40,54
2023-07-01,8012037,8012408,9,20,87
2023-07-01,8012176,8010010,6,18,17
2023-07-01,8012176,8012176,22,37,31
2023-07-01,8012176,8012939,14,19,60
2023-07-01,8012201,8010277,4,9,100
2023-07-01,8012201,8012201,10,18,73
2023-07-01,8012201,8012740,6,9,70
2023-07-01,8012208,8011777,5,9,100
2023-07-01,8012208,8011892,6,9,40
2023-07-01,8012208,8012208,12,18,73
2023-07-01,8012220,8012220,0,22,0
2023-07-01,8012220,8012407,0,11,0
2023-07-01,8012220,8017219,0,11,0
2023-07-01,8012224,8010333,7,20,24
2023-07-01,8012224,8010397,3,20,-10
2023-07-01,8012224,8012224,10,40,11
2023-07-01,8012369,8011033,2,2,180
2023-07-01,8012369,8011507,5,11,35
2023-07-01,8012369,8012369,10,22,41
2023-07-01,8012388,8010130,16,20,60
2023-07-01,8012388,8012388,34,40,94
2023-07-01,8012388,8012534,18,20,132
2023-07-01,8012407,8012220,0,11,0
2023-07-01,8012407,8012407,0,22,0
2023-07-01,8012407,8012412,0,11,0
2023-07-01,8012408,8012037,12,19,35
2023-07-01,8012408,8012408,17,40,56
2023-07-01,8012408,8012483,7,20,82
2023-07-01,8012412,8011315,0,11,0
2023-07-01,8012412,8012407,0,11,0
2023-07-01,8012412,8012412,0,22,0
2023-07-01,8012426,8010277,6,9,53
2023-07-01,8012426,8011212,5,9,63
2023-07-01,8012426,8012426,11,18,55
2023-07-01,8012483,8012044,4,20,70
2023-07-01,8012483,8012408,11,20,32
2023-07-01,8012483,8012483,23,40,61
2023-07-01,8012528,8011970,2,2,150
2023-07-01,8012528,8012528,3,3,100
2023-07-01,8012528,8012593,1,1,30
2023-07-01,8012534,8012388,8,20,54
2023-07-01,8012534,8012534,34,40,98
2023-07-01,8012534,8013433,16,20,120
2023-07-01,8012550,8011529,9,20,27
2023-07-01,8012550,8011556,17,20,124
2023-07-01,8012550,8012550,25,40,61
2023-07-01,8012558,8012558,7,12,35
2023-07-01,8012558,8012559,4,6,65
2023-07-01,8012558,8012571,2,9,10
2023-07-01,8012559,8012558,2,6,20
2023-07-01,8012571,8011212,5,9,60
2023-07-01,8012571,8012558,5,9,43
2023-07-01,8012571,8012571,10,18,42
2023-07-01,8012593,8011033,0,1,0
2023-07-01,8012593,8012528,1,2,120
2023-07-01,8012593,8012593,2,3,90
2023-07-01,8012727,8012727,0,22,0
2023-07-01,8012727,8017218,0,11,0
2023-07-01,8012727,8017220,0,11,0
2023-07-01,8012739,8010275,15,17,108
2023-07-01,8012739,8010397,11,17,86
2023-07-01,8012739,8012739,24,34,72
2023-07-01,8012740,8011548,6,9,60
2023-07-01,8012740,8012201,4,9,63
2023-07-01,8012740,8012740,10,18,68
2023-07-01,8012853,8012853,16,26,61
2023-07-01,8012853,8013235,9,13,148
2023-07-01,8012853,8013312,8,13,25
2023-07-01,8012938,8010323,6,17,23
2023-07-01,8012938,8011505,12,17,46
2023-07-01,8012938,8012938,18,34,39
2023-07-01,8012939,8010323,12,19,46
2023-07-01,8012939,8012176,4,18,13
2023-07-01,8012939,8012939,17,37,39
2023-07-01,8012946,8010359,10,11,52
2023-07-01,8012946,8011507,5,11,41
2023-07-01,8012946,8012946,13,22,40
2023-07-01,8012976,8010005,3,7,-34
2023-07-01,8012976,8010074,4,7,90
2023-07-01,8012976,8012976,8,14,47
2023-07-01,8012996,8010379,13,18,123
2023-07-01,8012996,8012996,27,36,221
2023-07-01,8012996,8013307,13,18,290
2023-07-01,8013116,8013116,17,26,58
2023-07-01,8013116,8013310,9,13,74
2023-07-01,8013116,8013343,8,13,30
2023-07-01,8013212,8013212,17,26,60
2023-07-01,8013212,8013311,11,13,113
2023-07-01,8013212,8013328,9,13,42
2023-07-01,8013235,8012853,5,13,12
2023-07-01,8013235,8013235,15,26,69
2023-07-01,8013235,8013343,9,13,72
2023-07-01,8013307,8011524,16,18,298
2023-07-01,8013307,8012996,12,18,117
2023-07-01,8013307,8013307,23,36,194
