date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8000106,8000106,271,348,114
2023-03-01,8000106,8002049,67,126,90
2023-03-01,8000106,8002051,106,127,136
2023-03-01,8000106,8002872,15,16,107
2023-03-01,8000106,8002935,28,33,127
2023-03-01,8000117,8000117,72,89,140
2023-03-01,8000117,8002526,13,21,87
2023-03-01,8000117,8002532,22,24,189
2023-03-01,8000117,8003550,18,22,138
2023-03-01,8000117,8006132,20,22,166
2023-03-01,8000126,8000126,31,32,200
2023-03-01,8000126,8003605,15,16,208
2023-03-01,8000126,8005740,17,21,150
2023-03-01,8000158,8000158,62,108,44
2023-03-01,8000158,8000632,13,30,19
2023-03-01,8000158,8001701,7,25,24
2023-03-01,8000158,8004713,12,29,66
2023-03-01,8000158,8006465,4,24,11
2023-03-01,8000241,8000241,187,212,157
2023-03-01,8000241,8000615,37,40,147
2023-03-01,8000241,8001237,1,1,2220
2023-03-01,8000241,8003816,16,18,228
2023-03-01,8000241,8003818,39,45,179
2023-03-01,8000241,8005220,20,21,277
2023-03-01,8000241,8005221,69,86,111
2023-03-01,8000241,8006404,1,1,60
2023-03-01,8000250,8000020,1,1,150
2023-03-01,8000250,8000026,3,3,320
2023-03-01,8000250,8000250,18,21,347
2023-03-01,8000250,8000257,1,1,120
2023-03-01,8000250,8003680,1,2,45
2023-03-01,8000250,8003816,1,1,90
2023-03-01,8000250,8006404,76,131,73
2023-03-01,8000250,8400071,1,1,870
2023-03-01,8000277,8000741,1,1,150
2023-03-01,8000285,8000285,23,45,47
2023-03-01,8000285,8001814,9,23,47
2023-03-01,8000285,8005156,12,66,13
2023-03-01,8000285,8006031,20,35,21
2023-03-01,8000347,8002288,6,24,18
2023-03-01,8000349,8000349,97,107,185
2023-03-01,8000349,8003143,8,11,112
2023-03-01,8000349,8003550,17,19,137
2023-03-01,8000349,8006548,22,24,201
2023-03-01,8000362,8004171,1,23,1
2023-03-01,8000503,8000503,56,84,121
2023-03-01,8000503,8001034,14,23,138
2023-03-01,8000503,8002391,29,41,116
2023-03-01,8000503,8002934,12,19,93
2023-03-01,8000503,8098360,15,19,161
2023-03-01,8000538,8000538,22,49,24
2023-03-01,8000538,8002886,8,24,19
2023-03-01,8000538,8003698,5,25,10
2023-03-01,8000632,8000158,21,29,77
2023-03-01,8000632,8000632,33,59,45
2023-03-01,8000632,8001312,1,1,180
2023-03-01,8000632,8004712,12,15,110
2023-03-01,8000712,8000712,61,88,89
2023-03-01,8000712,8004596,35,72,22
2023-03-01,8000712,8005544,40,44,133
2023-03-01,8000741,8000277,2,2,165
2023-03-01,8000741,8000741,3,3,160
2023-03-01,8000741,8002501,1,1,180
2023-03-01,8000752,8005799,5,43,16
2023-03-01,8000760,8000760,132,220,171
2023-03-01,8000760,8000761,36,72,210
2023-03-01,8000760,8001504,2,2,330
2023-03-01,8000760,8001514,40,70,110
2023-03-01,8000760,8002382,13,25,59
2023-03-01,8000760,8004712,9,18,227
2023-03-01,8000851,8000851,3,3,230
2023-03-01,8000851,8001504,1,1,60
2023-03-01,8000851,8006232,2,2,285
2023-03-01,8000877,8000877,55,82,257
2023-03-01,8000877,8002757,19,41,147
2023-03-01,8000877,8006687,33,41,356
2023-03-01,8000891,8000891,49,56,197
2023-03-01,8000891,8002010,17,25,181
2023-03-01,8000891,8003016,4,4,360
2023-03-01,8000891,8005261,3,4,142
2023-03-01,8000891,8005690,21,22,158
2023-03-01,8000891,8005720,10,10,228
2023-03-01,8000891,8006132,1,1,90
2023-03-01,8000948,8000948,90,112,270
2023-03-01,8000948,8001379,38,41,379
2023-03-01,8000948,8002498,21,41,168
2023-03-01,8000948,8003523,12,15,148
2023-03-01,8000948,8006687,14,15,350
2023-03-01,8000951,8000951,35,41,166
2023-03-01,8000951,8002249,19,21,156
2023-03-01,8000951,8005740,17,20,184
2023-03-01,8000984,8000332,1,1,120
2023-03-01,8000984,8000984,55,60,138
2023-03-01,8000984,8005026,27,29,162
2023-03-01,8000996,8000996,16,18,175
2023-03-01,8000996,8002048,9,9,247
2023-03-01,8000996,8002877,7,9,110
2023-03-01,8001034,8000503,13,24,68
2023-03-01,8001034,8001034,26,47,103
2023-03-01,8001034,8098360,9,23,136
2023-03-01,8001196,8001196,76,83,260
2023-03-01,8001196,8004353,40,42,296
2023-03-01,8001199,8001199,48,59,66
2023-03-01,8001199,8002572,26,29,98
2023-03-01,8001199,8004713,9,30,15
2023-03-01,8001236,8001236,150,225,92
2023-03-01,8001236,8003526,42,77,99
2023-03-01,8001236,8004246,39,95,61
2023-03-01,8001236,8005636,20,35,93
2023-03-01,8001248,8001248,21,49,31
2023-03-01,8001248,8003255,6,23,14
2023-03-01,8001248,8004367,0,1,0
2023-03-01,8001248,8006465,11,25,43
2023-03-01,8001312,8000234,1,1,480
2023-03-01,8001312,8001312,103,126,306
2023-03-01,8001312,8001618,9,9,317
2023-03-01,8001312,8002269,10,10,222
2023-03-01,8001312,8003262,28,42,192
2023-03-01,8001312,8004712,35,43,330
2023-03-01,8001377,8001377,57,82,296
2023-03-01,8001377,8001379,23,41,187
2023-03-01,8001377,8003523,40,41,320
2023-03-01,8001378,8001378,52,87,124
2023-03-01,8001378,8006528,20,44,86
2023-03-01,8001379,8000948,26,41,185
2023-03-01,8001379,8001377,36,41,396
2023-03-01,8001379,8001379,60,82,289
2023-03-01,8001427,8001427,32,41,190
2023-03-01,8001427,8003143,20,21,251
2023-03-01,8001427,8003314,11,17,81
2023-03-01,8001427,8005208,2,3,340
2023-03-01,8001504,8000851,2,2,330
2023-03-01,8001504,8001504,3,3,240
2023-03-01,8001511,8001511,29,32,202
2023-03-01,8001511,8002386,13,16,176
2023-03-01,8001511,8003605,16,16,225
2023-03-01,8001514,8000760,38,72,211
2023-03-01,8001514,8001514,79,142,163
2023-03-01,8001514,8002388,38,70,111
2023-03-01,8001554,8001554,47,70,86
2023-03-01,8001554,8002315,27,35,120
2023-03-01,8001554,8079151,23,35,75
2023-03-01,8001648,8001648,3,3,190
2023-03-01,8001648,8002265,1,1,120
2023-03-01,8001648,8002501,2,2,180
2023-03-01,8001672,8001672,58,87,122
2023-03-01,8001672,8001864,25,43,147
2023-03-01,8001672,8003523,37,44,114
2023-03-01,8001701,8000158,18,24,40
2023-03-01,8001701,8001701,25,49,26
2023-03-01,8001701,8002886,11,25,26
2023-03-01,8001814,8000285,5,23,10
2023-03-01,8001814,8001814,12,46,26
2023-03-01,8001814,8004171,6,23,40
2023-03-01,8001815,8001815,90,118,117
2023-03-01,8001815,8001816,54,60,172
2023-03-01,8001815,8003754,56,58,80
2023-03-01,8001816,8001815,51,58,89
2023-03-01,8001816,8001816,103,118,127
2023-03-01,8001816,8004382,52,60,165
2023-03-01,8001864,8001672,15,44,78
2023-03-01,8001864,8001864,58,87,125
2023-03-01,8001864,8006528,29,43,160
2023-03-01,8001871,8001870,69,84,158
2023-03-01,8001871,8001871,148,169,107
2023-03-01,8001871,8002052,79,85,79
2023-03-01,8002039,8002039,13,19,164
2023-03-01,8002039,8002048,7,9,103
2023-03-01,8002040,8002040,138,180,96
2023-03-01,8002040,8002050,60,90,91
2023-03-01,8002040,8002060,78,90,121
2023-03-01,8002046,8002046,187,255,107
2023-03-01,8002046,8002049,113,129,130
2023-03-01,8002046,8098105,95,116,137
2023-03-01,8002048,8000996,6,9,93
2023-03-01,8002048,8002039,6,9,233
2023-03-01,8002048,8002048,12,18,163
2023-03-01,8002050,8002040,71,90,105
2023-03-01,8002050,8002050,188,256,128
2023-03-01,8002050,8005220,14,18,205
