date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8010013,8010013,41,63,86
2023-08-01,8010013,8010194,6,9,80
2023-08-01,8010013,8011184,19,19,111
2023-08-01,8010013,8011605,19,35,93
2023-08-01,8010043,8010043,36,57,65
2023-08-01,8010043,8011170,4,10,15
2023-08-01,8010043,8011605,16,29,73
2023-08-01,8010043,8011929,17,22,116
2023-08-01,8010152,8010009,1,1,210
2023-08-01,8010152,8010043,0,1,0
2023-08-01,8010152,8010152,54,69,123
2023-08-01,8010152,8010311,9,12,162
2023-08-01,8010152,8010332,6,9,190
2023-08-01,8010152,8011632,17,24,134
2023-08-01,8010152,8011929,9,18,32
2023-08-01,8010152,8012467,9,11,65
2023-08-01,8010194,8010013,14,14,135
2023-08-01,8010194,8010194,21,24,90
2023-08-01,8010194,8011402,7,13,76
2023-08-01,8010281,8010281,36,39,125
2023-08-01,8010281,8011150,17,19,137
2023-08-01,8010281,8013418,3,3,60
2023-08-01,8010302,8010302,35,43,164
2023-08-01,8010302,8011361,2,2,315
2023-08-01,8010302,8012777,17,22,140
2023-08-01,8010302,8013335,13,15,170
2023-08-01,8010343,8010343,35,40,244
2023-08-01,8010343,8012506,18,20,291
2023-08-01,8010343,8013259,16,20,200
2023-08-01,8011048,8011048,8,24,32
2023-08-01,8011048,8011537,5,12,62
2023-08-01,8011048,8011960,4,16,11
2023-08-01,8011053,8011053,35,39,261
2023-08-01,8011053,8013259,15,19,257
2023-08-01,8011053,8013357,19,20,249
2023-08-01,8011150,8010281,16,20,108
2023-08-01,8011150,8011150,33,39,128
2023-08-01,8011150,8012704,17,19,161
2023-08-01,8011169,8011169,13,20,70
2023-08-01,8011169,8011170,6,10,90
2023-08-01,8011169,8012507,5,10,39
2023-08-01,8011170,8010043,4,10,78
2023-08-01,8011170,8011169,8,10,45
2023-08-01,8011170,8011170,8,20,56
2023-08-01,8011184,8010013,10,20,26
2023-08-01,8011184,8011184,34,39,78
2023-08-01,8011184,8011484,7,8,98
2023-08-01,8011184,8011571,6,11,63
2023-08-01,8011260,8011260,61,73,96
2023-08-01,8011260,8012147,28,35,118
2023-08-01,8011260,8012788,31,38,83
2023-08-01,8011290,8011290,21,27,118
2023-08-01,8011290,8013371,13,13,192
2023-08-01,8011290,8013418,8,14,62
