date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-11-01,8000048,8000048,54,60,480
2023-11-01,8000048,8000233,1,1,60
2023-11-01,8000048,8000315,9,13,102
2023-11-01,8000048,8003096,15,15,322
2023-11-01,8000215,8000215,40,89,71
2023-11-01,8000215,8001420,16,30,124
2023-11-01,8000215,8001686,4,14,41
2023-11-01,8000215,8002916,5,15,30
2023-11-01,8000215,8004630,5,14,15
2023-11-01,8000215,8005810,14,16,109
2023-11-01,8000233,8000233,16,30,348
2023-11-01,8000233,8000733,11,16,720
2023-11-01,8000233,8003288,3,10,237
2023-11-01,8000233,8004777,5,8,79
2023-11-01,8000315,8000048,11,14,116
2023-11-01,8000315,8000315,79,94,439
2023-11-01,8000315,8002801,6,15,84
2023-11-01,8000315,8003096,18,18,977
2023-11-01,8000315,8004626,33,33,534
2023-11-01,8000733,8000233,11,16,1001
2023-11-01,8000733,8000733,22,32,1087
2023-11-01,8000733,8006091,11,16,752
2023-11-01,8000744,8000744,31,32,127
2023-11-01,8000744,8005415,10,16,92
2023-11-01,8000953,8000953,21,29,108
2023-11-01,8000953,8079069,11,15,110
2023-11-01,8000957,8000957,25,25,134
2023-11-01,8000957,8003288,12,12,155
2023-11-01,8000957,8070734,13,13,113
2023-11-01,8001118,8001118,51,64,217
2023-11-01,8001118,8002824,29,32,114
2023-11-01,8001335,8000846,7,15,78
2023-11-01,8001335,8001335,13,31,76
2023-11-01,8001335,8002801,5,16,66
2023-11-01,8001420,8000215,20,30,62
2023-11-01,8001420,8001420,42,59,93
2023-11-01,8001420,8003000,24,30,145
2023-11-01,8001686,8000215,6,15,56
2023-11-01,8001686,8001686,13,29,52
2023-11-01,8001686,8002737,7,14,51
2023-11-01,8001894,8001894,16,25,55
2023-11-01,8001894,8003772,8,12,32
2023-11-01,8001894,8004919,6,13,53
2023-11-01,8002737,8001686,7,15,68
2023-11-01,8002737,8002737,12,29,54
2023-11-01,8002737,8004630,3,14,30
2023-11-01,8002801,8000315,3,16,49
2023-11-01,8002801,8001335,5,15,76
2023-11-01,8002801,8002801,10,31,66
2023-11-01,8002824,8001118,30,31,382
2023-11-01,8002824,8002824,55,63,270
2023-11-01,8002824,8003288,26,32,114
2023-11-01,8002916,8000215,7,14,32
2023-11-01,8002916,8002916,7,29,16
2023-11-01,8002916,8003633,8,15,40
2023-11-01,8002978,8002978,17,25,76
2023-11-01,8002978,8003772,10,13,97
2023-11-01,8002978,8070734,9,12,95
2023-11-01,8003000,8001420,24,30,69
2023-11-01,8003000,8003000,50,60,111
2023-11-01,8003000,8003655,16,16,163
2023-11-01,8003096,8000048,18,18,1172
2023-11-01,8003096,8000315,15,15,478
2023-11-01,8003096,8003096,33,33,766
2023-11-01,8003288,8000233,2,8,214
2023-11-01,8003288,8000957,9,13,102
2023-11-01,8003288,8001201,12,19,115
2023-11-01,8003288,8002824,26,31,456
2023-11-01,8003288,8003288,57,81,269
2023-11-01,8003633,8002916,3,14,19
2023-11-01,8003633,8003633,9,29,42
2023-11-01,8003633,8003634,9,15,76
2023-11-01,8003634,8003633,1,14,13
2023-11-01,8003655,8003000,15,16,86
2023-11-01,8003655,8003655,29,32,125
2023-11-01,8003655,8005283,16,16,172
2023-11-01,8003772,8001894,11,13,104
2023-11-01,8003772,8002978,5,12,12
2023-11-01,8003772,8003772,16,25,66
2023-11-01,8004630,8000215,6,14,92
2023-11-01,8004630,8002737,5,15,60
2023-11-01,8004630,8004630,36,57,77
2023-11-01,8004630,8005930,7,14,64
2023-11-01,8004777,8000335,8,8,165
2023-11-01,8004777,8004777,10,16,62
2023-11-01,8004919,8001894,1,12,2
2023-11-01,8005276,8002262,27,31,119
2023-11-01,8005276,8005276,56,62,225
2023-11-01,8005276,8005322,25,31,327
2023-11-01,8005283,8003655,13,16,92
2023-11-01,8005283,8005283,28,32,125
2023-11-01,8005322,8005276,31,31,132
2023-11-01,8005322,8005322,56,62,212
2023-11-01,8005322,8006449,6,6,265
2023-11-01,8005415,8000744,16,16,159
2023-11-01,8005415,8005415,31,32,127
2023-11-01,8005415,8005810,15,16,116
2023-11-01,8005708,8005340,6,18,10
2023-11-01,8005708,8005708,16,36,36
2023-11-01,8005810,8000215,15,16,105
2023-11-01,8005810,8005415,16,16,139
2023-11-01,8005810,8005810,31,32,127
2023-11-01,8005930,8004630,11,15,122
2023-11-01,8005930,8005930,18,29,99
2023-11-01,8005930,8079069,9,14,73
2023-11-01,8006091,8000733,11,16,1419
2023-11-01,8006091,8005104,11,17,1068
2023-11-01,8006091,8006091,22,32,1163
2023-11-01,8006449,8002933,1,1,150
2023-11-01,8006449,8003168,6,6,205
2023-11-01,8006449,8005322,4,7,39
2023-11-01,8006449,8006449,1,1,60
2023-11-01,8070734,8000957,11,12,120
2023-11-01,8070734,8002978,9,13,102
2023-11-01,8070734,8070734,19,25,101
2023-11-01,8079069,8000953,9,14,77
2023-11-01,8079069,8005930,12,15,142
2023-11-01,8079069,8079069,20,29,104
2023-11-02,8000048,8000048,62,72,950
2023-11-02,8000048,8000233,1,1,960
2023-11-02,8000048,8000315,12,14,313
2023-11-02,8000048,8001118,1,1,690
2023-11-02,8000048,8003096,17,20,480
2023-11-02,8000215,8000215,52,101,458
2023-11-02,8000215,8001420,20,33,769
2023-11-02,8000215,8001686,3,16,306
2023-11-02,8000215,8002916,5,18,227
2023-11-02,8000215,8004630,9,16,647
2023-11-02,8000215,8005810,16,18,560
2023-11-02,8000233,8000233,16,30,480
2023-11-02,8000233,8000733,12,16,562
2023-11-02,8000233,8003288,2,10,222
2023-11-02,8000233,8004777,6,8,930
2023-11-02,8000315,8000048,14,17,1073
2023-11-02,8000315,8000315,95,108,994
2023-11-02,8000315,8002801,13,16,308
2023-11-02,8000315,8003096,19,21,1476
2023-11-02,8000315,8004626,33,37,761
2023-11-02,8000733,8000233,12,16,971
2023-11-02,8000733,8000733,23,32,1023
2023-11-02,8000733,8006091,12,16,583
2023-11-02,8000744,8000744,33,37,569
2023-11-02,8000744,8005415,14,19,567
2023-11-02,8000953,8000953,13,35,499
2023-11-02,8000953,8079069,6,18,263
2023-11-02,8000957,8000957,19,33,288
2023-11-02,8000957,8003288,10,16,223
2023-11-02,8000957,8070734,11,17,372
2023-11-02,8001118,8000048,1,1,450
2023-11-02,8001118,8001118,59,74,758
2023-11-02,8001118,8002824,29,36,499
2023-11-02,8001335,8000846,14,16,368
2023-11-02,8001335,8001335,30,35,639
2023-11-02,8001335,8002801,14,19,1191
2023-11-02,8001420,8000215,23,34,411
2023-11-02,8001420,8001420,45,64,541
2023-11-02,8001420,8003000,23,32,671
2023-11-02,8001686,8000215,6,18,233
2023-11-02,8001686,8001686,13,34,411
2023-11-02,8001686,8002737,6,16,673
2023-11-02,8001894,8001894,21,33,209
2023-11-02,8001894,8003772,9,16,51
2023-11-02,8001894,8004919,11,17,346
2023-11-02,8002737,8001686,7,18,238
2023-11-02,8002737,8002737,12,34,452
2023-11-02,8002737,8004630,6,16,686
2023-11-02,8002801,8000315,13,19,1176
2023-11-02,8002801,8001335,13,16,304
2023-11-02,8002801,8002801,27,35,775
2023-11-02,8002824,8001118,29,35,1146
2023-11-02,8002824,8002824,57,71,852
2023-11-02,8002824,8003288,28,36,477
2023-11-02,8002916,8000215,6,17,42
2023-11-02,8002916,8002916,8,35,126
2023-11-02,8002916,8003633,8,18,242
2023-11-02,8002978,8002978,18,33,265
2023-11-02,8002978,8003772,12,17,376
2023-11-02,8002978,8070734,6,16,169
2023-11-02,8003000,8001420,21,33,248
2023-11-02,8003000,8003000,40,62,464
2023-11-02,8003000,8003655,15,17,762
2023-11-02,8003096,8000048,19,21,1674
2023-11-02,8003096,8000315,17,20,638
2023-11-02,8003096,8003096,36,41,1068
2023-11-02,8003288,8000233,1,8,4
2023-11-02,8003288,8000957,11,17,356
2023-11-02,8003288,8001201,17,19,651
2023-11-02,8003288,8002824,28,35,1242
2023-11-02,8003288,8003288,61,89,701
2023-11-02,8003633,8002916,4,17,18
2023-11-02,8003633,8003633,12,35,138
2023-11-02,8003633,8003634,8,18,255
2023-11-02,8003634,8003633,2,17,14
2023-11-02,8003655,8003000,15,17,275
2023-11-02,8003655,8003655,28,34,519
2023-11-02,8003655,8005283,15,17,796
2023-11-02,8003772,8001894,12,17,379
2023-11-02,8003772,8002978,8,16,88
2023-11-02,8003772,8003772,18,33,217
2023-11-02,8004630,8000215,5,14,791
2023-11-02,8004630,8000953,1,1,90
2023-11-02,8004630,8002737,6,18,237
2023-11-02,8004630,8004630,27,64,544
2023-11-02,8004630,8005930,5,16,684
2023-11-02,8004777,8000335,8,8,1125
2023-11-02,8004777,8004777,16,16,1059
2023-11-02,8004919,8001894,5,16,81
2023-11-02,8005276,8002262,35,35,891
2023-11-02,8005276,8005276,69,69,1358
2023-11-02,8005276,8005322,34,34,1898
2023-11-02,8005283,8003655,13,17,268
2023-11-02,8005283,8005283,28,34,531
2023-11-02,8005322,8005276,35,35,797
2023-11-02,8005322,8005322,69,69,1312
2023-11-02,8005322,8006449,7,7,1804
2023-11-02,8005415,8000744,16,18,585
2023-11-02,8005415,8005415,32,37,575
2023-11-02,8005415,8005810,16,19,586
2023-11-02,8005708,8005340,13,18,412
2023-11-02,8005708,8005708,25,36,404
2023-11-02,8005810,8000215,15,19,573
2023-11-02,8005810,8005415,16,18,568
2023-11-02,8005810,8005810,31,37,572
2023-11-02,8005930,8004630,8,18,270
2023-11-02,8005930,8005930,13,34,465
2023-11-02,8005930,8079069,5,16,690
2023-11-02,8006091,8000733,12,16,1470
2023-11-02,8006091,8005104,12,17,859
2023-11-02,8006091,8006091,25,32,1082
2023-11-02,8006449,8002933,7,7,1843
2023-11-02,8006449,8003168,8,8,859
2023-11-02,8006449,8005322,7,7,274
2023-11-02,8006449,8006449,28,29,1101
2023-11-02,8070734,8000957,8,16,184
2023-11-02,8070734,8002978,11,17,371
2023-11-02,8070734,8070734,18,33,274
2023-11-02,8079069,8000953,5,16,679
2023-11-02,8079069,8005930,8,18,270
2023-11-02,8079069,8079069,12,34,465
2023-11-03,8000048,8000048,68,73,362
2023-11-03,8000048,8000233,1,1,420
2023-11-03,8000048,8000315,13,15,130
2023-11-03,8000048,8001118,1,1,660
2023-11-03,8000048,8003096,19,20,243
2023-11-03,8000215,8000215,65,108,118
2023-11-03,8000215,8001420,20,35,122
2023-11-03,8000215,8001686,13,19,126
2023-11-03,8000215,8002916,10,20,116
2023-11-03,8000215,8004630,5,16,86
2023-11-03,8000215,8005810,19,19,193
2023-11-03,8000233,8000233,28,30,783
2023-11-03,8000233,8000733,13,16,504
2023-11-03,8000233,8003288,10,10,1101
2023-11-03,8000233,8004777,8,8,338
2023-11-03,8000315,8000048,15,17,247
2023-11-03,8000315,8000315,91,109,434
2023-11-03,8000315,8002801,8,17,122
2023-11-03,8000315,8003096,21,21,540
2023-11-03,8000315,8004626,36,37,469
2023-11-03,8000733,8000233,15,16,1067
2023-11-03,8000733,8000733,27,32,805
2023-11-03,8000733,8006091,13,16,544
2023-11-03,8000744,8000744,39,39,202
2023-11-03,8000744,8005415,18,20,148
2023-11-03,8000953,8000953,22,40,137
2023-11-03,8000953,8079069,12,20,129
2023-11-03,8000957,8000957,33,34,315
2023-11-03,8000957,8003288,16,16,354
2023-11-03,8000957,8070734,18,18,300
2023-11-03,8001118,8000048,1,1,450
2023-11-03,8001118,8001118,67,78,310
2023-11-03,8001118,8002824,35,38,206
2023-11-03,8001335,8000846,9,17,146
2023-11-03,8001335,8001335,26,37,184
2023-11-03,8001335,8002801,12,20,201
2023-11-03,8001420,8000215,26,35,124
2023-11-03,8001420,8001420,50,67,127
2023-11-03,8001420,8003000,25,34,131
2023-11-03,8001686,8000215,10,20,126
2023-11-03,8001686,8001686,29,39,139
2023-11-03,8001686,8002737,18,19,161
2023-11-03,8001894,8001894,29,34,185
2023-11-03,8001894,8003772,12,16,88
2023-11-03,8001894,8004919,16,18,257
2023-11-03,8002737,8001686,12,20,140
2023-11-03,8002737,8002737,30,39,140
2023-11-03,8002737,8004630,15,19,123
2023-11-03,8002801,8000315,11,20,183
2023-11-03,8002801,8001335,7,17,132
2023-11-03,8002801,8002801,18,37,161
2023-11-03,8002824,8001118,36,36,570
2023-11-03,8002824,8002824,70,74,454
2023-11-03,8002824,8003288,35,38,309
2023-11-03,8002916,8000215,18,20,117
2023-11-03,8002916,8002916,24,40,114
2023-11-03,8002916,8003633,16,20,141
2023-11-03,8002978,8002978,32,34,235
