date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-12-01,8000077,8000077,74,82,431
2023-12-01,8000077,8000182,15,16,544
2023-12-01,8000077,8000366,38,38,512
2023-12-01,8000077,8001485,2,2,210
2023-12-01,8000077,8002214,13,16,574
2023-12-01,8000077,8003014,17,19,141
2023-12-01,8000182,8000077,11,14,94
2023-12-01,8000182,8000182,57,62,610
2023-12-01,8000182,8000880,15,16,1076
2023-12-01,8000182,8002096,1,1,90
2023-12-01,8000182,8002214,14,16,1121
2023-12-01,8000182,8004111,11,11,218
2023-12-01,8000182,8006321,2,2,30
2023-12-01,8000182,8079056,1,1,90
2023-12-01,8000333,8000333,31,37,589
2023-12-01,8000333,8000942,1,1,240
2023-12-01,8000333,8002621,15,17,814
2023-12-01,8000333,8003001,17,19,417
2023-12-01,8000356,8000356,1,1,60
2023-12-01,8000356,8005490,1,1,90
2023-12-01,8000366,8000077,32,40,357
2023-12-01,8000366,8000366,34,36,619
2023-12-01,8000366,8003854,2,2,90
2023-12-01,8000366,8003857,0,1,0
2023-12-01,8000366,8005644,17,19,641
2023-12-01,8000393,8000393,2,2,330
2023-12-01,8000393,8005490,1,1,570
2023-12-01,8000393,8005911,1,1,150
2023-12-01,8000412,8000412,45,55,334
2023-12-01,8000412,8001252,34,45,239
2023-12-01,8000412,8005037,25,27,324
2023-12-01,8000436,8000436,8,32,15
2023-12-01,8000436,8000544,8,17,23
2023-12-01,8000436,8005371,7,15,24
2023-12-01,8000456,8000456,1,1,150
2023-12-01,8000456,8004235,1,1,180
2023-12-01,8000463,8000463,51,60,202
2023-12-01,8000463,8001491,26,31,118
2023-12-01,8000463,8003586,21,29,305
2023-12-01,8000544,8000436,7,15,26
2023-12-01,8000544,8000544,17,32,32
2023-12-01,8000544,8001971,2,17,11
2023-12-01,8000596,8000596,52,55,339
2023-12-01,8000596,8000942,6,6,435
2023-12-01,8000596,8002235,10,10,240
2023-12-01,8000596,8003494,8,8,214
2023-12-01,8000596,8005037,26,28,358
2023-12-01,8000657,8000657,33,41,193
2023-12-01,8000657,8004124,12,19,99
2023-12-01,8000657,8005364,21,22,270
2023-12-01,8000718,8000718,64,88,184
2023-12-01,8000718,8001415,4,8,38
2023-12-01,8000718,8002727,38,45,269
2023-12-01,8000718,8004464,21,25,108
2023-12-01,8000718,8005317,8,10,279
2023-12-01,8000864,8000864,46,56,220
2023-12-01,8000864,8001671,6,8,368
2023-12-01,8000864,8004124,1,1,270
2023-12-01,8000864,8005068,19,22,269
2023-12-01,8000864,8005364,18,25,120
2023-12-01,8000932,8000932,49,58,108
2023-12-01,8000932,8005064,25,28,125
2023-12-01,8000932,8005497,21,30,94
2023-12-01,8000942,8000596,6,6,445
2023-12-01,8000942,8000942,20,21,373
2023-12-01,8000942,8002235,2,3,130
2023-12-01,8000942,8002621,7,7,441
2023-12-01,8000942,8005688,4,4,368
2023-12-01,8000965,8000965,1,1,720
2023-12-01,8000965,8002337,1,1,750
2023-12-01,8001059,8000880,2,2,150
2023-12-01,8001059,8001059,4,4,428
2023-12-01,8001059,8079616,2,2,690
2023-12-01,8001174,8001174,43,58,92
2023-12-01,8001174,8005255,16,30,81
2023-12-01,8001174,8005497,20,28,89
2023-12-01,8001262,8001262,43,56,187
2023-12-01,8001262,8002727,17,26,107
2023-12-01,8001262,8004124,25,30,248
2023-12-01,8001405,8001405,2,2,150
2023-12-01,8001405,8005911,1,1,30
2023-12-01,8001415,8000718,5,5,432
2023-12-01,8001415,8001415,65,80,240
2023-12-01,8001415,8001643,0,1,0
2023-12-01,8001415,8001771,16,22,180
2023-12-01,8001415,8002067,1,1,150
2023-12-01,8001415,8002465,19,23,300
