date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-09-01,8000065,8000065,74,94,184
2023-09-01,8000065,8000435,1,1,180
2023-09-01,8000065,8001256,16,19,534
2023-09-01,8000065,8003856,18,20,99
2023-09-01,8000065,8005291,9,13,95
2023-09-01,8000065,8006385,12,14,131
2023-09-01,8000161,8000161,39,42,284
2023-09-01,8000161,8001271,18,19,429
2023-09-01,8000161,8005577,20,23,180
2023-09-01,8000187,8000187,18,26,69
2023-09-01,8000187,8000954,11,13,81
2023-09-01,8000187,8003493,7,13,46
2023-09-01,8000218,8000218,14,15,172
2023-09-01,8000218,8000229,8,8,225
2023-09-01,8000234,8000234,58,69,247
2023-09-01,8000234,8001312,2,2,225
2023-09-01,8000234,8002100,30,31,411
2023-09-01,8000234,8002134,2,3,40
2023-09-01,8000234,8002269,26,32,125
2023-09-01,8000234,8002410,1,1,30
2023-09-01,8000386,8000161,1,1,30
2023-09-01,8000386,8000386,0,2,0
2023-09-01,8000435,8000065,2,2,60
2023-09-01,8000435,8000435,43,52,420
2023-09-01,8000435,8000589,11,18,68
2023-09-01,8000435,8004417,1,1,30
2023-09-01,8000435,8005661,23,26,681
2023-09-01,8000589,8000435,16,19,527
2023-09-01,8000589,8000589,24,37,298
2023-09-01,8000589,8001256,9,18,57
2023-09-01,8000633,8000633,42,43,275
2023-09-01,8000633,8001618,21,23,193
2023-09-01,8000633,8006340,20,20,390
2023-09-01,8000952,8000952,20,26,70
2023-09-01,8000952,8000954,10,13,83
2023-09-01,8000952,8006446,10,13,69
2023-09-01,8000954,8000187,12,13,122
2023-09-01,8000954,8000952,12,13,81
2023-09-01,8000954,8000954,23,26,102
2023-09-01,8001228,8001228,17,26,76
2023-09-01,8001228,8001319,4,13,14
2023-09-01,8001228,8002101,13,13,106
2023-09-01,8001256,8000065,10,18,60
2023-09-01,8001256,8000589,16,19,532
2023-09-01,8001256,8001256,25,37,302
2023-09-01,8001271,8000161,17,22,132
2023-09-01,8001271,8001271,36,41,275
2023-09-01,8001271,8004405,19,19,418
2023-09-01,8001319,8001228,13,13,152
2023-09-01,8001319,8001319,21,26,87
2023-09-01,8001319,8005722,8,13,30
2023-09-01,8001322,8001322,59,67,234
2023-09-01,8001322,8003041,9,9,63
2023-09-01,8001322,8004364,6,9,703
2023-09-01,8001322,8004409,21,25,238
2023-09-01,8001322,8006535,17,24,96
2023-09-01,8001618,8000633,20,20,375
2023-09-01,8001618,8001312,8,8,409
2023-09-01,8001618,8001618,39,43,283
2023-09-01,8001618,8002410,12,12,225
2023-09-01,8001668,8001668,38,43,288
2023-09-01,8001668,8003213,19,23,177
2023-09-01,8001668,8005577,19,20,441
2023-09-01,8001694,8001694,40,43,280
2023-09-01,8001694,8003213,19,20,418
2023-09-01,8001694,8006340,21,23,187
2023-09-01,8001883,8000229,29,34,369
2023-09-01,8001883,8001883,46,67,210
2023-09-01,8001883,8003696,14,24,88
2023-09-01,8001883,8004364,5,9,20
2023-09-01,8002100,8000234,27,32,128
2023-09-01,8002100,8002100,58,63,264
2023-09-01,8002100,8002134,30,31,420
2023-09-01,8002101,8001228,6,13,35
2023-09-01,8002101,8002101,19,26,50
2023-09-01,8002101,8006446,12,13,58
2023-09-01,8002134,8000234,1,1,30
2023-09-01,8002134,8002100,23,32,108
2023-09-01,8002134,8002134,56,67,247
2023-09-01,8002134,8004417,32,34,400
2023-09-01,8002269,8000234,30,31,397
2023-09-01,8002269,8001312,9,9,367
2023-09-01,8002269,8002269,59,63,280
2023-09-01,8002269,8002410,12,12,218
2023-09-01,8002332,8002332,22,26,69
2023-09-01,8002332,8005291,11,13,39
2023-09-01,8002332,8005722,12,13,99
2023-09-01,8002410,8000234,0,1,0
2023-09-01,8002410,8001618,8,9,260
2023-09-01,8002410,8002269,12,12,415
2023-09-01,8002410,8002410,57,74,223
2023-09-01,8002410,8003520,35,38,236
2023-09-01,8003213,8001668,19,20,405
2023-09-01,8003213,8001694,20,23,164
2023-09-01,8003213,8003213,39,43,284
2023-09-01,8003520,8001312,1,1,30
2023-09-01,8003520,8002410,24,36,228
2023-09-01,8003520,8003262,33,37,259
2023-09-01,8003520,8003520,57,74,235
2023-09-01,8003696,8001883,21,25,244
2023-09-01,8003696,8003696,36,49,178
2023-09-01,8003696,8004364,17,24,99
2023-09-01,8003856,8000065,16,20,477
2023-09-01,8003856,8003856,57,68,243
2023-09-01,8003856,8004417,2,2,105
2023-09-01,8003856,8004420,27,32,118
2023-09-01,8004164,8001854,12,14,135
2023-09-01,8004164,8004164,23,28,134
2023-09-01,8004164,8005573,10,14,122
2023-09-01,8004328,8001098,9,10,885
2023-09-01,8004328,8004328,36,43,375
2023-09-01,8004328,8005661,17,21,141
2023-09-01,8004328,8006401,8,12,350
2023-09-01,8004364,8001322,9,9,53
2023-09-01,8004364,8001883,9,9,710
2023-09-01,8004364,8003696,24,25,262
2023-09-01,8004364,8004364,58,67,240
2023-09-01,8004364,8004518,20,24,125
2023-09-01,8004405,8001271,17,22,149
2023-09-01,8004405,8004405,36,41,263
2023-09-01,8004409,8001322,20,24,108
2023-09-01,8004409,8004409,36,49,170
2023-09-01,8004409,8004518,23,25,250
2023-09-01,8004417,8000234,2,2,75
2023-09-01,8004417,8002134,25,33,101
2023-09-01,8004417,8003856,1,3,20
2023-09-01,8004417,8004417,58,69,246
2023-09-01,8004417,8004420,28,31,415
2023-09-01,8004420,8003856,29,31,415
2023-09-01,8004420,8004417,26,32,117
2023-09-01,8004420,8004420,56,63,263
2023-09-01,8004518,8004364,23,25,268
2023-09-01,8004518,8004409,21,24,112
2023-09-01,8004518,8004518,44,49,198
2023-09-01,8005291,8000065,8,13,25
2023-09-01,8005291,8002332,11,13,104
2023-09-01,8005291,8005291,15,26,65
2023-09-01,8005573,8004164,13,14,186
2023-09-01,8005573,8005573,23,28,148
2023-09-01,8005573,8006385,7,14,101
2023-09-01,8005577,8000161,19,20,417
2023-09-01,8005577,8001668,17,23,154
2023-09-01,8005577,8005577,38,43,285
2023-09-01,8005661,8000435,23,26,141
2023-09-01,8005661,8004328,18,22,614
2023-09-01,8005661,8005661,38,43,396
2023-09-01,8005722,8001319,13,13,108
2023-09-01,8005722,8002332,7,13,28
2023-09-01,8005722,8005722,20,26,73
2023-09-01,8006340,8000633,22,23,176
2023-09-01,8006340,8001694,20,20,388
2023-09-01,8006340,8006340,41,43,280
2023-09-01,8006385,8000065,5,14,86
2023-09-01,8006385,8005573,14,14,197
2023-09-01,8006385,8006385,20,28,140
2023-09-01,8006446,8000952,11,13,99
2023-09-01,8006446,8002101,11,13,97
2023-09-01,8006446,8006446,22,26,99
2023-09-02,8000065,8000065,46,61,175
2023-09-02,8000065,8000435,1,1,1770
2023-09-02,8000065,8001256,8,8,341
2023-09-02,8000065,8003856,7,7,107
2023-09-02,8000065,8005291,9,10,99
2023-09-02,8000065,8006385,9,13,122
2023-09-02,8000161,8000161,32,37,129
2023-09-02,8000161,8001271,14,18,163
2023-09-02,8000161,8005577,16,19,84
2023-09-02,8000187,8000187,16,20,174
2023-09-02,8000187,8000954,10,10,153
2023-09-02,8000187,8003493,6,10,168
2023-09-02,8000234,8000234,38,43,194
2023-09-02,8000234,8002100,21,21,243
2023-09-02,8000234,8002134,1,1,1620
2023-09-02,8000234,8002269,15,20,87
2023-09-02,8000234,8002410,1,1,60
2023-09-02,8000435,8000065,1,1,210
2023-09-02,8000435,8000435,25,32,528
2023-09-02,8000435,8000589,1,6,35
2023-09-02,8000435,8005661,16,17,904
2023-09-02,8000589,8000435,8,8,349
2023-09-02,8000589,8000589,9,14,212
2023-09-02,8000589,8001256,2,6,45
2023-09-02,8000633,8000633,33,37,144
2023-09-02,8000633,8001618,16,19,126
2023-09-02,8000633,8006340,18,18,188
2023-09-02,8000952,8000952,18,20,188
2023-09-02,8000952,8000954,9,10,213
2023-09-02,8000952,8006446,9,10,180
2023-09-02,8000954,8000187,10,10,240
2023-09-02,8000954,8000952,9,10,186
2023-09-02,8000954,8000954,19,20,200
2023-09-02,8001228,8001228,13,20,135
2023-09-02,8001228,8001319,5,10,138
2023-09-02,8001228,8002101,6,10,81
2023-09-02,8001256,8000065,2,6,60
2023-09-02,8001256,8000589,8,8,341
2023-09-02,8001256,8001256,10,14,221
2023-09-02,8001271,8000161,10,19,60
2023-09-02,8001271,8001271,25,37,112
2023-09-02,8001271,8004405,14,18,142
2023-09-02,8001319,8001228,10,10,141
2023-09-02,8001319,8001319,15,20,144
2023-09-02,8001319,8005722,6,10,147
2023-09-02,8001322,8001322,34,42,93
2023-09-02,8001322,8004409,15,21,124
2023-09-02,8001322,8006535,16,21,44
2023-09-02,8001618,8000633,18,18,170
2023-09-02,8001618,8001312,8,8,169
2023-09-02,8001618,8001618,32,39,145
2023-09-02,8001618,8002269,1,1,60
2023-09-02,8001618,8002410,9,9,163
2023-09-02,8001668,8001668,31,37,135
2023-09-02,8001668,8003213,13,19,79
2023-09-02,8001668,8005577,18,18,218
2023-09-02,8001694,8001694,35,37,140
2023-09-02,8001694,8003213,18,18,223
2023-09-02,8001694,8006340,17,19,98
2023-09-02,8001883,8000229,13,21,104
2023-09-02,8001883,8001883,19,42,55
2023-09-02,8001883,8003696,9,21,17
2023-09-02,8002100,8000234,19,20,98
2023-09-02,8002100,8002100,40,41,171
2023-09-02,8002100,8002134,21,21,240
2023-09-02,8002101,8001228,5,10,150
2023-09-02,8002101,8002101,14,20,134
2023-09-02,8002101,8006446,8,10,168
2023-09-02,8002134,8000234,1,1,150
2023-09-02,8002134,8002100,13,20,78
2023-09-02,8002134,8002134,36,43,193
2023-09-02,8002134,8004417,22,22,323
2023-09-02,8002269,8000234,20,21,210
2023-09-02,8002269,8001312,8,8,199
2023-09-02,8002269,8002269,40,41,168
2023-09-02,8002269,8002410,11,11,109
2023-09-02,8002332,8002332,18,20,124
2023-09-02,8002332,8005291,7,10,150
2023-09-02,8002332,8005722,9,10,84
2023-09-02,8002410,8001618,5,8,86
2023-09-02,8002410,8002269,10,10,156
2023-09-02,8002410,8002410,47,62,161
2023-09-02,8002410,8003520,27,32,142
2023-09-02,8003213,8001668,17,18,188
2023-09-02,8003213,8001694,12,19,68
2023-09-02,8003213,8003213,30,37,139
2023-09-02,8003520,8001312,0,1,0
2023-09-02,8003520,8002410,25,30,199
2023-09-02,8003520,8003262,26,31,159
2023-09-02,8003520,8003520,53,62,169
2023-09-02,8003696,8001883,16,21,127
2023-09-02,8003696,8003696,25,42,87
2023-09-02,8003696,8004364,13,21,39
2023-09-02,8003856,8000065,8,8,570
2023-09-02,8003856,8003856,35,43,193
2023-09-02,8003856,8004417,1,1,180
2023-09-02,8003856,8004420,15,20,72
2023-09-02,8004164,8001854,10,13,95
2023-09-02,8004164,8004164,19,25,112
2023-09-02,8004164,8005573,8,12,88
2023-09-02,8004328,8001098,9,10,1326
2023-09-02,8004328,8004328,20,22,668
2023-09-02,8004328,8005661,9,10,114
2023-09-02,8004328,8006401,2,2,165
2023-09-02,8004364,8003696,18,21,141
2023-09-02,8004364,8004364,35,42,96
2023-09-02,8004364,8004518,17,21,57
2023-09-02,8004405,8001271,11,19,69
2023-09-02,8004405,8004405,23,37,97
2023-09-02,8004409,8001322,18,21,56
2023-09-02,8004409,8004409,30,42,84
2023-09-02,8004409,8004518,17,21,139
2023-09-02,8004417,8002134,14,21,76
2023-09-02,8004417,8003856,1,1,1560
2023-09-02,8004417,8004417,35,43,207
2023-09-02,8004417,8004420,20,21,256
2023-09-02,8004420,8003856,19,21,254
2023-09-02,8004420,8004417,14,20,75
2023-09-02,8004420,8004420,37,41,163
2023-09-02,8004518,8004364,18,21,154
2023-09-02,8004518,8004409,17,21,51
2023-09-02,8004518,8004518,36,42,110
2023-09-02,8005291,8000065,6,10,141
2023-09-02,8005291,8002332,8,10,90
2023-09-02,8005291,8005291,15,20,122
2023-09-02,8005573,8004164,11,13,171
2023-09-02,8005573,8005573,19,25,127
2023-09-02,8005573,8006385,8,12,65
2023-09-02,8005577,8000161,15,18,193
2023-09-02,8005577,8001668,10,19,60
2023-09-02,8005577,8005577,28,37,132
2023-09-02,8005661,8000435,14,15,86
2023-09-02,8005661,8004328,11,12,1162
2023-09-02,8005661,8005661,20,22,693
2023-09-02,8005722,8001319,10,10,144
2023-09-02,8005722,8002332,6,10,153
2023-09-02,8005722,8005722,17,20,136
2023-09-02,8006340,8000633,12,19,90
2023-09-02,8006340,8001694,17,18,185
2023-09-02,8006340,8006340,33,37,141
2023-09-02,8006385,8000065,7,12,55
2023-09-02,8006385,8005573,11,13,187
2023-09-02,8006385,8006385,18,25,116
2023-09-02,8006446,8000952,10,10,246
2023-09-02,8006446,8002101,10,10,192
2023-09-02,8006446,8006446,19,20,213
2023-09-03,8000065,8000065,43,54,109
2023-09-03,8000065,8000435,1,1,30
2023-09-03,8000065,8001256,6,7,227
2023-09-03,8000065,8003856,7,8,172
2023-09-03,8000065,8005291,7,8,112
2023-09-03,8000065,8006385,8,12,68
2023-09-03,8000161,8000161,24,30,118
2023-09-03,8000161,8001271,10,15,102
2023-09-03,8000161,8005577,11,15,126
2023-09-03,8000187,8000187,13,15,252
2023-09-03,8000187,8000954,7,7,291
