date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-12-01,8010009,8010009,33,41,113
2023-12-01,8010009,8010119,9,18,90
2023-12-01,8010009,8010311,8,9,130
2023-12-01,8010009,8011433,8,11,85
2023-12-01,8010009,8011599,8,8,169
2023-12-01,8010009,8011632,1,1,30
2023-12-01,8010009,8012862,10,22,360
2023-12-01,8010019,8010019,80,128,125
2023-12-01,8010019,8010145,18,36,127
2023-12-01,8010019,8010232,8,17,32
2023-12-01,8010019,8012199,33,40,202
2023-12-01,8010019,8013474,10,21,103
2023-12-01,8010032,8010032,31,40,295
2023-12-01,8010032,8010256,5,7,146
2023-12-01,8010032,8010312,3,6,330
2023-12-01,8010032,8011657,12,13,270
2023-12-01,8010032,8012796,11,14,450
2023-12-01,8010054,8010054,23,29,464
2023-12-01,8010054,8010312,8,10,477
2023-12-01,8010054,8012766,3,4,218
2023-12-01,8010054,8013336,14,15,516
2023-12-01,8010078,8010078,16,20,42
2023-12-01,8010078,8010349,9,10,66
2023-12-01,8010078,8012259,7,10,21
2023-12-01,8010119,8010009,11,15,110
2023-12-01,8010119,8010119,21,33,95
2023-12-01,8010119,8011599,1,1,150
2023-12-01,8010119,8012410,9,17,71
2023-12-01,8010146,8010146,64,85,168
2023-12-01,8010146,8011071,16,22,235
2023-12-01,8010146,8012199,29,41,135
2023-12-01,8010146,8012212,14,22,132
2023-12-01,8010155,8010155,78,85,382
2023-12-01,8010155,8011376,40,42,100
2023-12-01,8010155,8080570,36,39,582
2023-12-01,8010162,8010162,37,43,152
2023-12-01,8010162,8012867,20,21,156
2023-12-01,8010168,8010168,17,21,471
2023-12-01,8010168,8010191,10,12,488
2023-12-01,8010168,8010311,7,9,523
2023-12-01,8010191,8010168,7,9,470
2023-12-01,8010191,8010191,17,20,500
2023-12-01,8010191,8010312,8,11,521
2023-12-01,8010232,8010019,10,16,79
2023-12-01,8010232,8010232,49,82,113
2023-12-01,8010232,8012211,19,21,206
2023-12-01,8010232,8012339,2,18,10
2023-12-01,8010232,8012429,1,1,150
2023-12-01,8010232,8012867,18,22,160
2023-12-01,8010299,8010299,38,61,264
2023-12-01,8010299,8011038,16,18,313
2023-12-01,8010299,8011496,12,16,109
2023-12-01,8010299,8012279,7,15,226
2023-12-01,8010311,8010009,8,8,165
2023-12-01,8010311,8010152,7,9,530
2023-12-01,8010311,8010168,10,12,418
2023-12-01,8010311,8010311,48,60,258
2023-12-01,8010311,8011133,13,20,112
2023-12-01,8010311,8011433,1,1,30
2023-12-01,8010311,8011564,8,10,162
2023-12-01,8010312,8010032,2,7,21
2023-12-01,8010312,8010054,8,10,663
2023-12-01,8010312,8010191,7,9,430
2023-12-01,8010312,8010312,31,46,421
2023-12-01,8010312,8012440,4,6,100
2023-12-01,8010312,8012532,12,14,469
2023-12-01,8010312,8012766,4,5,204
2023-12-01,8010312,8013217,10,13,196
2023-12-01,8010312,8013336,6,6,410
2023-12-01,8010332,8010152,8,9,303
2023-12-01,8010332,8010318,5,9,553
2023-12-01,8010332,8010332,26,44,424
2023-12-01,8010332,8011549,6,11,685
2023-12-01,8010332,8012467,6,15,236
2023-12-01,8010349,8010078,6,10,18
2023-12-01,8010349,8010349,16,20,54
2023-12-01,8010349,8012675,9,10,81
2023-12-01,8010390,8010390,46,53,297
2023-12-01,8010390,8012682,26,26,463
2023-12-01,8010390,8013115,0,10,0
2023-12-01,8010390,8013297,28,28,232
2023-12-01,8011038,8010299,12,17,104
2023-12-01,8011038,8011038,26,35,212
2023-12-01,8011038,8013230,14,18,305
2023-12-01,8011043,8011043,24,35,198
2023-12-01,8011043,8013425,16,17,134
2023-12-01,8011043,8080590,13,18,300
2023-12-01,8011071,8010019,1,1,30
2023-12-01,8011071,8010146,18,20,140
2023-12-01,8011071,8011071,35,43,189
2023-12-01,8011071,8012080,17,22,263
2023-12-01,8011103,8011103,25,34,69
2023-12-01,8011103,8011573,15,17,124
2023-12-01,8011103,8012167,10,17,53
2023-12-01,8011138,8011138,23,26,396
2023-12-01,8011138,8012796,8,12,172
2023-12-01,8011138,8013217,13,14,546
2023-12-01,8011402,8010194,14,18,223
2023-12-01,8011402,8011402,26,34,222
2023-12-01,8011402,8012414,11,16,210
2023-12-01,8011433,8010009,8,11,128
2023-12-01,8011433,8011433,21,22,128
2023-12-01,8011433,8011564,10,11,123
2023-12-01,8011496,8010299,10,15,176
2023-12-01,8011496,8011496,24,31,168
2023-12-01,8011496,8012279,12,16,124
2023-12-01,8011564,8010311,10,11,104
2023-12-01,8011564,8011433,10,10,189
2023-12-01,8011564,8011564,20,21,146
2023-12-01,8011573,8011103,7,17,30
2023-12-01,8011573,8011573,23,34,72
2023-12-01,8011573,8012034,15,17,85
2023-12-01,8011599,8010009,4,7,77
2023-12-01,8011599,8010157,13,15,152
2023-12-01,8011599,8011599,37,50,92
2023-12-01,8011599,8011838,6,11,68
2023-12-01,8011599,8012410,12,17,83
2023-12-01,8011632,8010152,13,23,350
2023-12-01,8011632,8011632,29,48,265
2023-12-01,8011632,8012862,15,25,182
2023-12-01,8011814,8011814,28,35,174
2023-12-01,8011814,8013097,17,19,194
2023-12-01,8011814,8080600,9,15,154
2023-12-01,8011905,8011905,68,74,260
