date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8001739,8001739,33,196,13
2023-05-01,8001739,8002555,72,224,26
2023-05-01,8001739,8003460,17,98,27
2023-05-01,8002550,8002550,187,449,25
2023-05-01,8002550,8003541,39,108,14
2023-05-01,8002550,8070146,112,225,27
2023-05-01,8002550,8098553,52,116,37
2023-05-01,8002555,8001739,41,223,1
2023-05-01,8002555,8002555,120,447,29
2023-05-01,8002555,8002559,80,224,31
2023-05-01,8002557,8002556,19,41,61
2023-05-01,8002557,8006750,25,115,13
2023-05-01,8002558,8000446,28,28,499
2023-05-01,8002558,8002558,47,55,411
2023-05-01,8002558,8006197,21,27,369
2023-05-01,8002559,8002555,43,223,23
2023-05-01,8002559,8002559,222,447,39
2023-05-01,8002559,8003541,182,224,54
2023-05-01,8002628,8002628,197,491,31
2023-05-01,8002628,8003519,87,220,27
2023-05-01,8002628,8006197,22,26,215
2023-05-01,8002628,8006198,77,220,20
2023-05-01,8005191,8000908,13,115,0
2023-05-01,8005191,8005191,50,231,19
2023-05-01,8005191,8005870,32,116,2
2023-05-01,8006197,8002558,25,28,411
2023-05-01,8006197,8002628,18,25,346
2023-05-01,8006197,8006197,44,55,356
2023-05-01,8070146,8002550,163,224,52
2023-05-01,8070146,8070146,207,449,29
2023-05-01,8070146,8098549,78,225,30
2023-05-01,8098553,8000780,38,220,-7
2023-05-01,8098553,8002550,30,117,-3
2023-05-01,8098553,8003541,34,115,21
2023-05-01,8098553,8006706,75,336,-5
2023-05-01,8098553,8098553,201,671,14
2023-05-02,8001739,8001739,79,225,40
2023-05-02,8001739,8002555,97,229,37
2023-05-02,8001739,8003460,38,113,70
2023-05-02,8002550,8002550,264,526,39
2023-05-02,8002550,8003541,35,114,3
2023-05-02,8002550,8070146,181,263,58
2023-05-02,8002550,8098553,80,149,48
2023-05-02,8002555,8001739,73,228,28
2023-05-02,8002555,8002555,170,457,47
2023-05-02,8002555,8002559,100,229,44
2023-05-02,8002557,8002556,58,84,113
2023-05-02,8002557,8006750,53,208,13
2023-05-02,8002558,8000446,37,41,193
2023-05-02,8002558,8002558,65,82,184
2023-05-02,8002558,8006197,28,41,179
2023-05-02,8002559,8002555,67,228,37
2023-05-02,8002559,8002559,259,457,50
2023-05-02,8002559,8003541,203,229,72
2023-05-02,8002628,8002628,264,598,40
2023-05-02,8002628,8003519,97,258,29
2023-05-02,8002628,8006197,38,41,198
2023-05-02,8002628,8006198,120,258,44
2023-05-02,8005191,8000908,31,150,5
2023-05-02,8005191,8005191,95,300,27
2023-05-02,8005191,8005870,49,150,14
2023-05-02,8006197,8002558,32,41,175
2023-05-02,8006197,8002628,26,41,166
2023-05-02,8006197,8006197,60,82,176
2023-05-02,8070146,8002550,196,263,49
2023-05-02,8070146,8070146,289,526,41
2023-05-02,8070146,8098549,129,263,52
2023-05-02,8098553,8000780,72,255,-1
2023-05-02,8098553,8002550,59,149,29
2023-05-02,8098553,8003541,49,114,38
2023-05-02,8098553,8006706,154,375,25
2023-05-02,8098553,8098553,318,733,41
2023-05-03,8001739,8001739,78,225,39
2023-05-03,8001739,8002555,109,229,49
2023-05-03,8001739,8003460,44,113,55
2023-05-03,8002550,8002550,306,526,68
2023-05-03,8002550,8003541,43,114,28
2023-05-03,8002550,8070146,197,263,87
2023-05-03,8002550,8098553,102,149,90
2023-05-03,8002555,8001739,96,228,38
2023-05-03,8002555,8002555,212,457,62
2023-05-03,8002555,8002559,113,229,60
2023-05-03,8002557,8002556,60,84,176
2023-05-03,8002557,8006750,86,208,41
2023-05-03,8002558,8000446,40,41,121
2023-05-03,8002558,8002558,56,82,77
2023-05-03,8002558,8006197,17,41,34
2023-05-03,8002559,8002555,92,228,56
2023-05-03,8002559,8002559,270,457,68
2023-05-03,8002559,8003541,189,229,84
2023-05-03,8002628,8002628,350,598,115
2023-05-03,8002628,8003519,136,258,136
2023-05-03,8002628,8006197,41,41,138
2023-05-03,8002628,8006198,158,258,130
2023-05-03,8005191,8000908,43,150,28
2023-05-03,8005191,8005191,134,300,69
2023-05-03,8005191,8005870,87,150,80
2023-05-03,8006197,8002558,36,41,108
2023-05-03,8006197,8002628,12,41,26
2023-05-03,8006197,8006197,50,82,70
2023-05-03,8070146,8002550,191,263,76
2023-05-03,8070146,8070146,309,526,68
2023-05-03,8070146,8098549,144,263,88
2023-05-03,8098553,8000780,118,255,110
2023-05-03,8098553,8002550,73,149,71
2023-05-03,8098553,8003541,60,114,69
2023-05-03,8098553,8006706,213,375,103
2023-05-03,8098553,8098553,421,733,122
2023-05-04,8001739,8001739,122,225,150
2023-05-04,8001739,8002555,122,229,95
2023-05-04,8001739,8003460,67,113,204
2023-05-04,8002550,8002550,338,526,95
2023-05-04,8002550,8003541,64,114,73
2023-05-04,8002550,8070146,200,263,82
2023-05-04,8002550,8098553,109,149,153
2023-05-04,8002555,8001739,122,228,133
2023-05-04,8002555,8002555,252,457,132
2023-05-04,8002555,8002559,125,229,106
2023-05-04,8002557,8002556,59,84,158
2023-05-04,8002557,8006750,86,208,66
2023-05-04,8002558,8000446,36,41,548
2023-05-04,8002558,8002558,61,82,431
2023-05-04,8002558,8006197,25,41,367
2023-05-04,8002559,8002555,123,228,151
2023-05-04,8002559,8002559,332,457,141
2023-05-04,8002559,8003541,211,229,133
2023-05-04,8002628,8002628,311,598,154
2023-05-04,8002628,8003519,124,258,134
2023-05-04,8002628,8006197,37,41,436
2023-05-04,8002628,8006198,135,258,140
2023-05-04,8005191,8000908,41,150,25
2023-05-04,8005191,8005191,133,300,61
2023-05-04,8005191,8005870,86,150,67
2023-05-04,8006197,8002558,33,41,492
2023-05-04,8006197,8002628,19,41,361
2023-05-04,8006197,8006197,56,82,415
2023-05-04,8070146,8002550,217,263,140
2023-05-04,8070146,8070146,340,526,99
2023-05-04,8070146,8098549,160,263,84
2023-05-04,8098553,8000780,140,255,139
2023-05-04,8098553,8002550,66,149,33
2023-05-04,8098553,8003541,80,114,230
2023-05-04,8098553,8006706,206,375,91
2023-05-04,8098553,8098553,460,733,150
2023-05-05,8001739,8001739,112,233,98
2023-05-05,8001739,8002555,122,251,57
2023-05-05,8001739,8003460,64,118,144
2023-05-05,8002550,8002550,367,569,80
2023-05-05,8002550,8003541,66,124,53
2023-05-05,8002550,8070146,214,284,87
2023-05-05,8002550,8098553,107,161,104
2023-05-05,8002555,8001739,133,249,97
2023-05-05,8002555,8002555,257,500,93
2023-05-05,8002555,8002559,127,251,70
2023-05-05,8002557,8002556,68,84,174
2023-05-05,8002557,8006750,91,220,38
2023-05-05,8002558,8000446,40,42,258
2023-05-05,8002558,8002558,70,85,196
2023-05-05,8002558,8006197,30,43,146
2023-05-05,8002559,8002555,122,250,107
2023-05-05,8002559,8002559,341,501,99
