date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-10-01,8000022,8000022,26,51,51
2023-10-01,8000022,8000797,11,25,26
2023-10-01,8000022,8002634,16,26,63
2023-10-01,8000093,8000093,30,32,185
2023-10-01,8000093,8000282,5,16,107
2023-10-01,8000093,8004709,7,16,146
2023-10-01,8000148,8000148,28,30,291
2023-10-01,8000148,8000725,13,27,62
2023-10-01,8000148,8001342,15,16,369
2023-10-01,8000148,8002812,13,16,216
2023-10-01,8000169,8000169,16,18,338
2023-10-01,8000169,8001775,10,35,41
2023-10-01,8000169,8002607,9,18,78
2023-10-01,8000169,8002830,6,15,62
2023-10-01,8000169,8005292,0,2,-15
2023-10-01,8000226,8000226,57,79,104
2023-10-01,8000226,8000443,18,39,92
2023-10-01,8000226,8000489,6,22,35
2023-10-01,8000226,8005511,15,18,173
2023-10-01,8000268,8000268,72,109,116
2023-10-01,8000268,8001393,16,37,52
2023-10-01,8000268,8002634,15,21,201
2023-10-01,8000268,8004322,13,17,198
2023-10-01,8000268,8004851,13,16,77
2023-10-01,8000282,8000093,16,16,114
2023-10-01,8000282,8000282,19,32,87
2023-10-01,8000282,8001775,5,16,103
2023-10-01,8000335,8000335,10,14,51
2023-10-01,8000335,8004777,5,7,47
2023-10-01,8000342,8000342,70,105,100
2023-10-01,8000342,8002586,18,27,90
2023-10-01,8000342,8002969,15,27,150
2023-10-01,8000342,8003635,13,26,60
2023-10-01,8000342,8005160,10,25,74
2023-10-01,8000354,8000354,26,36,228
2023-10-01,8000354,8005809,12,18,175
2023-10-01,8000354,8005929,11,18,255
2023-10-01,8000443,8000226,28,40,100
2023-10-01,8000443,8000443,51,79,91
2023-10-01,8000443,8000578,28,39,100
2023-10-01,8000488,8000488,33,36,176
2023-10-01,8000488,8002607,16,18,227
2023-10-01,8000488,8005511,16,18,153
2023-10-01,8000489,8000226,14,21,44
2023-10-01,8000489,8000489,31,75,42
2023-10-01,8000489,8001279,22,38,77
2023-10-01,8000489,8070086,9,16,45
2023-10-01,8000578,8000443,20,40,80
2023-10-01,8000578,8000578,36,79,81
2023-10-01,8000578,8070086,14,39,84
2023-10-01,8000740,8000740,15,30,60
2023-10-01,8000740,8000759,8,15,58
2023-10-01,8000740,8001048,7,15,44
2023-10-01,8000759,8000740,7,15,44
2023-10-01,8000759,8000759,12,30,41
2023-10-01,8000759,8006358,5,15,38
2023-10-01,8000797,8000022,25,26,99
2023-10-01,8000797,8000797,35,51,73
2023-10-01,8000797,8006482,7,25,19
2023-10-01,8000807,8000807,25,36,192
2023-10-01,8000807,8003632,17,18,290
2023-10-01,8000807,8005929,12,18,135
2023-10-01,8000808,8000808,19,39,122
2023-10-01,8000808,8001775,9,20,166
2023-10-01,8000808,8005292,9,19,73
2023-10-01,8000810,8000810,1,2,165
2023-10-01,8000810,8005809,1,2,180
2023-10-01,8000812,8000812,39,51,72
2023-10-01,8000812,8003267,13,25,40
2023-10-01,8000812,8006482,24,26,119
2023-10-01,8000871,8003957,10,20,78
2023-10-01,8001000,8001000,36,39,153
2023-10-01,8001000,8003165,15,18,135
2023-10-01,8001000,8003957,18,21,183
2023-10-01,8001048,8000740,4,15,68
2023-10-01,8001123,8000354,2,2,180
2023-10-01,8001123,8001123,2,2,150
2023-10-01,8001245,8001245,32,41,115
2023-10-01,8001245,8003286,14,20,90
2023-10-01,8001279,8000489,3,37,3
2023-10-01,8001279,8001279,23,75,43
2023-10-01,8001279,8004735,16,38,69
2023-10-01,8001342,8000148,11,16,144
2023-10-01,8001342,8001342,27,32,270
2023-10-01,8001342,8006104,16,16,433
2023-10-01,8001393,8000268,31,40,128
2023-10-01,8001393,8001393,47,77,86
2023-10-01,8001393,8005507,18,37,53
2023-10-01,8001561,8001561,2,2,195
2023-10-01,8001561,8003292,1,2,180
2023-10-01,8001675,8001675,40,51,85
2023-10-01,8001675,8003267,22,26,102
2023-10-01,8001675,8006336,16,25,48
2023-10-01,8001713,8001713,16,38,34
2023-10-01,8001713,8002507,11,19,51
2023-10-01,8001713,8004322,5,19,17
2023-10-01,8001775,8000169,29,36,159
2023-10-01,8001775,8000282,8,16,34
2023-10-01,8001775,8000808,4,19,58
2023-10-01,8001775,8001775,38,71,98
2023-10-01,8001949,8001489,17,22,123
2023-10-01,8001949,8001949,32,44,141
2023-10-01,8001949,8003705,0,1,0
2023-10-01,8001949,8004322,14,18,177
2023-10-01,8002405,8002405,18,30,48
2023-10-01,8002405,8002830,3,15,22
2023-10-01,8002405,8006358,4,15,48
2023-10-01,8002507,8001713,6,19,21
2023-10-01,8002507,8002507,22,38,45
2023-10-01,8002507,8003705,12,19,51
2023-10-01,8002580,8002580,96,142,102
2023-10-01,8002580,8002586,37,53,109
2023-10-01,8002580,8005047,12,18,142
2023-10-01,8002580,8079095,21,48,100
2023-10-01,8002584,8002584,44,79,80
2023-10-01,8002584,8070086,21,40,72
2023-10-01,8002585,8002585,33,77,54
2023-10-01,8002585,8003659,15,40,65
2023-10-01,8002585,8079095,18,37,45
2023-10-01,8002586,8000342,15,26,118
2023-10-01,8002586,8002580,32,52,96
2023-10-01,8002586,8002581,16,27,81
2023-10-01,8002586,8002586,66,105,97
2023-10-01,8002589,8003542,40,46,61
2023-10-01,8002607,8000169,16,18,258
2023-10-01,8002607,8000488,18,18,115
2023-10-01,8002607,8002607,24,36,165
2023-10-01,8002634,8000022,5,25,19
2023-10-01,8002634,8000268,8,20,76
2023-10-01,8002634,8002634,23,41,124
2023-10-01,8002634,8003699,14,21,140
2023-10-01,8002812,8000148,15,16,390
2023-10-01,8002812,8002812,31,32,307
2023-10-01,8002812,8005104,16,16,272
2023-10-01,8002830,8000169,9,15,60
2023-10-01,8002830,8002405,6,15,52
2023-10-01,8002830,8002830,15,30,47
2023-10-01,8003267,8000812,24,26,98
2023-10-01,8003267,8001675,24,25,68
2023-10-01,8003267,8003267,48,51,88
2023-10-01,8003286,8001245,15,21,140
2023-10-01,8003286,8003286,29,41,127
2023-10-01,8003286,8005662,14,20,96
2023-10-01,8003292,8000810,2,2,165
2023-10-01,8003292,8003292,25,36,245
2023-10-01,8003292,8004702,6,7,137
2023-10-01,8003292,8005809,10,16,283
2023-10-01,8003542,8002589,30,46,76
2023-10-01,8003542,8003165,13,21,144
2023-10-01,8003542,8003542,81,131,89
2023-10-01,8003542,8003545,25,64,70
2023-10-01,8003545,8003542,29,67,92
2023-10-01,8003545,8003545,80,170,98
2023-10-01,8003545,8003957,15,18,82
2023-10-01,8003545,8006089,25,64,69
2023-10-01,8003545,8079095,1,2,105
2023-10-01,8003632,8000807,16,18,167
2023-10-01,8003632,8001071,17,18,342
2023-10-01,8003632,8003632,33,36,232
2023-10-01,8003659,8002585,20,37,54
2023-10-01,8003659,8003659,37,77,60
2023-10-01,8003659,8005507,22,40,68
2023-10-01,8003699,8002634,12,20,102
2023-10-01,8003699,8003699,26,41,122
2023-10-01,8003699,8005662,12,21,124
2023-10-01,8003705,8001949,2,2,45
2023-10-01,8003705,8002507,11,19,51
2023-10-01,8003705,8003705,17,38,39
2023-10-01,8003957,8000871,18,21,180
2023-10-01,8003957,8001000,18,18,153
2023-10-01,8003957,8003545,17,20,204
2023-10-01,8003957,8003700,13,18,90
