date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8000020,8000020,66,74,429
2023-08-01,8000020,8000250,5,7,90
2023-08-01,8000020,8002103,20,22,262
2023-08-01,8000020,8003016,5,5,624
2023-08-01,8000020,8004297,19,20,492
2023-08-01,8000020,8005182,12,15,100
2023-08-01,8000090,8000090,88,119,151
2023-08-01,8000090,8000753,15,20,135
2023-08-01,8000090,8002102,27,42,96
2023-08-01,8000090,8006524,31,40,200
2023-08-01,8000090,8011054,6,10,147
2023-08-01,8000090,8011849,6,8,315
2023-08-01,8000104,8000104,17,19,93
2023-08-01,8000104,8000985,10,13,65
2023-08-01,8000104,8002033,10,10,96
2023-08-01,8000140,8000140,75,93,267
2023-08-01,8000140,8000193,2,2,195
2023-08-01,8000140,8002374,7,9,163
2023-08-01,8000140,8002484,29,35,327
2023-08-01,8000140,8005039,39,46,260
2023-08-01,8000193,8000140,1,1,30
2023-08-01,8000193,8000193,1,1,60
2023-08-01,8000193,8001098,7,8,169
2023-08-01,8000193,8002374,2,2,60
2023-08-01,8000193,8002484,1,1,60
2023-08-01,8000193,8002933,2,3,190
2023-08-01,8000193,8003199,34,41,266
2023-08-01,8000193,8003961,1,2,30
2023-08-01,8000193,8004415,21,25,97
2023-08-01,8000193,8005039,0,1,-30
2023-08-01,8000210,8000210,11,16,47
2023-08-01,8000210,8003406,7,10,57
2023-08-01,8000210,8005928,14,17,159
2023-08-01,8000210,8006043,9,12,50
2023-08-01,8000243,8000243,43,47,340
2023-08-01,8000243,8000859,23,24,361
2023-08-01,8000243,8003961,21,23,312
2023-08-01,8000520,8000520,13,18,130
2023-08-01,8000520,8002236,6,9,107
2023-08-01,8000520,8006546,7,9,160
2023-08-01,8000530,8000530,1,1,300
2023-08-01,8000530,8004526,1,1,300
2023-08-01,8000553,8000553,42,47,320
2023-08-01,8000553,8000859,23,23,317
2023-08-01,8000553,8002716,20,24,331
2023-08-01,8000609,8000609,21,34,80
2023-08-01,8000609,8003467,15,17,152
2023-08-01,8000609,8003970,5,17,37
2023-08-01,8000753,8000090,17,20,63
2023-08-01,8000753,8000753,33,40,100
2023-08-01,8000753,8001895,18,20,153
2023-08-01,8000859,8000243,22,23,338
2023-08-01,8000859,8000553,19,24,329
2023-08-01,8000859,8000859,43,47,338
2023-08-01,8000985,8000104,13,13,120
2023-08-01,8000985,8000985,24,26,107
2023-08-01,8000985,8006413,11,13,83
2023-08-01,8001098,8000193,9,9,463
2023-08-01,8001098,8001098,26,28,234
2023-08-01,8001098,8004328,9,9,233
2023-08-01,8001098,8005576,5,5,54
2023-08-01,8001098,8006663,5,5,66
2023-08-01,8001106,8001106,23,35,94
2023-08-01,8001106,8002903,12,18,38
2023-08-01,8001106,8004589,11,17,154
2023-08-01,8001283,8001283,40,41,402
2023-08-01,8001283,8003016,19,20,552
2023-08-01,8001283,8004297,21,21,301
2023-08-01,8001664,8001664,18,18,103
2023-08-01,8001664,8005382,9,9,113
2023-08-01,8001664,8006082,8,9,90
2023-08-01,8001691,8001691,24,34,95
2023-08-01,8001691,8006107,16,17,138
2023-08-01,8001691,8006549,8,17,67
2023-08-01,8001854,8001854,23,26,119
2023-08-01,8001854,8004164,11,13,78
2023-08-01,8001854,8006413,11,13,164
2023-08-01,8001884,8001884,3,3,110
2023-08-01,8001884,8001895,23,41,31
2023-08-01,8001895,8000753,13,20,48
2023-08-01,8001895,8001884,34,39,223
2023-08-01,8001895,8001895,52,80,125
2023-08-01,8001895,8005003,11,21,37
2023-08-01,8002010,8000891,14,24,159
2023-08-01,8002010,8002010,32,49,255
2023-08-01,8002010,8004295,17,25,346
2023-08-01,8002033,8000104,9,10,96
2023-08-01,8002033,8002033,18,20,123
2023-08-01,8002033,8006082,9,10,141
2023-08-01,8002103,8000020,23,25,392
2023-08-01,8002103,8002103,42,47,325
2023-08-01,8002103,8003711,21,21,273
2023-08-01,8002236,8000520,8,9,177
2023-08-01,8002236,8001098,1,2,60
2023-08-01,8002236,8002236,18,22,138
2023-08-01,8002236,8002374,2,2,180
2023-08-01,8002236,8005576,1,1,60
2023-08-01,8002259,8002259,43,50,127
2023-08-01,8002259,8002677,20,25,114
2023-08-01,8002259,8006524,21,25,122
2023-08-01,8002374,8000140,9,11,185
2023-08-01,8002374,8002236,1,2,45
2023-08-01,8002374,8002374,17,22,150
2023-08-01,8002374,8006546,6,9,137
2023-08-01,8002484,8000140,30,38,244
2023-08-01,8002484,8002484,62,74,284
2023-08-01,8002484,8003388,30,35,343
2023-08-01,8002484,8003961,1,1,60
2023-08-01,8002716,8000553,22,23,305
2023-08-01,8002716,8002716,42,47,320
2023-08-01,8002716,8005182,20,24,326
2023-08-01,8002802,8002802,17,20,88
2023-08-01,8002802,8003406,1,1,120
2023-08-01,8002802,8005382,5,9,57
2023-08-01,8002802,8006082,1,1,90
2023-08-01,8002802,8006093,7,9,103
2023-08-01,8002903,8001106,13,17,166
2023-08-01,8002903,8002903,26,35,105
2023-08-01,8002903,8005161,13,18,48
2023-08-01,8002933,8000193,1,2,270
2023-08-01,8002933,8002933,18,28,182
2023-08-01,8002933,8005336,7,7,176
2023-08-01,8002933,8006449,6,7,257
2023-08-01,8003016,8000020,6,6,1025
2023-08-01,8003016,8000891,3,4,668
2023-08-01,8003016,8001283,19,21,263
2023-08-01,8003016,8003016,50,52,496
2023-08-01,8003016,8004295,2,2,540
2023-08-01,8003053,8003053,37,50,107
2023-08-01,8003053,8004415,16,25,102
2023-08-01,8003053,8005623,21,25,132
2023-08-01,8003199,8000193,34,46,227
2023-08-01,8003199,8003199,63,88,256
2023-08-01,8003199,8005039,30,42,288
2023-08-01,8003388,8002484,31,38,257
2023-08-01,8003388,8003388,65,73,301
2023-08-01,8003388,8005125,29,35,322
2023-08-01,8003406,8000210,9,10,54
2023-08-01,8003406,8002802,1,1,30
2023-08-01,8003406,8003406,17,20,58
2023-08-01,8003406,8006093,8,9,77
2023-08-01,8003467,8000609,7,17,42
2023-08-01,8003467,8003467,23,34,86
2023-08-01,8003467,8006107,10,17,79
2023-08-01,8003711,8000020,2,2,450
2023-08-01,8003711,8002103,21,22,367
2023-08-01,8003711,8003711,41,47,307
2023-08-01,8003711,8005182,22,23,282
2023-08-01,8003961,8000243,17,24,350
2023-08-01,8003961,8003961,62,76,276
2023-08-01,8003961,8003971,33,38,274
2023-08-01,8003961,8005182,12,14,186
2023-08-01,8003970,8000609,17,17,99
2023-08-01,8003970,8003970,24,34,71
2023-08-01,8003970,8005928,9,17,55
2023-08-01,8003971,8003961,27,34,316
2023-08-01,8003971,8003971,59,72,283
2023-08-01,8003971,8005125,32,38,264
2023-08-01,8004295,8002010,17,24,190
2023-08-01,8004295,8003016,2,2,1320
2023-08-01,8004295,8004295,37,49,277
2023-08-01,8004297,8000020,21,21,289
2023-08-01,8004297,8001283,20,20,489
2023-08-01,8004297,8004297,40,41,397
2023-08-01,8004415,8000193,20,25,137
2023-08-01,8004415,8003053,22,25,106
2023-08-01,8004415,8004415,42,50,104
2023-08-01,8004526,8004526,1,1,300
2023-08-01,8004526,8006654,1,1,300
2023-08-01,8004589,8001106,8,18,35
2023-08-01,8004589,8004589,20,35,90
2023-08-01,8004589,8011629,10,17,139
2023-08-01,8004597,8000193,1,1,90
