date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-11-01,8000021,8000021,58,104,151
2023-11-01,8000021,8000121,14,24,66
2023-11-01,8000021,8000726,38,53,177
2023-11-01,8000021,8001177,6,15,108
2023-11-01,8000021,8003075,14,14,229
2023-11-01,8000021,8004601,4,5,204
2023-11-01,8000034,8000034,28,36,141
2023-11-01,8000034,8000427,18,18,225
2023-11-01,8000034,8005338,1,1,60
2023-11-01,8000034,8006501,13,17,67
2023-11-01,8000094,8000094,28,34,137
2023-11-01,8000094,8000276,9,17,116
2023-11-01,8000094,8006054,11,17,136
2023-11-01,8000229,8000218,7,7,356
2023-11-01,8000229,8000229,15,15,312
2023-11-01,8000229,8001457,23,29,109
2023-11-01,8000229,8001883,14,32,37
2023-11-01,8000248,8000248,14,26,72
2023-11-01,8000248,8003415,8,29,50
2023-11-01,8000248,8003924,8,14,88
2023-11-01,8000276,8000094,16,17,152
2023-11-01,8000276,8000276,50,69,307
2023-11-01,8000276,8003341,17,17,360
2023-11-01,8000276,8003665,18,19,317
2023-11-01,8000276,8005062,13,16,472
2023-11-01,8000276,8006036,8,17,196
2023-11-01,8000278,8000278,51,62,266
2023-11-01,8000278,8000701,6,7,334
2023-11-01,8000278,8002114,18,23,253
2023-11-01,8000278,8003341,13,14,210
2023-11-01,8000278,8003351,9,17,116
2023-11-01,8000427,8000034,11,18,45
2023-11-01,8000427,8000427,28,36,142
2023-11-01,8000427,8001112,15,18,215
2023-11-01,8000448,8000448,30,52,44
2023-11-01,8000448,8000449,15,26,39
2023-11-01,8000448,8000729,16,26,55
2023-11-01,8000449,8000448,15,26,28
2023-11-01,8000449,8000449,30,52,30
2023-11-01,8000449,8006191,14,26,32
2023-11-01,8000517,8000517,15,30,97
2023-11-01,8000517,8000726,11,15,158
2023-11-01,8000517,8002879,4,15,36
2023-11-01,8000585,8000585,12,32,101
2023-11-01,8000585,8001177,5,17,108
2023-11-01,8000585,8003568,6,15,116
2023-11-01,8000667,8000667,24,30,352
2023-11-01,8000667,8003330,3,3,220
2023-11-01,8000667,8003680,11,15,386
2023-11-01,8000667,8800012,1,1,120
2023-11-01,8000694,8000694,64,71,439
2023-11-01,8000694,8001186,14,19,279
2023-11-01,8000694,8003341,16,16,668
2023-11-01,8000694,8005580,33,36,439
2023-11-01,8000701,8000278,8,8,394
2023-11-01,8000701,8000701,46,60,214
2023-11-01,8000701,8000702,13,22,91
2023-11-01,8000701,8001389,17,23,239
2023-11-01,8000701,8004206,5,7,287
2023-11-01,8000702,8000701,17,23,240
2023-11-01,8000702,8000702,31,45,169
2023-11-01,8000702,8004435,12,22,80
2023-11-01,8000711,8000711,57,69,318
2023-11-01,8000711,8003660,17,19,316
2023-11-01,8000711,8003708,12,16,437
2023-11-01,8000711,8005062,21,34,232
2023-11-01,8000726,8000021,36,55,164
2023-11-01,8000726,8000517,4,15,34
2023-11-01,8000726,8000726,70,108,167
2023-11-01,8000726,8004463,15,15,154
2023-11-01,8000726,8005111,5,6,225
2023-11-01,8000726,8005678,15,17,274
2023-11-01,8000729,8000448,17,26,38
2023-11-01,8000729,8000729,34,52,43
2023-11-01,8000729,8002711,15,26,40
2023-11-01,8000742,8000742,27,36,185
2023-11-01,8000742,8002861,11,18,238
2023-11-01,8000742,8005622,13,17,125
2023-11-01,8000786,8000786,28,42,137
2023-11-01,8000786,8001950,19,21,223
2023-11-01,8000786,8003593,16,21,70
2023-11-01,8001049,8001049,45,52,70
2023-11-01,8001049,8002711,25,26,67
2023-11-01,8001049,8004604,11,14,51
2023-11-01,8001112,8000427,15,18,62
2023-11-01,8001112,8001112,28,36,132
2023-11-01,8001112,8004406,2,4,75
2023-11-01,8001177,8000021,4,17,95
2023-11-01,8001177,8000585,7,15,116
2023-11-01,8001177,8001177,12,32,108
