date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-12-01,8000012,8000012,23,41,398
2023-12-01,8000012,8001928,3,6,440
2023-12-01,8000012,8005164,16,39,177
2023-12-01,8000012,8005356,10,17,371
2023-12-01,8000012,8006501,10,15,498
2023-12-01,8000030,8002290,20,36,141
2023-12-01,8000084,8000084,62,88,373
2023-12-01,8000084,8000178,29,39,198
2023-12-01,8000084,8000348,1,1,1560
2023-12-01,8000084,8003553,29,43,517
2023-12-01,8000084,8003990,23,49,151
2023-12-01,8000100,8000100,65,80,178
2023-12-01,8000100,8002402,19,26,150
2023-12-01,8000100,8003361,1,1,60
2023-12-01,8000100,8003462,9,45,8
2023-12-01,8000100,8003671,1,1,30
2023-12-01,8000100,8003927,18,20,192
2023-12-01,8000100,8005298,21,21,276
2023-12-01,8000100,8006280,15,17,116
2023-12-01,8000135,8000135,252,342,327
2023-12-01,8000135,8000178,2,2,1005
2023-12-01,8000135,8002104,37,40,628
2023-12-01,8000135,8002753,105,133,374
2023-12-01,8000135,8003330,13,16,285
2023-12-01,8000135,8004869,27,33,362
2023-12-01,8000135,8004898,8,8,735
2023-12-01,8000135,8005629,81,113,198
2023-12-01,8000178,8000084,34,42,558
2023-12-01,8000178,8000178,181,238,307
2023-12-01,8000178,8000209,21,22,224
2023-12-01,8000178,8002389,54,101,143
2023-12-01,8000178,8003361,0,2,0
2023-12-01,8000178,8004869,11,15,326
2023-12-01,8000178,8004907,19,36,182
2023-12-01,8000178,8005575,53,62,361
2023-12-01,8000209,8000178,23,23,505
2023-12-01,8000209,8000209,303,370,307
2023-12-01,8000209,8003310,31,59,197
2023-12-01,8000209,8003361,15,17,353
2023-12-01,8000209,8003363,24,30,228
2023-12-01,8000209,8003364,64,102,241
2023-12-01,8000209,8003367,1,1,60
2023-12-01,8000209,8003369,33,44,241
2023-12-01,8000209,8003669,33,40,404
2023-12-01,8000209,8006713,40,42,443
2023-12-01,8000348,8000084,1,1,150
2023-12-01,8000348,8000348,85,126,299
2023-12-01,8000348,8000406,28,42,494
2023-12-01,8000348,8001712,16,40,71
2023-12-01,8000348,8001886,36,41,260
2023-12-01,8000348,8099506,29,36,138
2023-12-01,8000355,8000355,45,72,175
2023-12-01,8000355,8004907,15,36,100
2023-12-01,8000355,8006659,26,36,255
2023-12-01,8000404,8000404,152,228,171
2023-12-01,8000404,8002806,30,38,208
2023-12-01,8000404,8003395,47,76,98
2023-12-01,8000404,8070704,65,95,226
2023-12-01,8000406,8000348,36,41,210
2023-12-01,8000406,8000406,83,163,205
2023-12-01,8000406,8001712,39,40,131
2023-12-01,8000406,8070704,17,37,45
2023-12-01,8000495,8000495,77,115,58
2023-12-01,8000495,8001084,41,58,61
2023-12-01,8000495,8006516,35,57,46
2023-12-01,8000502,8000502,17,37,75
2023-12-01,8000502,8000507,2,36,7
2023-12-01,8000502,8000521,20,20,206
2023-12-01,8000507,8000502,35,37,148
2023-12-01,8000507,8000507,35,73,72
2023-12-01,8000507,8002816,1,36,7
2023-12-01,8000510,8000510,21,39,95
2023-12-01,8000510,8000527,1,19,3
2023-12-01,8000510,8001917,19,20,159
2023-12-01,8000521,8000502,0,19,0
2023-12-01,8000521,8000521,20,39,109
2023-12-01,8000521,8000527,20,20,219
2023-12-01,8000527,8000510,19,20,208
2023-12-01,8000527,8000521,1,19,2
2023-12-01,8000527,8000527,21,39,122
2023-12-01,8000677,8000677,53,66,425
2023-12-01,8000677,8001113,16,18,340
2023-12-01,8000677,8001839,21,33,345
2023-12-01,8000677,8003697,19,19,647
2023-12-01,8000713,8000713,57,80,365
2023-12-01,8000713,8005074,26,40,212
2023-12-01,8000713,8005970,31,40,488
2023-12-01,8000832,8000832,79,118,235
2023-12-01,8000832,8003310,44,59,279
2023-12-01,8000832,8006713,34,59,203
2023-12-01,8000853,8000853,87,116,328
2023-12-01,8000853,8001506,14,19,371
2023-12-01,8000853,8003616,33,39,412
2023-12-01,8000853,8003669,33,40,263
2023-12-01,8000853,8006719,12,19,369
2023-12-01,8000899,8001566,30,43,226
2023-12-01,8000899,8003367,1,1,960
2023-12-01,8001081,8001081,68,115,50
2023-12-01,8001081,8001084,31,57,44
2023-12-01,8001081,8001088,31,58,58
2023-12-01,8001082,8001082,141,156,430
2023-12-01,8001082,8001085,56,60,419
2023-12-01,8001082,8001091,71,78,488
2023-12-01,8001082,8004604,16,18,427
2023-12-01,8001084,8000495,40,57,58
2023-12-01,8001084,8001081,40,58,55
2023-12-01,8001084,8001084,80,115,56
2023-12-01,8001085,8001082,56,60,492
2023-12-01,8001085,8001085,75,78,523
2023-12-01,8001085,8004604,16,16,158
2023-12-01,8001085,8005153,22,23,593
2023-12-01,8001086,8001086,57,80,378
2023-12-01,8001086,8003966,27,40,205
2023-12-01,8001086,8004366,32,40,555
2023-12-01,8001088,8001081,47,57,60
2023-12-01,8001088,8001088,80,115,55
2023-12-01,8001091,8001082,60,78,365
2023-12-01,8001091,8001091,131,156,435
2023-12-01,8001091,8001215,15,18,365
2023-12-01,8001091,8005152,41,44,630
2023-12-01,8001113,8000677,11,17,145
2023-12-01,8001113,8001113,28,35,249
2023-12-01,8001113,8003697,16,18,347
2023-12-01,8001215,8001091,14,18,395
2023-12-01,8001215,8001215,126,149,484
2023-12-01,8001215,8003160,53,57,637
2023-12-01,8001215,8003361,15,18,393
2023-12-01,8001215,8005499,45,56,383
2023-12-01,8001264,8001264,74,99,282
2023-12-01,8001264,8003990,34,50,369
2023-12-01,8001264,8005575,40,49,195
2023-12-01,8001384,8001384,56,77,285
2023-12-01,8001384,8002768,29,39,292
2023-12-01,8001384,8005356,28,38,327
2023-12-01,8001416,8001416,45,51,266
2023-12-01,8001416,8002402,25,26,376
2023-12-01,8001416,8006280,19,25,150
2023-12-01,8001557,8001557,34,40,213
2023-12-01,8001557,8002720,19,20,244
2023-12-01,8001557,8004519,14,20,180
2023-12-01,8001566,8000899,41,44,289
2023-12-01,8001566,8001566,77,87,256
2023-12-01,8001566,8003367,36,43,241
2023-12-01,8001712,8000348,40,40,194
2023-12-01,8001712,8000406,18,40,80
2023-12-01,8001712,8001712,58,80,128
2023-12-01,8001736,8001736,67,113,338
2023-12-01,8001736,8002753,12,20,322
2023-12-01,8001736,8002768,37,57,368
2023-12-01,8001736,8003987,24,36,316
2023-12-01,8001839,8000318,16,17,692
2023-12-01,8001839,8000677,32,33,548
2023-12-01,8001839,8001839,59,68,484
2023-12-01,8001839,8002206,1,1,2580
2023-12-01,8001839,8002784,9,16,122
2023-12-01,8001839,8006391,1,1,120
2023-12-01,8001886,8000348,29,43,525
2023-12-01,8001886,8001886,63,84,386
2023-12-01,8001886,8003553,33,41,263
2023-12-01,8001917,8000510,14,19,25
2023-12-01,8001917,8001917,34,39,95
2023-12-01,8001917,8098349,20,20,168
2023-12-01,8002104,8000135,29,40,190
2023-12-01,8002104,8002104,64,80,407
2023-12-01,8002104,8003966,36,40,629
2023-12-01,8002206,8001839,1,1,30
2023-12-01,8002206,8002206,78,117,284
2023-12-01,8002206,8002806,1,1,2820
2023-12-01,8002206,8003697,40,57,209
2023-12-01,8002206,8005935,35,59,316
2023-12-01,8002290,8000030,22,36,242
2023-12-01,8002290,8002290,60,72,208
2023-12-01,8002290,8004746,31,36,176
2023-12-01,8002389,8000178,87,102,356
2023-12-01,8002389,8002389,144,203,243
2023-12-01,8002389,8003383,55,101,149
2023-12-01,8002402,8000100,21,26,347
2023-12-01,8002402,8001416,21,25,138
2023-12-01,8002402,8002402,46,52,256
2023-12-01,8002402,8006280,1,1,90
2023-12-01,8002718,8002718,33,40,214
2023-12-01,8002718,8002719,16,20,198
2023-12-01,8002718,8003697,18,20,243
2023-12-01,8002719,8002718,17,20,231
2023-12-01,8002719,8002719,34,40,218
2023-12-01,8002719,8002720,17,20,210
2023-12-01,8002720,8001557,15,20,192
2023-12-01,8002720,8002719,19,20,255
2023-12-01,8002720,8002720,34,40,218
2023-12-01,8002721,8002725,9,20,82
2023-12-01,8002725,8002721,19,20,238
2023-12-01,8002725,8002725,29,40,176
2023-12-01,8002725,8004519,16,20,176
2023-12-01,8002753,8000135,83,132,219
2023-12-01,8002753,8001736,12,21,393
2023-12-01,8002753,8002753,112,146,305
