date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8010046,8010046,21,38,65
2023-05-01,8010046,8010059,14,19,66
2023-05-01,8010046,8012416,9,19,69
2023-05-01,8010059,8010046,13,19,85
2023-05-01,8010059,8010059,91,146,105
2023-05-01,8010059,8011491,38,73,72
2023-05-01,8010059,8011626,15,36,140
2023-05-01,8010059,8013361,13,18,105
2023-05-01,8010076,8010076,66,75,227
2023-05-01,8010076,8012141,1,1,60
2023-05-01,8010076,8012478,15,17,311
2023-05-01,8010076,8012629,18,22,110
2023-05-01,8010076,8013335,16,16,225
2023-05-01,8010076,8013428,31,37,142
2023-05-01,8010080,8010080,21,30,48
2023-05-01,8010080,8013033,9,11,95
2023-05-01,8010080,8013295,1,8,4
2023-05-01,8010080,8013424,3,11,27
2023-05-01,8010095,8010095,32,93,39
2023-05-01,8010095,8010161,4,30,38
2023-05-01,8010095,8010351,7,17,41
2023-05-01,8010095,8011959,2,29,2
2023-05-01,8010095,8011983,4,8,26
2023-05-01,8010095,8013093,14,17,71
2023-05-01,8010122,8010122,29,36,178
2023-05-01,8010122,8010238,16,18,267
2023-05-01,8010122,8011077,12,18,97
2023-05-01,8010122,8011588,15,17,104
2023-05-01,8010122,8013095,3,15,232
2023-05-01,8010144,8010144,9,17,34
2023-05-01,8010144,8011705,5,8,41
2023-05-01,8010144,8012198,4,9,47
2023-05-01,8010161,8010095,7,31,7
2023-05-01,8010161,8010161,12,56,29
2023-05-01,8010161,8011387,4,27,39
2023-05-01,8010186,8010186,34,81,61
2023-05-01,8010186,8012344,14,41,79
2023-05-01,8010186,8013070,20,40,46
2023-05-01,8010207,8010207,62,120,111
2023-05-01,8010207,8012193,45,59,126
2023-05-01,8010207,8012236,10,41,78
2023-05-01,8010207,8012817,3,20,93
2023-05-01,8010208,8010208,47,69,132
2023-05-01,8010208,8011491,10,19,65
2023-05-01,8010208,8011495,12,16,142
2023-05-01,8010208,8080930,9,19,55
2023-05-01,8010209,8010209,72,128,92
2023-05-01,8010209,8011771,17,41,93
2023-05-01,8010209,8012192,18,23,137
2023-05-01,8010209,8012193,1,1,30
2023-05-01,8010209,8012236,19,40,56
2023-05-01,8010228,8010228,97,143,40
2023-05-01,8010228,8011598,38,71,44
2023-05-01,8010228,8012308,60,72,32
2023-05-01,8010238,8010122,14,18,80
2023-05-01,8010238,8010238,31,36,171
2023-05-01,8010238,8011297,13,18,255
2023-05-01,8010269,8010269,16,47,110
2023-05-01,8010269,8012682,4,23,87
2023-05-01,8010269,8013447,14,24,148
2023-05-01,8010351,8010095,13,15,82
2023-05-01,8010351,8010351,30,52,59
2023-05-01,8010351,8011131,9,27,57
2023-05-01,8010351,8012371,21,29,58
2023-05-01,8010359,8010359,16,22,61
2023-05-01,8010359,8012946,10,11,90
2023-05-01,8010359,8013033,6,11,22
2023-05-01,8011018,8011018,51,72,132
2023-05-01,8011018,8012284,30,36,116
2023-05-01,8011018,8013362,21,36,157
2023-05-01,8011077,8010122,15,18,263
2023-05-01,8011077,8011077,47,67,247
2023-05-01,8011077,8011132,0,1,0
2023-05-01,8011077,8011914,8,16,328
2023-05-01,8011077,8012178,9,15,270
2023-05-01,8011077,8012228,1,1,30
2023-05-01,8011131,8010103,17,18,132
2023-05-01,8011131,8010351,21,25,54
2023-05-01,8011131,8011131,31,52,52
2023-05-01,8011131,8012734,6,9,33
2023-05-01,8011132,8011077,0,1,0
2023-05-01,8011132,8011132,26,33,251
2023-05-01,8011132,8012228,0,1,0
2023-05-01,8011132,8012526,12,15,258
2023-05-01,8011132,8012597,10,16,341
2023-05-01,8011242,8011242,25,36,38
2023-05-01,8011242,8012241,28,36,48
2023-05-01,8011242,8012623,15,19,33
2023-05-01,8011339,8011339,30,43,89
2023-05-01,8011339,8012117,14,21,77
2023-05-01,8011339,8013461,14,22,95
2023-05-01,8011387,8010161,24,29,54
2023-05-01,8011387,8011387,31,56,51
2023-05-01,8011387,8012371,8,27,47
2023-05-01,8011491,8010008,12,36,72
2023-05-01,8011491,8010059,41,73,119
2023-05-01,8011491,8010208,13,19,74
2023-05-01,8011491,8011491,73,146,91
2023-05-01,8011495,8010208,11,15,270
2023-05-01,8011495,8011495,19,31,205
2023-05-01,8011495,8012375,7,16,133
2023-05-01,8011588,8010122,14,19,47
2023-05-01,8011588,8011588,28,36,42
2023-05-01,8011588,8012463,14,17,39
2023-05-01,8011598,8010228,6,72,3
2023-05-01,8011598,8011598,28,74,32
2023-05-01,8011598,8011745,22,36,62
2023-05-01,8011626,8010059,28,36,105
2023-05-01,8011626,8011626,47,72,129
2023-05-01,8011626,8012284,21,36,165
2023-05-01,8011705,8010144,3,9,23
2023-05-01,8011705,8011705,8,17,32
2023-05-01,8011705,8011763,7,19,21
2023-05-01,8011745,8011598,20,38,24
2023-05-01,8011745,8011745,37,74,37
2023-05-01,8011745,8013471,17,36,46
2023-05-01,8011753,8011753,22,39,102
2023-05-01,8011753,8012080,6,20,93
2023-05-01,8011753,8012311,10,19,95
2023-05-01,8011755,8011755,19,31,203
