date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-11-01,8000051,8000051,31,36,116
2023-11-01,8000051,8001168,16,18,170
2023-11-01,8000051,8004702,15,18,82
2023-11-01,8000056,8005788,7,20,30
2023-11-01,8000088,8000088,43,53,166
2023-11-01,8000088,8001502,18,20,219
2023-11-01,8000088,8004183,5,11,76
2023-11-01,8000088,8005594,17,22,206
2023-11-01,8000088,8006090,3,11,25
2023-11-01,8000089,8000089,32,37,517
2023-11-01,8000089,8000434,15,42,86
2023-11-01,8000089,8002565,14,20,159
2023-11-01,8000089,8003002,19,19,823
2023-11-01,8000413,8000413,61,70,160
2023-11-01,8000413,8000586,10,13,187
2023-11-01,8000413,8000773,2,3,120
2023-11-01,8000413,8001160,30,34,159
2023-11-01,8000413,8001489,19,20,212
2023-11-01,8000440,8000440,17,22,100
2023-11-01,8000440,8000445,7,11,85
2023-11-01,8000440,8010172,8,8,184
2023-11-01,8000440,8012673,1,3,10
2023-11-01,8000445,8000440,7,11,109
2023-11-01,8000445,8000445,17,22,110
2023-11-01,8000445,8006402,8,11,109
2023-11-01,8000586,8000413,9,11,139
2023-11-01,8000586,8000586,22,30,151
2023-11-01,8000586,8001489,3,3,140
2023-11-01,8000586,8001924,1,3,40
2023-11-01,8000586,8006090,10,13,212
2023-11-01,8000773,8000413,1,3,30
2023-11-01,8000773,8000773,3,6,75
2023-11-01,8000773,8001924,2,3,130
2023-11-01,8000815,8000815,35,40,481
2023-11-01,8000815,8002674,20,20,778
2023-11-01,8000815,8006475,15,20,206
2023-11-01,8000935,8000935,4,4,262
2023-11-01,8000935,8003545,1,1,120
2023-11-01,8001168,8000051,12,18,58
2023-11-01,8001185,8001185,7,21,21
2023-11-01,8001185,8001645,4,11,19
2023-11-01,8001185,8004183,4,10,60
2023-11-01,8001258,8001258,32,42,124
2023-11-01,8001258,8002575,15,20,63
2023-11-01,8001258,8002967,17,22,151
2023-11-01,8001315,8001315,99,122,264
2023-11-01,8001315,8003002,10,19,123
2023-11-01,8001315,8004247,65,84,145
2023-11-01,8001315,8004302,38,42,191
2023-11-01,8001316,8001316,37,38,762
2023-11-01,8001316,8004727,19,19,1255
2023-11-01,8001316,8006475,20,20,758
2023-11-01,8001352,8004727,15,19,647
2023-11-01,8001489,8000413,20,20,162
2023-11-01,8001489,8000586,2,3,30
2023-11-01,8001489,8001489,39,46,185
2023-11-01,8001489,8001949,20,23,220
2023-11-01,8001502,8000088,19,21,200
2023-11-01,8001502,8001502,37,41,233
2023-11-01,8001502,8001958,19,20,244
2023-11-01,8001645,8001185,5,10,24
2023-11-01,8001645,8001645,8,21,19
2023-11-01,8001924,8000586,3,3,180
2023-11-01,8001924,8000773,1,3,30
2023-11-01,8001924,8001924,4,6,95
2023-11-01,8001958,8001502,20,21,221
2023-11-01,8001958,8001958,37,41,222
2023-11-01,8001958,8006193,17,20,212
2023-11-01,8002565,8000089,20,20,831
2023-11-01,8002565,8002565,31,40,486
2023-11-01,8002565,8002843,11,20,153
2023-11-01,8002575,8001258,17,22,140
2023-11-01,8002575,8002575,32,42,100
2023-11-01,8002575,8006489,16,20,146
2023-11-01,8002674,8000815,17,20,214
2023-11-01,8002674,8002674,37,40,494
2023-11-01,8002674,8002843,20,20,801
2023-11-01,8002843,8002565,20,20,832
2023-11-01,8002843,8002674,18,20,196
2023-11-01,8002843,8002843,38,40,500
2023-11-01,8002884,8002884,34,41,168
2023-11-01,8002884,8005457,17,20,184
2023-11-01,8002884,8006193,19,21,209
2023-11-01,8002967,8001258,12,20,75
2023-11-01,8002967,8002967,29,42,105
2023-11-01,8002967,8005788,17,22,143
2023-11-01,8003002,8000089,9,19,128
2023-11-01,8003002,8001315,18,19,772
2023-11-01,8003002,8001493,32,42,154
2023-11-01,8003002,8003002,93,122,243
2023-11-01,8003002,8004302,33,42,165
2023-11-01,8003700,8003700,37,40,170
2023-11-01,8003700,8003957,19,20,214
2023-11-01,8003700,8005457,18,20,160
2023-11-01,8004183,8000088,4,11,76
2023-11-01,8004183,8001185,6,11,46
2023-11-01,8004183,8004183,9,21,99
2023-11-01,8004702,8000051,13,18,97
2023-11-01,8004702,8001157,1,1,90
2023-11-01,8004702,8001160,7,9,90
2023-11-01,8004702,8003292,6,7,129
2023-11-01,8004702,8004702,24,36,70
2023-11-01,8004727,8001316,19,19,718
2023-11-01,8004727,8001352,19,19,1369
2023-11-01,8004727,8004727,38,38,1003
2023-11-01,8005390,8005390,37,42,179
2023-11-01,8005390,8006489,20,22,187
2023-11-01,8005390,8006559,17,20,160
2023-11-01,8005457,8002884,17,21,141
2023-11-01,8005457,8003700,19,20,196
2023-11-01,8005457,8005457,37,40,176
2023-11-01,8005594,8000088,19,20,207
2023-11-01,8005594,8005594,36,42,220
2023-11-01,8005594,8006559,19,22,198
2023-11-01,8005682,8005682,19,22,121
2023-11-01,8005682,8006402,8,11,125
2023-11-01,8005788,8000056,18,22,145
2023-11-01,8005788,8002967,15,20,51
2023-11-01,8005788,8005788,32,42,99
2023-11-01,8006090,8000088,11,13,173
2023-11-01,8006090,8000586,6,11,44
2023-11-01,8006090,8006090,15,24,120
2023-11-01,8006193,8001958,18,21,197
2023-11-01,8006193,8002884,16,20,190
2023-11-01,8006193,8006193,35,41,212
2023-11-01,8006402,8000445,9,11,134
2023-11-01,8006402,8005682,7,11,90
2023-11-01,8006402,8006402,17,22,115
2023-11-01,8006475,8000815,18,20,730
2023-11-01,8006475,8001316,18,20,272
2023-11-01,8006475,8006475,36,40,490
2023-11-01,8006489,8002575,17,22,150
2023-11-01,8006489,8005390,18,20,160
2023-11-01,8006489,8006489,31,42,170
2023-11-01,8006559,8005390,20,22,194
2023-11-01,8006559,8005594,17,20,210
2023-11-01,8006559,8006559,34,42,182
2023-11-02,8000051,8000051,33,36,258
2023-11-02,8000051,8001168,17,18,472
2023-11-02,8000051,8004702,16,18,92
2023-11-02,8000056,8005788,8,20,36
2023-11-02,8000088,8000088,49,53,233
2023-11-02,8000088,8001502,18,20,240
2023-11-02,8000088,8004183,7,11,155
2023-11-02,8000088,8005594,19,22,280
2023-11-02,8000088,8006090,5,11,60
2023-11-02,8000089,8000089,32,37,626
2023-11-02,8000089,8000434,27,42,176
2023-11-02,8000089,8002565,15,20,260
2023-11-02,8000089,8003002,19,19,949
2023-11-02,8000413,8000413,64,70,242
2023-11-02,8000413,8000586,13,13,314
2023-11-02,8000413,8000773,3,3,450
2023-11-02,8000413,8001160,32,34,315
2023-11-02,8000413,8001489,19,20,164
2023-11-02,8000440,8000440,20,22,248
2023-11-02,8000440,8000445,9,11,191
2023-11-02,8000440,8010172,8,8,326
2023-11-02,8000440,8012673,3,3,350
2023-11-02,8000445,8000440,10,11,311
2023-11-02,8000445,8000445,19,22,263
2023-11-02,8000445,8006402,9,11,229
2023-11-02,8000586,8000413,11,11,175
2023-11-02,8000586,8000586,27,30,373
2023-11-02,8000586,8001489,3,3,580
2023-11-02,8000586,8001924,3,3,1060
2023-11-02,8000586,8006090,13,13,365
2023-11-02,8000773,8000413,3,3,1060
2023-11-02,8000773,8000773,6,6,755
2023-11-02,8000773,8001924,3,3,470
2023-11-02,8000815,8000815,36,40,418
2023-11-02,8000815,8002674,19,20,530
2023-11-02,8000815,8006475,16,20,321
2023-11-02,8000935,8000935,4,4,622
2023-11-02,8000935,8003545,1,1,810
2023-11-02,8001168,8000051,11,18,38
2023-11-02,8001185,8001185,9,21,91
2023-11-02,8001185,8001645,6,11,120
2023-11-02,8001185,8004183,3,10,15
2023-11-02,8001258,8001258,30,42,232
2023-11-02,8001258,8002575,16,20,111
2023-11-02,8001258,8002967,15,22,353
2023-11-02,8001315,8001315,109,122,396
2023-11-02,8001315,8003002,14,19,262
2023-11-02,8001315,8004247,73,84,260
2023-11-02,8001315,8004302,39,42,374
2023-11-02,8001316,8001316,37,38,695
2023-11-02,8001316,8004727,19,19,1221
2023-11-02,8001316,8006475,19,20,530
2023-11-02,8001352,8004727,12,19,614
2023-11-02,8001489,8000413,19,20,250
2023-11-02,8001489,8000586,3,3,1060
2023-11-02,8001489,8001489,44,46,321
2023-11-02,8001489,8001949,22,23,284
2023-11-02,8001502,8000088,17,21,276
2023-11-02,8001502,8001502,36,41,274
2023-11-02,8001502,8001958,19,20,261
2023-11-02,8001645,8001185,3,10,21
2023-11-02,8001645,8001645,8,21,60
2023-11-02,8001924,8000586,3,3,500
2023-11-02,8001924,8000773,3,3,1040
2023-11-02,8001924,8001924,6,6,765
2023-11-02,8001958,8001502,18,21,260
2023-11-02,8001958,8001958,37,41,243
2023-11-02,8001958,8006193,19,20,213
2023-11-02,8002565,8000089,20,20,864
2023-11-02,8002565,8002565,32,40,481
2023-11-02,8002565,8002843,13,20,256
2023-11-02,8002575,8001258,18,22,338
2023-11-02,8002575,8002575,32,42,232
2023-11-02,8002575,8006489,11,20,195
2023-11-02,8002674,8000815,17,20,333
2023-11-02,8002674,8002674,36,40,427
2023-11-02,8002674,8002843,19,20,549
2023-11-02,8002843,8002565,19,20,586
2023-11-02,8002843,8002674,17,20,312
2023-11-02,8002843,8002843,36,40,433
2023-11-02,8002884,8002884,36,41,212
2023-11-02,8002884,8005457,18,20,224
2023-11-02,8002884,8006193,19,21,263
2023-11-02,8002967,8001258,8,20,68
2023-11-02,8002967,8002967,24,42,205
2023-11-02,8002967,8005788,15,22,335
2023-11-02,8003002,8000089,13,19,268
2023-11-02,8003002,8001315,19,19,922
2023-11-02,8003002,8001493,34,42,366
2023-11-02,8003002,8003002,103,122,387
2023-11-02,8003002,8004302,37,42,261
2023-11-02,8003700,8003700,38,40,252
2023-11-02,8003700,8003957,19,20,234
2023-11-02,8003700,8005457,19,20,266
2023-11-02,8004183,8000088,7,11,57
2023-11-02,8004183,8001185,6,11,205
2023-11-02,8004183,8004183,9,21,134
2023-11-02,8004702,8000051,15,18,432
2023-11-02,8004702,8001157,1,1,150
2023-11-02,8004702,8001160,8,9,73
2023-11-02,8004702,8003292,7,7,253
2023-11-02,8004702,8004702,29,36,269
2023-11-02,8004727,8001316,18,19,665
2023-11-02,8004727,8001352,19,19,1352
2023-11-02,8004727,8004727,37,38,959
2023-11-02,8005390,8005390,33,42,264
2023-11-02,8005390,8006489,18,22,307
2023-11-02,8005390,8006559,15,20,236
2023-11-02,8005457,8002884,19,21,243
2023-11-02,8005457,8003700,19,20,258
2023-11-02,8005457,8005457,38,40,250
2023-11-02,8005594,8000088,17,20,276
2023-11-02,8005594,8005594,34,42,272
2023-11-02,8005594,8006559,19,22,269
2023-11-02,8005682,8005682,19,22,322
2023-11-02,8005682,8006402,10,11,344
2023-11-02,8005788,8000056,17,22,331
2023-11-02,8005788,8002967,16,20,58
2023-11-02,8005788,8005788,32,42,199
2023-11-02,8006090,8000088,12,13,312
2023-11-02,8006090,8000586,10,11,153
2023-11-02,8006090,8006090,21,24,234
2023-11-02,8006193,8001958,18,21,247
2023-11-02,8006193,8002884,18,20,200
2023-11-02,8006193,8006193,36,41,244
2023-11-02,8006402,8000445,10,11,325
2023-11-02,8006402,8005682,9,11,278
2023-11-02,8006402,8006402,19,22,295
2023-11-02,8006475,8000815,19,20,492
2023-11-02,8006475,8001316,19,20,346
2023-11-02,8006475,8006475,38,40,424
2023-11-02,8006489,8002575,17,22,289
2023-11-02,8006489,8005390,15,20,218
2023-11-02,8006489,8006489,29,42,254
2023-11-02,8006559,8005390,19,22,278
2023-11-02,8006559,8005594,12,20,237
2023-11-02,8006559,8006559,31,42,253
2023-11-03,8000051,8000051,33,36,228
2023-11-03,8000051,8001168,17,18,330
2023-11-03,8000051,8004702,16,18,262
2023-11-03,8000056,8005788,10,20,63
2023-11-03,8000088,8000088,49,54,344
2023-11-03,8000088,8001502,16,20,297
2023-11-03,8000088,8004183,8,11,188
2023-11-03,8000088,8005594,17,22,405
2023-11-03,8000088,8006090,5,11,87
2023-11-03,8000089,8000089,30,38,384
2023-11-03,8000089,8000434,29,43,103
2023-11-03,8000089,8002565,13,20,237
2023-11-03,8000089,8003002,19,20,518
2023-11-03,8000413,8000413,61,70,239
2023-11-03,8000413,8000586,13,13,192
2023-11-03,8000413,8000773,3,3,220
2023-11-03,8000413,8001160,31,34,273
2023-11-03,8000413,8001489,20,20,314
2023-11-03,8000440,8000440,19,26,118
2023-11-03,8000440,8000445,8,13,85
2023-11-03,8000440,8010172,8,10,120
2023-11-03,8000440,8012673,3,3,330
2023-11-03,8000445,8000440,8,13,148
2023-11-03,8000445,8000445,20,26,129
2023-11-03,8000445,8006402,10,13,122
2023-11-03,8000586,8000413,11,11,273
2023-11-03,8000586,8000586,28,30,238
2023-11-03,8000586,8001489,3,3,260
2023-11-03,8000586,8001924,3,3,200
2023-11-03,8000586,8006090,13,13,238
2023-11-03,8000773,8000413,3,3,220
2023-11-03,8000773,8000773,6,6,220
2023-11-03,8000773,8001924,3,3,250
2023-11-03,8000815,8000815,31,40,367
2023-11-03,8000815,8002674,17,20,448
2023-11-03,8000815,8006475,14,20,300
2023-11-03,8000935,8000935,5,5,312
2023-11-03,8000935,8003545,1,1,750
2023-11-03,8001168,8000051,14,18,123
2023-11-03,8001185,8001185,9,21,313
2023-11-03,8001185,8001645,4,11,139
2023-11-03,8001185,8004183,5,10,483
2023-11-03,8001258,8001258,36,42,325
2023-11-03,8001258,8002575,16,20,162
2023-11-03,8001258,8002967,20,22,412
2023-11-03,8001315,8001315,102,124,223
2023-11-03,8001315,8003002,15,20,206
2023-11-03,8001315,8004247,67,85,154
2023-11-03,8001315,8004302,36,41,230
2023-11-03,8001316,8001316,40,40,370
2023-11-03,8001316,8004727,20,20,351
2023-11-03,8001316,8006475,20,20,441
2023-11-03,8001352,8004727,9,20,429
2023-11-03,8001489,8000413,18,20,256
2023-11-03,8001489,8000586,3,3,170
2023-11-03,8001489,8001489,44,46,295
2023-11-03,8001489,8001949,23,23,353
2023-11-03,8001502,8000088,20,21,499
2023-11-03,8001502,8001502,36,41,411
2023-11-03,8001502,8001958,18,20,327
2023-11-03,8001645,8001185,6,10,510
2023-11-03,8001645,8001645,10,21,306
2023-11-03,8001924,8000586,3,3,290
2023-11-03,8001924,8000773,3,3,210
2023-11-03,8001924,8001924,6,6,250
2023-11-03,8001958,8001502,19,21,480
2023-11-03,8001958,8001958,37,41,394
2023-11-03,8001958,8006193,17,20,314
2023-11-03,8002565,8000089,17,20,502
2023-11-03,8002565,8002565,30,40,366
2023-11-03,8002565,8002843,12,20,244
2023-11-03,8002575,8001258,20,22,416
2023-11-03,8002575,8002575,36,42,294
2023-11-03,8002575,8006489,18,20,266
2023-11-03,8002674,8000815,15,20,308
2023-11-03,8002674,8002674,33,40,377
2023-11-03,8002674,8002843,18,20,468
2023-11-03,8002843,8002565,19,20,498
2023-11-03,8002843,8002674,16,20,284
2023-11-03,8002843,8002843,35,40,373
2023-11-03,8002884,8002884,37,41,427
2023-11-03,8002884,8005457,18,20,555
2023-11-03,8002884,8006193,19,21,489
2023-11-03,8002967,8001258,14,20,214
2023-11-03,8002967,8002967,34,42,323
2023-11-03,8002967,8005788,20,22,402
2023-11-03,8003002,8000089,13,20,204
2023-11-03,8003002,8001315,17,20,450
2023-11-03,8003002,8001493,33,41,209
2023-11-03,8003002,8003002,102,124,224
2023-11-03,8003002,8004302,38,43,157
2023-11-03,8003700,8003700,38,40,388
2023-11-03,8003700,8003957,19,20,606
2023-11-03,8003700,8005457,19,20,224
2023-11-03,8004183,8000088,7,11,382
2023-11-03,8004183,8001185,9,11,175
2023-11-03,8004183,8004183,13,21,333
2023-11-03,8004702,8000051,16,18,248
2023-11-03,8004702,8001157,1,1,270
2023-11-03,8004702,8001160,8,9,337
2023-11-03,8004702,8003292,6,7,394
2023-11-03,8004702,8004702,30,36,288
2023-11-03,8004727,8001316,14,20,436
2023-11-03,8004727,8001352,18,20,357
2023-11-03,8004727,8004727,32,40,440
2023-11-03,8005390,8005390,37,42,372
2023-11-03,8005390,8006489,19,22,436
2023-11-03,8005390,8006559,18,20,308
2023-11-03,8005457,8002884,19,21,343
2023-11-03,8005457,8003700,19,20,562
2023-11-03,8005457,8005457,38,40,418
2023-11-03,8005594,8000088,17,20,314
2023-11-03,8005594,8005594,34,42,364
2023-11-03,8005594,8006559,17,22,398
2023-11-03,8005682,8005682,20,25,163
2023-11-03,8005682,8006402,8,12,192
2023-11-03,8005788,8000056,20,22,417
2023-11-03,8005788,8002967,16,20,242
2023-11-03,8005788,8005788,36,42,293
2023-11-03,8006090,8000088,12,13,185
2023-11-03,8006090,8000586,7,11,155
2023-11-03,8006090,8006090,15,24,160
2023-11-03,8006193,8001958,18,21,451
2023-11-03,8006193,8002884,19,20,334
2023-11-03,8006193,8006193,38,41,410
2023-11-03,8006402,8000445,11,13,175
2023-11-03,8006402,8005682,9,13,113
2023-11-03,8006402,8006402,20,26,151
2023-11-03,8006475,8000815,15,20,418
2023-11-03,8006475,8001316,16,20,318
2023-11-03,8006475,8006475,31,40,370
2023-11-03,8006489,8002575,19,22,412
2023-11-03,8006489,8005390,19,20,284
2023-11-03,8006489,8006489,37,42,354
2023-11-03,8006559,8005390,20,22,415
2023-11-03,8006559,8005594,18,20,304
2023-11-03,8006559,8006559,37,42,349
2023-11-04,8000051,8000051,31,34,206
2023-11-04,8000051,8001168,17,17,282
2023-11-04,8000051,8004702,15,17,157
2023-11-04,8000056,8000056,29,33,353
2023-11-04,8000056,8005788,10,18,160
2023-11-04,8000088,8000088,43,48,244
2023-11-04,8000088,8001502,16,18,385
2023-11-04,8000088,8004183,8,9,73
2023-11-04,8000088,8005594,16,18,432
2023-11-04,8000088,8006090,3,9,37
2023-11-04,8000089,8000089,29,35,248
2023-11-04,8000089,8000434,14,25,114
2023-11-04,8000089,8002565,13,19,164
2023-11-04,8000089,8003002,17,18,287
2023-11-04,8000413,8000413,55,62,135
2023-11-04,8000413,8000586,8,9,80
2023-11-04,8000413,8000773,4,4,210
2023-11-04,8000413,8001160,26,31,168
2023-11-04,8000413,8001489,16,18,110
2023-11-04,8000440,8000440,18,24,122
2023-11-04,8000440,8000445,8,12,108
2023-11-04,8000440,8010172,7,9,93
2023-11-04,8000440,8012673,3,3,290
2023-11-04,8000445,8000440,8,12,115
2023-11-04,8000445,8000445,20,24,115
2023-11-04,8000445,8006402,10,12,130
2023-11-04,8000586,8000413,9,9,133
2023-11-04,8000586,8000586,23,26,141
2023-11-04,8000586,8001489,4,4,202
2023-11-04,8000586,8001924,3,4,300
2023-11-04,8000586,8006090,6,9,60
2023-11-04,8000773,8000413,2,4,315
2023-11-04,8000773,8000773,6,8,259
2023-11-04,8000773,8001924,4,4,202
2023-11-04,8000815,8000815,28,37,195
2023-11-04,8000815,8002674,15,18,153
2023-11-04,8000815,8006475,13,19,262
2023-11-04,8000935,8000935,3,3,410
2023-11-04,8001168,8000051,15,17,118
2023-11-04,8001185,8001185,8,18,48
2023-11-04,8001185,8001645,4,9,57
2023-11-04,8001185,8004183,5,9,27
2023-11-04,8001258,8001258,30,36,384
2023-11-04,8001258,8002575,13,18,197
2023-11-04,8001258,8002967,17,18,577
2023-11-04,8001315,8001315,59,85,185
2023-11-04,8001315,8003002,13,18,187
2023-11-04,8001315,8004247,31,41,162
2023-11-04,8001315,8004302,15,24,199
2023-11-04,8001316,8001316,33,37,209
2023-11-04,8001316,8004727,17,19,319
2023-11-04,8001316,8006475,16,18,118
2023-11-04,8001352,8004727,6,18,67
2023-11-04,8001489,8000413,16,18,127
2023-11-04,8001489,8000586,4,4,300
2023-11-04,8001489,8001489,37,44,137
2023-11-04,8001489,8001949,18,22,124
2023-11-04,8001502,8000088,18,18,437
2023-11-04,8001502,8001502,35,36,418
2023-11-04,8001502,8001958,18,18,420
2023-11-04,8001645,8001185,4,9,27
2023-11-04,8001645,8001645,6,18,40
2023-11-04,8001924,8000586,4,4,210
2023-11-04,8001924,8000773,2,4,308
2023-11-04,8001924,8001924,7,8,248
2023-11-04,8001958,8001502,18,18,387
2023-11-04,8001958,8001958,36,36,392
2023-11-04,8001958,8006193,18,18,417
2023-11-04,8002565,8000089,16,18,295
2023-11-04,8002565,8002565,27,37,218
2023-11-04,8002565,8002843,11,19,188
2023-11-04,8002575,8001258,17,18,590
2023-11-04,8002575,8002575,31,36,390
2023-11-04,8002575,8006489,14,18,245
2023-11-04,8002674,8000815,14,19,264
2023-11-04,8002674,8002674,31,37,212
2023-11-04,8002674,8002843,17,18,180
2023-11-04,8002843,8002565,17,18,252
2023-11-04,8002843,8002674,16,19,245
2023-11-04,8002843,8002843,33,37,215
2023-11-04,8002884,8002884,36,36,341
2023-11-04,8002884,8005457,18,18,415
2023-11-04,8002884,8006193,18,18,370
2023-11-04,8002967,8001258,11,18,175
2023-11-04,8002967,8002967,28,36,380
2023-11-04,8002967,8005788,17,18,580
2023-11-04,8003002,8000089,11,18,165
2023-11-04,8003002,8001315,13,18,235
2023-11-04,8003002,8001493,15,24,195
2023-11-04,8003002,8003002,60,85,185
2023-11-04,8003002,8004302,19,25,162
2023-11-04,8003700,8003700,36,36,380
2023-11-04,8003700,8003957,18,18,480
2023-11-04,8003700,8005457,18,18,247
2023-11-04,8004183,8000088,6,9,53
2023-11-04,8004183,8001185,5,9,67
2023-11-04,8004183,8004183,10,18,50
2023-11-04,8004702,8000051,13,17,203
2023-11-04,8004702,8001157,1,1,240
2023-11-04,8004702,8001160,7,8,64
2023-11-04,8004702,8003292,6,7,274
2023-11-04,8004702,8004702,24,34,157
2023-11-04,8004727,8001316,12,18,113
2023-11-04,8004727,8001352,16,19,317
2023-11-04,8004727,8004727,28,37,226
2023-11-04,8005390,8005390,33,36,392
2023-11-04,8005390,8006489,17,18,560
2023-11-04,8005390,8006559,16,18,268
2023-11-04,8005457,8002884,17,18,233
2023-11-04,8005457,8003700,18,18,507
2023-11-04,8005457,8005457,36,36,336
2023-11-04,8005594,8000088,15,18,162
2023-11-04,8005594,8005594,31,36,358
2023-11-04,8005594,8006559,16,18,415
2023-11-04,8005682,8005682,21,24,132
2023-11-04,8005682,8006402,10,12,125
2023-11-04,8005788,8000056,18,18,610
2023-11-04,8005788,8002967,12,18,183
2023-11-04,8005788,8005788,30,36,388
2023-11-04,8006090,8000088,2,9,33
2023-11-04,8006090,8000586,5,9,47
2023-11-04,8006090,8006090,3,18,35
2023-11-04,8006193,8001958,18,18,350
2023-11-04,8006193,8002884,18,18,417
2023-11-04,8006193,8006193,36,36,404
2023-11-04,8006402,8000445,10,12,125
2023-11-04,8006402,8005682,9,12,110
2023-11-04,8006402,8006402,20,24,124
2023-11-04,8006475,8000815,12,18,100
2023-11-04,8006475,8001316,14,19,283
2023-11-04,8006475,8006475,26,37,195
2023-11-04,8006489,8002575,17,18,547
2023-11-04,8006489,8005390,16,18,268
2023-11-04,8006489,8006489,30,36,403
2023-11-04,8006559,8005390,17,18,435
2023-11-04,8006559,8005594,15,18,275
2023-11-04,8006559,8006559,31,36,338
2023-11-05,8000051,8000051,30,32,172
2023-11-05,8000051,8001168,15,16,287
2023-11-05,8000051,8004702,15,16,109
2023-11-05,8000056,8000056,25,33,292
2023-11-05,8000056,8005788,11,18,163
2023-11-05,8000088,8000088,39,47,303
2023-11-05,8000088,8001502,16,18,343
2023-11-05,8000088,8004183,5,8,131
2023-11-05,8000088,8005594,16,18,467
2023-11-05,8000088,8006090,1,9,10
2023-11-05,8000089,8000089,28,32,136
2023-11-05,8000089,8000434,9,23,50
2023-11-05,8000089,8002565,13,17,85
2023-11-05,8000089,8003002,15,16,133
2023-11-05,8000413,8000413,48,62,346
2023-11-05,8000413,8000586,4,9,63
2023-11-05,8000413,8000773,3,4,292
2023-11-05,8000413,8001160,23,31,474
2023-11-05,8000413,8001489,17,18,378
2023-11-05,8000440,8000440,20,22,183
2023-11-05,8000440,8000445,8,11,136
2023-11-05,8000440,8010172,7,9,273
2023-11-05,8000440,8012673,2,2,240
2023-11-05,8000445,8000440,9,11,215
2023-11-05,8000445,8000445,18,22,183
2023-11-05,8000445,8006402,9,11,166
2023-11-05,8000586,8000413,8,9,60
2023-11-05,8000586,8000586,18,26,129
2023-11-05,8000586,8001489,4,4,308
2023-11-05,8000586,8001924,4,4,308
2023-11-05,8000586,8006090,3,9,53
2023-11-05,8000773,8000413,4,4,322
2023-11-05,8000773,8000773,7,8,304
2023-11-05,8000773,8001924,3,4,278
2023-11-05,8000815,8000815,29,34,99
2023-11-05,8000815,8002674,16,17,94
2023-11-05,8000815,8006475,12,17,132
2023-11-05,8000935,8000935,2,2,630
2023-11-05,8000935,8003545,1,1,1140
2023-11-05,8001168,8000051,13,16,68
2023-11-05,8001185,8001185,8,16,81
2023-11-05,8001185,8001645,4,8,112
2023-11-05,8001185,8004183,4,8,30
2023-11-05,8001258,8001258,31,36,378
2023-11-05,8001258,8002575,15,18,183
2023-11-05,8001258,8002967,16,18,562
2023-11-05,8001315,8001315,57,81,104
2023-11-05,8001315,8003002,14,16,112
2023-11-05,8001315,8004247,30,39,36
2023-11-05,8001315,8004302,18,26,133
2023-11-05,8001316,8001316,31,34,106
2023-11-05,8001316,8004727,15,17,159
2023-11-05,8001316,8006475,16,17,55
2023-11-05,8001352,8004727,2,17,39
2023-11-05,8001489,8000413,16,18,562
2023-11-05,8001489,8000586,4,4,338
2023-11-05,8001489,8001489,40,44,434
2023-11-05,8001489,8001949,20,22,375
2023-11-05,8001502,8000088,18,18,535
2023-11-05,8001502,8001502,36,36,445
2023-11-05,8001502,8001958,18,18,373
2023-11-05,8001645,8001185,4,8,41
2023-11-05,8001645,8001645,7,16,73
