date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8010047,8010047,51,60,260
2023-04-01,8010047,8010226,1,1,180
2023-04-01,8010047,8011630,12,12,612
2023-04-01,8010047,8011673,0,1,0
2023-04-01,8010047,8012066,16,18,102
2023-04-01,8010047,8013455,23,28,236
2023-04-01,8010070,8010070,35,39,135
2023-04-01,8010070,8010084,13,19,107
2023-04-01,8010070,8011323,4,9,47
2023-04-01,8010070,8012830,18,20,141
2023-04-01,8010071,8010071,15,18,60
2023-04-01,8010071,8011323,7,9,67
2023-04-01,8010071,8012507,6,9,70
2023-04-01,8010084,8010070,19,19,164
2023-04-01,8010084,8010084,38,38,141
2023-04-01,8010084,8013465,19,19,125
2023-04-01,8010086,8010086,14,45,30
2023-04-01,8010086,8012289,7,22,40
2023-04-01,8010086,8013344,6,23,18
2023-04-01,8010096,8010096,23,26,375
2023-04-01,8010096,8012599,11,13,455
2023-04-01,8010096,8013248,12,13,300
2023-04-01,8010123,8010123,16,42,147
2023-04-01,8010123,8010151,6,21,63
2023-04-01,8010123,8013365,9,21,294
2023-04-01,8010151,8010123,9,21,216
2023-04-01,8010151,8010151,21,42,144
2023-04-01,8010151,8011294,15,21,93
2023-04-01,8010157,8010157,49,78,43
2023-04-01,8010157,8010169,3,10,15
2023-04-01,8010157,8010254,14,33,49
2023-04-01,8010157,8010364,5,25,12
2023-04-01,8010157,8010374,6,8,52
2023-04-01,8010157,8011599,5,14,24
2023-04-01,8010157,8011808,12,12,55
2023-04-01,8010157,8011838,0,1,0
2023-04-01,8010157,8013456,0,1,-510
2023-04-01,8010158,8010158,9,15,48
2023-04-01,8010158,8010226,1,1,60
2023-04-01,8010158,8011544,5,11,46
2023-04-01,8010158,8013180,2,12,20
2023-04-01,8010169,8010157,4,10,45
2023-04-01,8010169,8010169,6,20,32
2023-04-01,8010169,8010374,2,10,9
2023-04-01,8010172,8000440,7,8,75
2023-04-01,8010172,8010172,32,38,133
2023-04-01,8010172,8011277,8,10,75
2023-04-01,8010172,8012014,8,9,163
2023-04-01,8010172,8013083,9,9,133
2023-04-01,8010226,8010047,1,1,30
2023-04-01,8010226,8010226,140,193,133
2023-04-01,8010226,8011294,11,18,142
2023-04-01,8010226,8012289,23,37,34
2023-04-01,8010226,8012292,6,7,450
2023-04-01,8010226,8013344,9,11,93
2023-04-01,8010226,8013455,29,30,293
2023-04-01,8010226,8080660,6,21,29
2023-04-01,8010254,8010157,18,33,40
2023-04-01,8010254,8010254,16,66,30
2023-04-01,8010254,8010266,18,33,44
2023-04-01,8010261,8010261,19,35,28
2023-04-01,8010261,8011228,3,11,14
2023-04-01,8010261,8012352,1,9,7
2023-04-01,8010266,8010254,24,33,53
2023-04-01,8010266,8010266,46,66,55
2023-04-01,8010266,8011794,16,33,55
2023-04-01,8010290,8010290,6,36,20
2023-04-01,8010290,8011383,2,18,12
2023-04-01,8010290,8012423,2,18,17
2023-04-01,8010318,8010070,1,1,60
2023-04-01,8010318,8010318,81,119,81
2023-04-01,8010318,8010332,5,8,34
2023-04-01,8010318,8012287,12,19,141
2023-04-01,8010318,8012907,6,8,49
2023-04-01,8010318,8013456,7,16,24
2023-04-01,8010318,8013465,17,19,150
2023-04-01,8010318,8081260,18,25,85
2023-04-01,8010318,8081270,16,23,46
2023-04-01,8010364,8010157,14,26,61
2023-04-01,8010364,8010364,16,51,35
2023-04-01,8010364,8011383,4,18,12
2023-04-01,8010364,8011838,1,7,4
2023-04-01,8010374,8010157,8,8,82
2023-04-01,8010374,8010169,4,10,51
2023-04-01,8010374,8010374,15,36,42
2023-04-01,8010374,8011933,3,7,17
2023-04-01,8010374,8013286,5,11,35
2023-04-01,8011111,8011111,24,25,70
2023-04-01,8011111,8012289,12,12,105
2023-04-01,8011111,8012328,5,13,32
2023-04-01,8011190,8011190,7,36,12
2023-04-01,8011190,8012354,4,18,10
2023-04-01,8011190,8013046,3,18,10
2023-04-01,8011226,8011226,10,24,45
2023-04-01,8011226,8012161,6,12,35
2023-04-01,8011226,8013439,2,12,28
2023-04-01,8011228,8010261,6,11,46
2023-04-01,8011228,8011228,11,22,35
2023-04-01,8011228,8012705,2,11,19
2023-04-01,8011277,8010172,9,9,167
2023-04-01,8011277,8011277,15,19,104
2023-04-01,8011277,8011545,7,10,72
2023-04-01,8011294,8010151,11,21,221
2023-04-01,8011294,8010226,15,19,167
2023-04-01,8011294,8011294,26,42,175
2023-04-01,8011294,8012381,4,10,306
2023-04-01,8011323,8010070,8,9,80
2023-04-01,8011323,8010071,8,9,83
2023-04-01,8011323,8011323,15,18,67
2023-04-01,8011346,8011346,11,21,43
2023-04-01,8011346,8011933,6,10,48
2023-04-01,8011346,8013286,7,11,65
2023-04-01,8011383,8010290,5,18,40
2023-04-01,8011383,8010364,9,18,25
2023-04-01,8011383,8011383,14,36,23
2023-04-01,8011388,8012572,22,33,21
2023-04-01,8011415,8011415,24,26,428
2023-04-01,8011415,8012546,11,13,561
2023-04-01,8011415,8012599,11,13,286
2023-04-01,8011455,8011455,10,19,38
2023-04-01,8011455,8011462,1,10,24
2023-04-01,8011455,8012907,7,9,67
2023-04-01,8011462,8011455,5,9,30
2023-04-01,8011462,8011462,12,20,32
2023-04-01,8011462,8011549,7,11,38
2023-04-01,8011544,8010158,5,11,35
2023-04-01,8011544,8011544,10,22,45
2023-04-01,8011544,8013250,6,11,57
2023-04-01,8011545,8011277,7,9,133
2023-04-01,8011545,8011545,15,19,109
2023-04-01,8011545,8012673,8,10,132
2023-04-01,8011549,8010332,7,11,49
2023-04-01,8011549,8011462,2,9,10
2023-04-01,8011549,8011549,9,20,26
2023-04-01,8011596,8011596,12,18,43
2023-04-01,8011596,8011946,6,10,45
2023-04-01,8011596,8013005,9,9,53
2023-04-01,8011630,8010047,8,10,324
2023-04-01,8011630,8011630,19,22,479
2023-04-01,8011630,8012381,11,12,610
2023-04-01,8011673,8010047,1,1,240
2023-04-01,8011673,8011673,31,38,136
2023-04-01,8011673,8012678,13,18,97
2023-04-01,8011673,8013205,18,18,188
2023-04-01,8011673,8013389,1,1,30
2023-04-01,8011714,8011714,7,25,29
2023-04-01,8011714,8012328,4,12,30
2023-04-01,8011714,8013180,5,13,37
2023-04-01,8011794,8010266,15,33,41
2023-04-01,8011794,8011794,32,66,49
2023-04-01,8011794,8012162,18,33,49
2023-04-01,8011796,8010321,0,10,0
2023-04-01,8011796,8011796,6,20,63
2023-04-01,8011808,8010157,3,12,25
2023-04-01,8011808,8011808,14,24,40
2023-04-01,8011808,8011809,2,12,30
2023-04-01,8011809,8011808,2,12,25
2023-04-01,8011809,8011809,7,24,32
2023-04-01,8011809,8012161,2,12,32
2023-04-01,8011838,8010364,4,8,135
2023-04-01,8011838,8011599,2,8,8
2023-04-01,8011838,8011838,8,16,79
2023-04-01,8011933,8000364,3,9,53
2023-04-01,8011933,8010374,3,7,64
2023-04-01,8011933,8011346,3,11,41
2023-04-01,8011933,8011933,26,34,88
2023-04-01,8011933,8013432,6,8,90
2023-04-01,8011946,8011596,7,10,33
2023-04-01,8011946,8011946,10,20,24
2023-04-01,8011946,8013158,3,10,15
2023-04-01,8012014,8010172,5,10,42
2023-04-01,8012014,8012014,13,19,104
2023-04-01,8012014,8013039,8,9,177
2023-04-01,8012066,8010047,18,18,173
2023-04-01,8012066,8012066,36,36,131
2023-04-01,8012066,8013205,18,18,112
2023-04-01,8012161,8011226,3,12,32
2023-04-01,8012161,8011809,5,12,38
2023-04-01,8012161,8012161,5,24,30
2023-04-01,8012162,8011794,21,33,45
2023-04-01,8012162,8012162,38,66,44
2023-04-01,8012162,8012572,14,33,55
2023-04-01,8012287,8010318,14,18,73
2023-04-01,8012287,8012287,63,84,86
2023-04-01,8012287,8012291,12,23,42
2023-04-01,8012287,8013456,19,19,171
2023-04-01,8012287,8081270,14,24,69
2023-04-01,8012289,8010086,16,23,34
2023-04-01,8012289,8010226,17,34,49
2023-04-01,8012289,8011111,12,13,51
2023-04-01,8012289,8012289,40,71,44
2023-04-01,8012289,8013344,1,1,60
2023-04-01,8012291,8012287,19,24,82
2023-04-01,8012291,8012291,32,47,61
2023-04-01,8012291,8013485,7,23,31
2023-04-01,8012292,8010226,7,8,814
2023-04-01,8012292,8012292,19,26,407
2023-04-01,8012292,8012490,10,13,270
2023-04-01,8012302,8002080,8,12,312
2023-04-01,8012302,8012302,22,26,336
2023-04-01,8012302,8013248,11,13,392
2023-04-01,8012328,8011111,7,12,62
2023-04-01,8012328,8011714,6,13,46
2023-04-01,8012328,8012328,11,25,46
2023-04-01,8012351,8012351,11,18,33
2023-04-01,8012351,8012352,7,9,67
2023-04-01,8012351,8013005,5,9,40
2023-04-01,8012352,8010261,5,9,33
2023-04-01,8012352,8012351,5,9,27
2023-04-01,8012352,8012352,12,18,40
2023-04-01,8012354,8011190,3,18,10
2023-04-01,8012354,8012354,5,36,8
2023-04-01,8012354,8013085,2,18,7
2023-04-01,8012378,8012378,4,20,12
2023-04-01,8012378,8013194,2,10,15
2023-04-01,8012381,8011294,10,12,622
2023-04-01,8012381,8011630,7,10,309
2023-04-01,8012381,8012381,15,22,479
2023-04-01,8012423,8010290,10,18,27
2023-04-01,8012423,8012423,12,36,28
2023-04-01,8012423,8013125,2,18,18
2023-04-01,8012490,8012292,10,13,563
2023-04-01,8012490,8012490,23,26,428
2023-04-01,8012490,8013271,13,13,286
2023-04-01,8012546,8011415,13,13,312
2023-04-01,8012546,8012546,24,26,426
2023-04-01,8012546,8013271,10,13,558
