date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-01-24,8010016,8010016,10,36,10
2023-01-24,8010016,8011031,1,24,1
2023-01-24,8010016,8012729,1,18,3
2023-01-24,8010051,8010051,11,41,22
2023-01-24,8010051,8010153,2,9,23
2023-01-24,8010051,8010322,3,11,33
2023-01-24,8010051,8012264,0,2,0
2023-01-24,8010051,8013186,5,19,14
2023-01-24,8010141,8010141,15,38,40
2023-01-24,8010141,8011702,5,11,41
2023-01-24,8010141,8012651,4,9,40
2023-01-24,8010141,8012902,3,8,38
2023-01-24,8010153,8010051,4,9,20
2023-01-24,8010153,8010153,21,56,26
2023-01-24,8010153,8010201,5,10,39
2023-01-24,8010153,8010284,2,36,0
2023-01-24,8010153,8012269,0,18,0
2023-01-24,8010156,8010156,22,57,65
2023-01-24,8010156,8010173,0,2,0
2023-01-24,8010156,8011798,4,13,14
2023-01-24,8010156,8012009,2,4,45
2023-01-24,8010156,8012474,2,4,60
2023-01-24,8010156,8012677,7,15,92
2023-01-24,8010156,8012951,5,10,132
2023-01-24,8010156,8013069,2,10,12
2023-01-24,8010173,8010173,18,48,66
2023-01-24,8010173,8012951,8,24,52
2023-01-24,8010173,8013073,10,21,90
2023-01-24,8010173,8013370,1,5,36
2023-01-24,8010176,8010176,8,36,7
2023-01-24,8010176,8010381,4,18,8
2023-01-24,8010176,8011995,5,18,13
2023-01-24,8010179,8010179,14,42,82
2023-01-24,8010179,8011536,3,10,120
2023-01-24,8010179,8012418,4,9,37
2023-01-24,8010179,8012839,5,11,68
2023-01-24,8010179,8013131,3,11,87
2023-01-24,8010199,8010199,6,36,5
2023-01-24,8010199,8010284,5,18,10
2023-01-24,8010199,8012436,5,18,8
2023-01-24,8010201,8010153,4,10,27
2023-01-24,8010201,8010201,8,20,36
2023-01-24,8010201,8012093,5,10,39
2023-01-24,8010210,8010210,6,38,12
2023-01-24,8010210,8012683,5,17,11
2023-01-24,8010210,8012832,5,19,21
2023-01-24,8010210,8013104,1,19,2
2023-01-24,8010213,8010213,4,17,12
2023-01-24,8010213,8011689,3,8,19
2023-01-24,8010213,8013393,1,9,3
2023-01-24,8010227,8010227,8,36,14
2023-01-24,8010227,8010348,7,18,33
2023-01-24,8010227,8012758,5,19,9
2023-01-24,8010241,8010241,8,33,8
2023-01-24,8010241,8011025,1,17,-2
2023-01-24,8010241,8011293,6,19,17
2023-01-24,8010241,8012376,2,18,5
2023-01-24,8010267,8011403,0,19,0
2023-01-24,8010267,8013018,2,17,4
2023-01-24,8010273,8010273,11,36,42
2023-01-24,8010273,8010284,6,18,30
2023-01-24,8010273,8013072,5,18,47
2023-01-24,8010284,8010153,14,36,26
2023-01-24,8010284,8010199,0,18,0
2023-01-24,8010284,8010273,2,18,20
2023-01-24,8010284,8010284,12,72,10
2023-01-24,8010300,8010300,10,56,19
2023-01-24,8010300,8011611,3,14,32
2023-01-24,8010300,8012377,5,16,28
2023-01-24,8010300,8012582,2,17,18
2023-01-24,8010322,8010051,5,12,20
2023-01-24,8010322,8010322,20,59,17
2023-01-24,8010322,8011924,5,18,13
2023-01-24,8010322,8012362,7,18,20
2023-01-24,8010325,8010325,7,60,23
2023-01-24,8010325,8012940,2,30,10
2023-01-24,8010325,8012951,3,10,102
2023-01-24,8010325,8013354,1,20,-3
2023-01-24,8010339,8010339,3,34,3
2023-01-24,8010339,8011213,7,17,16
2023-01-24,8010339,8012555,0,17,0
2023-01-24,8010348,8010227,0,18,0
2023-01-24,8010348,8010348,14,36,19
2023-01-24,8010348,8012436,4,18,7
2023-01-24,8010381,8010176,3,18,5
2023-01-24,8010381,8012321,1,21,1
2023-01-24,8010392,8010392,1,39,12
2023-01-24,8010392,8013132,0,19,0
2023-01-24,8010392,8013133,0,18,0
2023-01-24,8010392,8013385,1,21,20
2023-01-24,8011017,8011017,3,38,11
2023-01-24,8011017,8012711,2,19,17
2023-01-24,8011017,8013062,1,19,3
2023-01-24,8011025,8010241,2,17,4
2023-01-24,8011025,8011025,3,34,2
2023-01-24,8011025,8011646,4,17,7
2023-01-24,8011027,8011027,5,19,35
2023-01-24,8011027,8011281,2,10,48
2023-01-24,8011027,8012762,2,9,13
2023-01-24,8011031,8010016,9,25,19
2023-01-24,8011031,8011031,8,49,9
2023-01-24,8011031,8012609,1,24,1
2023-01-24,8011044,8010282,0,3,0
2023-01-24,8011044,8011044,4,26,40
2023-01-24,8011044,8011438,2,10,18
2023-01-24,8011044,8012021,2,10,87
2023-01-24,8011108,8011108,1,39,13
2023-01-24,8011108,8013132,1,20,26
2023-01-24,8011108,8013341,0,19,0
2023-01-24,8011109,8011109,1,42,9
2023-01-24,8011109,8012892,0,21,0
2023-01-24,8011109,8087026,1,21,17
2023-01-24,8011114,8012005,0,17,0
2023-01-24,8011140,8011140,8,34,27
2023-01-24,8011140,8012377,5,18,33
2023-01-24,8011140,8012806,3,16,26
2023-01-24,8011205,8010399,3,9,13
2023-01-24,8011205,8011205,7,22,20
2023-01-24,8011205,8011307,4,11,16
2023-01-24,8011213,8010339,6,17,21
2023-01-24,8011213,8011213,13,34,28
2023-01-24,8011213,8012610,3,8,19
2023-01-24,8011213,8012839,0,2,0
2023-01-24,8011230,8011230,12,31,72
2023-01-24,8011230,8011248,6,16,75
2023-01-24,8011230,8012933,6,15,100
2023-01-24,8011248,8011230,5,15,76
2023-01-24,8011248,8011248,12,31,79
2023-01-24,8011248,8012677,6,16,77
2023-01-24,8011270,8011270,7,35,8
2023-01-24,8011270,8011729,7,17,23
2023-01-24,8011270,8012785,0,18,0
2023-01-24,8011281,8011027,1,9,13
2023-01-24,8011281,8011281,3,19,33
2023-01-24,8011281,8012316,4,10,54
2023-01-24,8011286,8011286,4,38,21
2023-01-24,8011286,8011889,2,19,39
2023-01-24,8011286,8011991,0,19,0
2023-01-24,8011293,8010241,4,19,9
2023-01-24,8011293,8011293,12,38,21
2023-01-24,8011293,8011307,4,11,25
2023-01-24,8011307,8011205,4,11,30
2023-01-24,8011307,8011293,3,11,14
2023-01-24,8011307,8011307,7,22,23
2023-01-24,8011326,8011326,7,38,47
2023-01-24,8011326,8012824,2,19,71
2023-01-24,8011326,8013079,2,20,8
2023-01-24,8011356,8011356,7,34,16
