date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8000365,8000365,19,20,300
2023-08-01,8000365,8003664,20,20,276
2023-08-01,8000365,8005388,9,10,210
2023-08-01,8000385,8000385,34,43,256
2023-08-01,8000385,8000534,18,21,370
2023-08-01,8000385,8003554,5,16,22
2023-08-01,8000385,8004731,2,4,38
2023-08-01,8000420,8000420,22,39,26
2023-08-01,8000420,8001877,9,19,25
2023-08-01,8000420,8007856,10,20,28
2023-08-01,8000498,8000498,18,26,572
2023-08-01,8000498,8003256,8,13,432
2023-08-01,8000534,8000385,15,22,170
2023-08-01,8000534,8000534,33,43,267
2023-08-01,8000534,8005907,19,21,404
2023-08-01,8000767,8000767,5,38,3
2023-08-01,8000767,8003058,1,19,2
2023-08-01,8000767,8003083,6,19,11
2023-08-01,8000783,8000783,50,78,100
2023-08-01,8000783,8001223,26,39,86
2023-08-01,8000783,8003238,22,39,106
2023-08-01,8000850,8000850,38,49,75
2023-08-01,8000850,8003768,2,2,90
2023-08-01,8000850,8004471,1,1,60
2023-08-01,8000850,8004478,18,21,113
2023-08-01,8000850,8005209,17,24,66
2023-08-01,8001223,8000783,25,39,123
2023-08-01,8001223,8001223,53,78,108
2023-08-01,8001223,8001846,26,39,84
2023-08-01,8001277,8001277,6,38,5
2023-08-01,8001277,8004724,4,19,16
2023-08-01,8001450,8001450,10,38,12
2023-08-01,8001450,8001548,5,19,16
2023-08-01,8001450,8004323,1,19,2
2023-08-01,8001548,8001450,5,19,11
2023-08-01,8001548,8001548,8,38,9
2023-08-01,8001548,8003083,1,19,3
2023-08-01,8001655,8001655,14,38,49
2023-08-01,8001655,8002838,11,19,47
2023-08-01,8001655,8003734,4,19,52
2023-08-01,8001749,8001749,39,68,150
2023-08-01,8001749,8004835,13,34,114
2023-08-01,8001749,8006298,24,34,172
2023-08-01,8001762,8001762,76,96,130
2023-08-01,8001762,8001845,36,48,135
2023-08-01,8001762,8006052,37,48,121
2023-08-01,8001783,8001783,63,70,149
2023-08-01,8001783,8002517,19,19,193
2023-08-01,8001783,8004323,14,16,82
2023-08-01,8001783,8004336,10,18,128
2023-08-01,8001783,8005557,17,17,187
2023-08-01,8001845,8001762,39,48,142
2023-08-01,8001845,8001845,79,96,128
2023-08-01,8001845,8001846,41,48,153
2023-08-01,8001846,8001223,25,39,132
2023-08-01,8001846,8001845,34,48,92
2023-08-01,8001846,8001846,73,96,115
2023-08-01,8001875,8001875,22,42,52
2023-08-01,8001875,8002029,9,19,82
2023-08-01,8001875,8002340,2,2,195
2023-08-01,8001875,8002416,11,24,38
2023-08-01,8001875,8002783,2,3,20
2023-08-01,8001877,8000420,13,20,42
2023-08-01,8001877,8001877,19,39,24
2023-08-01,8001877,8003878,3,19,9
2023-08-01,8001978,8001978,65,92,131
2023-08-01,8001978,8001988,27,46,128
2023-08-01,8002029,8001875,13,21,54
2023-08-01,8002029,8002029,20,40,69
2023-08-01,8002029,8005219,5,19,71
2023-08-01,8002152,8002152,19,74,35
2023-08-01,8002152,8002155,24,38,28
2023-08-01,8002152,8005557,12,36,51
2023-08-01,8002155,8002152,17,36,66
2023-08-01,8002155,8002155,48,74,56
2023-08-01,8002237,8002237,54,70,159
2023-08-01,8002237,8004115,19,21,217
2023-08-01,8002237,8004835,14,14,210
2023-08-01,8002237,8005185,3,12,32
2023-08-01,8002237,8005995,16,23,132
2023-08-01,8002416,8001875,14,27,51
2023-08-01,8002416,8002416,28,51,47
2023-08-01,8002416,8003154,16,24,52
2023-08-01,8002517,8001783,17,18,148
2023-08-01,8002517,8002517,32,37,168
2023-08-01,8002517,8004901,19,19,216
2023-08-01,8002578,8002578,36,44,105
2023-08-01,8002578,8002793,18,22,112
2023-08-01,8002578,8004858,18,22,106
2023-08-01,8002596,8002596,16,39,18
2023-08-01,8002596,8003552,8,20,20
2023-08-01,8002596,8003567,9,19,24
2023-08-01,8002609,8002609,15,36,20
2023-08-01,8002609,8005485,7,18,22
2023-08-01,8002612,8001929,35,41,117
2023-08-01,8002612,8002612,66,79,136
2023-08-01,8002612,8002794,29,38,135
2023-08-01,8002612,8004858,15,22,97
2023-08-01,8002678,8002678,22,40,68
2023-08-01,8002678,8005383,12,20,42
2023-08-01,8002678,8005572,10,20,96
2023-08-01,8002705,8002705,92,111,125
2023-08-01,8002705,8004797,22,29,68
2023-08-01,8002705,8004926,17,30,61
2023-08-01,8002705,8005177,8,9,463
2023-08-01,8002705,8005178,11,16,86
2023-08-01,8002705,8006390,23,27,138
2023-08-01,8002751,8002751,39,78,59
2023-08-01,8002751,8002793,30,39,98
2023-08-01,8002751,8004725,15,39,44
2023-08-01,8002782,8002782,23,54,37
2023-08-01,8002782,8002783,15,27,29
2023-08-01,8002782,8004469,12,27,57
2023-08-01,8002783,8002782,16,27,54
2023-08-01,8002783,8002783,32,54,44
2023-08-01,8002783,8003154,13,27,29
2023-08-01,8002793,8002578,18,22,91
2023-08-01,8002793,8002751,10,39,48
2023-08-01,8002793,8002793,34,46,91
2023-08-01,8002793,8003580,1,2,45
2023-08-01,8002794,8000269,0,2,0
2023-08-01,8002794,8002612,32,41,94
2023-08-01,8002794,8002794,139,174,108
2023-08-01,8002794,8002956,14,22,76
2023-08-01,8002794,8003581,1,1,120
2023-08-01,8002794,8004284,7,13,104
2023-08-01,8002794,8004759,7,13,48
2023-08-01,8002794,8005005,18,24,105
2023-08-01,8002838,8001655,1,19,47
2023-08-01,8002956,8002794,19,21,131
2023-08-01,8002956,8002956,36,43,106
2023-08-01,8002956,8006120,17,22,89
2023-08-01,8003058,8000767,3,19,8
2023-08-01,8003058,8003058,10,38,14
2023-08-01,8003058,8004724,6,19,8
2023-08-01,8003083,8000767,8,19,16
2023-08-01,8003083,8001548,1,19,2
2023-08-01,8003083,8003083,14,38,12
2023-08-01,8003154,8002416,21,27,46
2023-08-01,8003154,8002783,12,24,54
2023-08-01,8003154,8003154,35,51,48
2023-08-01,8003552,8002596,5,19,11
2023-08-01,8003552,8003552,11,39,17
2023-08-01,8003552,8004923,8,20,21
2023-08-01,8003554,8000385,4,16,21
2023-08-01,8003554,8003554,7,32,20
2023-08-01,8003554,8004933,2,16,8
2023-08-01,8003567,8002596,6,20,15
2023-08-01,8003567,8003567,14,39,15
2023-08-01,8003567,8006448,7,19,16
2023-08-01,8003580,8003580,60,80,68
2023-08-01,8003580,8003587,36,56,49
2023-08-01,8003580,8004725,18,39,58
2023-08-01,8003581,8002794,1,6,15
2023-08-01,8003581,8003581,57,88,64
2023-08-01,8003581,8003768,18,22,105
