date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-08-01,8000047,8000047,62,74,195
2023-08-01,8000047,8001107,29,37,186
2023-08-01,8000047,8001904,32,41,206
2023-08-01,8000062,8000062,34,48,227
2023-08-01,8000062,8004001,16,26,157
2023-08-01,8000062,8005712,16,27,227
2023-08-01,8000066,8000066,26,33,37
2023-08-01,8000066,8001343,3,28,13
2023-08-01,8000066,8002972,0,17,-2
2023-08-01,8000066,8003658,6,18,22
2023-08-01,8000083,8000083,114,147,199
2023-08-01,8000083,8000145,23,27,178
2023-08-01,8000083,8001266,32,37,347
2023-08-01,8000083,8003658,17,18,92
2023-08-01,8000083,8003783,4,18,15
2023-08-01,8000083,8005811,26,29,167
2023-08-01,8000125,8000125,56,74,171
2023-08-01,8000125,8001107,28,37,208
2023-08-01,8000125,8002224,16,19,145
2023-08-01,8000125,8002795,13,18,165
2023-08-01,8000145,8000083,17,18,315
2023-08-01,8000145,8000145,93,111,257
2023-08-01,8000145,8003890,16,19,155
2023-08-01,8000145,8003891,32,40,213
2023-08-01,8000145,8005811,35,37,341
2023-08-01,8000382,8000382,40,69,137
2023-08-01,8000382,8001808,3,17,5
2023-08-01,8000382,8004613,14,22,247
2023-08-01,8000382,8400011,18,37,89
2023-08-01,8000437,8000437,6,34,7
2023-08-01,8000437,8001808,3,17,9
2023-08-01,8000437,8003608,2,17,5
2023-08-01,8000441,8000441,73,75,459
2023-08-01,8000441,8002680,35,37,497
2023-08-01,8000441,8004251,36,38,398
2023-08-01,8000462,8000462,42,53,301
2023-08-01,8000462,8001065,23,26,232
2023-08-01,8000518,8000518,46,55,163
2023-08-01,8000518,8004426,16,27,208
2023-08-01,8000518,8004461,16,28,139
2023-08-01,8000569,8000569,30,40,68
2023-08-01,8000569,8001390,14,20,66
2023-08-01,8000595,8000595,58,75,268
2023-08-01,8000595,8001065,25,37,309
2023-08-01,8000595,8001266,27,38,204
2023-08-01,8000623,8000623,18,40,50
2023-08-01,8000623,8001323,6,20,-28
2023-08-01,8000623,8001390,8,20,54
2023-08-01,8000846,8006206,11,19,69
2023-08-01,8000887,8000164,18,19,155
2023-08-01,8000887,8000317,18,18,377
2023-08-01,8000887,8000887,101,119,258
2023-08-01,8000887,8003891,36,41,365
2023-08-01,8000970,8000970,41,56,92
2023-08-01,8000970,8001343,10,11,79
2023-08-01,8000970,8002670,19,28,58
2023-08-01,8000970,8003804,17,17,166
2023-08-01,8001065,8000462,19,27,366
2023-08-01,8001065,8000595,34,38,244
2023-08-01,8001065,8001065,62,75,276
2023-08-01,8001096,8001096,48,55,212
2023-08-01,8001096,8004461,22,27,237
2023-08-01,8001096,8005712,22,28,177
2023-08-01,8001266,8000083,28,38,198
2023-08-01,8001266,8000595,31,37,343
2023-08-01,8001266,8001266,62,75,275
2023-08-01,8001323,8000623,10,20,58
2023-08-01,8001323,8001323,17,40,29
2023-08-01,8001323,8006348,15,20,81
2023-08-01,8001327,8000164,69,83,113
2023-08-01,8001327,8001327,125,166,112
2023-08-01,8001327,8001543,47,83,97
2023-08-01,8001328,8001328,26,36,82
2023-08-01,8001328,8001329,8,18,62
2023-08-01,8001328,8002779,15,18,93
2023-08-01,8001329,8001328,13,18,103
2023-08-01,8001329,8001329,24,36,73
2023-08-01,8001329,8001528,13,18,60
2023-08-01,8001343,8000066,11,28,54
2023-08-01,8001343,8000970,5,8,30
2023-08-01,8001343,8001343,31,56,44
2023-08-01,8001343,8003804,17,20,66
2023-08-01,8001390,8000569,5,20,38
2023-08-01,8001390,8000623,15,20,52
2023-08-01,8001390,8001390,22,40,57
2023-08-01,8001558,8001061,15,17,289
2023-08-01,8001558,8001558,125,131,591
2023-08-01,8001558,8002841,17,18,695
2023-08-01,8001558,8003986,45,47,547
2023-08-01,8001558,8005102,48,49,785
2023-08-01,8001782,8001782,62,92,252
2023-08-01,8001782,8002369,11,15,238
2023-08-01,8001782,8004000,21,32,152
2023-08-01,8001782,8004972,18,31,117
2023-08-01,8001808,8000382,11,17,28
2023-08-01,8001808,8000437,2,17,5
2023-08-01,8001808,8001808,13,34,13
2023-08-01,8001972,8001972,26,34,114
2023-08-01,8001972,8002284,17,17,175
2023-08-01,8001972,8006709,9,17,90
2023-08-01,8002223,8000164,17,17,86
2023-08-01,8002223,8002223,29,34,91
2023-08-01,8002223,8002225,16,17,86
2023-08-01,8002225,8002223,15,17,104
