date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-10-01,8000072,8003136,1,17,-2
2023-10-01,8000217,8000217,57,89,97
2023-10-01,8000217,8000688,5,8,15
2023-10-01,8000217,8001835,14,21,79
2023-10-01,8000217,8002457,2,9,67
2023-10-01,8000217,8003514,10,18,48
2023-10-01,8000217,8004084,26,44,113
2023-10-01,8000217,8006537,9,17,152
2023-10-01,8000451,8000451,8,25,49
2023-10-01,8000451,8001678,6,14,49
2023-10-01,8000451,8006084,3,11,55
2023-10-01,8000590,8000590,13,33,103
2023-10-01,8000590,8000988,7,17,90
2023-10-01,8000590,8004786,10,16,150
2023-10-01,8000688,8000217,5,9,43
2023-10-01,8000688,8000688,27,39,102
2023-10-01,8000688,8001679,11,21,47
2023-10-01,8000688,8001835,9,9,210
2023-10-01,8000688,8004554,8,17,56
2023-10-01,8000710,8000710,18,30,133
2023-10-01,8000710,8001792,11,15,242
2023-10-01,8000710,8002146,6,15,26
2023-10-01,8000828,8000828,16,34,117
2023-10-01,8000828,8000988,10,17,146
2023-10-01,8000828,8003191,7,17,90
2023-10-01,8000988,8000590,6,16,122
2023-10-01,8000988,8000828,7,17,94
2023-10-01,8000988,8000988,17,34,112
2023-10-01,8000988,8004786,1,1,150
2023-10-01,8001069,8005279,5,18,40
2023-10-01,8001203,8001203,15,17,85
2023-10-01,8001203,8002457,8,8,82
2023-10-01,8001203,8004084,5,9,77
2023-10-01,8001466,8001466,29,35,171
2023-10-01,8001466,8003506,16,17,244
2023-10-01,8001466,8006537,17,18,132
2023-10-01,8001676,8001676,18,32,112
2023-10-01,8001676,8001677,9,16,163
2023-10-01,8001676,8002671,6,16,62
2023-10-01,8001677,8001676,11,16,82
2023-10-01,8001677,8001677,22,32,126
2023-10-01,8001677,8003910,11,16,161
2023-10-01,8001792,8000710,7,15,22
2023-10-01,8001792,8001792,15,30,128
2023-10-01,8001792,8005793,11,15,244
2023-10-01,8001835,8000217,14,19,139
2023-10-01,8001835,8000688,11,13,148
2023-10-01,8001835,8001679,4,8,11
2023-10-01,8001835,8001835,30,40,117
2023-10-01,8002146,8000710,11,15,246
2023-10-01,8002146,8002146,19,30,159
2023-10-01,8002146,8004298,7,15,84
2023-10-01,8002209,8002209,22,34,116
2023-10-01,8002209,8004770,8,17,62
2023-10-01,8002209,8005259,12,17,157
2023-10-01,8002211,8002211,21,36,50
2023-10-01,8002211,8003514,10,18,55
2023-10-01,8002211,8006084,11,18,52
2023-10-01,8002457,8000217,5,8,68
