date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8000119,8000119,67,81,149
2023-04-01,8000119,8000195,33,41,124
2023-04-01,8000119,8002141,12,13,83
2023-04-01,8000119,8005920,37,43,123
2023-04-01,8000119,8098261,15,18,152
2023-04-01,8000183,8000010,6,7,116
2023-04-01,8000183,8000183,86,108,384
2023-04-01,8000183,8000256,16,17,309
2023-04-01,8000183,8000678,18,19,248
2023-04-01,8000183,8003076,27,40,236
2023-04-01,8000195,8000119,31,40,154
2023-04-01,8000195,8000144,9,9,127
2023-04-01,8000195,8000195,65,81,131
2023-04-01,8000195,8000962,2,2,210
2023-04-01,8000195,8001004,6,6,65
2023-04-01,8000195,8002458,2,2,90
2023-04-01,8000195,8003901,2,2,90
2023-04-01,8000195,8004584,6,6,135
2023-04-01,8000220,8000220,42,44,240
2023-04-01,8000220,8003024,15,18,168
2023-04-01,8000220,8004185,4,4,165
2023-04-01,8000220,8005927,32,35,226
2023-04-01,8000220,8098261,3,3,270
2023-04-01,8000256,8000183,14,16,364
2023-04-01,8000256,8000256,59,72,243
2023-04-01,8000256,8000678,14,20,88
2023-04-01,8000256,8004781,30,36,264
2023-04-01,8000258,8000258,11,14,86
2023-04-01,8000258,8000576,10,19,73
2023-04-01,8000258,8000720,20,23,110
2023-04-01,8000258,8002184,6,8,68
2023-04-01,8000258,8005145,8,11,101
2023-04-01,8000258,8005883,7,18,18
2023-04-01,8000258,8005923,16,38,27
2023-04-01,8000258,8006164,11,20,64
2023-04-01,8000419,8000419,27,38,95
2023-04-01,8000419,8001708,8,19,55
2023-04-01,8000419,8005828,18,19,142
2023-04-01,8000515,8000515,37,38,186
2023-04-01,8000515,8005302,18,19,163
2023-04-01,8000515,8005975,19,19,215
2023-04-01,8000524,8000524,27,85,23
2023-04-01,8000524,8000653,13,42,21
2023-04-01,8000524,8001825,13,43,29
2023-04-01,8000533,8000533,7,8,52
2023-04-01,8000533,8005687,4,4,75
2023-04-01,8000533,8005912,2,4,15
2023-04-01,8000545,8000545,14,28,74
2023-04-01,8000545,8002623,6,12,85
2023-04-01,8000545,8003982,12,16,73
2023-04-01,8000555,8000555,14,37,24
2023-04-01,8000555,8002703,9,18,22
2023-04-01,8000555,8003205,8,19,32
2023-04-01,8000556,8003317,4,21,4
2023-04-01,8000576,8000258,19,20,306
2023-04-01,8000576,8000576,30,39,226
2023-04-01,8000576,8005495,16,19,114
2023-04-01,8000603,8000603,33,42,134
2023-04-01,8000603,8001829,13,21,163
2023-04-01,8000603,8003072,20,21,109
2023-04-01,8000621,8005962,0,16,0
2023-04-01,8000653,8000524,7,43,24
2023-04-01,8000653,8000653,24,85,23
2023-04-01,8000653,8005652,8,42,9
2023-04-01,8000675,8000675,30,42,64
2023-04-01,8000675,8001578,32,41,46
2023-04-01,8000675,8004761,12,21,74
2023-04-01,8000678,8000183,15,20,102
2023-04-01,8000678,8000256,17,19,221
2023-04-01,8000678,8000678,31,39,152
2023-04-01,8000685,8000685,27,42,101
2023-04-01,8000685,8001355,14,21,86
2023-04-01,8000685,8005442,8,21,101
2023-04-01,8000716,8000716,37,38,223
2023-04-01,8000716,8000717,17,19,171
2023-04-01,8000716,8002343,18,19,272
2023-04-01,8000717,8000716,18,19,163
2023-04-01,8000717,8000717,32,38,152
2023-04-01,8000717,8005302,15,19,177
2023-04-01,8000720,8000258,14,26,53
2023-04-01,8000720,8000720,42,68,71
2023-04-01,8000720,8001678,10,11,101
2023-04-01,8000720,8003910,6,16,32
2023-04-01,8000720,8005145,4,8,30
2023-04-01,8000720,8006084,5,7,116
2023-04-01,8000781,8000781,94,108,161
