date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-09-01,8000028,8000028,12,17,95
2023-09-01,8000028,8000267,1,2,0
2023-09-01,8000028,8000974,4,4,60
2023-09-01,8000028,8001348,18,18,83
2023-09-01,8000028,8004126,7,7,184
2023-09-01,8000028,8004759,11,14,56
2023-09-01,8000028,8005895,11,12,85
2023-09-01,8000173,8000173,3,3,40
2023-09-01,8000173,8000247,1,1,30
2023-09-01,8000173,8000287,1,1,30
2023-09-01,8000173,8005133,1,1,60
2023-09-01,8000201,8000201,19,31,52
2023-09-01,8000201,8000247,9,14,24
2023-09-01,8000201,8000328,1,2,0
2023-09-01,8000201,8002523,1,1,60
2023-09-01,8000201,8003063,0,1,0
2023-09-01,8000201,8004759,10,13,51
2023-09-01,8000247,8000173,1,2,45
2023-09-01,8000247,8000201,11,14,51
2023-09-01,8000247,8000247,15,30,51
2023-09-01,8000247,8000287,1,1,180
2023-09-01,8000247,8002924,5,8,82
2023-09-01,8000247,8005352,3,5,60
2023-09-01,8000247,8006155,1,1,30
2023-09-01,8000267,8000267,51,62,111
2023-09-01,8000267,8003476,11,17,277
2023-09-01,8000267,8003763,0,1,0
2023-09-01,8000267,8003887,13,16,103
2023-09-01,8000267,8005895,13,17,109
2023-09-01,8000267,8006017,13,13,74
2023-09-01,8000287,8000173,1,1,30
2023-09-01,8000287,8000287,7,12,48
2023-09-01,8000287,8002924,3,6,65
2023-09-01,8000287,8005466,5,5,48
2023-09-01,8000328,8000328,14,22,79
2023-09-01,8000328,8001348,10,11,52
2023-09-01,8000328,8004759,8,11,98
2023-09-01,8000974,8000028,3,4,150
2023-09-01,8000974,8000974,7,8,98
2023-09-01,8000974,8002605,1,1,30
2023-09-01,8000974,8004936,3,3,50
2023-09-01,8001149,8001149,66,75,862
2023-09-01,8001149,8001623,2,2,60
2023-09-01,8001149,8001640,21,21,1386
2023-09-01,8001149,8002542,15,19,174
2023-09-01,8001149,8002853,20,20,1028
2023-09-01,8001149,8005670,6,6,500
2023-09-01,8001149,8006634,6,6,2430
2023-09-01,8001289,8001289,51,62,147
2023-09-01,8001289,8002878,15,21,251
2023-09-01,8001289,8003476,20,24,58
2023-09-01,8001289,8003813,7,7,201
2023-09-01,8001289,8005670,4,4,180
2023-09-01,8001310,8001310,40,47,547
2023-09-01,8001310,8001680,22,23,543
2023-09-01,8001310,8002853,18,24,546
2023-09-01,8001348,8000028,13,21,57
2023-09-01,8001348,8000328,9,9,140
2023-09-01,8001348,8001348,33,39,85
2023-09-01,8001348,8004759,8,9,83
2023-09-01,8001623,8001623,49,59,884
2023-09-01,8001623,8005670,28,32,1391
2023-09-01,8001623,8006634,21,27,287
2023-09-01,8001636,8005391,0,8,0
2023-09-01,8001636,8005670,5,6,390
2023-09-01,8001640,8001149,12,20,162
2023-09-01,8001640,8001640,34,43,774
2023-09-01,8001640,8006634,19,23,1295
2023-09-01,8001680,8001310,17,24,549
2023-09-01,8001680,8001680,39,47,546
2023-09-01,8001680,8002024,21,23,573
2023-09-01,8001969,8001969,9,29,17
2023-09-01,8001969,8002924,9,15,38
2023-09-01,8001969,8010317,2,7,13
2023-09-01,8001969,8011790,5,7,34
2023-09-01,8002019,8002019,2,4,52
2023-09-01,8002019,8004126,1,2,15
2023-09-01,8002019,8005466,1,2,30
2023-09-01,8002020,8002020,20,21,1044
2023-09-01,8002020,8004881,10,11,409
2023-09-01,8002020,8005692,9,10,1719
2023-09-01,8002024,8001149,2,2,990
2023-09-01,8002024,8001680,18,24,562
2023-09-01,8002024,8002024,119,130,1132
2023-09-01,8002024,8002853,36,40,1912
2023-09-01,8002024,8003238,24,40,350
2023-09-01,8002340,8006300,3,21,104
2023-09-01,8002467,8002467,17,21,1029
2023-09-01,8002467,8004319,10,11,404
2023-09-01,8002467,8005737,7,10,1707
2023-09-01,8002523,8000201,1,1,30
2023-09-01,8002523,8002523,2,2,45
2023-09-01,8002523,8003063,1,1,30
2023-09-01,8002542,8001149,17,18,407
2023-09-01,8002542,8002542,34,37,296
2023-09-01,8002542,8002630,1,1,60
2023-09-01,8002542,8002853,7,7,180
2023-09-01,8002605,8000974,3,3,220
2023-09-01,8002605,8002605,7,8,161
2023-09-01,8002605,8004936,0,1,0
2023-09-01,8002605,8005895,4,4,128
2023-09-01,8002853,8001149,11,15,2520
2023-09-01,8002853,8001310,21,23,541
2023-09-01,8002853,8001640,2,2,630
2023-09-01,8002853,8002024,41,41,934
2023-09-01,8002853,8002542,8,8,712
2023-09-01,8002853,8002630,8,8,1725
2023-09-01,8002853,8002853,111,128,1078
2023-09-01,8002853,8005760,20,24,564
2023-09-01,8002878,8001289,11,17,106
2023-09-01,8002878,8002878,67,75,554
2023-09-01,8002878,8004011,18,18,320
2023-09-01,8002878,8004979,16,19,1494
2023-09-01,8002878,8005670,9,9,610
2023-09-01,8002924,8000247,6,8,52
2023-09-01,8002924,8000287,2,6,20
2023-09-01,8002924,8001969,2,14,11
2023-09-01,8002924,8004126,5,6,70
2023-09-01,8002924,8005466,11,14,28
2023-09-01,8002924,8010275,10,17,53
2023-09-01,8003044,8003044,31,40,314
2023-09-01,8003044,8005219,11,21,184
2023-09-01,8003044,8006300,16,19,442
2023-09-01,8003238,8000783,27,40,350
2023-09-01,8003238,8002024,32,40,609
2023-09-01,8003238,8003238,60,80,480
2023-09-01,8003270,8002924,1,1,30
2023-09-01,8003270,8003270,1,1,30
2023-09-01,8003472,8003472,47,49,852
2023-09-01,8003472,8004319,16,18,1582
2023-09-01,8003472,8004979,19,19,371
2023-09-01,8003472,8005670,6,6,650
2023-09-01,8003472,8005737,5,6,405
2023-09-01,8003476,8000267,10,13,88
2023-09-01,8003476,8001289,19,25,232
2023-09-01,8003476,8003476,52,62,147
2023-09-01,8003476,8003813,6,6,65
2023-09-01,8003476,8006017,18,18,152
2023-09-01,8003763,8000267,2,2,405
2023-09-01,8003763,8003763,2,3,270
2023-09-01,8003763,8006017,0,1,0
2023-09-01,8003813,8001289,5,6,45
2023-09-01,8003813,8003476,7,7,219
2023-09-01,8003813,8003813,13,13,155
2023-09-01,8003884,8003270,0,1,0
2023-09-01,8003884,8003884,1,1,30
2023-09-01,8003887,8000028,1,1,120
2023-09-01,8003887,8000267,10,16,38
2023-09-01,8003887,8003887,22,35,69
2023-09-01,8003887,8004126,3,5,66
2023-09-01,8003887,8005674,9,12,100
2023-09-01,8003887,8005895,1,1,60
2023-09-01,8004011,8002878,15,18,1023
2023-09-01,8004011,8004011,33,36,677
2023-09-01,8004011,8005670,17,17,383
2023-09-01,8004126,8000028,3,5,30
2023-09-01,8004126,8002019,0,1,0
2023-09-01,8004126,8002924,7,7,159
2023-09-01,8004126,8003887,7,8,86
2023-09-01,8004126,8004126,37,49,78
2023-09-01,8004126,8005466,12,15,88
2023-09-01,8004126,8005545,1,1,210
2023-09-01,8004126,8005674,9,10,45
2023-09-01,8004126,8005895,1,2,45
2023-09-01,8004319,8002467,9,10,1713
2023-09-01,8004319,8003472,19,19,374
2023-09-01,8004319,8004319,35,37,960
2023-09-01,8004319,8005737,2,2,5265
2023-09-01,8004533,8001619,19,23,209
2023-09-01,8004533,8004533,33,45,220
2023-09-01,8004759,8000028,12,13,83
2023-09-01,8004759,8000201,9,16,30
2023-09-01,8004759,8000328,3,11,41
2023-09-01,8004759,8001348,6,10,90
2023-09-01,8004759,8002794,10,13,69
2023-09-01,8004759,8004284,28,34,73
2023-09-01,8004759,8004759,61,96,59
2023-09-01,8004881,8002020,8,10,1728
2023-09-01,8004881,8004881,31,36,1123
2023-09-01,8004881,8005692,7,8,1646
2023-09-01,8004881,8005737,17,18,552
2023-09-01,8004936,8000974,0,1,0
2023-09-01,8004936,8002605,2,3,50
2023-09-01,8004936,8004936,3,4,30
2023-09-01,8004979,8002878,17,18,327
2023-09-01,8004979,8003472,17,19,1498
2023-09-01,8004979,8004979,35,38,934
2023-09-01,8004979,8005670,1,1,1410
2023-09-01,8005133,8003884,1,1,60
2023-09-01,8005133,8005133,1,1,60
2023-09-01,8005352,5400004,3,5,60
2023-09-01,8005352,8000247,4,5,114
2023-09-01,8005352,8005352,4,10,54
2023-09-01,8005391,8001636,5,5,372
2023-09-01,8005391,8005391,9,13,173
2023-09-01,8005391,8005670,3,4,292
2023-09-01,8005466,8000287,3,4,75
2023-09-01,8005466,8002019,1,2,30
2023-09-01,8005466,8002924,9,13,60
2023-09-01,8005466,8004126,15,17,37
2023-09-01,8005466,8005466,28,36,56
2023-09-01,8005545,8002019,1,1,240
2023-09-01,8005545,8005545,1,1,210
2023-09-01,8005670,8001149,14,14,776
2023-09-01,8005670,8001289,2,2,120
2023-09-01,8005670,8001623,21,27,289
2023-09-01,8005670,8001636,5,6,1855
2023-09-01,8005670,8002878,9,12,948
2023-09-01,8005670,8003472,5,5,462
2023-09-01,8005670,8004011,15,18,1028
2023-09-01,8005670,8005391,3,3,790
2023-09-01,8005670,8005670,95,106,702
2023-09-01,8005674,8003887,7,10,42
2023-09-01,8005674,8004126,9,12,102
2023-09-01,8005674,8005674,16,22,74
2023-09-01,8005692,8002020,11,11,420
2023-09-01,8005692,8004881,7,7,776
2023-09-01,8005692,8005692,34,36,1108
2023-09-01,8005692,8010288,17,17,1954
2023-09-01,8005737,8002467,10,11,404
2023-09-01,8005737,8003472,6,6,640
2023-09-01,8005737,8004319,1,1,1350
2023-09-01,8005737,8004881,14,18,1680
2023-09-01,8005737,8005737,31,36,1108
2023-09-01,8005760,8002853,22,23,517
2023-09-01,8005760,8005670,0,1,0
2023-09-01,8005760,8005760,39,47,539
2023-09-01,8005895,8000028,13,16,75
2023-09-01,8005895,8000267,14,15,72
2023-09-01,8005895,8002605,3,4,262
2023-09-01,8005895,8003887,1,1,210
2023-09-01,8005895,8005895,32,36,109
2023-09-01,8006017,8000267,16,16,109
2023-09-01,8006017,8003476,11,14,64
2023-09-01,8006017,8003763,2,2,405
2023-09-01,8006017,8006017,31,32,126
2023-09-01,8006300,8002340,15,19,445
