date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-05-01,8000027,8000027,13,17,76
2023-05-01,8000027,8000566,13,18,100
2023-05-01,8000027,8001054,1,1,360
2023-05-01,8000027,8002075,1,1,30
2023-05-01,8000027,8003922,8,8,124
2023-05-01,8000204,8000204,12,26,54
2023-05-01,8000204,8000540,4,13,42
2023-05-01,8000204,8006266,6,17,34
2023-05-01,8000269,8000269,66,71,244
2023-05-01,8000269,8001929,34,34,325
2023-05-01,8000269,8005800,15,19,188
2023-05-01,8000269,8006085,18,18,293
2023-05-01,8000540,8000204,3,14,15
2023-05-01,8000540,8000540,5,27,19
2023-05-01,8000540,8004332,4,13,30
2023-05-01,8000566,8000027,14,15,72
2023-05-01,8000566,8000566,29,36,168
2023-05-01,8000566,8002075,1,2,75
2023-05-01,8000566,8003086,1,1,2610
2023-05-01,8000566,8005800,17,18,137
2023-05-01,8000606,8000606,2,2,195
2023-05-01,8000606,8006264,1,1,30
2023-05-01,8000822,8000822,2,2,120
2023-05-01,8000822,8001400,1,1,180
2023-05-01,8000822,8004305,1,1,60
2023-05-01,8000882,8000882,15,21,84
2023-05-01,8000882,8001679,4,6,65
2023-05-01,8000882,8003921,1,1,210
2023-05-01,8000882,8004755,9,10,99
2023-05-01,8000882,8005966,1,2,30
2023-05-01,8001054,8000027,0,1,-30
2023-05-01,8001054,8001054,2,2,225
2023-05-01,8001054,8004250,1,1,390
2023-05-01,8001298,8001298,5,5,192
2023-05-01,8001298,8004592,1,1,60
2023-05-01,8001330,8001330,2,2,270
2023-05-01,8001330,8003413,1,1,360
2023-05-01,8001330,8004849,1,1,150
2023-05-01,8001400,8001400,1,1,180
2023-05-01,8001400,8004305,1,1,150
2023-05-01,8001430,8001430,1,1,210
2023-05-01,8001430,8003485,1,1,210
2023-05-01,8001679,8000688,14,18,85
2023-05-01,8001679,8000882,3,7,81
2023-05-01,8001679,8001679,32,57,82
2023-05-01,8001679,8001835,6,10,138
2023-05-01,8001679,8002506,4,21,47
2023-05-01,8001679,8005966,1,1,120
2023-05-01,8001925,8001925,1,1,210
2023-05-01,8001925,8005966,1,1,210
2023-05-01,8001929,8000269,35,37,221
2023-05-01,8001929,8001929,69,71,266
2023-05-01,8001929,8002612,34,34,314
2023-05-01,8002075,8000027,2,2,120
2023-05-01,8002075,8000566,1,1,120
2023-05-01,8002075,8002075,3,3,100
2023-05-01,8002076,8002076,20,35,138
2023-05-01,8002076,8005139,0,1,0
2023-05-01,8002076,8005855,2,2,1230
2023-05-01,8002076,8006085,4,17,35
2023-05-01,8002076,8006266,12,15,120
2023-05-01,8002506,8001679,16,21,136
2023-05-01,8002506,8002506,23,42,85
2023-05-01,8002506,8003357,9,21,63
2023-05-01,8003063,8003063,0,2,0
2023-05-01,8003063,8004321,0,2,0
2023-05-01,8003086,8000027,1,1,2610
2023-05-01,8003086,8003086,1,1,2670
2023-05-01,8003357,8002506,13,21,107
2023-05-01,8003357,8003357,24,42,88
2023-05-01,8003357,8004592,15,21,73
2023-05-01,8003413,8001330,1,1,150
2023-05-01,8003413,8003413,2,2,195
2023-05-01,8003413,8006264,1,1,360
2023-05-01,8003485,8000882,1,1,240
2023-05-01,8003485,8003485,1,1,210
2023-05-01,8003921,8003921,1,1,180
2023-05-01,8003921,8004755,1,1,150
2023-05-01,8003922,8000027,7,7,133
2023-05-01,8003922,8003922,13,15,150
2023-05-01,8003922,8004987,8,8,188
2023-05-01,8004250,8001054,1,1,90
2023-05-01,8004250,8004250,2,2,255
2023-05-01,8004250,8005121,1,1,390
2023-05-01,8004305,8004305,16,21,93
2023-05-01,8004305,8004755,7,10,63
2023-05-01,8004305,8004847,30,39,50
2023-05-01,8004321,8004321,0,2,0
2023-05-01,8004321,8006155,0,2,0
2023-05-01,8004332,8000540,1,14,4
2023-05-01,8004592,8001298,4,4,240
2023-05-01,8004592,8003357,15,21,126
2023-05-01,8004592,8004592,30,42,103
2023-05-01,8004755,8000882,8,10,66
2023-05-01,8004755,8004305,7,9,113
2023-05-01,8004755,8004755,15,21,83
2023-05-01,8004755,8005543,2,2,120
2023-05-01,8004849,8001330,1,1,390
2023-05-01,8004849,8004849,2,2,285
2023-05-01,8004849,8005121,1,1,120
2023-05-01,8004983,8000882,0,1,0
2023-05-01,8004983,8001925,1,1,210
2023-05-01,8004983,8004983,2,3,80
2023-05-01,8004987,8003922,6,7,124
2023-05-01,8004987,8004987,12,15,162
2023-05-01,8005121,8004250,1,1,120
2023-05-01,8005121,8004849,1,1,420
2023-05-01,8005121,8005121,2,2,255
2023-05-01,8005139,8002076,0,1,0
2023-05-01,8005139,8005139,0,2,0
2023-05-01,8005139,8006266,0,1,0
2023-05-01,8005543,8000822,2,2,120
2023-05-01,8005543,8005543,2,2,120
2023-05-01,8005800,8000269,16,18,135
2023-05-01,8005800,8000566,16,19,194
2023-05-01,8005800,8005800,31,37,170
2023-05-01,8005855,8002076,2,2,105
2023-05-01,8005855,8005855,4,4,668
2023-05-01,8005855,8006266,2,2,1290
2023-05-01,8005966,8000882,1,1,180
2023-05-01,8005966,8001430,1,1,210
2023-05-01,8005966,8001679,1,1,60
2023-05-01,8005966,8004983,1,1,30
2023-05-01,8005966,8005966,3,4,120
2023-05-01,8006085,8000269,16,17,206
2023-05-01,8006085,8002076,13,18,237
2023-05-01,8006085,8006085,31,35,183
2023-05-01,8006155,8000247,1,2,120
2023-05-01,8006155,8006155,1,2,60
2023-05-01,8006264,8000606,1,1,360
2023-05-01,8006264,8003413,0,1,0
2023-05-01,8006264,8006264,1,2,180
2023-05-01,8006266,8000204,15,18,263
2023-05-01,8006266,8002076,4,14,21
2023-05-01,8006266,8005139,0,1,0
2023-05-01,8006266,8005855,2,2,120
2023-05-01,8006266,8006266,21,35,141
2023-05-02,8000027,8000027,23,31,225
2023-05-02,8000027,8000566,16,23,100
2023-05-02,8000027,8001054,1,2,120
2023-05-02,8000027,8002075,0,1,0
2023-05-02,8000027,8003922,12,14,343
2023-05-02,8000204,8000204,16,31,233
2023-05-02,8000204,8000540,6,15,384
2023-05-02,8000204,8006266,3,19,22
2023-05-02,8000269,8000269,76,83,327
2023-05-02,8000269,8001929,38,38,384
2023-05-02,8000269,8002793,2,2,135
2023-05-02,8000269,8005800,15,24,305
2023-05-02,8000269,8006085,19,19,447
2023-05-02,8000540,8000204,2,18,7
2023-05-02,8000540,8000540,7,33,177
2023-05-02,8000540,8004332,8,15,384
2023-05-02,8000566,8000027,15,20,358
2023-05-02,8000566,8000566,33,45,221
2023-05-02,8000566,8002075,2,2,210
2023-05-02,8000566,8003086,1,2,30
2023-05-02,8000566,8005800,19,20,165
2023-05-02,8000566,8005801,0,2,0
2023-05-02,8000606,8000606,2,3,220
2023-05-02,8000606,8003413,1,1,30
2023-05-02,8000606,8006264,1,1,90
2023-05-02,8000822,8000822,4,4,105
2023-05-02,8000822,8001400,2,2,30
2023-05-02,8000822,8004305,1,1,180
2023-05-02,8000822,8004755,1,1,210
2023-05-02,8000882,8000882,20,23,339
2023-05-02,8000882,8001679,6,6,230
2023-05-02,8000882,8003485,1,1,210
2023-05-02,8000882,8003921,1,2,15
2023-05-02,8000882,8004755,9,9,377
2023-05-02,8000882,8005966,2,3,780
2023-05-02,8001054,8000027,1,2,0
2023-05-02,8001054,8001054,3,4,120
2023-05-02,8001054,8004250,1,1,360
2023-05-02,8001054,8005121,1,1,30
2023-05-02,8001298,8001298,5,11,41
2023-05-02,8001298,8004592,2,3,90
2023-05-02,8001330,8001330,3,4,202
2023-05-02,8001330,8003413,1,1,600
2023-05-02,8001330,8004849,2,2,150
2023-05-02,8001400,8001400,2,2,30
2023-05-02,8001400,8004305,2,2,30
2023-05-02,8001430,8001430,0,2,0
2023-05-02,8001430,8003485,0,2,0
2023-05-02,8001679,8000688,18,21,214
2023-05-02,8001679,8000882,7,7,261
2023-05-02,8001679,8001679,41,63,128
2023-05-02,8001679,8001835,8,10,105
2023-05-02,8001679,8002506,7,23,35
2023-05-02,8001679,8005966,1,1,30
2023-05-02,8001925,8001925,2,3,120
2023-05-02,8001925,8004983,1,1,330
2023-05-02,8001925,8005966,1,2,45
2023-05-02,8001929,8000269,36,41,387
2023-05-02,8001929,8001929,73,79,380
2023-05-02,8001929,8002612,35,38,358
2023-05-02,8002075,8000027,2,2,195
2023-05-02,8002075,8000566,0,1,0
2023-05-02,8002075,8002075,2,3,130
2023-05-02,8002076,8002076,21,38,252
2023-05-02,8002076,8005139,1,2,30
2023-05-02,8002076,8005855,2,3,610
2023-05-02,8002076,8006085,5,18,40
2023-05-02,8002076,8006266,15,15,472
2023-05-02,8002506,8001679,20,22,143
2023-05-02,8002506,8002506,29,45,75
2023-05-02,8002506,8003357,9,23,38
2023-05-02,8003063,8002523,1,1,90
2023-05-02,8003063,8003063,2,3,50
2023-05-02,8003063,8004321,1,2,15
2023-05-02,8003086,8000027,1,2,15
2023-05-02,8003086,8003086,1,2,30
2023-05-02,8003357,8002506,16,22,102
2023-05-02,8003357,8003357,28,45,77
2023-05-02,8003357,8004592,14,23,63
2023-05-02,8003413,8001330,2,2,75
2023-05-02,8003413,8003413,3,3,250
2023-05-02,8003413,8006264,1,1,600
2023-05-02,8003485,8000882,1,3,40
2023-05-02,8003485,8003485,2,4,82
2023-05-02,8003485,8005966,1,1,270
2023-05-02,8003921,8003921,0,2,0
2023-05-02,8003921,8004755,1,2,15
2023-05-02,8003922,8000027,13,13,166
2023-05-02,8003922,8003922,26,27,290
2023-05-02,8003922,8004987,13,14,375
2023-05-02,8004250,8001054,2,2,90
2023-05-02,8004250,8004250,3,3,190
2023-05-02,8004250,8005121,1,1,450
2023-05-02,8004305,8000822,1,1,210
2023-05-02,8004305,8004305,19,23,382
2023-05-02,8004305,8004755,9,11,363
2023-05-02,8004305,8004847,41,47,130
2023-05-02,8004321,8003063,1,1,120
2023-05-02,8004321,8004321,1,3,40
2023-05-02,8004321,8006155,0,2,0
2023-05-02,8004332,8000540,2,18,8
2023-05-02,8004592,8001298,3,8,26
2023-05-02,8004592,8003357,19,22,124
2023-05-02,8004592,8004592,34,45,102
2023-05-02,8004755,8000822,1,1,120
2023-05-02,8004755,8000882,10,12,392
2023-05-02,8004755,8004305,8,8,461
2023-05-02,8004755,8004755,20,23,361
2023-05-02,8004755,8005543,0,2,0
2023-05-02,8004849,8001330,2,2,315
2023-05-02,8004849,8004849,4,4,232
2023-05-02,8004849,8005121,2,2,150
2023-05-02,8004983,8001925,1,2,15
2023-05-02,8004983,8004983,3,5,90
2023-05-02,8004983,8005966,1,1,90
2023-05-02,8004987,8003922,13,13,148
2023-05-02,8004987,8004987,24,27,241
2023-05-02,8005121,8004250,2,2,120
2023-05-02,8005121,8004849,2,2,315
2023-05-02,8005121,8005121,4,4,225
2023-05-02,8005139,8002076,1,1,60
2023-05-02,8005139,8005139,1,5,12
2023-05-02,8005139,8005855,0,1,0
2023-05-02,8005139,8006266,1,3,20
2023-05-02,8005543,8000822,2,2,30
2023-05-02,8005543,8005543,2,2,30
2023-05-02,8005800,8000269,20,22,158
2023-05-02,8005800,8000566,15,21,341
2023-05-02,8005800,8005800,34,46,239
2023-05-02,8005800,8005801,2,3,60
2023-05-02,8005855,8002076,0,3,0
2023-05-02,8005855,8005139,0,1,0
2023-05-02,8005855,8005855,2,6,310
2023-05-02,8005855,8006266,2,2,930
2023-05-02,8005966,8000882,1,1,30
2023-05-02,8005966,8001430,1,2,15
2023-05-02,8005966,8001679,1,2,1065
2023-05-02,8005966,8001925,1,1,360
2023-05-02,8005966,8003485,1,1,120
2023-05-02,8005966,8004983,0,1,0
2023-05-02,8005966,8005966,6,8,368
2023-05-02,8006085,8000269,17,18,253
2023-05-02,8006085,8002076,18,20,446
2023-05-02,8006085,8006085,33,37,307
2023-05-02,8006155,8000247,0,2,0
2023-05-02,8006155,8004321,1,1,90
2023-05-02,8006155,8006155,1,3,20
2023-05-02,8006264,8000606,1,1,570
2023-05-02,8006264,8003413,1,1,60
2023-05-02,8006264,8006264,2,2,315
2023-05-02,8006266,8000204,19,20,462
2023-05-02,8006266,8002076,2,15,34
2023-05-02,8006266,8005139,0,2,0
2023-05-02,8006266,8005855,0,2,0
2023-05-02,8006266,8006266,20,39,246
2023-05-03,8000027,8000027,25,31,126
2023-05-03,8000027,8000566,15,23,116
2023-05-03,8000027,8001054,2,2,165
2023-05-03,8000027,8002075,0,1,-30
2023-05-03,8000027,8003922,13,14,122
2023-05-03,8000204,8000204,13,31,36
2023-05-03,8000204,8000540,5,15,34
2023-05-03,8000204,8006266,14,19,32
2023-05-03,8000269,8000269,74,83,173
2023-05-03,8000269,8001929,38,38,277
2023-05-03,8000269,8002793,2,2,210
2023-05-03,8000269,8005800,15,24,68
2023-05-03,8000269,8006085,19,19,150
2023-05-03,8000540,8000204,2,18,7
2023-05-03,8000540,8000540,7,33,17
2023-05-03,8000540,8004332,4,15,22
2023-05-03,8000566,8000027,17,20,82
2023-05-03,8000566,8000566,37,45,114
2023-05-03,8000566,8002075,2,2,180
2023-05-03,8000566,8003086,2,2,255
2023-05-03,8000566,8005800,18,20,189
2023-05-03,8000566,8005801,2,2,75
2023-05-03,8000606,8000606,3,3,430
2023-05-03,8000606,8003413,1,1,660
2023-05-03,8000606,8006264,1,1,30
2023-05-03,8000822,8000822,4,4,255
2023-05-03,8000822,8001400,2,2,375
2023-05-03,8000822,8004305,1,1,30
2023-05-03,8000822,8004755,1,1,300
2023-05-03,8000882,8000882,19,23,163
2023-05-03,8000882,8001679,6,6,235
2023-05-03,8000882,8003485,1,1,30
2023-05-03,8000882,8003921,2,2,345
2023-05-03,8000882,8004755,6,9,120
2023-05-03,8000882,8005966,1,3,10
2023-05-03,8001054,8000027,2,2,510
2023-05-03,8001054,8001054,4,4,382
2023-05-03,8001054,8004250,1,1,360
2023-05-03,8001054,8005121,1,1,120
2023-05-03,8001298,8001298,8,11,177
2023-05-03,8001298,8004592,3,3,210
2023-05-03,8001330,8001330,4,4,412
2023-05-03,8001330,8003413,1,1,540
2023-05-03,8001330,8004849,2,2,630
2023-05-03,8001400,8001400,2,2,375
2023-05-03,8001400,8004305,2,2,360
2023-05-03,8001430,8001430,2,2,330
2023-05-03,8001430,8003485,2,2,345
2023-05-03,8001679,8000688,20,21,166
2023-05-03,8001679,8000882,5,7,81
2023-05-03,8001679,8001679,47,63,133
2023-05-03,8001679,8001835,7,10,180
2023-05-03,8001679,8002506,11,23,98
2023-05-03,8001679,8005966,1,1,240
2023-05-03,8001925,8001925,3,3,280
2023-05-03,8001925,8004983,1,1,180
2023-05-03,8001925,8005966,2,2,345
2023-05-03,8001929,8000269,33,41,110
2023-05-03,8001929,8001929,70,79,189
2023-05-03,8001929,8002612,36,38,276
2023-05-03,8002075,8000027,2,2,180
2023-05-03,8002075,8000566,0,1,0
2023-05-03,8002075,8002075,2,3,110
2023-05-03,8002076,8002076,26,38,77
2023-05-03,8002076,8005139,2,2,60
2023-05-03,8002076,8005855,3,3,140
2023-05-03,8002076,8006085,2,18,27
2023-05-03,8002076,8006266,14,15,126
2023-05-03,8002506,8001679,21,22,155
2023-05-03,8002506,8002506,31,45,113
2023-05-03,8002506,8003357,12,23,100
2023-05-03,8003063,8002523,0,1,0
2023-05-03,8003063,8003063,2,3,20
2023-05-03,8003063,8004321,1,2,15
2023-05-03,8003086,8000027,2,2,330
2023-05-03,8003086,8003086,2,2,315
2023-05-03,8003357,8002506,17,22,115
2023-05-03,8003357,8003357,30,45,108
2023-05-03,8003357,8004592,16,23,108
2023-05-03,8003413,8001330,2,2,375
2023-05-03,8003413,8003413,3,3,450
2023-05-03,8003413,8006264,1,1,660
2023-05-03,8003485,8000882,2,3,230
2023-05-03,8003485,8003485,3,4,180
2023-05-03,8003485,8005966,1,1,90
2023-05-03,8003921,8003921,2,2,330
2023-05-03,8003921,8004755,2,2,315
2023-05-03,8003922,8000027,13,13,150
2023-05-03,8003922,8003922,27,27,166
2023-05-03,8003922,8004987,14,14,171
2023-05-03,8004250,8001054,2,2,585
2023-05-03,8004250,8004250,3,3,500
2023-05-03,8004250,8005121,1,1,390
2023-05-03,8004305,8000822,1,1,270
2023-05-03,8004305,8004305,16,23,192
2023-05-03,8004305,8004755,8,11,150
2023-05-03,8004305,8004847,39,47,73
2023-05-03,8004321,8003063,1,1,30
2023-05-03,8004321,8004321,1,3,10
2023-05-03,8004321,8006155,0,2,0
2023-05-03,8004332,8000540,2,18,8
2023-05-03,8004592,8001298,5,8,105
2023-05-03,8004592,8003357,18,22,134
2023-05-03,8004592,8004592,35,45,131
2023-05-03,8004755,8000822,0,1,0
2023-05-03,8004755,8000882,9,12,190
2023-05-03,8004755,8004305,6,8,176
2023-05-03,8004755,8004755,17,23,171
2023-05-03,8004755,8005543,2,2,330
2023-05-03,8004849,8001330,2,2,360
2023-05-03,8004849,8004849,4,4,502
2023-05-03,8004849,8005121,2,2,630
2023-05-03,8004983,8001925,2,2,315
2023-05-03,8004983,8004983,3,5,156
2023-05-03,8004983,8005966,1,1,30
2023-05-03,8004987,8003922,13,13,111
2023-05-03,8004987,8004987,22,27,122
2023-05-03,8005121,8004250,2,2,600
2023-05-03,8005121,8004849,2,2,375
2023-05-03,8005121,8005121,4,4,488
2023-05-03,8005139,8002076,1,1,60
2023-05-03,8005139,8005139,2,5,18
2023-05-03,8005139,8005855,0,1,0
2023-05-03,8005139,8006266,1,3,30
2023-05-03,8005543,8000822,2,2,345
2023-05-03,8005543,8005543,2,2,345
2023-05-03,8005800,8000269,21,22,196
2023-05-03,8005800,8000566,15,21,77
2023-05-03,8005800,8005800,36,46,125
2023-05-03,8005800,8005801,3,3,40
2023-05-03,8005855,8002076,1,3,10
2023-05-03,8005855,8005139,0,1,0
2023-05-03,8005855,8005855,1,6,60
2023-05-03,8005855,8006266,1,2,180
2023-05-03,8005966,8000882,1,1,240
2023-05-03,8005966,8001430,2,2,330
2023-05-03,8005966,8001679,2,2,60
2023-05-03,8005966,8001925,1,1,180
2023-05-03,8005966,8003485,0,1,0
2023-05-03,8005966,8004983,0,1,0
2023-05-03,8005966,8005966,6,8,146
2023-05-03,8006085,8000269,17,18,197
2023-05-03,8006085,8002076,16,20,112
2023-05-03,8006085,8006085,31,37,112
2023-05-03,8006155,8000247,0,2,0
2023-05-03,8006155,8004321,1,1,60
2023-05-03,8006155,8006155,1,3,20
2023-05-03,8006264,8000606,1,1,660
2023-05-03,8006264,8003413,0,1,0
2023-05-03,8006264,8006264,1,2,330
2023-05-03,8006266,8000204,19,20,105
2023-05-03,8006266,8002076,5,15,26
2023-05-03,8006266,8005139,0,2,0
2023-05-03,8006266,8005855,1,2,15
2023-05-03,8006266,8006266,34,39,75
2023-05-04,8000027,8000027,28,31,191
2023-05-04,8000027,8000566,17,23,117
2023-05-04,8000027,8001054,1,2,75
2023-05-04,8000027,8002075,1,1,90
2023-05-04,8000027,8003922,12,14,152
2023-05-04,8000204,8000204,16,31,257
2023-05-04,8000204,8000540,10,15,438
2023-05-04,8000204,8006266,5,19,126
