date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8000007,8000007,44,62,46
2023-04-01,8000007,8000468,21,36,71
2023-04-01,8000007,8000558,11,16,66
2023-04-01,8000007,8000602,11,16,32
2023-04-01,8000007,8001813,1,1,300
2023-04-01,8000007,8007474,14,16,51
2023-04-01,8000121,8000021,14,18,255
2023-04-01,8000121,8000121,45,69,144
2023-04-01,8000121,8000976,12,15,90
2023-04-01,8000121,8003075,2,3,310
2023-04-01,8000121,8004614,11,18,118
2023-04-01,8000121,8006312,13,15,96
2023-04-01,8000137,8000137,15,33,50
2023-04-01,8000137,8002444,6,16,21
2023-04-01,8000137,8003285,12,22,50
2023-04-01,8000137,8070096,13,15,74
2023-04-01,8000216,8000216,56,94,72
2023-04-01,8000216,8001663,1,1,120
2023-04-01,8000216,8002875,1,1,60
2023-04-01,8000216,8003080,10,18,52
2023-04-01,8000216,8003172,1,1,30
2023-04-01,8000216,8003349,17,33,60
2023-04-01,8000216,8003507,5,15,20
2023-04-01,8000216,8003508,1,1,960
2023-04-01,8000216,8006468,14,29,60
2023-04-01,8000254,8000254,125,194,62
2023-04-01,8000254,8003125,3,3,100
2023-04-01,8000254,8003172,10,18,100
2023-04-01,8000254,8003186,0,2,0
2023-04-01,8000254,8006531,6,20,22
2023-04-01,8000254,8006536,6,16,41
2023-04-01,8000254,8079143,18,40,37
2023-04-01,8000254,8084067,42,74,68
2023-04-01,8000257,8000257,70,99,188
2023-04-01,8000257,8000332,11,14,101
2023-04-01,8000257,8000333,1,1,2100
2023-04-01,8000257,8001032,21,34,114
2023-04-01,8000257,8002872,9,12,138
2023-04-01,8000257,8002934,18,33,80
2023-04-01,8000257,8004714,20,37,59
2023-04-01,8000257,8004788,12,20,33
2023-04-01,8000257,8100002,1,1,750
2023-04-01,8000326,8000326,113,155,146
2023-04-01,8000326,8000332,5,7,73
2023-04-01,8000326,8001057,32,40,189
2023-04-01,8000326,8003687,40,72,104
2023-04-01,8000326,8003759,1,1,2550
2023-04-01,8000326,8005345,25,35,162
2023-04-01,8000326,8005628,4,7,60
2023-04-01,8000327,8000327,26,32,56
2023-04-01,8000327,8000340,14,16,56
2023-04-01,8000327,8007474,12,16,54
2023-04-01,8000332,8000257,8,14,94
2023-04-01,8000332,8000326,6,7,64
2023-04-01,8000332,8000332,72,104,108
2023-04-01,8000332,8001032,27,38,132
2023-04-01,8000332,8002025,25,54,77
2023-04-01,8000332,8003759,4,7,60
2023-04-01,8000332,8003766,0,2,0
2023-04-01,8000340,8000327,13,16,66
2023-04-01,8000340,8000340,27,32,69
2023-04-01,8000340,8000652,10,16,88
2023-04-01,8000359,8000359,46,74,84
2023-04-01,8000359,8003819,17,37,71
2023-04-01,8000359,8004193,21,37,79
2023-04-01,8000372,8000372,30,37,150
2023-04-01,8000372,8002175,0,1,0
2023-04-01,8000372,8002875,2,2,225
2023-04-01,8000372,8087062,17,19,223
2023-04-01,8000374,8000374,29,47,49
2023-04-01,8000374,8001860,21,32,30
2023-04-01,8000374,8002798,11,24,61
2023-04-01,8000374,8006292,14,20,50
2023-04-01,8000375,8000375,65,78,226
2023-04-01,8000375,8000975,16,21,140
2023-04-01,8000375,8003075,31,39,271
2023-04-01,8000375,8004614,16,18,257
2023-04-01,8000376,8000376,13,22,38
2023-04-01,8000376,8002239,8,42,53
2023-04-01,8000376,8003702,12,35,24
2023-04-01,8000376,8004813,4,7,34
2023-04-01,8000376,8005628,5,7,47
2023-04-01,8000466,8000466,24,31,73
2023-04-01,8000466,8000582,14,15,96
2023-04-01,8000466,8005551,12,16,84
2023-04-01,8000468,8000007,22,37,58
2023-04-01,8000468,8000468,39,73,68
2023-04-01,8000468,8000602,14,36,62
2023-04-01,8000491,8000491,20,32,124
2023-04-01,8000491,8004929,15,17,219
2023-04-01,8000491,8005857,10,15,50
2023-04-01,8000505,8000505,20,37,71
2023-04-01,8000505,8002879,11,19,156
2023-04-01,8000505,8005111,13,18,42
