date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-02-01,8000075,8000075,87,111,145
2023-02-01,8000075,8000840,24,38,133
2023-02-01,8000075,8003992,14,18,118
2023-02-01,8000075,8005247,40,56,148
2023-02-01,8000075,8005562,3,19,19
2023-02-01,8000154,8000154,39,70,71
2023-02-01,8000154,8004253,15,18,57
2023-02-01,8000154,8005659,11,17,185
2023-02-01,8000154,8006170,17,26,32
2023-02-01,8000154,8079083,12,17,44
2023-02-01,8000175,8000175,80,113,134
2023-02-01,8000175,8001110,28,39,120
2023-02-01,8000175,8001302,1,1,180
2023-02-01,8000175,8003796,26,37,99
2023-02-01,8000175,8005247,17,18,103
2023-02-01,8000175,8005649,13,14,281
2023-02-01,8000272,8000272,128,166,85
2023-02-01,8000272,8000875,8,18,30
2023-02-01,8000272,8003516,14,41,28
2023-02-01,8000272,8004312,13,42,54
2023-02-01,8000272,8005346,21,27,74
2023-02-01,8000272,8006392,28,37,103
2023-02-01,8000319,8000319,66,82,116
2023-02-01,8000319,8002625,17,19,103
2023-02-01,8000319,8003294,17,22,123
2023-02-01,8000319,8005649,27,41,112
2023-02-01,8000357,8000357,32,36,171
2023-02-01,8000357,8000371,18,19,193
2023-02-01,8000357,8001027,15,17,168
2023-02-01,8000371,8000357,15,17,171
2023-02-01,8000371,8000371,33,36,175
2023-02-01,8000371,8006680,18,19,207
2023-02-01,8000378,8000378,46,54,100
2023-02-01,8000378,8002238,22,22,115
2023-02-01,8000378,8003980,0,5,0
2023-02-01,8000378,8005346,23,27,111
2023-02-01,8000563,8000563,26,42,63
2023-02-01,8000563,8001221,16,21,66
2023-02-01,8000563,8007868,15,21,103
2023-02-01,8000792,8000792,25,45,27
2023-02-01,8000792,8002929,4,20,9
2023-02-01,8000792,8005659,9,25,18
2023-02-01,8000840,8000075,30,38,166
2023-02-01,8000840,8000840,47,76,145
2023-02-01,8000840,8002083,19,37,134
2023-02-01,8000840,8003992,0,1,-30
2023-02-01,8000875,8000272,19,20,216
2023-02-01,8000875,8000875,84,115,87
2023-02-01,8000875,8004392,16,37,71
2023-02-01,8000875,8005659,13,18,40
2023-02-01,8000875,8006392,23,40,52
2023-02-01,8000923,8000923,31,36,113
2023-02-01,8000923,8004236,15,18,77
2023-02-01,8000923,8004771,16,18,150
2023-02-01,8000926,8000926,24,43,128
2023-02-01,8000926,8003991,13,21,104
2023-02-01,8000926,8004004,14,22,162
2023-02-01,8000941,8000941,72,82,81
2023-02-01,8000941,8004312,30,40,47
2023-02-01,8000967,8000967,62,76,71
2023-02-01,8000967,8002132,36,39,101
2023-02-01,8000967,8003516,24,37,75
2023-02-01,8001027,8000357,17,19,171
2023-02-01,8001027,8001027,32,36,170
2023-02-01,8001027,8006581,15,17,168
2023-02-01,8001110,8000175,21,39,152
2023-02-01,8001110,8001110,48,78,132
2023-02-01,8001110,8001799,21,38,109
2023-02-01,8001110,8005247,0,1,0
2023-02-01,8001221,8000563,15,21,86
2023-02-01,8001221,8001221,31,42,81
2023-02-01,8001221,8001812,11,21,60
2023-02-01,8001302,8001302,49,76,102
2023-02-01,8001302,8003796,26,38,103
2023-02-01,8001302,8005243,21,38,104
2023-02-01,8001470,8001470,27,42,81
2023-02-01,8001470,8001812,15,21,113
2023-02-01,8001470,8006627,13,21,61
2023-02-01,8001570,8001570,55,77,51
2023-02-01,8001570,8003108,12,39,24
2023-02-01,8001570,8005796,31,37,75
2023-02-01,8001799,8001110,18,38,75
2023-02-01,8001799,8001799,47,76,96
2023-02-01,8001799,8005247,28,38,124
2023-02-01,8001812,8001221,11,21,79
2023-02-01,8001812,8001470,8,21,46
2023-02-01,8001812,8001812,25,42,72
2023-02-01,8001990,8001990,37,52,66
2023-02-01,8001990,8004909,16,26,62
2023-02-01,8002083,8000840,22,37,90
2023-02-01,8002083,8002083,46,74,115
2023-02-01,8002083,8003992,19,37,134
2023-02-01,8002117,8002117,45,76,51
2023-02-01,8002117,8002132,31,37,84
2023-02-01,8002117,8005797,13,39,25
2023-02-01,8002132,8000967,24,37,70
2023-02-01,8002132,8002117,24,39,47
2023-02-01,8002132,8002132,63,76,77
2023-02-01,8002238,8000378,20,22,98
2023-02-01,8002238,8002238,72,86,96
2023-02-01,8002238,8003059,33,43,106
2023-02-01,8002238,8003980,18,21,81
2023-02-01,8002625,8000319,16,17,161
2023-02-01,8002625,8002625,33,36,143
2023-02-01,8002625,8006581,17,19,118
2023-02-01,8002746,8002746,32,38,32
2023-02-01,8002746,8004344,19,19,47
2023-02-01,8002746,8005562,14,19,44
2023-02-01,8002929,8000792,20,25,54
2023-02-01,8002929,8002929,24,45,35
2023-02-01,8002929,8004199,12,20,20
2023-02-01,8003059,8002238,26,43,78
2023-02-01,8003059,8003059,35,42,99
2023-02-01,8003059,8006627,14,21,107
2023-02-01,8003108,8001570,23,37,51
2023-02-01,8003108,8003108,68,76,64
2023-02-01,8003294,8000319,18,24,91
2023-02-01,8003294,8003294,60,77,96
2023-02-01,8003294,8003684,29,38,98
2023-02-01,8003294,8005649,14,15,128
2023-02-01,8003516,8000272,32,37,84
2023-02-01,8003516,8000967,19,39,47
2023-02-01,8003516,8003516,42,78,51
2023-02-01,8003516,8005796,1,2,30
2023-02-01,8003684,8001200,15,17,81
2023-02-01,8003684,8003294,27,39,89
2023-02-01,8003684,8003684,52,77,88
2023-02-01,8003796,8000175,23,38,100
2023-02-01,8003796,8001302,21,37,93
2023-02-01,8003796,8003796,51,75,98
2023-02-01,8003980,8000378,3,5,54
2023-02-01,8003980,8002238,15,21,109
2023-02-01,8003980,8003980,37,52,70
2023-02-01,8003980,8004909,18,26,63
2023-02-01,8003991,8000926,9,22,151
2023-02-01,8003991,8003991,25,43,135
2023-02-01,8003991,8003992,13,21,100
2023-02-01,8003992,8000075,17,17,219
2023-02-01,8003992,8000840,1,1,2430
2023-02-01,8003992,8002083,23,37,85
2023-02-01,8003992,8003991,11,22,165
2023-02-01,8003992,8003992,55,78,182
2023-02-01,8003992,8004004,16,18,140
2023-02-01,8004004,8000926,6,21,83
2023-02-01,8004004,8003992,18,18,335
2023-02-01,8004004,8004004,49,79,163
2023-02-01,8004004,8005245,15,18,105
2023-02-01,8004004,8005246,10,22,146
2023-02-01,8004199,8002929,20,25,36
2023-02-01,8004199,8004199,27,45,32
2023-02-01,8004199,8006170,14,20,38
2023-02-01,8004236,8000923,16,18,140
2023-02-01,8004236,8004236,27,36,100
2023-02-01,8004236,8004748,10,18,45
2023-02-01,8004253,8000154,11,18,192
2023-02-01,8004253,8002995,2,3,20
2023-02-01,8004253,8003040,7,18,23
2023-02-01,8004253,8004253,21,37,107
2023-02-01,8004253,8079083,11,18,20
2023-02-01,8004312,8000272,37,40,71
2023-02-01,8004312,8000941,38,42,99
2023-02-01,8004312,8004312,74,82,68
2023-02-01,8004344,8002746,0,19,0
2023-02-01,8004392,8000875,31,41,60
2023-02-01,8004392,8004392,66,78,80
2023-02-01,8004392,8004555,29,37,91
2023-02-01,8004555,8004392,39,40,74
2023-02-01,8004555,8004555,55,77,69
2023-02-01,8004555,8005659,20,37,62
2023-02-01,8004771,8000923,11,18,52
2023-02-01,8004909,8001990,16,26,67
2023-02-01,8004909,8003980,11,26,43
2023-02-01,8004909,8004909,34,52,61
2023-02-01,8005044,8005044,50,73,115
2023-02-01,8005044,8005332,28,38,133
2023-02-01,8005044,8005649,18,35,84
2023-02-01,8005241,8000175,1,2,120
2023-02-01,8005241,8005241,67,82,113
2023-02-01,8005241,8005243,21,22,115
2023-02-01,8005241,8005306,18,23,116
2023-02-01,8005241,8005332,3,3,50
2023-02-01,8005241,8005649,12,14,51
2023-02-01,8005243,8001302,25,38,103
2023-02-01,8005243,8005241,8,20,38
2023-02-01,8005243,8005243,47,76,105
2023-02-01,8005243,8005332,5,10,42
2023-02-01,8005246,8004004,8,21,89
2023-02-01,8005246,8005246,17,42,116
2023-02-01,8005246,8005812,10,21,161
2023-02-01,8005247,8000075,46,57,122
2023-02-01,8005247,8000175,12,17,136
2023-02-01,8005247,8001110,1,1,2490
2023-02-01,8005247,8001799,23,38,88
2023-02-01,8005247,8005247,81,113,130
2023-02-01,8005306,8005241,13,23,98
2023-02-01,8005306,8005306,30,50,105
2023-02-01,8005306,8005332,15,23,117
2023-02-01,8005306,8005649,0,1,0
2023-02-01,8005332,8005044,28,35,101
2023-02-01,8005332,8005241,5,5,120
2023-02-01,8005332,8005243,8,8,169
2023-02-01,8005332,8005306,13,23,104
2023-02-01,8005332,8005332,61,79,111
2023-02-01,8005332,8005649,4,4,75
2023-02-01,8005346,8000272,21,27,123
2023-02-01,8005346,8000378,24,27,100
2023-02-01,8005346,8005346,48,54,106
2023-02-01,8005562,8000075,14,19,51
2023-02-01,8005562,8002746,1,19,13
2023-02-01,8005562,8005562,19,38,36
2023-02-01,8005649,8000175,13,13,108
2023-02-01,8005649,8000319,35,41,127
2023-02-01,8005649,8002875,1,1,60
2023-02-01,8005649,8003294,12,16,52
2023-02-01,8005649,8003759,8,9,117
2023-02-01,8005649,8005044,27,38,137
2023-02-01,8005649,8005241,12,14,159
2023-02-01,8005649,8005306,3,3,170
2023-02-01,8005649,8005332,2,2,150
2023-02-01,8005649,8005649,116,143,126
2023-02-01,8005659,8000154,9,17,34
2023-02-01,8005659,8000792,8,20,15
2023-02-01,8005659,8000875,16,19,175
2023-02-01,8005659,8004392,1,1,30
2023-02-01,8005659,8004555,28,40,41
2023-02-01,8005659,8005659,30,81,54
2023-02-01,8005659,8006170,0,1,0
2023-02-01,8005796,8001570,25,40,50
2023-02-01,8005796,8005796,52,78,47
2023-02-01,8005796,8005797,19,37,49
2023-02-01,8005797,8002117,32,37,74
2023-02-01,8005797,8005796,10,39,24
2023-02-01,8005797,8005797,46,76,49
2023-02-01,8006170,8000154,10,21,19
2023-02-01,8006170,8004199,15,25,29
2023-02-01,8006170,8005659,1,1,90
2023-02-01,8006170,8006170,29,47,29
2023-02-01,8006392,8000272,26,40,53
2023-02-01,8006392,8000875,21,37,79
2023-02-01,8006392,8006392,57,77,68
2023-02-01,8006581,8001027,18,19,186
2023-02-01,8006581,8002625,14,17,155
2023-02-01,8006581,8006581,34,36,158
2023-02-01,8006627,8001470,13,21,94
2023-02-01,8006627,8003059,19,21,64
2023-02-01,8006627,8006627,25,42,68
2023-02-01,8007868,8000563,5,21,23
2023-02-01,8079083,8000154,6,18,15
2023-02-01,8079083,8004253,14,17,48
2023-02-01,8079083,8079083,25,35,51
