date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-10-01,8000092,8000092,132,143,346
2023-10-01,8000092,8001718,15,15,604
2023-10-01,8000092,8002293,5,6,745
2023-10-01,8000092,8003798,7,11,65
2023-10-01,8000092,8004466,15,15,496
2023-10-01,8000092,8004819,17,18,392
2023-10-01,8000092,8006460,1,1,90
2023-10-01,8000092,8006572,23,24,369
2023-10-01,8000334,8000334,60,77,138
2023-10-01,8000334,8004466,2,2,465
2023-10-01,8000334,8004741,32,34,59
2023-10-01,8000334,8005435,1,2,30
2023-10-01,8000334,8005825,16,20,404
2023-10-01,8000416,8000416,30,37,40
2023-10-01,8000416,8001977,16,18,58
2023-10-01,8000416,8003960,14,19,60
2023-10-01,8000446,8000446,39,82,69
2023-10-01,8000446,8000480,15,42,81
2023-10-01,8000446,8002558,23,40,51
2023-10-01,8000480,8000446,24,40,52
2023-10-01,8000480,8000480,39,82,62
2023-10-01,8000480,8000804,16,42,86
2023-10-01,8000749,8000749,41,65,120
2023-10-01,8000749,8005874,16,32,92
2023-10-01,8000804,8000480,19,40,38
2023-10-01,8001092,8001092,43,47,324
2023-10-01,8001092,8001718,19,23,80
2023-10-01,8001092,8002011,24,24,565
2023-10-01,8001136,8001136,13,37,28
2023-10-01,8001136,8001977,15,19,87
2023-10-01,8001136,8005435,1,18,5
2023-10-01,8001139,8001139,35,41,217
2023-10-01,8001139,8002115,12,16,159
2023-10-01,8001139,8003544,20,21,277
2023-10-01,8001190,8001190,34,40,340
2023-10-01,8001190,8001718,4,5,162
2023-10-01,8001190,8006572,14,19,246
2023-10-01,8001273,8001273,29,34,129
2023-10-01,8001273,8005655,16,17,131
2023-10-01,8001273,8006460,13,17,157
2023-10-01,8001718,8000092,17,17,185
2023-10-01,8001718,8001092,24,24,579
2023-10-01,8001718,8001190,3,3,130
2023-10-01,8001718,8001718,45,47,317
2023-10-01,8001718,8006572,3,3,100
2023-10-01,8001977,8000416,15,19,41
2023-10-01,8001977,8001136,3,18,7
2023-10-01,8001977,8001977,29,37,52
2023-10-01,8002011,8001092,21,23,80
2023-10-01,8002011,8002011,45,47,341
2023-10-01,8002115,8001139,16,16,304
2023-10-01,8002115,8002115,31,35,200
2023-10-01,8002115,8003798,13,16,150
2023-10-01,8002115,8003954,1,1,30
2023-10-01,8002293,8000092,1,2,15
2023-10-01,8002293,8002293,8,8,596
2023-10-01,8002293,8003798,3,3,1310
2023-10-01,8002293,8006460,3,3,120
2023-10-01,8002504,8002504,10,65,28
2023-10-01,8002504,8005321,12,33,19
2023-10-01,8002504,8005561,11,32,57
2023-10-01,8003253,8003253,13,37,7
2023-10-01,8003253,8003474,14,19,32
2023-10-01,8003253,8003960,0,18,0
2023-10-01,8003474,8003253,2,18,-13
2023-10-01,8003544,8001139,18,19,155
2023-10-01,8003544,8003544,37,40,230
2023-10-01,8003544,8004093,19,19,309
2023-10-01,8003774,8003774,27,35,105
2023-10-01,8003774,8011864,10,18,63
2023-10-01,8003776,8003776,18,42,94
2023-10-01,8003776,8003786,8,21,76
2023-10-01,8003776,8006704,10,21,113
2023-10-01,8003777,8003777,13,42,84
2023-10-01,8003777,8003778,10,21,113
2023-10-01,8003777,8006704,3,21,59
2023-10-01,8003778,8003777,3,21,50
2023-10-01,8003778,8003786,4,12,22
2023-10-01,8003786,8003776,9,21,107
2023-10-01,8003786,8003778,6,12,25
2023-10-01,8003786,8003786,29,66,80
2023-10-01,8003798,8000092,11,13,127
