date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8000144,8000144,60,77,132
2023-03-01,8000144,8000195,12,12,155
2023-03-01,8000144,8000338,8,9,290
2023-03-01,8000144,8000768,18,32,54
2023-03-01,8000144,8004927,15,21,127
2023-03-01,8000144,8005444,1,3,20
2023-03-01,8000280,8000280,22,34,67
2023-03-01,8000280,8004071,9,18,50
2023-03-01,8000280,8004796,4,19,30
2023-03-01,8000338,8000144,9,10,213
2023-03-01,8000338,8000338,49,59,152
2023-03-01,8000338,8004207,6,12,55
2023-03-01,8000338,8004927,17,19,126
2023-03-01,8000338,8005725,20,25,139
2023-03-01,8000338,8005823,7,7,416
2023-03-01,8000387,8000230,16,22,153
2023-03-01,8000387,8000387,60,77,156
2023-03-01,8000387,8002710,19,24,90
2023-03-01,8000387,8006200,18,18,95
2023-03-01,8000482,8000482,4,22,33
2023-03-01,8000482,8002651,0,11,0
2023-03-01,8000482,8004401,6,11,65
2023-03-01,8000539,8000539,9,9,537
2023-03-01,8000539,8003057,4,4,180
2023-03-01,8000539,8003227,5,5,948
2023-03-01,8000561,8000561,46,50,402
2023-03-01,8000561,8001004,23,25,326
2023-03-01,8000561,8003551,25,25,544
2023-03-01,8000658,8000658,89,107,216
2023-03-01,8000658,8000661,48,54,253
2023-03-01,8000658,8000662,29,29,268
2023-03-01,8000658,8004731,1,3,10
2023-03-01,8000659,8000659,9,15,62
2023-03-01,8000659,8000660,2,4,30
2023-03-01,8000659,8001033,2,2,180
2023-03-01,8000659,8003079,5,9,43
2023-03-01,8000660,8000659,7,11,95
2023-03-01,8000660,8000660,11,16,84
2023-03-01,8000661,8000658,25,53,117
2023-03-01,8000661,8000661,59,107,203
2023-03-01,8000661,8003299,42,54,299
2023-03-01,8000662,8000658,26,27,238
2023-03-01,8000662,8000662,76,90,180
2023-03-01,8000662,8002256,1,1,60
2023-03-01,8000662,8003952,7,8,71
2023-03-01,8000662,8004318,34,36,308
2023-03-01,8000768,8000144,26,32,74
2023-03-01,8000778,8000778,26,43,30
2023-03-01,8000778,8003989,15,22,53
2023-03-01,8000778,8004731,0,1,0
2023-03-01,8000862,8000862,7,7,240
2023-03-01,8000862,8003057,4,4,278
2023-03-01,8000862,8006094,3,3,180
2023-03-01,8000962,8000195,4,4,218
2023-03-01,8000962,8000962,37,42,145
2023-03-01,8000962,8002458,16,21,96
2023-03-01,8000962,8005444,13,13,159
2023-03-01,8000969,8000969,9,32,15
2023-03-01,8000969,8002856,1,16,4
2023-03-01,8000969,8003457,7,16,17
2023-03-01,8001004,8000195,6,6,325
2023-03-01,8001004,8000561,24,25,472
2023-03-01,8001004,8001004,65,67,345
2023-03-01,8001004,8003901,16,17,268
2023-03-01,8001004,8005444,1,1,420
2023-03-01,8001033,8000660,1,1,150
2023-03-01,8001033,8001033,31,46,120
2023-03-01,8001033,8003079,4,6,70
2023-03-01,8001033,8005444,17,25,66
2023-03-01,8001046,8001046,27,34,101
2023-03-01,8001046,8005802,12,17,67
2023-03-01,8001046,8006670,16,17,122
2023-03-01,8001147,8001147,6,22,35
2023-03-01,8001147,8003749,6,11,63
2023-03-01,8001147,8006279,0,11,0
2023-03-01,8001179,8001179,7,22,33
2023-03-01,8001179,8003457,5,13,42
2023-03-01,8001179,8004401,1,11,3
2023-03-01,8001276,8001276,29,45,245
2023-03-01,8001276,8003123,11,22,162
2023-03-01,8001276,8004030,13,23,321
2023-03-01,8001439,8001439,50,72,193
2023-03-01,8001439,8002263,25,36,268
2023-03-01,8001439,8006378,14,36,88
2023-03-01,8001454,8001454,40,42,481
2023-03-01,8001454,8002378,13,16,128
2023-03-01,8001454,8003057,4,4,330
2023-03-01,8001454,8003227,1,1,360
2023-03-01,8001454,8003230,16,16,679
2023-03-01,8001454,8003901,5,5,954
2023-03-01,8001468,8001468,31,42,241
2023-03-01,8001468,8002074,13,23,274
2023-03-01,8001468,8003483,21,36,137
2023-03-01,8001614,8001614,27,34,80
2023-03-01,8001614,8005653,10,17,86
2023-03-01,8001614,8005802,17,17,104
2023-03-01,8001628,8001628,14,36,70
2023-03-01,8001628,8002593,7,18,55
2023-03-01,8001628,8006533,11,18,87
2023-03-01,8001752,8001752,8,32,12
2023-03-01,8001752,8003038,1,16,0
2023-03-01,8001752,8004256,8,16,28
2023-03-01,8001806,8001806,34,40,83
2023-03-01,8001806,8003692,15,19,77
2023-03-01,8001806,8006218,13,21,69
2023-03-01,8001985,8001985,5,6,215
2023-03-01,8001985,8002244,3,3,180
2023-03-01,8001985,8005532,1,1,240
2023-03-01,8001985,8006730,1,2,375
2023-03-01,8002074,8001468,17,22,169
2023-03-01,8002074,8002074,26,45,225
2023-03-01,8002074,8003123,13,23,297
2023-03-01,8002162,8002162,0,1,0
2023-03-01,8002162,8003560,0,1,0
2023-03-01,8002244,8001985,1,1,30
2023-03-01,8002244,8002244,4,4,142
2023-03-01,8002244,8005532,2,3,140
2023-03-01,8002256,8002162,0,1,0
2023-03-01,8002256,8002256,1,1,30
2023-03-01,8002263,8001439,23,36,106
2023-03-01,8002263,8002263,43,72,174
2023-03-01,8002263,8003483,24,36,204
2023-03-01,8002378,8001454,16,16,662
2023-03-01,8002378,8002378,31,32,392
2023-03-01,8002378,8003057,10,11,158
2023-03-01,8002378,8003227,3,3,100
2023-03-01,8002458,8000195,2,2,180
2023-03-01,8002458,8000962,17,18,147
2023-03-01,8002458,8001004,1,1,240
2023-03-01,8002458,8002458,40,45,123
2023-03-01,8002458,8003901,5,6,125
2023-03-01,8002458,8004584,1,1,90
2023-03-01,8002458,8005444,1,1,120
2023-03-01,8002593,8001628,8,18,75
2023-03-01,8002593,8002593,13,36,60
2023-03-01,8002593,8002994,6,18,57
2023-03-01,8002651,8000482,4,11,60
2023-03-01,8002651,8002651,3,22,27
2023-03-01,8002651,8003749,0,11,0
2023-03-01,8002664,8002664,10,24,45
2023-03-01,8002664,8004207,1,12,2
2023-03-01,8002664,8004780,9,12,78
2023-03-01,8002710,8000387,22,24,245
2023-03-01,8002710,8002710,43,48,174
2023-03-01,8002710,8005138,19,24,96
2023-03-01,8002856,8000969,8,16,30
2023-03-01,8002856,8002856,10,32,16
2023-03-01,8002856,8004256,2,16,6
