date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8000016,8000016,12,24,99
2023-03-01,8000016,8001296,25,35,95
2023-03-01,8000016,8003913,29,40,40
2023-03-01,8000016,8004681,11,12,98
2023-03-01,8000016,8006479,7,12,118
2023-03-01,8000017,8000017,117,183,105
2023-03-01,8000017,8000264,5,8,120
2023-03-01,8000017,8000704,30,55,74
2023-03-01,8000017,8000706,26,35,96
2023-03-01,8000017,8000765,5,9,203
2023-03-01,8000017,8004050,7,14,56
2023-03-01,8000017,8004220,22,38,190
2023-03-01,8000017,8004238,3,4,158
2023-03-01,8000017,8004643,12,22,53
2023-03-01,8000017,8005989,2,4,15
2023-03-01,8000038,8000038,21,41,58
2023-03-01,8000038,8000157,7,19,65
2023-03-01,8000038,8000925,1,2,30
2023-03-01,8000038,8005820,23,70,74
2023-03-01,8000157,8000038,6,18,35
2023-03-01,8000157,8000157,18,40,50
2023-03-01,8000157,8002699,5,7,193
2023-03-01,8000157,8004220,21,35,70
2023-03-01,8000157,8004458,1,2,60
2023-03-01,8000157,8005453,5,18,13
2023-03-01,8000157,8006289,14,19,63
2023-03-01,8000157,8070159,0,1,0
2023-03-01,8000157,8079631,0,1,0
2023-03-01,8000180,8000180,175,247,155
2023-03-01,8000180,8001974,62,111,101
2023-03-01,8000180,8004333,27,41,123
2023-03-01,8000180,8005157,50,71,245
2023-03-01,8000180,8005769,10,12,190
2023-03-01,8000180,8006479,11,12,110
2023-03-01,8000221,8000221,80,116,76
2023-03-01,8000221,8000295,13,17,55
2023-03-01,8000221,8000724,2,2,30
2023-03-01,8000221,8001111,18,19,125
2023-03-01,8000221,8001472,9,12,50
2023-03-01,8000221,8002243,13,20,36
2023-03-01,8000221,8003381,25,25,131
2023-03-01,8000221,8005827,13,13,127
2023-03-01,8000231,8000231,9,19,28
2023-03-01,8000231,8005011,5,16,21
2023-03-01,8000231,8006354,2,16,15
2023-03-01,8000330,8000330,29,41,73
2023-03-01,8000330,8001651,3,9,23
2023-03-01,8000330,8002168,9,12,130
2023-03-01,8000330,8005388,10,10,111
2023-03-01,8000330,8005449,16,20,52
2023-03-01,8000373,8000373,76,82,180
2023-03-01,8000373,8002228,19,19,223
2023-03-01,8000373,8005077,18,20,63
2023-03-01,8000373,8005805,18,18,188
2023-03-01,8000373,8071001,21,26,151
2023-03-01,8000373,8079077,21,27,102
2023-03-01,8000380,8000380,37,38,261
2023-03-01,8000380,8002930,2,2,150
2023-03-01,8000380,8006217,17,17,284
2023-03-01,8000380,8006376,18,19,196
2023-03-01,8000655,8000655,24,38,169
2023-03-01,8000655,8001090,19,19,204
2023-03-01,8000655,8003569,16,17,240
2023-03-01,8000655,8006376,2,2,90
2023-03-01,8000681,8000681,32,53,112
2023-03-01,8000681,8000736,21,27,111
2023-03-01,8000681,8002380,14,26,134
2023-03-01,8000704,8000017,31,55,61
2023-03-01,8000704,8000704,64,110,65
2023-03-01,8000704,8004238,27,55,59
2023-03-01,8000724,8000221,4,4,165
2023-03-01,8000724,8000724,31,34,134
2023-03-01,8000724,8001660,9,17,62
2023-03-01,8000724,8003045,16,18,173
2023-03-01,8000724,8003381,5,6,155
2023-03-01,8000736,8000681,12,26,122
2023-03-01,8000736,8000736,44,60,208
2023-03-01,8000736,8000765,9,9,627
2023-03-01,8000736,8000777,19,35,101
2023-03-01,8000736,8005714,0,1,0
2023-03-01,8000736,8070097,7,7,360
2023-03-01,8000765,8000017,9,9,633
2023-03-01,8000765,8000706,20,35,84
2023-03-01,8000765,8000736,8,8,300
2023-03-01,8000765,8000765,62,88,159
2023-03-01,8000765,8000766,18,36,94
2023-03-01,8000766,8000736,1,1,30
2023-03-01,8000766,8000765,21,35,100
2023-03-01,8000766,8000766,40,71,65
2023-03-01,8000766,8000777,12,35,55
2023-03-01,8000865,8000865,1,1,60
2023-03-01,8000865,8004488,1,1,60
2023-03-01,8000889,8000889,4,6,150
2023-03-01,8000889,8002776,2,3,140
2023-03-01,8000889,8005608,2,3,150
2023-03-01,8000925,8000038,1,2,30
2023-03-01,8000925,8000925,4,4,60
2023-03-01,8000925,8006171,2,2,75
2023-03-01,8001014,8001014,19,32,96
2023-03-01,8001014,8005179,8,16,128
2023-03-01,8001014,8005433,8,16,45
2023-03-01,8001090,8000655,18,19,213
2023-03-01,8001090,8001090,37,38,183
2023-03-01,8001090,8005908,17,19,172
2023-03-01,8001111,8000221,1,1,90
2023-03-01,8001111,8001111,33,39,123
2023-03-01,8001111,8001933,16,19,196
2023-03-01,8001111,8003381,18,19,88
2023-03-01,8001178,8001005,18,39,76
2023-03-01,8001178,8001178,50,78,58
2023-03-01,8001178,8005329,26,39,65
2023-03-01,8001193,8001193,27,32,93
2023-03-01,8001193,8002177,11,16,58
2023-03-01,8001193,8005011,14,16,107
2023-03-01,8001205,8001205,15,30,29
2023-03-01,8001205,8004740,8,15,18
2023-03-01,8001205,8005998,5,15,26
2023-03-01,8001428,8001428,17,30,35
2023-03-01,8001428,8003283,12,15,44
2023-03-01,8001428,8004740,6,15,30
2023-03-01,8001472,8000221,4,11,35
2023-03-01,8001472,8001472,15,23,73
2023-03-01,8001472,8001474,11,12,90
2023-03-01,8001474,8000221,1,1,150
2023-03-01,8001474,8001472,6,11,38
2023-03-01,8001474,8001474,13,24,61
2023-03-01,8001474,8005827,6,12,70
2023-03-01,8001632,8001632,2,2,270
2023-03-01,8001632,8004999,1,1,510
2023-03-01,8001651,8000330,5,10,6
2023-03-01,8001651,8001651,9,19,28
2023-03-01,8001660,8000724,15,16,99
2023-03-01,8001660,8001660,29,33,100
2023-03-01,8001660,8003381,13,17,95
2023-03-01,8001754,8001754,23,36,105
2023-03-01,8001754,8003873,11,18,70
2023-03-01,8001754,8006269,12,18,130
2023-03-01,8001933,8001111,15,20,52
2023-03-01,8001933,8001933,27,39,121
2023-03-01,8001933,8005168,18,19,216
2023-03-01,8001982,8001982,8,8,225
2023-03-01,8001982,8002026,3,3,360
2023-03-01,8001982,8002168,4,4,135
2023-03-01,8001982,8004188,1,1,240
2023-03-01,8002026,8001982,3,3,180
2023-03-01,8002026,8002026,6,6,265
2023-03-01,8002026,8004188,2,3,350
2023-03-01,8002165,8001689,37,66,162
2023-03-01,8002165,8002165,96,131,293
2023-03-01,8002165,8004490,58,64,420
2023-03-01,8002168,8000330,8,12,90
2023-03-01,8002168,8001982,4,4,278
2023-03-01,8002168,8002168,16,24,105
2023-03-01,8002168,8004188,4,8,26
2023-03-01,8002177,8001193,14,16,112
2023-03-01,8002177,8002177,25,32,78
2023-03-01,8002177,8004437,13,15,66
2023-03-01,8002177,8005827,1,1,30
2023-03-01,8002195,8002195,33,39,103
2023-03-01,8002195,8003284,17,20,68
2023-03-01,8002195,8006517,13,19,122
2023-03-01,8002218,8001820,2,2,180
2023-03-01,8002218,8002218,29,38,113
2023-03-01,8002218,8003461,1,1,630
2023-03-01,8002218,8003592,13,14,105
2023-03-01,8002218,8005790,1,1,60
2023-03-01,8002228,8000373,18,20,104
2023-03-01,8002228,8002228,79,90,141
2023-03-01,8002228,8005724,39,45,155
2023-03-01,8002228,8071001,22,25,140
2023-03-01,8002243,8000221,16,19,129
2023-03-01,8002243,8002243,30,39,82
2023-03-01,8002243,8002447,9,20,28
2023-03-01,8002272,8002776,3,4,30
2023-03-01,8002272,8003525,3,8,19
2023-03-01,8002278,8002278,1,1,630
2023-03-01,8002278,8005790,1,1,600
2023-03-01,8002380,8000681,16,27,94
2023-03-01,8002380,8002380,37,53,115
2023-03-01,8002380,8005714,15,25,146
2023-03-01,8002380,8070097,0,1,0
2023-03-01,8002447,8000221,1,1,30
2023-03-01,8002447,8002243,16,19,136
2023-03-01,8002447,8002447,33,40,88
2023-03-01,8002447,8006662,16,20,45
2023-03-01,8002448,8000934,39,71,140
2023-03-01,8002448,8002240,62,71,295
2023-03-01,8002448,8002448,120,142,224
2023-03-01,8002470,8002470,22,44,43
2023-03-01,8002470,8002633,8,22,33
2023-03-01,8002470,8004643,12,22,48
2023-03-01,8002699,8000157,6,9,107
2023-03-01,8002699,8002699,11,16,152
2023-03-01,8002699,8004220,3,7,180
2023-03-01,8002726,8002726,81,110,73
2023-03-01,8002726,8004226,33,55,81
2023-03-01,8002726,8072723,21,55,47
2023-03-01,8002764,8002764,5,7,43
2023-03-01,8002764,8004258,1,4,8
2023-03-01,8002764,8005989,3,3,80
2023-03-01,8002776,8000889,3,3,140
2023-03-01,8002776,8002272,2,3,130
2023-03-01,8002776,8002776,5,7,90
2023-03-01,8002776,8005608,1,1,60
2023-03-01,8002871,8002871,20,31,63
2023-03-01,8002871,8004437,13,16,86
2023-03-01,8002871,8005827,8,15,24
2023-03-01,8002930,8000380,1,1,30
2023-03-01,8002930,8002930,2,3,100
2023-03-01,8002930,8006217,2,2,150
2023-03-01,8003045,8000724,15,18,103
2023-03-01,8003045,8003045,29,36,137
2023-03-01,8003045,8003873,17,18,198
2023-03-01,8003101,8003101,32,39,132
2023-03-01,8003101,8005013,13,20,58
2023-03-01,8003101,8005077,17,19,199
2023-03-01,8003278,8003278,4,4,75
2023-03-01,8003278,8003588,2,2,90
2023-03-01,8003278,8006171,2,2,75
2023-03-01,8003280,8003282,15,40,98
2023-03-01,8003280,8003283,6,15,16
2023-03-01,8003283,8001428,8,15,32
2023-03-01,8003283,8003280,11,15,40
2023-03-01,8003283,8003283,18,30,40
2023-03-01,8003381,8000221,34,42,109
2023-03-01,8003381,8000724,9,9,220
2023-03-01,8003381,8001660,15,16,101
2023-03-01,8003381,8003381,61,67,127
2023-03-01,8003409,8004338,23,40,37
2023-03-01,8003411,8000630,66,71,202
2023-03-01,8003411,8001967,65,71,192
2023-03-01,8003411,8003411,252,280,153
2023-03-01,8003411,8005777,2,6,25
2023-03-01,8003411,8005778,100,138,99
2023-03-01,8003461,8002278,1,1,660
2023-03-01,8003461,8003461,1,1,630
2023-03-01,8003569,8000655,18,19,199
2023-03-01,8003569,8003569,34,36,262
2023-03-01,8003569,8006376,16,17,254
2023-03-01,8003572,8003572,16,34,86
2023-03-01,8003572,8004412,10,17,124
2023-03-01,8003572,8006269,7,17,41
2023-03-01,8003588,8003278,1,2,60
2023-03-01,8003588,8003588,3,4,75
2023-03-01,8003588,8004458,2,2,90
2023-03-01,8003623,8000157,1,1,180
2023-03-01,8003623,8003623,68,103,70
2023-03-01,8003623,8070157,20,51,68
2023-03-01,8003623,8071003,40,51,108
2023-03-01,8003624,8003624,68,102,78
2023-03-01,8003624,8070156,46,51,135
