date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-04-01,8010003,8010003,11,14,992
2023-04-01,8010003,8010134,3,3,160
2023-04-01,8010003,8010202,7,15,104
2023-04-01,8010003,8013138,17,22,335
2023-04-01,8010003,8013471,10,17,443
2023-04-01,8010007,8010007,58,108,79
2023-04-01,8010007,8010242,14,19,120
2023-04-01,8010007,8010274,6,8,124
2023-04-01,8010007,8011055,8,31,43
2023-04-01,8010007,8011792,17,35,53
2023-04-01,8010007,8012314,9,17,109
2023-04-01,8010014,8010014,11,34,28
2023-04-01,8010014,8010305,3,17,5
2023-04-01,8010020,8010081,1,7,4
2023-04-01,8010020,8010242,7,10,39
2023-04-01,8010020,8011449,0,7,0
2023-04-01,8010020,8011687,1,8,-22
2023-04-01,8010021,8010021,15,34,184
2023-04-01,8010021,8011934,11,17,452
2023-04-01,8010021,8012533,2,17,-5
2023-04-01,8010055,8010055,27,46,170
2023-04-01,8010055,8010203,8,8,334
2023-04-01,8010055,8010385,12,15,86
2023-04-01,8010055,8011602,3,9,180
2023-04-01,8010055,8013004,3,6,395
2023-04-01,8010055,8013318,6,8,52
2023-04-01,8010061,8010061,8,20,58
2023-04-01,8010061,8010124,4,9,83
2023-04-01,8010061,8011852,2,10,24
2023-04-01,8010061,8012440,1,1,30
2023-04-01,8010067,8010067,5,14,17
2023-04-01,8010067,8011106,2,7,30
2023-04-01,8010067,8011678,1,7,9
2023-04-01,8010081,8010020,5,7,240
2023-04-01,8010081,8010081,12,31,75
2023-04-01,8010081,8011336,0,8,0
2023-04-01,8010081,8011687,5,9,13
2023-04-01,8010102,8010102,10,38,28
2023-04-01,8010102,8010198,1,1,30
2023-04-01,8010102,8011503,2,14,6
2023-04-01,8010102,8012769,1,5,12
2023-04-01,8010105,8010105,16,21,133
2023-04-01,8010105,8011468,10,10,219
2023-04-01,8010105,8013547,7,11,65
2023-04-01,8010110,8010110,0,34,-1
2023-04-01,8010110,8012312,0,17,0
2023-04-01,8010118,8010118,27,38,141
