date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-09-01,8000123,8000989,8,17,16
2023-09-01,8000134,8000134,88,91,321
2023-09-01,8000134,8001688,33,33,187
2023-09-01,8000134,8003402,16,18,440
2023-09-01,8000134,8003407,2,2,120
2023-09-01,8000134,8005476,33,33,544
2023-09-01,8000134,8005905,61,78,186
2023-09-01,8000370,8003407,4,15,10
2023-09-01,8000379,8000379,75,95,340
2023-09-01,8000379,8001267,33,35,579
2023-09-01,8000379,8002817,2,2,30
2023-09-01,8000379,8003352,1,1,210
2023-09-01,8000379,8005260,23,33,102
2023-09-01,8000379,8005476,20,28,302
2023-09-01,8000379,8005945,15,20,128
2023-09-01,8000402,8000402,62,85,100
2023-09-01,8000402,8003402,16,24,82
2023-09-01,8000402,8003403,15,19,114
2023-09-01,8000402,8005905,31,42,116
2023-09-01,8000674,8000674,32,34,49
2023-09-01,8000674,8001388,17,17,58
2023-09-01,8000674,8005624,16,17,71
2023-09-01,8000870,8000870,29,38,141
2023-09-01,8000870,8001267,15,19,172
2023-09-01,8000870,8005945,14,19,115
2023-09-01,8000989,8000123,16,17,74
2023-09-01,8000989,8000989,30,34,61
2023-09-01,8000989,8004174,14,17,46
2023-09-01,8001388,8000674,13,17,41
2023-09-01,8001388,8001388,24,34,47
2023-09-01,8001388,8003407,12,17,30
2023-09-01,8001414,8001414,27,34,59
2023-09-01,8001414,8004174,15,17,65
2023-09-01,8001414,8005342,13,17,44
2023-09-01,8001688,8000134,25,33,148
2023-09-01,8001688,8001688,57,66,176
2023-09-01,8001688,8004910,32,33,240
2023-09-01,8001828,8001828,22,34,37
2023-09-01,8001828,8003021,17,17,53
2023-09-01,8001828,8003484,6,17,14
2023-09-01,8002018,8002018,56,68,171
2023-09-01,8002018,8002817,30,33,224
2023-09-01,8002018,8005476,25,35,113
2023-09-01,8002817,8002018,30,35,129
2023-09-01,8002817,8002817,59,68,169
2023-09-01,8002817,8005510,28,33,225
2023-09-01,8003021,8001828,3,17,9
2023-09-01,8003021,8003021,17,34,30
2023-09-01,8003021,8004814,10,17,25
2023-09-01,8003042,8003042,61,69,265
2023-09-01,8003042,8003434,31,34,184
2023-09-01,8003042,8200340,35,35,416
2023-09-01,8003173,8003173,29,45,97
2023-09-01,8003173,8003402,11,22,87
2023-09-01,8003173,8006461,18,23,110
2023-09-01,8003402,8000134,18,18,243
2023-09-01,8003402,8000402,20,23,103
2023-09-01,8003402,8003173,20,23,108
2023-09-01,8003402,8003402,73,81,211
2023-09-01,8003402,8005245,17,18,423
2023-09-01,8003403,8000402,15,19,76
2023-09-01,8003403,8003403,29,38,89
2023-09-01,8003403,8006222,15,19,120
2023-09-01,8003407,8000134,2,2,45
2023-09-01,8003407,8000370,9,15,32
2023-09-01,8003407,8001388,15,17,99
2023-09-01,8003407,8003407,21,34,61
2023-09-01,8003434,8003042,33,35,372
2023-09-01,8003434,8003434,65,69,288
2023-09-01,8003434,8005905,29,34,210
2023-09-01,8003484,8001828,17,17,58
2023-09-01,8003484,8003484,31,34,68
2023-09-01,8003484,8005658,15,17,86
2023-09-01,8004174,8000989,15,17,69
2023-09-01,8004174,8001414,16,17,53
2023-09-01,8004174,8004174,29,34,56
2023-09-01,8004438,8004438,24,38,73
2023-09-01,8004438,8006315,11,19,51
2023-09-01,8004438,8006463,15,19,103
2023-09-01,8004514,8004514,27,38,79
2023-09-01,8004514,8005835,13,19,99
2023-09-01,8004514,8006222,12,19,55
2023-09-01,8004748,8004236,16,19,85
2023-09-01,8004748,8004748,20,37,56
2023-09-01,8004748,8006252,7,18,22
2023-09-01,8004814,8003021,16,17,62
2023-09-01,8004814,8004814,22,34,32
2023-09-01,8004814,8005624,6,17,9
2023-09-01,8004910,8001688,25,33,125
2023-09-01,8004910,8004910,57,66,177
2023-09-01,8004910,8005476,32,33,225
2023-09-01,8005245,8003402,16,18,210
2023-09-01,8005245,8004004,17,18,437
2023-09-01,8005245,8005245,57,78,182
2023-09-01,8005245,8005392,11,22,85
2023-09-01,8005245,8005539,19,22,90
2023-09-01,8005260,8000379,27,33,188
2023-09-01,8005260,8005260,49,66,152
2023-09-01,8005260,8005510,17,33,87
2023-09-01,8005342,8001414,16,17,71
2023-09-01,8005342,8005342,28,34,56
2023-09-01,8005342,8005658,13,17,46
2023-09-01,8005392,8005245,16,23,82
2023-09-01,8005392,8005392,27,45,82
2023-09-01,8005392,8006461,11,22,75
2023-09-01,8005476,8000134,30,30,392
2023-09-01,8005476,8000379,33,33,604
2023-09-01,8005476,8002018,31,33,253
2023-09-01,8005476,8004910,23,33,129
2023-09-01,8005476,8005476,113,129,323
2023-09-01,8005510,8002817,21,33,94
2023-09-01,8005510,8005260,28,33,217
2023-09-01,8005510,8005510,51,66,156
2023-09-01,8005539,8005245,9,21,81
2023-09-01,8005539,8005539,34,43,90
2023-09-01,8005539,8005812,14,22,78
2023-09-01,8005624,8000674,7,17,14
2023-09-01,8005624,8004814,13,17,48
2023-09-01,8005624,8005624,22,34,36
2023-09-01,8005658,8003484,14,17,44
2023-09-01,8005658,8005342,14,17,104
2023-09-01,8005658,8005658,28,34,71
2023-09-01,8005812,8005246,16,22,80
2023-09-01,8005812,8005539,15,21,94
2023-09-01,8005812,8005812,28,43,89
2023-09-01,8005835,8004514,8,19,46
2023-09-01,8005835,8005835,23,38,32
2023-09-01,8005835,8006315,13,19,107
2023-09-01,8005905,8000134,72,76,193
2023-09-01,8005905,8000402,35,43,114
2023-09-01,8005905,8003434,34,35,364
2023-09-01,8005905,8005905,141,154,201
2023-09-01,8005945,8000379,12,19,82
2023-09-01,8005945,8000870,16,19,150
2023-09-01,8005945,8001267,1,1,30
2023-09-01,8005945,8005945,30,39,123
2023-09-01,8006222,8003403,9,19,46
2023-09-01,8006222,8004514,16,19,118
2023-09-01,8006222,8006222,25,38,83
2023-09-01,8006315,8004438,14,19,99
2023-09-01,8006315,8005835,9,19,-139
2023-09-01,8006315,8006315,23,38,28
2023-09-01,8006461,8003173,15,22,100
2023-09-01,8006461,8005392,15,23,76
2023-09-01,8006461,8006461,33,45,93
2023-09-01,8006463,8004438,10,19,38
2023-09-01,8006463,8006252,13,19,92
2023-09-01,8006463,8006463,23,37,69
2023-09-01,8200340,8003042,21,34,128
2023-09-01,8200340,8200100,0,1,0
2023-09-01,8200340,8200340,52,67,252
2023-09-01,8200340,8270720,14,15,288
2023-09-01,8200340,8270930,17,18,418
2023-09-02,8000123,8000989,8,17,71
2023-09-02,8000134,8000134,84,89,345
2023-09-02,8000134,8001688,30,30,408
2023-09-02,8000134,8003402,16,17,365
2023-09-02,8000134,8003403,2,2,135
2023-09-02,8000134,8003407,2,2,60
2023-09-02,8000134,8005476,31,32,492
2023-09-02,8000134,8005905,47,70,236
2023-09-02,8000370,8000370,1,1,240
2023-09-02,8000370,8003407,5,15,12
2023-09-02,8000370,8004784,1,1,330
2023-09-02,8000379,8000379,76,93,348
2023-09-02,8000379,8001267,31,33,613
2023-09-02,8000379,8002817,2,2,270
2023-09-02,8000379,8003352,1,1,240
2023-09-02,8000379,8005260,23,31,162
2023-09-02,8000379,8005476,23,29,245
2023-09-02,8000379,8005945,16,17,334
2023-09-02,8000402,8000402,50,72,135
2023-09-02,8000402,8003402,8,19,77
2023-09-02,8000402,8003403,13,17,168
2023-09-02,8000402,8005905,26,36,170
2023-09-02,8000674,8000674,29,34,116
2023-09-02,8000674,8001388,16,17,78
2023-09-02,8000674,8005624,15,17,180
2023-09-02,8000870,8000870,31,35,232
2023-09-02,8000870,8001267,17,17,379
2023-09-02,8000870,8005945,15,18,88
2023-09-02,8000989,8000123,17,17,176
2023-09-02,8000989,8000989,27,34,130
2023-09-02,8000989,8004174,11,17,78
2023-09-02,8001388,8000674,15,17,166
2023-09-02,8001388,8001388,26,34,107
2023-09-02,8001388,8003407,11,17,69
2023-09-02,8001414,8001414,23,34,124
2023-09-02,8001414,8004174,17,17,169
2023-09-02,8001414,8005342,7,17,74
2023-09-02,8001688,8000134,21,30,189
2023-09-02,8001688,8000370,1,1,210
2023-09-02,8001688,8001688,51,61,335
2023-09-02,8001688,8004910,30,30,543
2023-09-02,8001828,8001828,22,34,99
2023-09-02,8001828,8003021,13,17,94
2023-09-02,8001828,8003484,8,17,101
2023-09-02,8002018,8002018,48,63,308
2023-09-02,8002018,8002817,29,30,461
2023-09-02,8002018,8005476,20,33,150
2023-09-02,8002817,8002018,23,33,160
2023-09-02,8002817,8002817,51,63,305
2023-09-02,8002817,8005510,27,30,466
2023-09-02,8003021,8001828,8,17,101
2023-09-02,8003021,8003021,22,34,107
2023-09-02,8003021,8004814,10,17,71
2023-09-02,8003042,8003042,55,67,287
2023-09-02,8003042,8003434,29,33,171
2023-09-02,8003042,8200340,34,34,468
2023-09-02,8003173,8003173,22,38,152
2023-09-02,8003173,8003402,13,19,207
2023-09-02,8003173,8006461,10,19,98
2023-09-02,8003402,8000134,17,17,275
2023-09-02,8003402,8000402,17,19,229
2023-09-02,8003402,8003173,13,19,101
2023-09-02,8003402,8003402,63,72,232
2023-09-02,8003402,8005245,16,17,365
2023-09-02,8003403,8000134,2,2,405
2023-09-02,8003403,8000402,15,17,71
2023-09-02,8003403,8003403,33,38,129
2023-09-02,8003403,8004236,1,2,90
2023-09-02,8003403,8006222,15,17,180
2023-09-02,8003407,8000134,2,2,60
2023-09-02,8003407,8000370,10,15,106
2023-09-02,8003407,8001388,17,17,173
2023-09-02,8003407,8003407,26,34,110
2023-09-02,8003434,8003042,32,34,424
2023-09-02,8003434,8003434,61,67,307
2023-09-02,8003434,8005905,27,33,213
2023-09-02,8003484,8001828,13,17,79
2023-09-02,8003484,8003484,30,34,118
2023-09-02,8003484,8005658,17,17,157
2023-09-02,8004174,8000989,15,17,164
2023-09-02,8004174,8001414,13,17,92
2023-09-02,8004174,8004174,29,34,134
2023-09-02,8004438,8004438,20,34,109
2023-09-02,8004438,8006315,12,17,48
2023-09-02,8004438,8006463,12,17,171
2023-09-02,8004514,8004514,24,34,111
2023-09-02,8004514,8005835,12,17,164
2023-09-02,8004514,8006222,10,17,42
2023-09-02,8004748,8004236,11,17,155
2023-09-02,8004748,8004748,19,33,101
2023-09-02,8004748,8006252,8,16,49
2023-09-02,8004784,8000134,1,1,270
2023-09-02,8004784,8004784,1,1,270
2023-09-02,8004814,8003021,13,17,154
2023-09-02,8004814,8004814,21,34,95
2023-09-02,8004814,8005624,8,17,48
2023-09-02,8004910,8001688,21,31,151
2023-09-02,8004910,8004910,50,61,327
2023-09-02,8004910,8005476,28,30,482
2023-09-02,8005245,8003402,17,17,205
2023-09-02,8005245,8004004,16,17,388
2023-09-02,8005245,8005245,57,72,221
2023-09-02,8005245,8005392,13,19,197
2023-09-02,8005245,8005539,13,19,194
2023-09-02,8005260,8000379,26,30,395
2023-09-02,8005260,8005260,49,61,290
2023-09-02,8005260,8005510,16,31,138
2023-09-02,8005342,8001414,17,17,185
2023-09-02,8005342,8005342,24,34,132
2023-09-02,8005342,8005658,7,17,81
2023-09-02,8005392,8005245,9,19,115
2023-09-02,8005392,8005392,21,38,152
2023-09-02,8005392,8006461,12,19,204
2023-09-02,8005476,8000134,31,31,336
