date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-03-01,8000014,8000014,37,76,68
2023-03-01,8000014,8000559,7,19,118
2023-03-01,8000014,8000746,10,25,64
2023-03-01,8000014,8000763,10,20,33
2023-03-01,8000014,8000943,4,13,76
2023-03-01,8000014,8004049,17,18,118
2023-03-01,8000014,8004965,23,38,63
2023-03-01,8000069,8000069,30,42,414
2023-03-01,8000069,8000473,6,7,163
2023-03-01,8000069,8000933,7,8,386
2023-03-01,8000069,8002656,4,5,336
2023-03-01,8000069,8003969,16,19,425
2023-03-01,8000069,8005568,6,19,249
2023-03-01,8000069,8005747,3,4,158
2023-03-01,8000112,8000112,49,81,86
2023-03-01,8000112,8001838,2,4,45
2023-03-01,8000112,8002030,10,20,36
2023-03-01,8000112,8002110,11,25,118
2023-03-01,8000112,8002122,12,24,94
2023-03-01,8000112,8003432,6,7,86
2023-03-01,8000112,8003524,6,9,70
2023-03-01,8000112,8003733,10,28,49
2023-03-01,8000112,8003871,3,3,70
2023-03-01,8000112,8003930,8,20,63
2023-03-01,8000112,8004029,5,7,99
2023-03-01,8000112,8004965,12,15,70
2023-03-01,8000141,8000141,76,85,148
2023-03-01,8000141,8000314,18,25,216
2023-03-01,8000141,8003248,27,36,86
2023-03-01,8000141,8004070,8,9,207
2023-03-01,8000141,8004778,1,1,60
2023-03-01,8000141,8005197,3,3,180
2023-03-01,8000141,8005916,21,41,68
2023-03-01,8000141,8005918,31,35,165
2023-03-01,8000160,8000160,49,75,286
2023-03-01,8000160,8002760,11,19,232
2023-03-01,8000160,8003969,23,37,225
2023-03-01,8000160,8005087,15,19,510
2023-03-01,8000203,8000203,52,58,172
2023-03-01,8000203,8000336,26,28,201
2023-03-01,8000203,8000763,3,6,65
2023-03-01,8000203,8006200,17,22,157
2023-03-01,8000203,8006545,3,13,18
2023-03-01,8000314,8000141,23,25,138
2023-03-01,8000314,8000314,100,118,147
2023-03-01,8000314,8004009,7,9,37
2023-03-01,8000314,8005052,18,36,56
2023-03-01,8000314,8005054,31,34,159
2023-03-01,8000336,8000203,20,28,213
2023-03-01,8000336,8000336,38,38,242
2023-03-01,8000336,8000454,19,19,169
2023-03-01,8000353,8000353,17,18,305
2023-03-01,8000353,8000473,8,9,430
2023-03-01,8000353,8000999,1,1,810
2023-03-01,8000353,8002673,6,8,131
2023-03-01,8000454,8000336,18,19,322
2023-03-01,8000454,8000454,35,38,234
2023-03-01,8000454,8003897,18,19,174
2023-03-01,8000473,8000069,7,8,611
2023-03-01,8000473,8000353,9,9,267
2023-03-01,8000473,8000473,16,18,418
2023-03-01,8000473,8005747,1,1,90
2023-03-01,8000473,8005750,0,2,0
2023-03-01,8000499,8000499,5,8,52
2023-03-01,8000499,8001684,1,4,38
2023-03-01,8000499,8005333,3,3,90
2023-03-01,8000499,8005379,1,1,30
2023-03-01,8000559,8000014,10,19,213
2023-03-01,8000559,8000559,17,38,169
2023-03-01,8000559,8005301,7,19,125
2023-03-01,8000562,8000562,14,23,46
2023-03-01,8000562,8000763,9,12,52
2023-03-01,8000562,8006545,8,11,68
2023-03-01,8000577,8000577,2,2,345
2023-03-01,8000577,8002218,2,2,345
2023-03-01,8000731,8000731,20,27,97
2023-03-01,8000731,8000959,7,13,95
2023-03-01,8000731,8005197,13,14,107
2023-03-01,8000746,8000014,21,26,100
2023-03-01,8000746,8000746,33,51,77
2023-03-01,8000746,8000943,10,20,26
2023-03-01,8000746,8000944,2,5,210
2023-03-01,8000763,8000014,12,20,82
2023-03-01,8000763,8000203,7,8,60
2023-03-01,8000763,8000562,9,11,63
2023-03-01,8000763,8000763,24,38,61
2023-03-01,8000858,8000858,1,2,315
2023-03-01,8000858,8006373,2,2,345
2023-03-01,8000909,8000909,36,47,214
2023-03-01,8000909,8003871,20,23,248
2023-03-01,8000909,8004029,17,24,195
2023-03-01,8000933,8000069,7,8,668
2023-03-01,8000933,8000933,24,27,491
2023-03-01,8000933,8002096,13,13,413
2023-03-01,8000933,8002656,5,6,480
2023-03-01,8000943,8000014,4,12,22
2023-03-01,8000943,8000746,14,22,86
2023-03-01,8000943,8000943,32,76,65
2023-03-01,8000943,8000944,1,4,8
2023-03-01,8000943,8001820,2,2,30
2023-03-01,8000943,8003592,6,19,62
2023-03-01,8000943,8005334,1,1,90
2023-03-01,8000944,8000746,2,4,22
2023-03-01,8000944,8000943,2,5,186
2023-03-01,8000944,8000944,4,9,117
2023-03-01,8000959,8000731,10,14,71
2023-03-01,8000959,8000959,31,42,105
2023-03-01,8000959,8001946,15,21,116
2023-03-01,8000959,8005197,7,7,129
2023-03-01,8000999,8000353,2,2,135
2023-03-01,8000999,8000999,3,3,460
2023-03-01,8000999,8002673,1,1,1080
2023-03-01,8001013,8001013,28,39,463
2023-03-01,8001013,8002242,0,1,0
2023-03-01,8001013,8002789,1,2,45
2023-03-01,8001013,8005333,15,19,213
2023-03-01,8001015,8001015,3,5,42
2023-03-01,8001015,8002789,1,2,30
2023-03-01,8001015,8005955,1,1,60
2023-03-01,8001422,8001422,14,37,109
2023-03-01,8001422,8070678,1,19,32
2023-03-01,8001422,8070679,13,18,192
2023-03-01,8001424,8001424,14,37,109
2023-03-01,8001424,8001426,13,18,192
2023-03-01,8001424,8070679,1,19,32
2023-03-01,8001426,8001424,1,19,32
2023-03-01,8001426,8001426,14,37,109
2023-03-01,8001426,8070680,13,18,192
2023-03-01,8001684,8000499,2,4,22
2023-03-01,8001684,8001684,28,37,487
2023-03-01,8001684,8004182,14,15,332
2023-03-01,8001684,8005195,2,3,70
2023-03-01,8001684,8005333,15,16,859
2023-03-01,8001802,8001802,36,80,66
2023-03-01,8001802,8004778,2,42,51
2023-03-01,8001802,8070591,36,40,82
2023-03-01,8001820,8000943,0,1,0
2023-03-01,8001820,8001820,4,6,30
2023-03-01,8001820,8003592,2,3,80
2023-03-01,8001820,8005954,1,1,30
2023-03-01,8001838,8000112,4,4,202
2023-03-01,8001838,8001838,40,45,77
