date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-06-01,8000010,8000010,64,80,702
2023-06-01,8000010,8000183,11,11,1331
2023-06-01,8000010,8000250,0,1,0
2023-06-01,8000010,8000618,9,20,22
2023-06-01,8000010,8000619,4,5,48
2023-06-01,8000010,8002696,15,15,336
2023-06-01,8000010,8002918,6,10,-36
2023-06-01,8000010,8003143,1,1,240
2023-06-01,8000010,8003314,16,21,207
2023-06-01,8000010,8003334,1,1,60
2023-06-01,8000010,8003680,2,2,810
2023-06-01,8000010,8004560,5,6,40
2023-06-01,8000010,8100014,1,1,2340
2023-06-01,8000032,8000032,120,168,148
2023-06-01,8000032,8001620,12,16,281
2023-06-01,8000032,8002630,12,17,164
2023-06-01,8000032,8004453,18,24,70
2023-06-01,8000032,8004865,8,16,34
2023-06-01,8000032,8005049,7,7,171
2023-06-01,8000032,8005198,2,2,120
2023-06-01,8000032,8005479,29,58,144
2023-06-01,8000032,8006147,20,23,185
2023-06-01,8000120,8000120,52,74,167
2023-06-01,8000120,8003189,13,17,240
2023-06-01,8000120,8003329,1,14,26
2023-06-01,8000120,8003548,19,28,79
2023-06-01,8000120,8005092,12,16,204
2023-06-01,8000120,8006349,14,22,113
2023-06-01,8000575,8000575,14,32,42
2023-06-01,8000575,8005386,7,16,54
2023-06-01,8000575,8006274,8,17,28
2023-06-01,8000618,8000010,15,22,95
2023-06-01,8000618,8000618,32,42,74
2023-06-01,8000618,8000619,18,20,54
2023-06-01,8000619,8000010,6,7,184
2023-06-01,8000619,8000618,11,22,79
2023-06-01,8000619,8000619,36,54,82
2023-06-01,8000619,8003334,6,6,185
2023-06-01,8000619,8004558,11,19,44
2023-06-01,8000640,8000640,21,30,196
2023-06-01,8000640,8001148,4,17,-4
2023-06-01,8000640,8002089,8,16,152
2023-06-01,8000640,8003324,5,22,7
2023-06-01,8000640,8003337,9,12,228
2023-06-01,8000714,8000714,13,28,38
2023-06-01,8000714,8001935,2,17,7
2023-06-01,8000714,8004629,6,30,28
2023-06-01,8000730,8000730,27,43,109
2023-06-01,8000730,8001290,7,20,38
2023-06-01,8000730,8003959,13,20,150
2023-06-01,8000730,8004169,7,7,253
2023-06-01,8000818,8000818,23,42,141
2023-06-01,8000818,8002333,14,20,171
2023-06-01,8000818,8003881,12,21,164
2023-06-01,8000818,8006582,1,1,30
2023-06-01,8000902,8000902,34,46,261
2023-06-01,8000902,8001919,15,23,330
2023-06-01,8000902,8005523,19,23,206
2023-06-01,8001148,8000640,13,17,88
2023-06-01,8001148,8001148,19,34,83
2023-06-01,8001148,8006274,7,17,83
2023-06-01,8001290,8000730,8,17,76
2023-06-01,8001290,8001290,16,37,58
2023-06-01,8001290,8004169,15,20,54
2023-06-01,8001293,8001293,27,32,202
2023-06-01,8001293,8004040,14,16,251
2023-06-01,8001293,8005092,12,16,142
2023-06-01,8001435,8001435,7,28,21
2023-06-01,8001435,8002567,4,14,30
2023-06-01,8001435,8004090,3,14,21
2023-06-01,8001503,8001503,20,32,249
2023-06-01,8001503,8005028,15,16,315
2023-06-01,8001503,8005666,9,16,191
2023-06-01,8001619,8001619,38,46,230
2023-06-01,8001619,8004533,16,23,318
2023-06-01,8001619,8006635,21,23,158
2023-06-01,8001620,8000032,12,14,210
2023-06-01,8001620,8001620,92,113,110
2023-06-01,8001620,8004169,7,8,248
2023-06-01,8001620,8004629,20,32,114
2023-06-01,8001620,8004865,21,42,46
2023-06-01,8001620,8005199,12,17,85
2023-06-01,8001742,8001742,15,33,24
2023-06-01,8001742,8001935,5,16,24
2023-06-01,8001742,8006380,1,17,7
2023-06-01,8001848,8001848,56,66,198
2023-06-01,8001848,8002287,19,22,155
2023-06-01,8001848,8003337,12,13,222
2023-06-01,8001848,8004560,11,12,320
2023-06-01,8001848,8006538,15,19,194
2023-06-01,8001919,8000902,16,23,157
2023-06-01,8001919,8001919,35,46,256
2023-06-01,8001919,8006147,16,23,338
2023-06-01,8001935,8000714,8,16,71
2023-06-01,8001935,8001742,11,17,28
2023-06-01,8001935,8001935,18,33,35
2023-06-01,8001964,8001964,22,32,259
2023-06-01,8001964,8002622,12,16,315
2023-06-01,8001964,8005666,10,16,212
2023-06-01,8002089,8000640,14,16,332
2023-06-01,8002089,8002089,23,32,261
2023-06-01,8002089,8005028,8,16,174
2023-06-01,8002251,8002251,33,39,129
2023-06-01,8002251,8003284,16,19,118
2023-06-01,8002251,8005002,15,20,108
2023-06-01,8002287,8001848,12,19,172
2023-06-01,8002287,8002287,30,41,172
2023-06-01,8002287,8004560,18,22,165
2023-06-01,8002333,8000818,7,21,101
2023-06-01,8002333,8002333,22,41,128
2023-06-01,8002333,8006488,13,20,156
2023-06-01,8002341,8002341,7,28,26
2023-06-01,8002341,8004013,1,14,19
2023-06-01,8002341,8006554,5,14,15
2023-06-01,8002567,8001435,2,14,17
2023-06-01,8002567,8002567,10,28,26
2023-06-01,8002567,8002568,2,16,17
2023-06-01,8002568,8002567,6,17,26
2023-06-01,8002568,8002568,7,33,18
2023-06-01,8002568,8006380,2,16,19
2023-06-01,8002622,8001964,14,16,236
2023-06-01,8002622,8002622,26,32,282
2023-06-01,8002622,8006354,13,16,302
2023-06-01,8002630,8000032,13,15,162
2023-06-01,8002630,8002630,64,76,217
2023-06-01,8002630,8002853,7,7,339
2023-06-01,8002630,8005400,20,23,170
2023-06-01,8002630,8006635,17,23,316
2023-06-01,8002696,8000010,13,15,170
2023-06-01,8002696,8002696,42,51,199
2023-06-01,8002696,8003582,9,11,284
2023-06-01,8002696,8006426,20,25,173
2023-06-01,8002845,8002845,30,53,102
2023-06-01,8002845,8003189,16,28,122
2023-06-01,8002845,8005049,10,25,78
2023-06-01,8002918,8000010,7,11,297
2023-06-01,8002918,8002918,15,21,144
2023-06-01,8002918,8003582,6,10,-33
2023-06-01,8003189,8000120,12,15,106
2023-06-01,8003189,8002845,12,25,78
2023-06-01,8003189,8003189,49,77,151
2023-06-01,8003189,8005049,16,19,227
2023-06-01,8003189,8006349,16,23,166
2023-06-01,8003284,8002195,17,19,142
2023-06-01,8003284,8002251,17,20,128
2023-06-01,8003284,8003284,33,39,131
2023-06-01,8003314,8000010,17,20,171
2023-06-01,8003314,8001427,18,18,268
2023-06-01,8003314,8003314,38,41,232
2023-06-01,8003314,8005208,3,3,420
2023-06-01,8003324,8000640,9,20,118
2023-06-01,8003324,8003324,14,42,62
2023-06-01,8003324,8003573,9,22,19
2023-06-01,8003329,8000120,7,14,49
2023-06-01,8003329,8003329,8,28,29
2023-06-01,8003329,8006554,2,14,28
2023-06-01,8003334,8000010,1,1,120
2023-06-01,8003334,8000619,6,6,190
2023-06-01,8003334,8003334,37,55,124
2023-06-01,8003334,8004560,18,26,147
2023-06-01,8003334,8005794,10,22,110
2023-06-01,8003337,8000640,12,12,222
2023-06-01,8003337,8001848,12,12,310
2023-06-01,8003337,8003324,1,1,120
2023-06-01,8003337,8003337,52,66,165
2023-06-01,8003337,8003573,12,19,133
2023-06-01,8003337,8006538,14,22,128
2023-06-01,8003548,8000120,22,28,180
