date,from_stop_id,to_stop_id,delay_count,entries_count,avg_delay
2023-01-24,8001071,8001071,10,40,26
2023-01-24,8001071,8003632,6,20,46
2023-01-24,8001201,8001201,13,38,77
2023-01-24,8001201,8003288,7,19,96
2023-01-24,8001201,8003956,6,19,63
2023-01-24,8002615,8002615,29,74,111
2023-01-24,8002615,8003640,3,8,19
2023-01-24,8002615,8004208,9,29,13
2023-01-24,8003956,8001201,7,19,101
2023-01-24,8003956,8003956,17,38,88
2023-01-24,8003956,8006367,9,19,99
2023-01-24,8004208,8002615,14,29,170
2023-01-24,8004208,8003640,8,29,17
2023-01-24,8004208,8004208,22,58,87
2023-01-24,8004689,8003491,6,19,60
2023-01-24,8004689,8004689,11,38,77
2023-01-24,8004689,8006503,5,18,87
2023-01-24,8005262,8002915,8,18,97
2023-01-24,8005262,8005262,15,36,82
2023-01-24,8005262,8005436,8,18,63
2023-01-24,8005436,8005262,8,18,98
2023-01-24,8005436,8005436,14,36,69
2023-01-24,8005436,8400483,6,18,43
2023-01-24,8006367,8003956,8,19,96
2023-01-24,8006367,8006367,17,38,93
2023-01-24,8006367,8006503,10,19,106
2023-01-24,8006503,8004689,9,18,63
2023-01-24,8006503,8006367,7,19,85
2023-01-24,8006503,8006503,15,38,99
2023-01-25,8001071,8001071,27,40,160
2023-01-25,8001071,8003632,11,20,156
2023-01-25,8001201,8001201,33,38,378
2023-01-25,8001201,8003288,17,19,480
2023-01-25,8001201,8003956,17,19,294
2023-01-25,8002615,8002615,65,74,253
2023-01-25,8002615,8003640,5,8,98
2023-01-25,8002615,8004208,21,29,84
2023-01-25,8003956,8001201,17,19,478
2023-01-25,8003956,8003956,35,38,381
2023-01-25,8003956,8006367,19,19,333
2023-01-25,8004208,8002615,28,29,387
2023-01-25,8004208,8003640,19,29,88
2023-01-25,8004208,8004208,47,58,230
2023-01-25,8004689,8003491,18,19,292
2023-01-25,8004689,8004689,29,38,290
2023-01-25,8004689,8006503,13,18,345
2023-01-25,8005262,8002915,17,18,102
2023-01-25,8005262,8005262,34,36,182
2023-01-25,8005262,8005436,18,18,295
2023-01-25,8005436,8005262,17,18,112
2023-01-25,8005436,8005436,35,36,178
2023-01-25,8005436,8400483,15,18,288
2023-01-25,8006367,8003956,17,19,450
2023-01-25,8006367,8006367,35,38,384
2023-01-25,8006367,8006503,19,19,335
2023-01-25,8006503,8004689,18,18,300
2023-01-25,8006503,8006367,13,19,426
2023-01-25,8006503,8006503,31,38,382
2023-01-26,8001071,8001071,33,40,208
2023-01-26,8001071,8003632,15,20,150
2023-01-26,8001201,8001201,38,38,152
2023-01-26,8001201,8003288,17,19,171
2023-01-26,8001201,8003956,19,19,169
2023-01-26,8002615,8002615,67,74,301
2023-01-26,8002615,8003640,6,8,64
2023-01-26,8002615,8004208,24,29,88
2023-01-26,8003956,8001201,19,19,172
2023-01-26,8003956,8003956,38,38,167
2023-01-26,8003956,8006367,19,19,215
2023-01-26,8004208,8002615,29,29,490
2023-01-26,8004208,8003640,23,29,98
2023-01-26,8004208,8004208,53,58,286
2023-01-26,8004689,8003491,16,19,158
2023-01-26,8004689,8004689,32,38,132
2023-01-26,8004689,8006503,14,18,97
2023-01-26,8005262,8002915,18,18,78
2023-01-26,8005262,8005262,32,36,120
2023-01-26,8005262,8005436,18,18,173
2023-01-26,8005436,8005262,17,18,85
2023-01-26,8005436,8005436,35,36,115
2023-01-26,8005436,8400483,15,18,102
2023-01-26,8006367,8003956,17,19,129
2023-01-26,8006367,8006367,34,38,169
2023-01-26,8006367,8006503,19,19,216
2023-01-26,8006503,8004689,18,18,193
2023-01-26,8006503,8006367,16,19,109
2023-01-26,8006503,8006503,33,38,158
2023-01-27,8001071,8001071,28,40,114
2023-01-27,8001071,8003632,10,20,70
2023-01-27,8001201,8001201,36,40,187
2023-01-27,8001201,8003288,18,20,196
2023-01-27,8001201,8003956,17,20,198
2023-01-27,8002615,8002615,66,75,306
2023-01-27,8002615,8003640,4,8,49
2023-01-27,8002615,8004208,23,29,83
2023-01-27,8003956,8001201,18,20,188
2023-01-27,8003956,8003956,35,40,177
2023-01-27,8003956,8006367,18,20,236
2023-01-27,8004208,8002615,29,29,507
2023-01-27,8004208,8003640,18,29,81
2023-01-27,8004208,8004208,47,58,286
2023-01-27,8004689,8003491,17,20,204
2023-01-27,8004689,8004689,35,40,158
2023-01-27,8004689,8006503,18,19,99
2023-01-27,8005262,8002915,17,19,101
2023-01-27,8005262,8005262,32,38,158
2023-01-27,8005262,8005436,19,19,229
2023-01-27,8005436,8005262,17,19,99
2023-01-27,8005436,8005436,36,38,152
2023-01-27,8005436,8400483,14,18,162
2023-01-27,8006367,8003956,17,20,116
