eva,ds100,lat,lon,name,is_active_ris,is_active_iris,meta_evas,available_transports,number_of_events
8070831,LBSK,51.67901,12.734999,Bad Schmiedeberg Kurzentrum,True,True,[],[],
320472,,53.555982,11.360868,"Abzw. n Buchholz, Holthusen",True,False,[],['BUS' 'SHUTTLE'],
8013222,WWL,52.947039,12.679027,Walsleben,True,True,[],['REGIONAL_TRAIN'],13820.0
8400426,XNMTR,50.837917,5.717603,Maastricht Randwyck,True,True,[],['INTER_REGIONAL_TRAIN' 'REGIONAL_TRAIN'],24294.0
8300217,XIBC,44.50614,11.343411,Bologna Centrale,True,True,[],['HIGH_SPEED_TRAIN' 'INTERCITY_TRAIN' 'INTER_REGIONAL_TRAIN'],4371.0
5401375,OTJVI,48.820307,16.466809,Jevisovka,True,True,[],['REGIONAL_TRAIN'],8281.0
7179204,PEDTE,41.895392,2.811499,Riudellots,True,True,[],['REGIONAL_TRAIN'],3738.0
8011093,BBKL,52.704043,13.143526,Bärenklau,True,True,[],['REGIONAL_TRAIN'],24864.0
8089478,NBA B,49.900504,10.898615,Bamberg Bahnhof,True,True,[8000025],['REGIONAL_TRAIN'],1295.0
8003905,MMZG,48.410401,11.800108,Marzling,True,True,[],['REGIONAL_TRAIN'],24526.0
5474953,PTPMD,49.673293,14.00054,Pribram sidliste,True,True,[],['REGIONAL_TRAIN'],380.0
367558,D367558,50.54951,7.185889,"Lohrsdorf Greener Weg, Bad Neuenahr-Ahrweiler",True,True,[],['REGIONAL_TRAIN' 'BUS' 'SHUTTLE'],9186.0
320030,D320030,53.593868,11.416356,"Waldfriedhof, Schwerin (Meckl)",True,True,[],['REGIONAL_TRAIN' 'BUS'],28.0
8002976,EHOZ,50.739322,8.135495,Holzhausen(Kr Siegen),True,True,[],['REGIONAL_TRAIN'],12060.0
201206,,48.98469,8.403973,"Dammerstock, Karlsruhe",True,False,[],[],
8007632,MTE,47.7144755,11.7566156,Tegernsee,True,True,[],['REGIONAL_TRAIN'],19451.0
8011058,UJS,50.93692,11.593783,Jena Saalbf,True,True,[],['REGIONAL_TRAIN'],38453.0
5100597,OPBUA,51.916658,15.362355,Buchalow,True,True,[],['REGIONAL_TRAIN'],4378.0
8300179,,43.461078,11.875385,Arezzo,True,False,[],[],
8001897,EESD,51.439295,7.023098,Essen Süd,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],72474.0
490387,D490387,48.301027,8.874367,"Engstlatt Rathaus, Balingen",True,True,[8001794],['REGIONAL_TRAIN' 'BUS'],
952236,,54.511835,13.623984,"Dwasieden, Sassnitz",True,False,[],['BUS'],
8501124,OSCLL,46.488562,6.727151,Cully,True,True,[],['REGIONAL_TRAIN' 'CITY_TRAIN'],
8001191,RBRM,47.637611,7.695207,Lörrach-Brombach/Hauingen,True,True,[],['CITY_TRAIN'],70762.0
467422,D467422,49.664368,10.145876,"Bahnhof, Marktbreit",True,True,[],['BUS' 'SHUTTLE'],795.0
8101041,OAKH,48.104719,15.530366,Kammerhof,True,True,[],['REGIONAL_TRAIN'],17010.0
736514,D736514,52.360177,13.408658,"Mahlow (S), Blankenfelde-Mahlow",True,True,[],['BUS'],1302.0
8102006,XAOA,47.699842,13.093211,Oberalm,True,True,[],['CITY_TRAIN'],44718.0
735490,D735490,52.346705,12.99335,"Caputh Schule, Schwielowsee",True,True,[],['REGIONAL_TRAIN' 'BUS'],1046.0
