from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,17,24,204,60,1650
8000001,8000085,1,1,60,60,60
8000001,8000086,3,3,260,300,330
8000001,8000207,8,9,270,150,1170
8000001,8000208,18,35,215,30,4800
8000002,8000002,9,15,68,60,240
8000002,8000078,12,15,224,150,1500
8000002,8000329,11,15,68,30,240
8000002,8001751,3,8,49,0,240
8000004,8000004,34,95,90,0,3150
8000004,8000036,5,13,28,0,120
8000004,8000152,7,16,30,0,120
8000004,8000162,8,16,21,15,90
8000004,8000196,11,15,324,150,3090
8000004,8000297,31,48,92,30,540
8000009,8000009,56,96,133,30,2280
8000009,8000067,7,16,51,0,450
8000009,8000091,8,19,133,0,1860
8000009,8000122,12,21,234,30,1980
8000009,8000260,3,3,460,90,1230
8000009,8000284,37,55,65,60,450
8000013,8000009,1,1,150,150,150
8000013,8000013,86,108,345,120,3720
8000013,8000057,18,40,78,0,930
8000013,8000078,11,17,236,90,1770
8000013,8000139,19,30,149,60,2070
8000013,8000170,17,21,140,120,780
8000013,8000261,6,6,215,75,930
8000013,8000262,4,4,262,150,690
8000013,8004158,45,68,411,60,3750
8000025,8000025,61,84,134,60,1470
8000025,8000150,2,2,210,210,390
8000025,8000228,25,47,73,30,480
8000025,8000260,31,33,97,60,420
8000025,8000284,2,4,38,15,120
8000025,8001844,26,41,126,60,810
8000025,8010101,7,12,110,30,930
8000029,8000029,43,55,123,60,1110
8000029,8000115,17,20,88,75,330
8000029,8003200,13,28,56,0,360
8000029,8010097,5,8,109,60,390
8000031,8000031,99,128,397,165,3480
8000031,8000068,54,62,324,180,1620
8000031,8000244,1,1,1080,1080,1080
8000031,8000377,55,65,574,210,3540
8000036,8000004,13,14,163,150,750
8000036,8000036,103,122,613,150,6990
8000036,8000149,27,27,254,120,1110
8000036,8000152,30,30,1210,570,6960
8000036,8000162,37,69,362,30,6210
8000036,8000252,1,1,1140,1140,1140
8000036,8000732,1,1,60,60,60
8000036,8002461,46,64,150,30,1260
8000039,8000039,51,73,149,60,960
8000039,8000045,20,31,91,60,480
8000039,8000189,17,20,100,60,480
8000039,8000206,2,4,158,105,510
8000039,8000240,25,34,158,90,1050
8000041,8000041,220,328,373,60,7740
8000041,8000080,87,119,612,150,4620
8000041,8000098,104,169,460,60,7200
8000041,8000192,15,21,49,30,180
8000041,8000251,19,33,101,30,1110
8000041,8000961,14,15,454,240,2340
8000044,8000310,12,34,-107,-180,450
8000045,8000039,25,32,189,150,840
8000045,8000045,46,64,154,120,900
8000045,8000206,20,32,73,45,390
8000046,8000046,15,16,202,120,1350
8000046,8000074,10,10,435,195,1350
8000046,8000532,1,2,45,45,90
8000046,8003020,17,26,97,75,360
8000046,8005556,7,17,49,0,450
8000049,8000049,41,59,296,90,2790
8000049,8000128,9,13,270,60,2040
