from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000033,8000033,107,175,219,60,3750,Arnsberg
8000033,8001795,33,47,447,150,3780,Arnsberg
8000033,8002268,22,39,95,30,960,Arnsberg
8000033,8005488,22,41,29,30,180,Arnsberg
8000033,8006719,34,48,267,75,1530,Arnsberg
8000037,8000037,98,133,203,60,2580,Arnsberg
8000037,8000113,7,18,78,0,390,Arnsberg
8000037,8000171,2,2,120,120,180,Arnsberg
8000037,8000392,27,31,349,240,2580,Arnsberg
8000037,8001524,8,17,11,0,60,Arnsberg
8000037,8001795,27,28,354,135,1590,Arnsberg
8000037,8001836,8,18,43,0,270,Arnsberg
8000054,8000054,47,64,105,60,930,Arnsberg
8000054,8001137,4,6,70,45,270,Arnsberg
8000054,8001182,14,18,110,30,810,Arnsberg
8000054,8002992,3,7,26,0,60,Arnsberg
8000054,8004676,12,25,107,0,960,Arnsberg
8000054,8006453,6,13,58,0,540,Arnsberg
8000081,8000081,99,216,47,0,720,Arnsberg
8000081,8001531,23,42,71,30,420,Arnsberg
8000081,8001542,14,34,26,0,240,Arnsberg
8000081,8003946,3,34,11,0,270,Arnsberg
8000081,8004230,28,33,53,60,180,Arnsberg
8000113,8000037,13,16,159,30,930,Arnsberg
8000113,8000113,54,75,168,120,1410,Arnsberg
8000113,8001066,0,7,-30,-30,-30,Arnsberg
8000113,8006389,28,39,162,120,900,Arnsberg
8000164,8000164,150,204,135,60,1230,Arnsberg
8000164,8000887,12,18,55,60,180,Arnsberg
8000164,8001327,67,87,101,60,600,Arnsberg
8000164,8001909,18,24,68,45,330,Arnsberg
8000164,8002223,11,13,136,90,480,Arnsberg
8000164,8002227,12,22,90,30,750,Arnsberg
8000164,8002779,13,15,288,300,630,Arnsberg
8000171,8000037,2,2,225,225,330,Arnsberg
8000171,8000171,94,134,235,105,2640,Arnsberg
8000171,8000392,34,50,236,75,1680,Arnsberg
8000171,8001061,29,31,436,240,2700,Arnsberg
8000171,8003788,8,19,51,0,300,Arnsberg
8000171,8003925,8,34,15,0,120,Arnsberg
8000171,8006226,15,15,308,120,1710,Arnsberg
8000171,8006449,5,5,114,60,270,Arnsberg
8000186,8003090,0,17,0,0,0,Arnsberg
8000186,8003657,0,18,0,0,0,Arnsberg
8000239,8000239,34,66,75,30,1950,Arnsberg
8000239,8001097,5,15,110,0,1200,Arnsberg
8000239,8004883,14,35,88,0,1920,Arnsberg
8000239,8006348,8,18,72,0,390,Arnsberg
