from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010041,8010041,44,65,123,30,2070,Berlin
8010041,8011901,17,17,102,30,660,Berlin
8010041,8089063,1,1,1800,1800,1800,Berlin
8010403,5100082,1,1,600,600,600,Berlin
8010403,8010280,2,4,398,60,1470,Berlin
8010403,8010373,15,16,283,195,1200,Berlin
8010403,8010403,93,109,530,180,5040,Berlin
8010403,8011306,53,63,286,180,1560,Berlin
8010403,8011430,4,5,846,1170,1620,Berlin
8010403,8011695,10,10,363,300,810,Berlin
8010403,8013479,9,19,63,0,270,Berlin
8010403,8080040,20,20,1557,1125,4980,Berlin
8011003,8011003,29,36,224,60,1200,Berlin
8011003,8011004,18,19,243,60,1110,Berlin
8011041,8010215,15,17,203,90,870,Berlin
8011041,8011041,61,74,275,135,2040,Berlin
8011041,8011118,30,37,270,150,1620,Berlin
8011041,8013100,17,20,351,180,2040,Berlin
8011046,8011046,164,231,100,60,630,Berlin
8011046,8012910,29,38,192,60,960,Berlin
8011046,8089056,73,116,89,60,600,Berlin
8011046,8089057,71,116,104,60,600,Berlin
8011118,8010214,8,9,160,90,390,Berlin
8011118,8011041,30,37,225,120,1740,Berlin
8011118,8011118,119,179,221,60,4920,Berlin
8011118,8011167,47,51,182,90,1530,Berlin
8011118,8011691,6,9,350,150,1470,Berlin
8011118,8013470,17,17,203,150,510,Berlin
8011155,8011155,160,250,412,90,5100,Berlin
8011155,8011250,14,17,448,390,1740,Berlin
8011155,8011306,87,124,613,120,5070,Berlin
8011155,8013188,2,2,570,570,1110,Berlin
8011155,8013376,20,20,288,135,1380,Berlin
8011155,8013477,35,39,213,120,1020,Berlin
8011167,8011118,34,50,92,30,1050,Berlin
8011167,8011167,92,143,117,60,1530,Berlin
8011167,8013021,19,38,163,15,1560,Berlin
8011167,8013376,0,1,0,0,0,Berlin
8011167,8080040,23,33,95,30,600,Berlin
8011306,8010403,48,61,689,120,5010,Berlin
8011306,8011155,81,126,217,60,1620,Berlin
8011306,8011306,169,248,415,90,5040,Berlin
8011306,8013479,12,19,354,90,3480,Berlin
8011306,8080040,0,1,0,0,0,Berlin
8011343,8010341,14,19,82,30,240,Berlin
8011343,8011343,25,38,107,90,420,Berlin
8011901,8010041,10,14,178,90,690,Berlin
8011901,8010214,1,1,150,150,150,Berlin
8011901,8011901,41,72,124,30,750,Berlin
8011901,8012831,14,18,142,135,570,Berlin
8011901,8013470,1,1,60,60,60,Berlin
8013021,8011167,28,38,107,30,1140,Berlin
8013021,8013021,38,76,118,15,1620,Berlin
8013021,8080260,18,38,150,0,1620,Berlin
8089004,8089004,385,714,138,30,2070,Berlin
8089004,8089030,88,180,100,0,1830,Berlin
8089004,8089104,79,175,169,0,1800,Berlin
8089004,8089168,217,359,231,90,2310,Berlin
8089030,8089004,119,182,146,60,2040,Berlin
8089030,8089030,233,362,118,30,2010,Berlin
8089030,8089043,114,180,104,30,1830,Berlin
8089040,8089031,108,119,84,30,630,Berlin
8089040,8089040,303,461,55,30,660,Berlin
8089040,8089059,201,230,39,30,390,Berlin
8089040,8089117,35,112,13,0,150,Berlin
8089052,8089007,233,299,192,60,1950,Berlin
8089052,8089052,460,601,293,120,2310,Berlin
8089052,8089054,99,126,409,255,2220,Berlin
8089052,8089063,122,176,378,240,2310,Berlin
8089054,8089016,99,126,393,225,2250,Berlin
8089054,8089052,75,126,163,30,1920,Berlin
8089054,8089054,159,252,275,60,2250,Berlin
8089063,8080340,76,92,377,270,1560,Berlin
8089063,8089052,113,173,169,60,1740,Berlin
8089063,8089063,161,181,328,210,1650,Berlin
8089080,8089008,160,230,115,60,1020,Berlin
8089080,8089080,287,355,130,60,1020,Berlin
8089080,8089081,112,176,116,60,930,Berlin
8089093,8089117,56,112,21,15,240,Berlin
8089114,8089113,90,110,195,120,1080,Berlin
8089114,8089114,181,220,144,90,1080,Berlin
8089114,8089115,92,110,100,60,660,Berlin
